,practice,year,items,low_med_dose_items,proportion_lm_dose
0,A81001,2018,5261,2266,0.4307165938034594
1,A81002,2018,30575,12199,0.39898609975470156
2,A81004,2018,13974,5234,0.3745527408043509
3,A81005,2018,15779,7366,0.4668229925850814
4,A81006,2018,26783,10885,0.4064145166710227
5,A81007,2018,12046,6268,0.5203387016436991
6,A81009,2018,12917,6328,0.489897034915228
7,A81011,2018,15567,7807,0.5015096036487441
8,A81012,2018,10395,5646,0.5431457431457432
9,A81013,2018,9948,5094,0.5120627261761158
10,A81014,2018,10227,4549,0.44480297252371176
11,A81015,2018,2006,1166,0.5812562313060817
12,A81016,2018,14804,7422,0.5013509862199406
13,A81017,2018,29803,15101,0.5066939569841962
14,A81018,2018,19820,9219,0.46513622603430876
15,A81019,2018,14575,6939,0.4760891938250429
16,A81020,2018,12665,6255,0.49388077378602446
17,A81021,2018,28750,11994,0.41718260869565216
18,A81022,2018,16669,8411,0.5045893574899514
19,A81023,2018,4647,2366,0.5091456853884226
20,A81025,2018,7390,4296,0.5813261163734776
21,A81026,2018,21726,10461,0.4814968240817454
22,A81027,2018,17980,8147,0.45311457174638486
23,A81029,2018,10045,5496,0.5471378795420607
24,A81030,2018,14170,7970,0.5624558927311221
25,A81031,2018,15106,7397,0.48967297762478484
26,A81032,2018,16689,7208,0.4319012523218887
27,A81033,2018,1137,553,0.48636763412489004
28,A81034,2018,27289,10991,0.4027630180658874
29,A81035,2018,11643,5720,0.4912823155544104
30,A81036,2018,28652,6510,0.22720926985899761
31,A81037,2018,11388,6166,0.5414471373375483
32,A81038,2018,6206,3402,0.5481791814373187
33,A81039,2018,14106,6343,0.4496668084503048
34,A81040,2018,11563,5345,0.46225028106892674
35,A81041,2018,12317,6384,0.5183080295526508
36,A81042,2018,28099,14248,0.507064308338375
37,A81043,2018,13907,8004,0.575537499101172
38,A81044,2018,37814,15000,0.3966784788702597
39,A81045,2018,15481,8305,0.5364640527097733
40,A81046,2018,17435,9216,0.5285919128190422
41,A81048,2018,21284,11660,0.5478293553843262
42,A81049,2018,14095,6903,0.4897481376374601
43,A81051,2018,10871,5947,0.5470517891638303
44,A81052,2018,15785,7604,0.4817231548938866
45,A81053,2018,15111,9436,0.6244457679835881
46,A81054,2018,16146,7668,0.47491638795986624
47,A81056,2018,3724,884,0.23737916219119226
48,A81057,2018,12191,6001,0.49224837995242393
49,A81058,2018,9400,5423,0.5769148936170213
50,A81060,2018,5269,3642,0.691212753843234
51,A81063,2018,10390,4800,0.4619826756496631
52,A81064,2018,6007,3495,0.5818212085899783
53,A81065,2018,6304,3330,0.5282360406091371
54,A81066,2018,8901,4953,0.5564543309740478
55,A81067,2018,13894,5991,0.4311933208579243
56,A81070,2018,8991,4362,0.4851518184851518
57,A81602,2018,6178,2977,0.4818711557138232
58,A81608,2018,9241,5447,0.5894383724705119
59,A81610,2018,11355,4666,0.410920299427565
60,A81611,2018,8572,3895,0.45438637424171724
61,A81612,2018,5196,2810,0.5408006158583526
62,A81618,2018,15170,8282,0.5459459459459459
63,A81621,2018,3530,1595,0.4518413597733711
64,A81622,2018,7897,3107,0.39344054704318093
65,A81629,2018,7883,4003,0.5078015983762527
66,A81630,2018,319,72,0.22570532915360503
67,A81631,2018,8387,5018,0.5983069035411948
68,A81632,2018,258,35,0.13565891472868216
69,A81633,2018,128,42,0.328125
70,A81634,2018,787,173,0.21982210927573062
71,A82003,2018,11349,6077,0.5354656797955767
72,A82004,2018,4529,2774,0.612497240008832
73,A82005,2018,8169,3768,0.4612559676827029
74,A82006,2018,7618,4497,0.5903124179574691
75,A82007,2018,12270,7690,0.6267318663406682
76,A82008,2018,15464,9823,0.6352172788411795
77,A82009,2018,17523,8232,0.46978257147748675
78,A82010,2018,9651,6684,0.6925707180603047
79,A82012,2018,30999,17768,0.573179779992903
80,A82013,2018,11647,5079,0.4360779599896969
81,A82014,2018,9064,3775,0.4164827890556046
82,A82015,2018,5917,3015,0.509548757816461
83,A82016,2018,39141,17768,0.45394854500396004
84,A82018,2018,11700,7423,0.6344444444444445
85,A82019,2018,9658,4751,0.4919237937461172
86,A82020,2018,13408,6378,0.4756861575178998
87,A82021,2018,24979,11947,0.4782817566756075
88,A82022,2018,10561,5108,0.48366631947732225
89,A82023,2018,11471,5032,0.4386714323075582
90,A82024,2018,10948,5457,0.4984472049689441
91,A82025,2018,12651,6270,0.4956129950201565
92,A82026,2018,25154,11538,0.4586944422358273
93,A82027,2018,19180,8215,0.428310740354536
94,A82028,2018,14092,8872,0.6295770650014193
95,A82029,2018,6187,3311,0.5351543559075481
96,A82030,2018,10990,4976,0.45277525022747955
97,A82031,2018,6678,3598,0.5387840670859538
98,A82032,2018,21793,12563,0.5764695085577938
99,A82033,2018,9894,5861,0.5923792197291288
100,A82034,2018,11023,5237,0.47509752336024674
101,A82035,2018,14423,7992,0.5541149552797615
102,A82036,2018,13007,6731,0.5174905819943107
103,A82037,2018,7952,5002,0.6290241448692153
104,A82038,2018,6708,3134,0.46720333929636254
105,A82039,2018,9829,6625,0.6740258418964289
106,A82041,2018,19458,11820,0.6074622263336417
107,A82044,2018,36370,21079,0.5795710750618642
108,A82045,2018,14121,9134,0.6468380426315417
109,A82046,2018,7870,4305,0.5470139771283354
110,A82047,2018,16317,9866,0.6046454617883189
111,A82048,2018,9251,3757,0.4061182574856772
112,A82049,2018,8237,3617,0.43911618307636274
113,A82050,2018,10551,5134,0.4865889489147948
114,A82053,2018,9009,4006,0.44466644466644467
115,A82055,2018,12874,3866,0.3002951685567811
116,A82058,2018,6496,3660,0.5634236453201971
117,A82060,2018,3829,2596,0.677983807782711
118,A82062,2018,6221,2999,0.48207683652145955
119,A82064,2018,11118,5992,0.5389458535707861
120,A82065,2018,7461,4083,0.5472456775231203
121,A82068,2018,3923,2496,0.6362477695641091
122,A82070,2018,8290,4297,0.518335343787696
123,A82071,2018,7657,5046,0.6590048321797048
124,A82072,2018,14100,7382,0.5235460992907801
125,A82074,2018,2188,1431,0.6540219378427788
126,A82075,2018,10321,4851,0.4700125956787133
127,A82077,2018,5331,3690,0.6921778277996623
128,A82608,2018,6372,3422,0.5370370370370371
129,A82613,2018,727,402,0.5529573590096286
130,A82617,2018,4869,1625,0.3337440952967755
131,A82620,2018,1422,174,0.12236286919831224
132,A82621,2018,2636,2060,0.7814871016691958
133,A82623,2018,8493,4418,0.5201931002001648
134,A82629,2018,5628,2483,0.44118692253020614
135,A82631,2018,5261,2887,0.5487549895457138
136,A82646,2018,7917,4516,0.570418087659467
137,A82647,2018,5048,2605,0.5160459587955626
138,A82650,2018,3408,2082,0.6109154929577465
139,A82651,2018,4524,2360,0.5216622458001768
140,A82654,2018,9390,5500,0.5857294994675186
141,A83001,2018,17612,7419,0.4212468771292301
142,A83003,2018,16829,7428,0.44138094955136964
143,A83004,2018,11432,7173,0.6274492652204339
144,A83005,2018,19618,10351,0.527627688857172
