,practice,year,items,low_med_dose_items,proportion_lm_dose
145,A83006,2018,10761,5669,0.5268097760431186
146,A83007,2018,24336,11783,0.4841798159105851
147,A83008,2018,13501,7336,0.5433671579882972
148,A83009,2018,14253,5723,0.4015295025608644
149,A83010,2018,20156,10527,0.5222762452867632
150,A83011,2018,12880,7052,0.5475155279503106
151,A83012,2018,39596,17271,0.43618042226487524
152,A83013,2018,15622,8656,0.5540903853539879
153,A83014,2018,9396,5266,0.5604512558535547
154,A83015,2018,19368,10048,0.5187938868236266
155,A83016,2018,25027,12069,0.4822391816837815
156,A83017,2018,17536,7523,0.42900319343065696
157,A83018,2018,41661,19499,0.4680396533928614
158,A83019,2018,10808,5109,0.47270540340488526
159,A83020,2018,22554,10117,0.44856788152877536
160,A83021,2018,29929,12974,0.4334925991513248
161,A83022,2018,42263,15068,0.356529351915387
162,A83023,2018,30000,12591,0.4197
163,A83024,2018,11583,5251,0.45333678667012
164,A83025,2018,34290,13157,0.3836978710994459
165,A83026,2018,16348,7379,0.45137019818938096
166,A83027,2018,10689,4144,0.3876882776686313
167,A83028,2018,22247,8624,0.38764777273340223
168,A83029,2018,8224,2582,0.3139591439688716
169,A83030,2018,22571,9146,0.405210225510611
170,A83031,2018,17905,7721,0.4312203295168947
171,A83032,2018,7288,3454,0.47392974753018663
172,A83033,2018,19498,9467,0.4855369781516053
173,A83034,2018,12610,7012,0.5560666137985726
174,A83035,2018,16291,6965,0.4275366766926524
175,A83036,2018,13613,6840,0.5024608829795049
176,A83037,2018,33285,15643,0.46997145861499173
177,A83038,2018,8810,3950,0.44835414301929627
178,A83040,2018,19111,7401,0.38726387944115953
179,A83041,2018,21724,10818,0.49797459031485913
180,A83042,2018,9513,4030,0.42363082098181437
181,A83043,2018,8121,3076,0.37877108730451914
182,A83044,2018,14200,7970,0.5612676056338028
183,A83045,2018,25963,12923,0.49774679351384665
184,A83046,2018,22366,11151,0.4985692569078065
185,A83047,2018,25960,10479,0.40365947611710323
186,A83048,2018,10654,4712,0.44227520180214003
187,A83049,2018,25160,13555,0.5387519872813991
188,A83050,2018,19439,9165,0.471474870106487
189,A83051,2018,25832,11924,0.4615980179622174
190,A83052,2018,17228,7495,0.4350475969352217
191,A83054,2018,25174,10807,0.42929212679748946
192,A83055,2018,5442,1446,0.2657111356119074
193,A83057,2018,18748,7375,0.39337529336462557
194,A83060,2018,4784,2424,0.5066889632107023
195,A83061,2018,5101,2867,0.5620466575181337
196,A83066,2018,22556,9384,0.41603121120766096
197,A83070,2018,13234,6142,0.4641076016321596
198,A83071,2018,11858,4776,0.4027660651037274
199,A83072,2018,7904,2572,0.32540485829959515
200,A83073,2018,10812,6148,0.5686274509803921
201,A83074,2018,24297,7814,0.321603490142816
202,A83075,2018,17698,10691,0.6040795570120918
203,A83076,2018,3831,1703,0.4445314539284782
204,A83603,2018,4333,2068,0.47726748211400877
205,A83610,2018,7211,3194,0.4429344057689641
206,A83616,2018,6108,2418,0.39587426326129665
207,A83617,2018,7008,2827,0.4033961187214612
208,A83618,2018,12671,5367,0.4235656222871123
209,A83619,2018,6724,2350,0.3494943486020226
210,A83622,2018,5183,2162,0.4171329345938646
211,A83626,2018,5672,2165,0.3816995768688293
212,A83627,2018,12178,5229,0.429380850714403
213,A83630,2018,3434,854,0.24868957483983692
214,A83632,2018,3515,1354,0.38520625889046944
215,A83634,2018,8241,4206,0.5103749544958136
216,A83635,2018,6398,3595,0.5618943419818694
217,A83636,2018,14976,3671,0.24512553418803418
218,A83637,2018,5198,2170,0.4174682570219315
219,A83641,2018,8258,3084,0.373456042625333
220,A83644,2018,9114,4483,0.49188062321702875
221,A84002,2018,7859,4563,0.5806082198753022
222,A84003,2018,24919,3131,0.1256470965929612
223,A84005,2018,18760,8426,0.4491471215351812
224,A84006,2018,41607,16998,0.4085370250198284
225,A84007,2018,22768,8901,0.3909434293745608
226,A84008,2018,9145,5237,0.5726626571897212
227,A84009,2018,33474,12293,0.3672402461611997
228,A84011,2018,17659,6747,0.38207146497536665
229,A84013,2018,11276,3780,0.33522525718339835
230,A84014,2018,13783,4766,0.34578828992236815
231,A84015,2018,6127,1858,0.30324791904684184
232,A84016,2018,9244,2482,0.26849848550411076
233,A84018,2018,11372,5311,0.467024270137179
234,A84020,2018,13821,2484,0.17972650314738442
235,A84022,2018,22504,10950,0.4865801635264842
236,A84024,2018,12726,5014,0.393996542511394
237,A84025,2018,10535,1062,0.10080683436165164
238,A84026,2018,17753,7735,0.4357010082802907
239,A84027,2018,9005,2637,0.29283731260410883
240,A84028,2018,40871,13524,0.3308947664603264
241,A84029,2018,6292,940,0.14939605848696758
242,A84030,2018,15466,6413,0.414651493598862
243,A84031,2018,10786,4548,0.42165770443167067
244,A84032,2018,6713,1528,0.2276180545210785
245,A84033,2018,9524,2308,0.24233515329693406
246,A84034,2018,12962,4916,0.3792624594969912
247,A84035,2018,11143,2255,0.20236920039486672
248,A84036,2018,41335,9385,0.22704729647998065
249,A84037,2018,9015,4593,0.5094841930116473
250,A84038,2018,13560,5494,0.4051622418879056
251,A84039,2018,8160,3997,0.489828431372549
252,A84040,2018,8626,4521,0.524113146301878
253,A84042,2018,4329,1972,0.4555324555324555
254,A84043,2018,24922,9555,0.3833961961319316
255,A84044,2018,12452,5162,0.4145518792161902
256,A84045,2018,10112,2653,0.2623615506329114
257,A84047,2018,10148,2099,0.20683878596767835
258,A84604,2018,4716,2262,0.4796437659033079
259,A84609,2018,3134,594,0.18953414167198468
260,A84614,2018,2516,455,0.18084260731319554
261,A84619,2018,6080,1245,0.20476973684210525
262,A85001,2018,12472,6621,0.5308691468890314
263,A85002,2018,8085,3166,0.39158936301793446
264,A85003,2018,12907,5717,0.4429379406523592
265,A85004,2018,21074,5956,0.28262313751542184
266,A85005,2018,28932,4888,0.1689478777823863
267,A85006,2018,17507,3339,0.19072371051579368
268,A85007,2018,12033,5683,0.4722845508185822
269,A85008,2018,33309,13106,0.3934672310786874
270,A85009,2018,12636,2379,0.1882716049382716
271,A85010,2018,17543,5643,0.3216667616713219
272,A85011,2018,18680,5024,0.26895074946466807
273,A85012,2018,8416,1727,0.20520437262357413
274,A85013,2018,8727,4645,0.532256216340094
275,A85014,2018,19799,4672,0.23597151371281377
276,A85016,2018,29121,12142,0.4169499673774939
277,A85017,2018,9109,3663,0.4021297617740696
278,A85018,2018,9463,4638,0.49011941244848356
279,A85019,2018,11847,4055,0.3422807461804676
280,A85020,2018,27414,8957,0.3267308674399942
281,A85021,2018,5068,2481,0.48954222573007106
282,A85023,2018,14027,1840,0.1311755899336993
283,A85024,2018,7129,3032,0.4253050918782438
284,A85026,2018,12093,2317,0.19159844538162574
285,A85609,2018,3059,1786,0.5838509316770186
286,A85611,2018,9786,3546,0.3623543838136113
287,A85614,2018,10040,2710,0.2699203187250996
288,A85616,2018,12613,4667,0.3700150638230397
289,A85617,2018,6737,2422,0.35950719905002226
290,A85620,2018,7587,3202,0.4220376960590484
291,A85621,2018,18,7,0.3888888888888889
292,A86003,2018,28470,9059,0.31819459079733053
293,A86004,2018,15341,5936,0.38693696629945895
294,A86005,2018,14143,5222,0.3692285936505692
295,A86006,2018,9965,1914,0.19207225288509785
296,A86007,2018,2038,685,0.3361138370951914
297,A86008,2018,16049,6421,0.40008723284939873
298,A86010,2018,11421,2967,0.2597846073023378
299,A86011,2018,30063,5748,0.19119848318531085
300,A86012,2018,16888,1691,0.10013027001421128
301,A86013,2018,19217,5771,0.30030701982619556
302,A86015,2018,7921,2214,0.279510162858225
303,A86016,2018,12942,6711,0.518544274455262
304,A86017,2018,21891,6729,0.30738659723173906
305,A86018,2018,15635,4019,0.2570514870482891
306,A86020,2018,3854,724,0.18785677218474311
307,A86021,2018,26470,8125,0.30695126558367963
308,A86022,2018,14489,5004,0.3453654496514597
309,A86023,2018,17558,5522,0.314500512586855
310,A86024,2018,12718,2667,0.20970278345651833
311,A86025,2018,24340,7576,0.3112571898110107
312,A86026,2018,15514,6055,0.3902926389067939
313,A86027,2018,848,256,0.3018867924528302
314,A86028,2018,5980,2314,0.3869565217391304
315,A86029,2018,43411,10126,0.2332588514431826
316,A86030,2018,20384,8321,0.4082123233908948
317,A86031,2018,10776,3415,0.3169079435783222
318,A86033,2018,4741,1651,0.3482387681923645
319,A86035,2018,3667,861,0.23479683665121354
320,A86036,2018,12393,4505,0.3635116598079561
321,A86037,2018,14616,3930,0.26888341543513955
322,A86038,2018,15352,5425,0.35337415320479415
323,A86040,2018,14433,4696,0.32536548188179865
324,A86041,2018,11339,4705,0.4149395890290149
325,A86601,2018,13941,5559,0.398751882935227
326,A87002,2018,14413,6148,0.42655935613682094
327,A87003,2018,19625,9667,0.4925859872611465
328,A87004,2018,23015,10642,0.4623940908103411
329,A87005,2018,15910,6451,0.405468258956631
330,A87006,2018,9554,4823,0.5048147372828135
331,A87007,2018,19520,8636,0.44241803278688524
332,A87008,2018,8083,3489,0.4316466658418904
333,A87009,2018,24530,9835,0.4009376273950265
334,A87011,2018,8929,5122,0.5736364654496584
335,A87012,2018,18918,8465,0.4474574479331853
336,A87013,2018,17557,7933,0.45184256991513355
337,A87014,2018,1151,413,0.35881841876629017
338,A87015,2018,12143,6049,0.4981470806225809
339,A87016,2018,18607,9046,0.4861611221583275
340,A87017,2018,16502,7833,0.47466973700157555
341,A87019,2018,10584,4183,0.39521919879062734
342,A87020,2018,11231,6244,0.555961178879886
343,A87022,2018,10093,4272,0.4232636480729218
344,A87023,2018,9200,4045,0.43967391304347825
345,A87027,2018,12641,5774,0.4567676607863302
346,A87029,2018,10016,5074,0.5065894568690096
347,A87030,2018,8253,2914,0.3530837271295287
348,A87600,2018,6670,2839,0.42563718140929535
349,A87612,2018,11582,4498,0.38836125021585216
350,A87615,2018,7132,3222,0.45176668536174985
351,A88001,2018,9505,4199,0.44176749079431876
352,A88002,2018,26716,10732,0.4017068423416679
353,A88003,2018,22556,8315,0.3686380563929775
354,A88004,2018,11840,4962,0.4190878378378378
355,A88005,2018,11225,3805,0.33897550111358576
356,A88006,2018,11859,4838,0.4079601990049751
357,A88007,2018,15104,6775,0.4485566737288136
358,A88008,2018,10807,4470,0.4136208013324697
359,A88009,2018,8815,3784,0.4292682926829268
360,A88010,2018,12067,7372,0.6109223502113201
361,A88012,2018,14993,5506,0.36723804442072966
362,A88013,2018,29586,13088,0.4423713918745353
363,A88014,2018,4587,1855,0.4044037497274907
364,A88015,2018,15253,7167,0.4698747787320527
365,A88016,2018,12615,5457,0.4325802615933413
366,A88022,2018,13703,6015,0.43895497336349704
367,A88023,2018,8995,4835,0.537520844913841
368,A88025,2018,8400,2572,0.3061904761904762
369,A88601,2018,5128,2503,0.4881045241809672
370,A88603,2018,3998,1226,0.30665332666333167
371,A88608,2018,11112,5488,0.49388048956083513
372,A88613,2018,6397,2812,0.43958105361888383
373,A89001,2018,37983,16460,0.43335176263065056
374,A89002,2018,10857,5142,0.4736114948880906
375,A89004,2018,34822,19280,0.5536729653667222
376,A89005,2018,11740,6180,0.5264054514480409
377,A89006,2018,14552,4558,0.3132215503023639
378,A89007,2018,20947,7344,0.35059913114049746
379,A89008,2018,15811,6440,0.40731136550502817
380,A89009,2018,16419,9740,0.593215177538218
381,A89010,2018,21462,9863,0.45955642530984997
382,A89011,2018,9224,5007,0.5428230702515178
383,A89012,2018,25068,14304,0.5706079463858306
384,A89013,2018,13462,7193,0.5343188233546279
385,A89014,2018,36,16,0.4444444444444444
386,A89015,2018,17542,9016,0.5139664804469274
387,A89016,2018,12657,5424,0.42853756814411
388,A89017,2018,19909,9010,0.4525591441056808
389,A89018,2018,13278,5264,0.3964452477782799
390,A89019,2018,27189,10014,0.3683107138916474
391,A89020,2018,14380,6701,0.46599443671766344
392,A89021,2018,17609,7984,0.4534045090578681
393,A89022,2018,10905,6814,0.6248509857863366
394,A89023,2018,19950,9164,0.4593483709273183
395,A89024,2018,15771,4428,0.2807684991439985
396,A89025,2018,23314,10811,0.463712790597924
397,A89026,2018,16396,10365,0.6321663820444011
398,A89027,2018,12368,3067,0.24797865459249677
399,A89028,2018,18486,8651,0.4679757654441199
400,A89029,2018,29,10,0.3448275862068966
401,A89030,2018,18801,8044,0.4278495824690176
402,A89031,2018,11036,4484,0.4063066328379848
403,A89032,2018,17575,8162,0.4644096728307255
404,A89034,2018,4882,3328,0.6816878328553871
405,A89035,2018,22771,8370,0.3675727899521321
406,A89036,2018,6088,3210,0.5272667542706965
407,A89040,2018,12229,2579,0.21089214163055034
408,A89041,2018,8837,3903,0.4416657236618762
409,A89603,2018,4357,1395,0.32017443194858847
410,A89604,2018,11173,2002,0.17918195650228227
411,A89612,2018,1115,736,0.6600896860986547
412,A89614,2018,10241,3743,0.3654916512059369
413,A89616,2018,5696,2247,0.3944873595505618
414,A89617,2018,11192,5278,0.4715868477483917
415,A89620,2018,1760,1090,0.6193181818181818
416,A89623,2018,4630,3172,0.6850971922246221
417,A89624,2018,819,456,0.5567765567765568
418,B81002,2018,7275,4303,0.5914776632302405
419,B81003,2018,31213,16297,0.5221221926761286
420,B81004,2018,27623,11541,0.41780400390978534
421,B81005,2018,34489,15670,0.45434776305488705
422,B81006,2018,14544,6493,0.44643839383938394
423,B81007,2018,18990,10573,0.556766719325961
424,B81008,2018,48591,23674,0.48720956555740774
425,B81009,2018,15861,7633,0.4812433011789925
426,B81010,2018,20723,8880,0.4285093857067027
427,B81011,2018,16224,8080,0.4980276134122288
428,B81012,2018,7384,4212,0.5704225352112676
429,B81013,2018,11354,6406,0.5642064470671129
430,B81014,2018,14560,6358,0.4366758241758242
431,B81015,2018,29046,14493,0.4989671555463747
432,B81016,2018,12318,6018,0.48855333658061373
433,B81017,2018,18930,6625,0.34997358689910196
434,B81018,2018,19220,7926,0.4123829344432882
435,B81020,2018,13637,5924,0.43440639436826284
436,B81021,2018,8584,5032,0.5862068965517241
437,B81022,2018,28465,16769,0.5891094326365712
438,B81023,2018,13318,5745,0.431371076738249
439,B81024,2018,10151,5085,0.500935868387351
440,B81025,2018,25351,11381,0.4489369255650665
441,B81026,2018,31694,14297,0.45109484445005366
442,B81027,2018,17573,9843,0.5601206396175952
443,B81029,2018,16005,8536,0.5333333333333333
444,B81030,2018,18784,9264,0.49318568994889267
445,B81031,2018,20949,13366,0.6380256814167741
446,B81032,2018,5219,2788,0.5342019543973942
447,B81034,2018,18888,10933,0.5788331215586616
448,B81035,2018,8559,5100,0.5958640028040659
449,B81036,2018,21770,12313,0.5655948553054663
450,B81037,2018,27675,14328,0.5177235772357723
451,B81038,2018,15535,8507,0.5476021886063727
452,B81039,2018,39323,20979,0.5335045647585382
453,B81040,2018,25530,10914,0.427497062279671
454,B81041,2018,10394,4790,0.460842793919569
455,B81042,2018,20983,13443,0.6406614878711338
456,B81043,2018,25278,9843,0.38938998338476144
457,B81045,2018,23261,9412,0.40462576845363485
458,B81046,2018,19039,10145,0.5328536162613583
459,B81047,2018,8360,3250,0.388755980861244
460,B81048,2018,14503,7493,0.5166517272288492
461,B81049,2018,10660,5067,0.475328330206379
462,B81050,2018,21069,6280,0.29806825193412123
463,B81051,2018,10194,4977,0.48822836962919364
464,B81052,2018,4622,1994,0.43141497187364775
465,B81053,2018,23443,6912,0.29484281022053493
466,B81054,2018,19149,9802,0.5118805159538357
467,B81055,2018,10152,4422,0.4355791962174941
468,B81056,2018,18450,10959,0.5939837398373984
469,B81058,2018,10515,6656,0.6330004755111746
470,B81060,2018,13144,5991,0.45579732197200246
471,B81061,2018,40218,15653,0.3892038390770302
472,B81062,2018,21355,10506,0.49196909388901894
473,B81063,2018,10521,5534,0.525995627792035
474,B81064,2018,18964,8585,0.4526998523518245
475,B81065,2018,20791,8508,0.4092155259487278
476,B81066,2018,4714,2457,0.5212134068731439
477,B81068,2018,28517,13242,0.464354595504436
478,B81069,2018,23114,10430,0.45124167171411267
479,B81070,2018,11892,4620,0.3884964682139253
480,B81074,2018,10203,4371,0.4284034107615407
481,B81075,2018,3503,1519,0.4336283185840708
482,B81077,2018,14553,9190,0.631484917199203
483,B81080,2018,3662,1763,0.4814309120699072
484,B81082,2018,4703,2549,0.5419944716138635
485,B81085,2018,7429,3247,0.43707093821510296
486,B81087,2018,23401,9410,0.40211956753984873
487,B81088,2018,11810,6747,0.5712955122777308
488,B81089,2018,2028,1051,0.5182445759368837
489,B81090,2018,9301,3843,0.4131813783464144
490,B81091,2018,4438,2978,0.6710229833258224
491,B81092,2018,12084,6735,0.5573485600794439
492,B81095,2018,8617,3308,0.3838923059069282
493,B81097,2018,3458,1522,0.4401388085598612
494,B81099,2018,15325,8075,0.5269168026101142
495,B81100,2018,4541,2507,0.5520810394186303
496,B81101,2018,24703,12866,0.5208274298668178
497,B81104,2018,1448,612,0.42265193370165743
498,B81108,2018,7059,4291,0.6078764697549228
499,B81109,2018,27732,17628,0.635655560363479
500,B81112,2018,14194,6621,0.46646470339580104
501,B81113,2018,13709,7498,0.5469399664454009
502,B81118,2018,14267,8017,0.5619261232214201
503,B81119,2018,9678,6480,0.6695598264104153
504,B81121,2018,315,119,0.37777777777777777
505,B81602,2018,5284,1902,0.3599545798637396
506,B81603,2018,4350,2084,0.47908045977011493
507,B81606,2018,6720,4175,0.6212797619047619
508,B81616,2018,5461,1656,0.3032411646218641
509,B81617,2018,14114,4043,0.28645316706815926
510,B81619,2018,7283,4173,0.5729781683372237
511,B81620,2018,6548,3010,0.45968234575442884
512,B81628,2018,7500,3695,0.49266666666666664
513,B81631,2018,10058,6294,0.6257705309206602
514,B81635,2018,7200,3364,0.4672222222222222
515,B81642,2018,7986,4190,0.5246681692962685
516,B81645,2018,7221,1166,0.16147348012740617
517,B81647,2018,6062,2741,0.45216100296931705
518,B81648,2018,4797,1927,0.4017094017094017
519,B81653,2018,5170,1043,0.20174081237911026
520,B81655,2018,2779,1212,0.43612810363440085
521,B81656,2018,7180,3170,0.4415041782729805
522,B81658,2018,3441,1387,0.4030804998546934
523,B81663,2018,3136,1391,0.44355867346938777
524,B81664,2018,3007,1298,0.43165946125706683
525,B81665,2018,2523,1114,0.4415378517637733
526,B81666,2018,799,470,0.5882352941176471
527,B81675,2018,15366,5142,0.33463490823896913
528,B81677,2018,5727,3694,0.6450148419766021
529,B81682,2018,6,3,0.5
530,B81688,2018,2959,1614,0.5454545454545454
531,B81692,2018,1319,499,0.378316906747536
532,B81693,2018,1664,993,0.5967548076923077
533,B81697,2018,2881,1684,0.5845192641443943
534,B82001,2018,5447,2842,0.5217550945474573
535,B82002,2018,10472,5229,0.49933155080213903
536,B82004,2018,17800,10375,0.5828651685393258
537,B82005,2018,52614,24643,0.46837343672786713
538,B82007,2018,16692,8187,0.4904744787922358
539,B82008,2018,14529,7674,0.5281850092917613
540,B82010,2018,9073,4484,0.4942136007935633
541,B82011,2018,8780,2567,0.29236902050113894
542,B82012,2018,18425,9993,0.5423609226594301
543,B82013,2018,21870,9150,0.41838134430727025
544,B82014,2018,6439,2901,0.4505357974840814
545,B82016,2018,5504,2567,0.4663880813953488
546,B82017,2018,26158,6103,0.2333129444147106
547,B82018,2018,8122,4050,0.4986456537798572
548,B82019,2018,4188,1621,0.3870582617000955
549,B82020,2018,22295,8711,0.39071540704193763
550,B82021,2018,7776,3835,0.4931841563786008
551,B82022,2018,7856,4043,0.5146384928716904
552,B82023,2018,11215,5027,0.4482389656709764
553,B82024,2018,11305,4529,0.4006191950464396
554,B82025,2018,32276,16070,0.4978931713967034
555,B82026,2018,51636,28288,0.5478348439073515
556,B82027,2018,13585,6648,0.48936326831063676
557,B82028,2018,13782,7030,0.5100856189232332
558,B82029,2018,5450,2794,0.5126605504587156
559,B82030,2018,11496,5550,0.482776617954071
560,B82031,2018,12145,5185,0.4269246603540552
561,B82032,2018,16753,8009,0.4780636303945562
562,B82033,2018,18442,9816,0.5322633120052055
563,B82034,2018,9607,4637,0.4826688872696992
564,B82035,2018,5255,2284,0.4346336822074215
565,B82036,2018,10486,5165,0.49256151058554265
566,B82037,2018,18161,9047,0.49815538791916747
567,B82038,2018,22812,12279,0.5382693319305628
568,B82041,2018,25728,13712,0.5329601990049752
569,B82042,2018,12231,5671,0.4636579184040553
570,B82044,2018,7937,3856,0.4858258787955147
571,B82045,2018,8910,4749,0.532996632996633
572,B82046,2018,5043,1641,0.32540154669839383
573,B82047,2018,4275,2295,0.5368421052631579
574,B82049,2018,10425,5411,0.5190407673860912
575,B82050,2018,33447,15901,0.47540885580171616
576,B82053,2018,17469,6663,0.3814185127940924
577,B82054,2018,19702,10590,0.5375088823469698
578,B82057,2018,8107,4311,0.5317626742321451
579,B82059,2018,13370,6673,0.4991024682124159
580,B82060,2018,15158,7469,0.4927431059506531
581,B82061,2018,12403,5604,0.45182617108764006
582,B82062,2018,3657,1499,0.40989882417281925
583,B82063,2018,18419,7878,0.42771051631467505
584,B82064,2018,4537,2428,0.5351553890235838
