practice,num_gps_june,num_gps_sept
A83622,2,2
A83626,5,5
A83627,6,5
A83630,1,1
A83632,1,1
A83634,1,
A83635,2,1
A83636,4,5
A83637,1,1
A83641,1,1
A83644,2,2
A84002,5,5
A84003,6,7
A84005,6,6
A84006,6,11
A84007,9,10
A84008,4,4
A84009,17,17
A84011,6,6
A84013,6,6
A84014,9,10
A84015,2,2
A84016,6,6
A84018,7,8
A84020,8,7
A84021,4,4
A84022,8,7
A84024,10,11
A84025,3,3
A84026,6,6
A84027,3,3
A84028,14,14
A84029,4,4
A84030,9,9
A84031,6,7
A84032,2,2
A84033,5,5
A84034,7,7
A84035,4,4
A84036,16,15
A84037,5,5
A84038,6,5
A84039,3,3
A84040,3,3
A84042,2,2
A84043,9,10
A84044,6,6
A84045,4,4
A84047,6,6
A84048,,7
A84604,2,2
A84609,4,4
A84614,2,2
A84619,3,3
A85001,5,7
A85002,2,2
A85003,4,2
A85004,6,6
A85005,13,16
A85006,11,11
A85007,7,7
A85008,13,15
A85009,3,3
A85010,10,10
A85011,6,6
A85012,1,1
A85013,3,3
A85014,3,3
A85016,10,10
A85017,6,6
A85018,4,4
A85019,11,9
A85020,11,11
A85021,3,3
A85023,3,4
A85024,3,3
A85026,5,5
A85605,1,2
A85609,1,1
A85611,5,5
A85614,8,8
A85616,3,4
A85617,4,4
A85620,4,3
A86003,24,23
A86004,9,9
A86005,5,5
A86006,5,5
A86007,2,2
A86008,8,10
A86010,6,5
A86011,11,11
A86012,5,5
A86013,5,5
A86015,7,7
A86016,6,7
A86017,6,6
A86018,10,10
A86020,5,5
A86021,7,8
A86022,7,7
A86023,6,6
A86024,8,8
A86025,6,6
A86026,9,9
A86027,6,5
A86028,3,2
A86029,10,10
A86030,5,5
A86031,4,4
A86033,4,4
A86035,2,2
A86036,7,8
A86037,2,7
A86038,6,6
A86040,7,6
A86041,4,4
A86601,4,5
A87002,5,5
A87003,8,10
A87004,14,14
A87005,7,7
A87006,5,4
A87007,7,7
A87008,4,4
A87009,10,10
A87011,4,4
A87012,6,6
A87013,9,11
A87014,6,6
A87015,4,4
A87016,13,12
A87017,7,6
A87019,2,4
A87020,7,7
A87022,4,4
A87023,5,5
A87027,5,5
A87029,8,8
A87030,7,6
A87600,3,3
A87612,5,5
A87615,5,5
A88001,2,2
A88002,8,9
A88003,9,9
A88004,4,4
A88005,3,3
A88006,6,6
A88007,5,5
A88008,5,5
A88009,5,5
A88010,2,2
A88012,4,4
A88013,16,14
A88014,1,1
A88015,3,3
A88016,5,6
A88020,1,1
A88022,5,5
A88023,3,3
A88025,2,2
A88601,2,2
A88603,1,1
A88608,9,5
A88613,3,3
A88614,1,1
A89001,8,7
A89002,2,3
A89003,3,3
A89004,8,7
A89005,4,4
A89006,3,3
A89007,4,4
A89008,3,3
A89009,5,5
A89010,8,10
A89011,3,3
A89012,3,3
A89013,5,4
A89014,1,1
A89015,6,6
A89016,6,7
A89017,7,7
A89018,4,4
A89019,6,6
A89020,6,6
A89021,,
A89022,4,4
A89023,6,6
A89024,3,3
A89025,7,9
A89026,2,2
A89027,6,6
A89028,5,5
A89029,2,2
A89030,,
A89031,1,1
A89032,2,2
A89034,2,2
A89035,4,3
A89036,1,1
A89040,2,2
A89041,3,3
A89042,6,6
A89603,1,1
A89604,4,4
A89610,2,2
A89612,1,1
A89614,3,3
A89616,1,1
A89617,1,1
A89620,1,1
A89623,,
A89624,2,2
B81002,2,2
B81003,10,10
B81004,12,11
B81005,7,7
B81006,7,6
B81007,7,10
B81008,8,8
B81009,9,9
B81010,8,9
B81011,4,4
B81012,2,2
B81013,6,6
B81014,3,3
B81015,6,6
B81016,5,5
B81017,5,5
B81018,3,3
B81020,6,5
B81021,4,4
B81022,7,7
B81023,3,3
B81024,6,6
B81025,6,6
B81026,12,12
B81027,6,6
B81029,8,8
B81030,7,6
B81031,6,7
B81032,2,2
B81034,7,7
B81035,3,3
B81036,,
B81037,11,11
B81038,5,4
B81039,14,14
B81040,7,7
B81041,5,5
B81042,9,9
B81043,9,9
B81045,9,8
B81046,5,5
B81047,4,4
B81048,3,3
B81049,8,8
B81050,9,8
B81051,7,7
B81052,2,2
B81053,,
B81054,4,4
B81055,2,2
B81056,7,7
B81057,1,1
B81058,4,4
B81060,,
B81061,23,23
B81062,12,12
B81063,5,4
B81064,4,4
B81065,8,
B81066,2,2
B81068,10,10
B81069,6,6
B81070,2,2
B81074,3,3
B81075,,
B81077,5,5
B81080,1,1
B81081,2,2
B81082,4,4
B81084,3,5
B81085,,
B81087,3,3
B81088,5,5
B81089,1,1
B81090,4,4
B81091,5,5
B81092,6,6
B81094,1,1
B81095,1,1
B81097,,
B81099,5,5
B81100,1,1
B81101,7,7
B81104,3,3
B81108,2,2
B81109,6,6
B81112,2,2
B81113,5,6
B81118,5,5
B81119,3,3
B81120,2,2
B81121,2,2
B81602,2,3
B81603,4,4
B81606,2,2
B81616,1,1
B81617,5,3
B81619,2,2
B81620,5,5
B81628,3,3
B81631,1,1
B81635,2,2
B81642,2,2
B81645,2,2
B81647,1,1
B81648,1,1
B81653,2,2
B81655,2,2
B81656,4,4
B81658,3,3
B81663,1,1
B81664,1,1
B81665,2,2
B81666,1,1
B81675,,
B81677,2,2
B81682,2,2
B81683,1,1
B81688,1,1
B81692,2,2
B81693,1,1
B81697,1,1
B82001,9,10
B82002,6,5
B82004,9,9
B82005,47,47
B82007,9,9
B82008,9,9
B82010,5,5
B82011,4,4
B82012,10,10
B82013,15,15
B82014,5,5
B82016,7,7
B82017,19,20
B82018,5,5
B82019,3,3
B82020,9,8
B82021,7,7
B82022,5,5
B82023,3,3
B82024,7,7
B82025,13,13
B82026,18,18
B82027,15,16
B82028,10,11
B82029,3,3
B82030,5,5
B82031,7,7
B82032,13,11
B82033,7,7
B82034,4,5
B82035,3,3
B82036,8,9
B82037,8,6
B82038,4,4
B82041,9,9
B82042,8,9
B82044,7,7
B82045,4,4
B82046,3,3
B82047,9,9
B82049,6,6
B82050,14,15
B82053,12,12
B82054,10,10
B82057,5,5
B82059,8,9
B82060,11,11
B82061,7,7
B82062,2,2
B82063,12,10
B82064,3,3
B82066,8,8
B82067,6,6
B82068,2,2
B82069,6,5
B82071,5,5
B82072,4,4
B82073,6,6
B82074,13,13
B82075,6,6
B82077,4,4
B82078,7,6
B82079,3,3
B82080,11,11
B82081,9,9
B82083,,
B82086,,
B82088,10,8
B82091,5,5
B82092,2,2
B82097,10,10
B82098,15,15
B82100,4,4
B82101,7,7
B82103,2,2
B82104,5,5
B82105,6,6
B82106,4,4
B82609,4,5
B82611,6,5
B82619,2,2
B82622,2,2
B82628,3,2
B83002,6,6
B83005,4,4
B83006,9,10
B83007,4,4
B83008,9,9
B83009,6,6
B83010,10,10
B83011,2,2
B83012,5,5
B83013,6,6
B83014,12,12
B83015,3,4
B83016,8,8
B83017,6,6
B83018,7,10
B83019,8,8
B83020,,6
B83021,9,8
B83022,7,7
B83023,7,7
B83025,3,3
B83026,2,2
B83027,6,6
B83028,6,6
B83029,6,6
B83030,,11
B83031,4,4
B83032,1,1
B83033,10,10
B83034,3,3
B83035,3,3
B83037,8,8
B83038,11,9
B83039,13,12
B83040,8,8
B83041,6,6
B83042,7,7
B83043,2,2
B83044,5,5
B83045,3,3
B83049,3,3
B83050,7,7
B83051,3,3
B83052,6,6
B83054,3,3
B83055,26,29
B83056,8,8
B83058,3,3
B83061,2,2
B83062,9,8
B83063,9,10
B83064,10,9
B83067,6,6
B83069,4,4
B83070,2,2
B83602,1,1
B83604,2,2
B83611,2,1
B83613,1,1
B83614,2,2
B83617,3,3
B83620,2,2
B83621,6,6
B83622,,
B83624,16,20
B83626,2,2
B83627,2,3
B83628,5,5
B83629,2,2
B83638,1,1
B83641,7,7
B83642,1,1
B83653,7,11
B83657,2,2
B83659,2,1
B83660,,
B83661,1,1
B84001,3,8
B84002,2,2
B84003,5,5
B84004,11,11
B84005,6,6
B84006,7,7
B84007,8,8
B84008,9,10
B84009,7,7
B84010,5,5
B84011,7,
B84012,7,6
B84013,4,5
B84014,1,1
B84016,5,5
B84017,1,1
B84019,5,5
B84021,5,5
B84610,1,1
B84612,3,3
B84613,5,5
B84615,4,3
B84618,8,10
B84623,3,3
B85001,5,5
B85002,3,4
B85004,3,3
B85005,5,4
B85006,14,16
B85008,2,2
B85009,6,6
B85010,3,3
B85012,8,9
B85014,5,6
B85015,5,5
B85016,6,6
B85018,5,5
B85019,7,7
B85020,2,2
B85021,4,4
B85022,6,6
B85023,4,4
B85024,8,8
B85025,8,8
B85026,9,9
B85027,9,8
B85028,9,9
B85030,4,4
B85031,5,5
B85032,6,6
B85033,2,2
B85036,4,4
B85037,4,4
B85038,3,3
B85041,8,8
B85042,4,4
B85044,3,3
B85048,1,1
B85051,5,5
B85054,3,3
B85055,6,6
B85058,1,1
B85059,4,4
B85060,2,2
B85061,6,6
B85062,6,6
B85606,2,2
B85610,4,4
B85611,1,3
B85612,4,4
B85614,2,2
B85619,2,2
B85620,2,2
B85621,2,2
B85622,4,4
B85623,3,3
B85634,2,2
B85636,3,3
B85638,2,2
B85640,1,1
B85641,3,3
B85644,2,2
B85645,2,2
B85646,4,4
B85650,,
B85652,5,5
B85655,2,2
B85659,2,2
B85660,4,4
B86001,2,2
B86002,5,7
B86003,11,13
B86004,6,6
B86005,3,3
B86006,8,8
B86007,7,7
B86008,12,12
B86009,6,5
B86010,9,9
B86011,3,6
B86012,10,11
B86013,10,10
B86014,9,9
B86015,8,8
B86016,11,11
B86017,11,11
B86018,8,9
B86019,6,6
B86020,5,6
B86022,11,11
B86023,3,3
B86024,5,5
B86025,6,6
B86028,3,3
B86029,7,7
B86030,8,8
B86031,3,4
B86032,,
B86033,9,9
B86034,6,6
B86035,5,5
B86036,10,10
B86037,1,1
B86038,6,9
B86039,3,4
B86041,4,4
B86042,12,11
B86043,3,3
B86044,25,22
B86047,8,8
B86048,10,10
B86049,5,6
B86050,15,15
B86051,6,6
B86052,6,6
B86054,6,6
B86055,6,
B86056,5,5
B86057,14,13
B86058,1,1
B86059,12,12
B86060,4,4
B86061,2,2
B86062,7,7
B86064,9,9
B86066,7,7
B86067,8,8
B86068,6,6
B86069,9,7
B86070,7,6
B86071,4,4
B86074,4,4
B86075,7,7
B86077,11,10
B86081,8,8
B86086,5,5
B86089,3,3
B86092,3,3
B86093,5,5
B86094,3,3
B86095,4,4
B86096,3,3
B86100,9,10
B86101,2,2
B86103,2,2
B86104,4,4
B86106,7,6
B86108,3,3
B86109,5,5
B86110,18,18
B86623,1,2
B86625,4,4
B86633,4,3
B86638,3,3
B86642,2,2
B86643,2,2
B86648,3,3
B86654,2,2
B86655,1,1
B86658,3,3
B86666,2,2
B86667,4,4
B86669,,
B86672,3,3
B86673,4,4
B86675,2,4
B86678,2,2
B86682,,
B87001,10,9
B87002,8,8
B87003,6,8
B87004,7,7
B87005,7,8
B87006,5,4
B87007,7,9
B87008,12,12
B87009,5,6
B87011,9,11
B87012,3,3
B87013,9,9
B87015,4,4
B87016,10,10
B87017,16,18
B87018,6,9
B87019,4,4
B87020,9,8
B87021,5,5
B87022,3,4
B87023,9,11
B87025,3,3
B87026,8,6
B87027,9,9
B87028,5,5
B87030,10,10
B87031,11,10
B87032,6,6
B87033,5,3
B87036,2,2
B87039,8,7
B87040,5,3
B87041,3,4
B87042,6,5
B87044,1,1
B87600,1,2
B87602,3,3
B87604,2,2
C81001,9,9
C81002,12,12
C81003,8,8
C81004,7,7
C81005,13,14
C81006,7,7
C81007,6,6
C81008,3,2
C81009,10,9
C81010,7,7
C81012,11,11
C81013,4,3
C81014,7,7
C81015,11,11
C81016,6,7
C81017,9,
C81018,7,8
C81019,3,3
C81020,5,5
C81021,10,10
C81022,2,2
C81023,5,5
C81025,9,8
C81026,3,3
C81027,8,6
C81028,6,6
C81029,13,13
C81030,12,10
C81031,7,7
C81032,9,9
C81033,9,10
C81034,7,8
C81035,7,7
C81036,4,4
C81037,6,6
C81038,,
C81039,8,8
C81040,4,4
C81041,13,11
C81042,6,6
C81044,9,9
C81045,11,11
C81046,4,4
C81047,7,7
C81048,8,7
C81049,9,8
C81050,6,6
C81051,13,14
C81052,6,6
C81053,7,7
C81054,10,10
C81055,2,2
C81056,3,3
C81057,7,7
C81058,8,8
C81059,2,2
C81060,6,6
C81061,12,12
C81062,7,7
C81063,7,6
C81064,9,9
C81065,4,4
C81066,6,6
C81067,7,7
C81068,8,8
C81069,9,9
C81070,4,4
C81071,11,11
C81072,24,23
C81073,8,8
C81074,4,4
C81075,4,4
C81076,3,2
C81077,2,2
C81080,3,3
C81081,8,10
C81082,3,4
C81083,7,6
C81084,11,11
C81086,5,5
C81087,6,6
C81089,3,3
C81090,2,2
C81091,4,4
C81092,7,7
C81094,6,5
C81095,2,2
C81096,3,3
C81097,5,5
C81099,4,4
C81100,,
C81101,9,9
C81104,2,2
C81106,4,3
C81108,9,9
C81110,7,7
C81113,3,3
C81114,8,8
C81115,5,6
C81118,6,
C81604,2,3
C81611,3,3
C81615,2,2
C81616,2,2
C81634,3,3
C81638,4,5
C81640,2,2
C81642,3,3
C81647,5,5
C81648,1,1
C81649,6,6
C81652,3,3
C81653,4,4
C81654,4,4
C81655,3,3
C81658,,
C81660,1,1
C81661,3,3
C81662,5,5
C82001,4,4
C82002,8,8
C82003,7,7
C82005,8,5
C82007,8,8
C82008,2,2
C82009,12,12
C82010,11,11
C82011,9,8
C82012,7,7
C82013,14,14
C82014,12,8
C82015,2,2
C82016,6,6
C82017,10,10
C82018,9,7
C82019,2,2
C82020,7,7
C82021,8,7
C82022,5,5
C82023,2,2
C82024,10,10
C82025,7,8
C82026,5,5
C82027,5,5
C82028,6,8
C82029,9,6
C82030,7,7
C82031,5,5
C82032,8,8
C82033,6,6
C82034,7,7
C82035,6,6
C82036,10,8
C82037,6,6
C82038,23,21
C82039,5,
C82040,7,7
C82041,10,10
C82042,6,6
C82043,9,9
C82044,7,7
C82045,3,3
C82046,15,14
C82047,5,5
C82048,3,3
C82050,8,8
C82051,6,6
C82052,3,2
C82053,12,
C82054,5,5
C82055,7,7
C82056,10,10
C82059,1,1
C82060,2,4
C82061,8,7
C82062,4,4
C82063,5,5
C82064,9,9
C82066,14,14
C82067,7,7
C82068,14,15
C82070,6,6
C82071,6,6
C82072,3,3
C82073,6,7
C82075,9,7
C82076,3,3
C82077,11,11
C82078,8,8
C82079,7,6
C82080,3,3
C82082,6,5
C82084,1,1
C82086,5,5
C82088,3,3
C82091,4,5
C82092,2,2
C82093,6,6
C82094,,
C82095,4,4
C82096,8,8
C82097,2,2
C82098,5,5
C82099,3,3
C82100,6,6
C82102,1,2
C82103,7,6
C82105,1,1
C82107,4,4
C82109,13,13
C82111,5,5
C82112,5,4
C82114,3,3
C82116,2,2
C82119,3,3
C82120,3,2
C82121,6,10
C82122,3,3
C82123,3,3
C82124,12,12
C82600,1,1
C82610,2,2
C82611,4,4
C82614,1,1
C82620,,
C82623,2,2
C82624,1,2
C82626,1,1
C82627,4,4
C82628,3,3
C82631,7,7
C82634,3,3
C82639,2,2
C82642,4,4
C82643,8,8
C82644,1,1
C82649,3,3
C82650,3,3
C82651,2,2
C82653,1,1
C82656,,
C82657,2,2
C82659,3,3
C82660,4,4
C82662,4,4
C82663,1,2
C82667,3,3
C82669,1,1
C82671,4,4
C82676,4,4
C82678,2,2
C82680,1,1
C83001,5,5
C83002,4,4
C83003,6,8
C83004,4,4
C83005,5,5
C83006,2,2
C83007,10,10
C83008,3,3
C83009,5,5
C83010,5,5
C83011,5,5
C83013,2,2
C83014,6,6
C83015,4,5
C83016,4,4
C83018,4,5
C83019,10,11
C83020,7,7
C83022,6,6
C83023,4,4
C83024,4,3
C83025,7,7
C83026,13,13
C83027,4,4
C83028,4,4
C83029,4,4
C83030,2,3
C83031,8,8
C83032,4,4
C83033,3,3
C83035,10,9
C83036,4,4
C83037,6,6
C83038,7,7
C83039,4,4
C83040,5,5
C83041,2,2
C83042,7,7
C83043,5,5
C83044,4,4
C83045,,7
C83046,2,2
C83047,4,4
C83048,6,6
C83049,7,6
C83051,4,4
C83052,1,4
C83053,1,1
C83054,7,6
C83055,4,4
C83056,6,6
C83057,2,2
C83058,4,6
C83059,4,4
C83060,3,3
C83061,6,6
C83062,1,1
C83063,8,8
C83064,3,3
C83065,3,3
C83067,4,4
C83068,2,2
C83071,4,4
C83072,6,6
C83073,4,4
C83074,3,3
C83075,3,3
C83078,4,4
C83079,6,4
C83080,2,2
C83082,9,5
C83083,5,4
C83085,7,9
C83605,3,3
C83611,4,4
C83613,2,2
C83614,1,4
C83617,5,5
C83626,3,3
C83628,4,4
C83631,2,2
C83633,,
C83634,5,5
C83635,4,4
C83637,2,2
C83641,3,3
C83643,3,3
C83649,3,3
C83650,3,3
C83652,,
C83653,2,2
C84001,18,
C84002,7,7
C84003,4,4
C84004,,3
C84005,13,10
C84008,3,3
C84009,8,7
C84010,5,5
C84011,7,7
C84012,7,7
C84013,11,11
C84014,9,9
C84016,7,9
C84017,17,17
C84018,15,13
C84019,7,7
C84020,4,4
C84021,7,7
C84023,14,14
C84024,11,11
C84025,6,5
C84026,8,8
C84028,5,5
C84029,10,10
C84030,7,7
C84031,1,1
C84032,8,9
C84033,3,3
C84034,6,5
C84035,8,8
C84036,6,6
C84037,8,8
C84039,8,8
C84042,8,8
C84043,5,6
C84044,7,8
C84045,4,4
C84046,7,10
C84047,10,9
C84048,9,9
C84049,8,7
C84051,11,11
C84052,2,2
C84053,,13
C84055,5,5
C84057,1,1
C84059,7,7
C84060,6,6
C84061,2,2
C84063,6,6
C84064,3,3
C84065,5,5
C84066,7,7
C84067,2,2
C84069,6,6
C84072,9,9
C84074,3,3
C84076,1,1
C84077,8,7
C84078,14,13
C84080,8,9
C84081,4,4
C84084,7,7
C84085,7,7
C84086,6,6
C84087,4,4
C84090,6,6
C84091,8,7
C84092,3,3
C84094,10,10
C84095,5,5
C84096,4,5
C84101,3,
C84103,3,4
C84104,2,2
C84105,9,9
C84106,6,6
C84107,6,6
C84112,3,3
C84113,10,10
C84114,5,5
C84115,4,2
C84116,9,6
C84117,6,6
C84120,17,16
C84122,11,10
C84123,1,1
C84124,7,7
C84125,5,5
C84127,,2
C84129,9,8
C84131,7,7
C84133,3,3
C84135,,
C84136,5,4
C84138,,
C84140,,
C84142,2,2
C84144,,
C84150,3,3
C84151,1,1
C84602,1,1
C84605,16,12
C84613,3,3
C84619,3,3
C84621,3,3
C84624,4,4
C84628,4,5
C84629,2,2
C84637,3,3
C84646,2,2
C84647,1,1
C84650,1,1
C84654,,
C84656,2,2
C84658,3,3
C84660,3,4
C84664,4,3
C84667,2,2
C84672,1,1
C84676,1,1
C84679,1,1
C84680,,
C84682,2,1
C84683,8,8
C84688,,3
C84691,7,7
C84692,2,2
C84693,,
C84694,2,2
C84695,2,2
C84696,1,1
C84698,,
C84703,5,5
C84704,1,1
C84705,3,3
C84709,5,5
C84710,2,2
C84712,2,2
C84714,2,2
C84717,4,5
C85001,2,2
C85003,8,10
C85004,7,9
C85005,2,2
C85006,3,2
C85007,9,9
C85008,14,15
C85009,4,4
C85010,12,14
C85013,2,3
C85014,1,6
C85015,,
C85016,10,11
C85017,4,5
C85018,5,6
C85019,1,1
C85020,11,12
C85022,9,9
C85023,7,7
C85024,2,2
C85026,4,5
C85028,2,2
C85030,3,3
C85033,4,4
C85614,1,1
C85619,4,4
C85622,1,1
C85623,3,3
C85628,1,1
C86001,4,4
C86002,5,5
C86003,6,6
C86005,4,4
C86006,,
C86007,9,9
C86009,6,4
C86011,7,7
C86012,3,3
C86013,6,6
C86014,4,4
C86015,4,4
C86016,4,4
C86017,6,6
C86018,2,2
C86019,16,16
C86020,6,6
C86021,3,3
C86022,5,5
C86023,7,7
C86024,10,10
C86025,1,1
C86026,2,2
C86029,8,8
C86030,1,1
C86032,2,2
C86033,3,3
C86034,,
C86037,11,11
C86038,8,8
C86039,3,3
C86605,3,3
C86606,2,2
C86609,2,2
C86611,6,6
C86613,3,3
C86614,5,5
C86616,,
C86621,2,2
C86623,1,1
C86625,1,1
C86626,1,1
C87002,20,20
C87003,3,3
C87004,10,10
C87005,13,14
C87006,1,1
C87007,7,7
C87008,9,8
C87009,6,6
C87010,1,1
C87012,11,10
C87013,5,5
C87014,5,5
C87015,5,5
C87016,7,7
C87017,6,6
C87018,4,5
C87020,8,8
C87022,6,6
C87023,1,1
C87024,2,2
C87029,11,9
C87030,9,9
C87031,1,1
C87603,2,2
C87604,1,1
C87606,2,2
C87608,3,3
C87616,1,1
C87620,3,3
C87621,2,2
C87622,5,5
C88005,7,7
C88006,4,4
C88007,15,15
C88008,12,12
C88009,6,6
C88010,18,16
C88011,6,6
C88014,5,5
C88015,12,14
C88016,8,8
C88018,5,5
C88019,7,6
C88020,5,6
C88021,3,3
C88022,3,3
C88023,5,5
C88024,3,3
C88025,7,7
C88026,8,8
C88027,8,8
C88028,7,7
C88030,4,4
C88031,8,8
C88032,4,4
C88033,4,4
C88034,8,7
C88035,12,12
C88036,6,6
C88037,6,6
C88038,11,11
C88039,8,7
C88040,5,5
C88041,9,9
C88042,4,4
C88043,9,9
C88044,6,5
C88045,9,9
C88046,2,2
C88047,6,6
C88048,4,4
C88049,6,6
C88050,3,3
C88051,8,8
C88052,6,6
C88053,2,2
C88054,7,6
C88057,1,1
C88059,1,1
C88060,3,3
C88062,3,3
C88068,3,3
C88069,13,13
C88070,10,10
C88072,15,16
C88073,7,6
C88074,4,4
C88076,7,7
C88077,3,3
C88078,7,7
C88079,7,6
C88082,2,2
C88083,3,3
C88084,2,2
C88085,10,10
C88086,3,3
C88087,11,11
C88088,7,7
C88090,4,4
C88091,2,2
C88092,7,7
C88095,8,7
C88096,7,7
C88622,1,1
C88627,11,11
C88631,1,1
C88643,2,2
C88647,4,4
C88648,7,9
C88652,4,4
C88655,1,1
C88656,2,2
D81001,9,9
D81002,8,8
D81003,10,10
D81004,7,8
D81005,8,8
D81007,4,2
D81008,5,5
D81009,8,8
D81010,7,7
D81011,8,8
D81012,11,11
D81013,12,12
D81014,12,12
D81015,3,3
D81016,8,8
D81017,5,5
D81018,5,5
D81019,1,1
D81020,6,7
D81021,6,6
D81022,6,7
D81023,5,5
D81024,5,5
D81025,7,7
D81026,20,18
D81027,6,6
D81028,6,8
D81029,8,8
D81030,6,6
D81031,10,10
D81032,7,9
D81033,5,4
D81034,17,17
D81035,7,8
D81036,3,3
D81037,6,6
D81038,7,7
D81039,5,5
D81040,1,1
D81041,4,4
D81042,4,
D81043,,
D81044,13,10
D81045,6,6
D81046,12,12
D81047,3,3
D81049,7,7
D81050,7,8
D81051,7,7
D81052,7,5
D81053,4,4
D81054,11,13
D81055,8,8
D81056,6,5
D81057,9,9
D81058,4,4
D81059,6,6
D81060,5,5
D81061,10,10
D81062,6,6
D81063,4,4
D81064,3,3
D81065,5,4
D81066,7,7
D81070,8,8
D81071,5,5
D81073,4,4
D81074,3,3
D81078,2,2
D81081,2,3
D81082,3,3
D81084,4,4
D81085,5,6
D81086,6,6
D81087,5,5
D81602,3,3
D81603,3,3
D81605,2,2
D81606,3,3
D81607,2,2
D81611,,
D81612,3,3
D81615,4,4
D81616,2,2
D81618,5,4
D81619,5,4
D81622,7,7
D81623,2,2
D81624,4,4
D81625,10,10
D81629,2,2
D81630,6,6
D81631,6,5
D81633,7,7
D81637,6,6
D81645,1,1
D82001,12,12
D82002,9,8
D82003,3,3
D82004,5,5
D82005,8,7
D82006,7,7
D82007,15,22
D82008,9,7
D82009,5,7
D82010,3,3
D82011,12,12
D82012,8,8
D82013,2,2
D82015,,
D82016,10,7
D82017,8,8
D82018,4,4
D82019,8,8
D82020,7,7
D82022,4,4
D82023,7,7
D82024,3,3
D82025,6,6
D82026,6,6
D82027,6,6
D82028,5,5
D82029,9,9
D82030,4,4
D82031,5,5
D82032,9,5
D82034,10,8
D82035,7,7
D82036,7,7
D82037,7,7
D82038,2,2
D82039,8,8
D82040,11,11
D82041,9,11
D82042,6,7
D82043,5,5
D82044,20,20
D82045,15,15
D82046,1,1
D82047,8,8
D82048,6,6
D82049,,
D82050,3,3
D82051,12,11
D82053,5,5
D82054,11,11
D82056,4,5
D82057,7,7
D82058,11,11
D82059,6,6
D82060,3,4
D82062,6,6
D82063,11,11
D82064,11,11
D82065,,
D82066,7,8
D82067,8,8
D82068,5,6
D82069,2,2
