practice,num_gps_june,num_gps_sept
A81001,2,
A81002,12,12
A81004,2,3
A81005,8,9
A81006,8,8
A81007,9,10
A81009,5,5
A81011,5,5
A81012,2,2
A81013,4,4
A81014,3,3
A81015,2,2
A81016,6,5
A81017,10,9
A81018,4,4
A81019,5,6
A81020,2,4
A81021,7,8
A81022,5,5
A81023,7,7
A81025,2,2
A81026,12,13
A81027,6,6
A81029,4,4
A81030,8,10
A81031,9,10
A81032,9,8
A81033,4,4
A81034,,11
A81035,5,5
A81036,9,11
A81037,4,4
A81038,2,2
A81039,7,8
A81040,8,5
A81041,5,5
A81042,5,6
A81043,7,9
A81044,6,8
A81045,2,2
A81046,7,7
A81048,7,7
A81049,2,2
A81051,4,8
A81052,4,4
A81053,3,3
A81054,4,4
A81056,2,2
A81057,6,6
A81058,5,5
A81060,4,4
A81063,2,2
A81064,3,3
A81065,3,3
A81066,2,3
A81067,5,7
A81070,1,1
A81602,,1
A81608,2,2
A81609,,
A81610,4,4
A81611,7,8
A81612,2,2
A81618,6,6
A81621,3,3
A81622,3,3
A81629,2,2
A81630,3,4
A81631,4,4
A81632,6,6
A81633,1,2
A81634,1,1
A82003,8,8
A82004,,
A82005,4,4
A82006,4,4
A82007,6,6
A82008,7,7
A82009,7,7
A82010,4,4
A82012,12,12
A82013,8,8
A82014,5,6
A82015,2,1
A82016,,
A82018,8,9
A82019,7,7
A82020,8,8
A82021,9,11
A82022,5,5
A82023,6,6
A82024,5,7
A82025,7,7
A82026,7,7
A82027,10,10
A82028,7,7
A82029,4,4
A82030,7,7
A82031,3,3
A82032,10,11
A82033,6,6
A82034,6,6
A82035,13,12
A82036,6,6
A82037,3,3
A82038,3,3
A82039,9,9
A82041,1,1
A82044,7,7
A82045,,
A82046,3,3
A82047,8,8
A82048,1,3
A82049,3,3
A82050,3,3
A82053,4,4
A82055,5,5
A82058,,1
A82060,3,3
A82062,4,4
A82064,3,3
A82065,2,2
A82068,3,3
A82070,6,6
A82071,2,2
A82072,5,5
A82074,11,11
A82075,8,9
A82077,4,4
A82608,5,5
A82613,2,2
A82617,2,2
A82620,3,3
A82621,1,1
A82623,1,1
A82629,2,2
A82631,3,4
A82646,3,3
A82647,4,4
A82650,3,3
A82651,2,2
A82654,4,4
A83001,5,5
A83003,7,8
A83004,2,2
A83005,8,8
A83006,6,6
A83007,7,7
A83008,4,3
A83009,6,6
A83010,7,8
A83011,10,9
A83012,,8
A83013,5,5
A83014,4,6
A83015,6,6
A83016,,
A83017,3,3
A83018,12,12
A83019,1,1
A83020,7,8
A83021,9,8
A83022,18,19
A83023,3,6
A83024,5,5
A83025,10,9
A83026,7,7
A83027,3,3
A83028,7,5
A83029,4,6
A83030,9,9
A83031,6,6
A83032,2,2
A83033,7,6
A83034,8,8
A83035,9,12
A83036,8,8
A83037,14,16
A83038,4,4
A83040,7,7
A83041,6,7
A83042,3,2
A83043,2,2
A83044,5,5
A83045,4,8
A83046,11,12
A83047,14,15
A83048,4,4
A83049,7,8
A83050,12,15
A83051,7,7
A83052,6,6
A83054,10,10
A83055,4,6
A83057,3,3
A83060,3,3
A83061,4,3
A83066,4,4
A83070,3,3
A83071,2,2
A83072,3,3
A83073,2,2
A83074,6,6
A83075,1,3
A83076,3,2
A83603,3,3
A83610,1,1
A83616,3,3
A83617,1,1
A83618,4,4
A83619,2,2
