,year,trimethoprim_items,nitrofurantoin_items
0,1998,2722600.0,265700.0
1,1999,2714200.0,258900.0
2,2000,2740223.0,272818.0
3,2001,2752221.0,286511.0
4,2002,2732271.0,302234.0
5,2003,2771231.0,338777.0
6,2004,2815030.0,375644.0
7,2005,2850261.0,408811.0
8,2006,2921266.0,467670.0
9,2007,3039029.0,540310.0
10,2008,3203312.0,701738.0
11,2009,3429589.0,954886.0
12,2010,3547463.0,1187215.0
13,2011,3665914.0,1606006.0
14,2012,3843143.0,1918159.0
15,2013,3904287.0,2068476.0
16,2014,4002470.0,2158876.0
17,2015,3784040.0,2386519.0
18,2016,3537492.0,2666802.0
19,2017,2767120.0,3366447.0
