,month,highest_10_trimeth_percent
0,2014-01-01,70.53523333823026
1,2014-02-01,70.89522733691048
2,2014-03-01,70.43533389687235
3,2014-04-01,71.30034780657468
4,2014-05-01,70.8535480087434
5,2014-06-01,71.00761975808601
6,2014-07-01,70.92016510621161
7,2014-08-01,70.2143268878059
8,2014-09-01,71.00192203439948
9,2014-10-01,70.97945532728141
10,2014-11-01,71.04793873911676
11,2014-12-01,69.10528671606903
12,2015-01-01,69.47196404861607
13,2015-02-01,68.78546486250545
14,2015-03-01,68.52848583324871
15,2015-04-01,69.20544337137841
16,2015-05-01,68.45761667320298
17,2015-06-01,68.97073399760029
18,2015-07-01,69.11325301204819
19,2015-08-01,68.86951040134483
20,2015-09-01,69.02749441367921
21,2015-10-01,69.27572331864343
22,2015-11-01,69.02791625124625
23,2015-12-01,68.95563726660619
24,2016-01-01,69.59746304536853
25,2016-02-01,69.05527161599663
26,2016-03-01,68.43477388950166
27,2016-04-01,68.52075775896816
28,2016-05-01,67.6710710065528
29,2016-06-01,67.61943238056762
30,2016-07-01,67.73585866300087
31,2016-08-01,67.05684816502759
32,2016-09-01,67.64539808018068
33,2016-10-01,67.69614801037639
34,2016-11-01,67.50251232234292
35,2016-12-01,67.05304518664047
36,2017-01-01,67.71669045626815
37,2017-02-01,66.62206283787401
38,2017-03-01,66.32862951447022
39,2017-04-01,64.45365742844162
40,2017-05-01,63.94297815195497
41,2017-06-01,63.50222577902266
42,2017-07-01,62.74597718328102
43,2017-08-01,61.77722511837008
44,2017-09-01,62.17781639154359
45,2017-10-01,60.038031851675775
46,2017-11-01,58.444400238710955
