,pct,trimethoprim_percent
0,00C,71.26816380449141
1,00D,67.90105022149221
2,00J,69.13032291264633
3,00K,68.1065700982928
4,00L,62.76095797559873
5,00M,67.71758436944938
6,00N,67.54172135758485
7,00P,71.91351109119427
8,00Q,70.22478663300878
9,00R,68.64942528735632
10,00T,62.44818720814314
11,00V,62.31109044408277
12,00W,64.75409836065575
13,00X,78.86280908748587
14,00Y,64.34426229508196
15,01A,65.00087062510883
16,01C,64.88247204859583
17,01D,64.50499676468475
18,01E,84.67580881373985
19,01F,65.909604519774
20,01G,54.79987191802754
21,01H,73.43316964068653
22,01J,67.58737915648571
23,01K,64.15601541894908
24,01N,52.307692307692314
25,01R,65.13683313811096
26,01T,65.83894500561168
27,01V,69.94258245426626
28,01W,67.26003304375632
29,01X,64.97781928554751
30,01Y,59.59867963863794
31,02A,66.26059322033898
32,02D,54.98484037809881
33,02E,70.19000184467811
34,02F,72.08485630330395
35,02G,62.48508607465485
36,02H,53.0262720319255
37,02M,73.03781560607791
38,02N,60.482553109679905
39,02P,46.70186459934505
40,02Q,57.90341931613677
41,02R,65.50825369244136
42,02T,61.6334761784724
43,02V,65.41264058292413
44,02W,64.07141542425916
45,02X,68.03561491374514
46,02Y,70.25805344166619
47,03A,66.96184189341491
48,03C,61.13666228646518
49,03D,69.76629766297663
50,03E,64.05790545125537
51,03F,71.62370411880077
52,03G,65.82319440849082
53,03H,72.15946843853821
54,03J,69.15716218828533
55,03K,76.54913144931294
56,03L,48.86178285227998
57,03M,66.22326551904017
58,03N,75.75336289171113
59,03Q,66.5815734509167
60,03R,65.36957821627341
61,03T,70.16123810140516
62,03V,63.86699507389163
63,03W,68.34175786425872
64,03X,65.08798609602434
65,03Y,65.49264378065092
66,04C,71.80224202356999
67,04D,65.13636727185475
68,04E,64.18544194107453
69,04F,60.80062386275019
70,04G,66.75608104588781
71,04H,66.5277571067123
72,04J,63.83642890588419
73,04K,66.33803767978932
74,04L,69.3934187921237
75,04M,64.57105435494434
76,04N,66.27868307283006
77,04Q,70.96910112359551
78,04R,65.02541816989176
79,04V,68.15582905320284
80,04X,57.363699102829536
81,04Y,71.87817258883248
82,05A,63.84957703564126
83,05C,43.501054191122
84,05D,68.78845243729295
85,05F,65.8108346567849
86,05G,71.34910686305234
87,05H,64.06763285024154
88,05J,69.13793103448276
89,05L,64.42557108191784
90,05N,72.43874702780937
91,05P,61.645648450879655
92,05Q,67.95851089491035
93,05R,61.092926490984745
94,05T,66.03936837551375
95,05V,67.25108915099352
96,05W,70.93705727585508
97,05X,73.89229013178375
98,05Y,66.59490282788316
99,06A,70.26619789050729
100,06D,68.61074705111402
101,06F,39.861202365308806
102,06H,64.97356882350532
103,06K,58.71303314013969
104,06L,69.66560509554141
105,06M,67.22475300242562
106,06N,60.42136715653393
107,06P,48.23931009701761
108,06Q,66.93588413120968
109,06T,66.18110051219398
110,06V,72.16409918444683
111,06W,73.57741127709178
112,06Y,70.02174306939662
113,07G,74.33320448395826
114,07H,63.66417819116387
115,07J,61.775409409929814
116,07K,67.52731627001945
117,07L,70.4944891271969
118,07M,61.25798366884955
119,07N,67.02548145656378
120,07P,59.91749358902888
121,07Q,65.77590248476325
122,07R,56.59284058717486
123,07T,56.83563748079877
124,07V,66.9755633132339
125,07W,55.979026451713885
126,07X,67.00289448294009
127,07Y,63.59268807124443
128,08A,64.17072946371079
129,08C,58.51771623085254
130,08D,62.798516114073735
131,08E,61.204170083167384
132,08F,67.98455598455598
133,08G,28.568847126852187
134,08H,59.04376422969896
135,08J,66.250164408786
136,08K,68.46371347785109
137,08L,35.11747041158806
138,08M,69.78959025470654
139,08N,68.81957773512475
140,08P,62.69009800608314
141,08Q,69.00673009979114
142,08R,66.75710594315245
143,08T,66.67817282246001
144,08V,63.968921981223694
145,08W,67.32257351315498
146,08X,67.03260146373918
147,08Y,55.47114487538318
148,09A,51.66172569823685
149,09C,66.60560800338172
150,09D,63.39649624597783
151,09E,71.17995649238617
152,09F,66.91915033755969
153,09G,65.74326227814818
154,09H,61.62058102905146
155,09J,63.36172559593113
156,09L,64.01960784313725
157,09N,64.76006263240306
158,09P,59.90018000327279
159,09W,62.800480769230774
160,09X,59.961997828447345
161,09Y,59.558867009638696
162,10A,61.429794520547944
163,10C,64.09431939978563
164,10D,70.93239227340268
165,10E,69.85395425737117
166,10G,65.09673326990169
167,10H,61.99707388441843
168,10J,57.48788301979791
169,10K,67.52546434991012
170,10L,71.85131721400217
171,10M,55.34458509142054
172,10N,53.25779036827195
173,10Q,53.47712314645944
174,10R,73.71939651278345
175,10T,65.65240737426168
176,10V,65.14285714285715
177,10W,60.523682454969986
178,10X,65.11158049407659
179,10Y,61.56669790690409
180,11A,68.04782129935504
181,11C,68.57323232323232
182,11D,54.137180185084375
183,11E,57.03647287805703
184,11H,64.71538652746706
185,11J,68.3149345700786
186,11M,66.13563032956903
187,11N,71.28149257796541
188,11T,63.25234676974048
189,11X,64.9425287356322
190,12A,68.10464184216279
191,12D,56.891025641025635
192,12F,76.93467075515825
193,13P,61.90906742443813
194,13T,68.56948570201496
195,14L,63.752929822142555
196,99A,72.85910683400594
197,99C,66.68964091253706
198,99D,60.64801993907505
199,99E,71.84723304754482
200,99F,74.58630136986302
201,99G,75.32226461792307
202,99H,64.0754196943122
203,99J,64.97873567361061
204,99K,63.042620363062355
205,99M,58.24156916724019
206,99N,57.240625
207,99P,73.18223696333149
208,99Q,70.65687613843352
