,period,pct,trimethoprim_items,nitrofurantoin_items,all_items,trimethoprim_percent
0,2011-01-01,00C,731,258,989,0.7391304347826086
1,2011-01-01,00D,2050,751,2801,0.7318814709032488
2,2011-01-01,00F,26,11,37,0.7027027027027027
3,2011-01-01,00J,1566,639,2205,0.710204081632653
4,2011-01-01,00K,2065,805,2870,0.7195121951219512
5,2011-01-01,00L,2272,1285,3557,0.6387405116671352
6,2011-01-01,00M,1730,582,2312,0.7482698961937716
7,2011-01-01,00N,1059,512,1571,0.6740929344366645
8,2011-01-01,00P,1716,450,2166,0.7922437673130194
9,2011-01-01,00Q,947,233,1180,0.8025423728813559
10,2011-01-01,00R,1123,197,1320,0.8507575757575757
11,2011-01-01,00T,1627,651,2278,0.7142230026338894
12,2011-01-01,00V,1205,452,1657,0.7272178636089318
13,2011-01-01,00W,53,30,83,0.6385542168674698
14,2011-01-01,00X,826,115,941,0.8777895855472901
15,2011-01-01,00Y,1570,567,2137,0.7346747777257838
16,2011-01-01,01A,2327,804,3131,0.7432130309805174
17,2011-01-01,01C,1280,513,1793,0.7138873396542108
18,2011-01-01,01D,1489,442,1931,0.7711030554117038
19,2011-01-01,01E,902,89,991,0.9101917255297679
20,2011-01-01,01F,789,274,1063,0.742238946378175
21,2011-01-01,01G,1076,891,1967,0.547025927808846
22,2011-01-01,01H,2166,385,2551,0.849078792630341
23,2011-01-01,01J,926,299,1225,0.7559183673469387
24,2011-01-01,01K,1978,623,2601,0.760476739715494
25,2011-01-01,01N,21,8,29,0.7241379310344828
26,2011-01-01,01R,1016,414,1430,0.7104895104895105
27,2011-01-01,01T,784,288,1072,0.7313432835820896
28,2011-01-01,01V,743,192,935,0.7946524064171123
29,2011-01-01,01W,1710,536,2246,0.761353517364203
30,2011-01-01,01X,1429,480,1909,0.748559455212153
31,2011-01-01,01Y,1424,343,1767,0.8058856819468024
32,2011-01-01,02A,1310,511,1821,0.7193849533223503
33,2011-01-01,02D,571,268,839,0.6805721096543504
34,2011-01-01,02E,1036,312,1348,0.7685459940652819
35,2011-01-01,02F,1560,392,1952,0.7991803278688525
36,2011-01-01,02G,569,139,708,0.8036723163841808
37,2011-01-01,02H,1738,1024,2762,0.6292541636495294
38,2011-01-01,02M,809,205,1014,0.7978303747534516
39,2011-01-01,02N,1047,349,1396,0.75
40,2011-01-01,02P,1166,725,1891,0.6166049709148599
41,2011-01-01,02Q,521,138,659,0.7905918057663126
42,2011-01-01,02R,1867,433,2300,0.8117391304347826
43,2011-01-01,02T,883,295,1178,0.7495755517826825
44,2011-01-01,02V,1227,411,1638,0.7490842490842491
45,2011-01-01,02W,582,109,691,0.8422575976845152
46,2011-01-01,02X,1354,325,1679,0.806432400238237
47,2011-01-01,02Y,1760,519,2279,0.7722685388328214
48,2011-01-01,03A,1101,260,1361,0.8089639970609845
49,2011-01-01,03C,1838,725,2563,0.7171283651970347
50,2011-01-01,03D,792,213,1005,0.7880597014925373
51,2011-01-01,03E,831,304,1135,0.73215859030837
52,2011-01-01,03F,1561,277,1838,0.8492927094668118
53,2011-01-01,03G,1481,434,1915,0.7733681462140992
54,2011-01-01,03H,1186,327,1513,0.7838730998017185
55,2011-01-01,03J,941,203,1144,0.8225524475524476
