,pct,ccg_pre,ccg_post,ccg_qp
0,00C,71.26816380449141,69.89971795675338,46.695906432748544
1,00D,67.90105022149221,67.89307411907654,36.59799260433175
2,00F,,,
3,00J,69.13032291264633,69.56606596838202,42.165818283243844
4,00K,68.1065700982928,67.90047924951566,46.33013122370817
5,00L,62.76095797559873,62.5690418587666,39.359787858698745
6,00M,67.71758436944938,68.41305626347774,46.80110497237569
7,00N,67.54172135758485,66.42261353104728,50.0
8,00P,71.91351109119427,71.0950689875997,46.98795180722892
9,00Q,70.22478663300878,70.5762059424997,41.24854142357059
10,00R,68.64942528735632,63.90157517009973,47.63217953594523
11,00T,62.44818720814314,63.02005635670479,56.15944137329066
12,00V,62.31109044408277,61.527012948355406,38.62169835670653
13,00W,64.75409836065575,67.47967479674797,
14,00X,78.86280908748587,75.99412700354827,53.00652846180277
15,00Y,64.34426229508196,62.694864048338374,44.955859969558595
16,01A,65.00087062510883,63.41769957527954,41.72665393467509
17,01C,64.88247204859583,64.27575954659481,31.09498537853352
18,01D,64.50499676468475,63.59501819199552,42.07058007456863
19,01E,84.67580881373985,82.4260042283298,53.36110798333521
20,01F,65.909604519774,68.8850174216028,46.994396332144674
21,01G,54.79987191802754,49.555927403784274,42.305379218175744
22,01H,73.43316964068653,71.91160547297962,50.002532030181804
23,01J,67.58737915648571,67.82386072708654,44.02035623409669
24,01K,64.15601541894908,62.633379282176946,42.573163997791276
25,01N,52.307692307692314,56.75675675675676,
26,01R,65.13683313811096,62.77223473876193,33.793103448275865
27,01T,65.83894500561168,64.3765903307888,39.29110105580694
28,01V,69.94258245426626,67.17404865876482,42.38296746892357
29,01W,67.26003304375632,66.71442215854823,53.42704460966543
30,01X,64.97781928554751,65.37417018708508,47.07236368867789
31,01Y,59.59867963863794,58.73441108545035,24.222883597883598
32,02A,66.26059322033898,67.00231687756192,44.26958604173794
33,02D,54.98484037809881,53.13459801264679,30.54054054054054
34,02E,70.19000184467811,65.43630338733432,41.970271058000584
35,02F,72.08485630330395,71.82435964453737,40.80196975026381
36,02G,62.48508607465485,64.25722831505483,50.579734498403624
37,02H,53.0262720319255,50.3827985013846,40.84316484468016
38,02M,73.03781560607791,70.3150730047206,42.14255499153977
39,02N,60.482553109679905,59.04669260700389,38.58960763520678
40,02P,46.70186459934505,43.22896023252741,33.840255591054316
41,02Q,57.90341931613677,58.2441113490364,36.56374649135766
42,02R,65.50825369244136,63.067711629265446,56.60387842418181
43,02T,61.6334761784724,61.681187479832204,47.96168958742633
44,02V,65.41264058292413,63.46137959520859,30.046598322460394
45,02W,64.07141542425916,62.5230882896195,54.51242829827916
46,02X,68.03561491374514,67.9024116657319,45.07483466759485
47,02Y,70.25805344166619,68.83006461852398,59.90410882533311
48,03A,66.96184189341491,64.93374902572097,53.806874476030785
49,03C,61.13666228646518,58.58763380731746,27.13467601827424
50,03D,69.76629766297663,68.87798896382587,35.41799617102744
51,03E,64.05790545125537,62.51005631536605,45.83546244251405
52,03F,71.62370411880077,73.7846852600951,62.020145101077695
53,03G,65.82319440849082,62.23383909218412,29.541979174251804
54,03H,72.15946843853821,72.23524997655004,68.72513922036595
55,03J,69.15716218828533,67.23044397463002,54.79277155765075
56,03K,76.54913144931294,71.40615570307786,61.91884538033834
57,03L,48.86178285227998,44.880594880594884,31.05590062111801
58,03M,66.22326551904017,66.62256912289986,57.13368434570438
59,03N,75.75336289171113,73.1325257109395,50.513066082911486
60,03Q,66.5815734509167,66.63520790540164,52.75693497044111
61,03R,65.36957821627341,64.65151247125421,42.63987721501326
62,03T,70.16123810140516,67.22418581166372,63.854805725971374
63,03V,63.86699507389163,65.44256120527307,44.95059050373584
64,03W,68.34175786425872,66.67815130186543,42.43196004993758
65,03X,65.08798609602434,58.89200258676439,24.727088093424726
66,03Y,65.49264378065092,65.47845142439736,33.93921334922527
67,04C,71.80224202356999,73.00789662598707,49.84287386776758
68,04D,65.13636727185475,63.60987578592241,60.37584966013595
69,04E,64.18544194107453,63.94074853186081,26.995457495133028
70,04F,60.80062386275019,60.0711743772242,42.110648748209286
71,04G,66.75608104588781,63.76657824933687,39.42225164913313
72,04H,66.5277571067123,62.9757785467128,28.470658862374304
73,04J,63.83642890588419,61.98294916324597,31.560246629741872
74,04K,66.33803767978932,64.20450896011305,23.67207156835337
75,04L,69.3934187921237,66.5788433671453,19.463470319634705
76,04M,64.57105435494434,60.31375874496502,21.631029338637493
77,04N,66.27868307283006,65.79426867649495,20.01042209484106
78,04Q,70.96910112359551,65.1985274783066,58.06235782149069
79,04R,65.02541816989176,60.54128738621587,30.174933113809427
