,pct,ccg_pre,ccg_post,ccg_qp
80,04V,68.15582905320284,68.0404645934807,45.28767761472164
81,04X,57.363699102829536,53.53629976580796,33.82287494437028
82,04Y,71.87817258883248,71.46190642865477,50.0
83,05A,63.84957703564126,63.52679104180755,38.11975188826533
84,05C,43.501054191122,42.16519468977393,31.669258683255574
85,05D,68.78845243729295,69.050568757743,61.872598113427266
86,05F,65.8108346567849,64.71615720524018,34.35415935415935
87,05G,71.34910686305234,70.74958440380837,55.37828472422754
88,05H,64.06763285024154,64.9057654813852,42.12565734846388
89,05J,69.13793103448276,66.98637865720964,45.31909610131611
90,05L,64.42557108191784,60.98337312057629,44.452294046077164
91,05N,72.43874702780937,68.86132315521628,54.85550073198503
92,05P,61.645648450879655,60.15299026425591,32.699366032699366
93,05Q,67.95851089491035,66.52296598212885,52.095245554946345
94,05R,61.092926490984745,60.21637984191939,34.221394915944394
95,05T,66.03936837551375,63.92857142857142,43.611024115252114
96,05V,67.25108915099352,67.4738994726079,48.21751622858359
97,05W,70.93705727585508,70.44328718404674,55.00031627553925
98,05X,73.89229013178375,71.7565074810412,45.28383805492239
99,05Y,66.59490282788316,65.60912981455064,43.25101190825365
100,06A,70.26619789050729,68.71698637753684,46.58333957039144
101,06D,68.61074705111402,66.7733595962083,40.55935515388373
102,06F,39.861202365308806,39.498927429473426,27.448102327531977
103,06H,64.97356882350532,64.66495418781982,54.75155714886544
104,06K,58.71303314013969,57.93918440218777,39.61097338382325
105,06L,69.66560509554141,70.5644393679802,53.2737014166364
106,06M,67.22475300242562,68.07574832009774,50.05078568441178
107,06N,60.42136715653393,59.52828526111731,38.3164175612039
108,06P,48.23931009701761,47.410429230223485,39.712822572547445
109,06Q,66.93588413120968,66.54033567948024,59.64247274088633
110,06T,66.18110051219398,63.6905311778291,49.499303378613725
111,06V,72.16409918444683,68.43460764587526,54.07476927889879
112,06W,73.57741127709178,71.66694616803623,57.62919245717576
113,06Y,70.02174306939662,68.16876903001305,59.5596089064169
114,07G,74.33320448395826,71.45541082164328,63.77631578947368
115,07H,63.66417819116387,61.98858516070892,44.173518571023536
116,07J,61.775409409929814,62.64038231780167,56.52777777777778
117,07K,67.52731627001945,68.75233052427474,63.41426288149783
118,07L,70.4944891271969,70.79407806191116,49.39110733503257
119,07M,61.25798366884955,57.16192170818505,41.49372019611794
120,07N,67.02548145656378,66.18786313750807,58.910668861289835
121,07P,59.91749358902888,59.037558685446015,36.38132295719844
122,07Q,65.77590248476325,66.11668426610349,43.31105959361789
123,07R,56.59284058717486,55.741399762752074,30.749789385004213
124,07T,56.83563748079877,53.80063124671226,29.36451689109379
125,07V,66.9755633132339,68.27191785273283,28.69417962870045
126,07W,55.979026451713885,56.61698835410049,38.6970735985966
127,07X,67.00289448294009,63.183117538254585,46.68403799277129
128,07Y,63.59268807124443,63.43975283213182,42.49865374259558
129,08A,64.17072946371079,63.08529945553539,46.584602966400965
130,08C,58.51771623085254,56.294809291654715,33.421565895792696
131,08D,62.798516114073735,60.30057803468208,38.43369132376011
132,08E,61.204170083167384,58.791961635076504,45.201083141109216
133,08F,67.98455598455598,69.05223880597015,51.40410430489122
134,08G,28.568847126852187,27.457658321060386,23.24988620846609
135,08H,59.04376422969896,56.678567031884775,28.877503493246394
136,08J,66.250164408786,66.80156823068167,47.64311743270248
137,08K,68.46371347785109,67.78968398111151,35.150720838794236
138,08L,35.11747041158806,35.22403522403522,35.85446335533171
139,08M,69.78959025470654,67.71825396825398,43.751662971175165
140,08N,68.81957773512475,70.03657507268125,54.97334899268227
141,08P,62.69009800608314,62.259850211657444,49.589183567342694
142,08Q,69.00673009979114,68.63947182268333,33.13186813186813
143,08R,66.75710594315245,66.10812933630056,50.04464855211124
144,08T,66.67817282246001,65.97824892892453,36.97159035438836
145,08V,63.968921981223694,63.86973586506842,43.422468747412864
146,08W,67.32257351315498,67.89312308366185,43.12187469359741
147,08X,67.03260146373918,64.79928344597346,38.367434539991415
148,08Y,55.47114487538318,53.58041032428855,37.81068217874141
149,09A,51.66172569823685,48.8123872519543,28.87165374030523
150,09C,66.60560800338172,59.578544061302686,45.27777777777778
151,09D,63.39649624597783,61.029861914155504,36.94900605012965
152,09E,71.17995649238617,70.13824224625743,50.17352137635679
153,09F,66.91915033755969,66.4590599568178,34.46606065754821
154,09G,65.74326227814818,65.25444363282202,57.76935074467109
155,09H,61.62058102905146,62.530413625304135,53.66860574216551
156,09J,63.36172559593113,60.08205982041981,54.418316831683164
157,09L,64.01960784313725,62.86122012129861,41.19742587910825
158,09N,64.76006263240306,61.287137599856386,39.57570637379142
159,09P,59.90018000327279,58.76085887559417,27.43657042869641
160,09W,62.800480769230774,60.23779065392429,53.24140918278949
161,09X,59.961997828447345,57.26349833797503,44.812265876818536
162,09Y,59.558867009638696,52.510009239297815,25.89807369699774
163,10A,61.429794520547944,59.63310299440605,46.5733473582005
164,10C,64.09431939978563,61.194942903752036,45.54589371980676
165,10D,70.93239227340268,69.62398197885982,46.290756805264735
166,10E,69.85395425737117,69.31245022564376,45.627277459656426
167,10G,65.09673326990169,65.44117647058823,27.36542210226421
168,10H,61.99707388441843,58.995244359000296,30.040122974310872
169,10J,57.48788301979791,55.76703153079562,37.94779938587513
170,10K,67.52546434991012,66.4073609368465,48.24272853185595
171,10L,71.85131721400217,71.48542666510593,55.806483990765834
172,10M,55.34458509142054,53.41815097540288,29.699603249574913
173,10N,53.25779036827195,49.19806042521447,30.00928505106778
174,10Q,53.47712314645944,52.25995225995226,43.50161965710674
175,10R,73.71939651278345,72.75084262380088,58.98496875527782
176,10T,65.65240737426168,64.31233362910382,33.90879478827362
177,10V,65.14285714285715,64.44851769206248,51.68710359408034
178,10W,60.523682454969986,58.57461024498887,29.689356645730776
179,10X,65.11158049407659,64.56090399501736,54.413492196677296
180,10Y,61.56669790690409,57.776778352447344,32.53986419470512
181,11A,68.04782129935504,65.05259852410111,53.91335882895951
182,11C,68.57323232323232,68.67040244523687,36.231524034281456
183,11D,54.137180185084375,49.96722171233775,41.25450798557445
184,11E,57.03647287805703,55.14125213710006,38.68194842406877
185,11H,64.71538652746706,62.44026760114686,49.372558796642565
186,11J,68.3149345700786,68.36271086618149,40.41944310989493
187,11M,66.13563032956903,65.59722222222221,52.52849798837729
188,11N,71.28149257796541,70.34325325018791,39.84214138641043
189,11T,63.25234676974048,62.56558590071304,51.86134244430208
190,11X,64.9425287356322,62.90534150880083,47.61120263591433
191,12A,68.10464184216279,67.95218443147859,53.71614301191766
192,12D,56.891025641025635,55.196674128557724,41.30980328665102
193,12F,76.93467075515825,75.50242731116563,46.92136498516321
194,13P,61.90906742443813,58.86358597535869,31.59778717865278
195,13T,68.56948570201496,66.62558106775603,40.97486953625227
196,14L,63.752929822142555,64.17625163475404,50.18587360594795
197,99A,72.85910683400594,70.77993409007689,41.437755698421974
198,99C,66.68964091253706,64.32619212163097,47.9559748427673
199,99D,60.64801993907505,56.63453111305871,49.11481608800275
200,99E,71.84723304754482,71.94897131479979,66.67130144605117
201,99F,74.58630136986302,72.69613259668508,63.01095659502739
202,99G,75.32226461792307,74.7630710254499,56.937627199808446
203,99H,64.0754196943122,62.26593531303196,36.26244511780348
204,99J,64.97873567361061,62.43204577968526,51.39201106692028
205,99K,63.042620363062355,59.72777460498763,40.138172618468424
206,99M,58.24156916724019,55.80236486486486,39.81680145238488
207,99N,57.240625,55.10834956258308,46.37514384349827
208,99P,73.18223696333149,71.76397674037077,51.26520185846769
209,99Q,70.65687613843352,66.50057273768614,56.85825509503092
