,month,lowest_10_trimeth_percent
0,2014-01-01,59.85668547034609
1,2014-02-01,59.18249523699556
2,2014-03-01,58.61900893582453
3,2014-04-01,59.46387340203864
4,2014-05-01,59.686499613643896
5,2014-06-01,59.429556321583455
6,2014-07-01,59.26825319734499
7,2014-08-01,58.802718032234516
8,2014-09-01,58.72474416163737
9,2014-10-01,58.895923018485696
10,2014-11-01,57.66691122523845
11,2014-12-01,57.33176922256585
12,2015-01-01,56.20257340811613
13,2015-02-01,55.53889521981647
14,2015-03-01,55.34123016735493
15,2015-04-01,54.481452996509496
16,2015-05-01,52.168215391946624
17,2015-06-01,51.32298760745786
18,2015-07-01,47.772237413543515
19,2015-08-01,43.93382352941176
20,2015-09-01,41.368299832495815
21,2015-10-01,40.22627278441232
22,2015-11-01,38.991758535802205
23,2015-12-01,40.38113488768232
24,2016-01-01,40.363946545351155
25,2016-02-01,39.51378188666324
26,2016-03-01,39.691204852495176
27,2016-04-01,39.36430317848411
28,2016-05-01,37.816798361135504
29,2016-06-01,37.610570544007075
30,2016-07-01,37.34783588818756
31,2016-08-01,35.36513069253571
32,2016-09-01,35.27789563003819
33,2016-10-01,34.7941285570452
34,2016-11-01,35.14483195272516
35,2016-12-01,34.30557818695345
36,2017-01-01,33.69150212719538
37,2017-02-01,31.116880051920464
38,2017-03-01,30.24798610014216
39,2017-04-01,28.415923042845385
40,2017-05-01,27.068309579240246
41,2017-06-01,25.46188391791257
42,2017-07-01,23.257780784844385
43,2017-08-01,21.794941825531218
44,2017-09-01,22.48989311624301
45,2017-10-01,21.94568914322734
46,2017-11-01,21.762006045001677
