,month,lowest_10_trimeth_percent,highest_10_trimeth_percent
0,2014-01-01,59.85668547034609,70.53523333823026
1,2014-02-01,59.18249523699556,70.89522733691048
2,2014-03-01,58.61900893582453,70.43533389687235
3,2014-04-01,59.46387340203864,71.30034780657468
4,2014-05-01,59.686499613643896,70.8535480087434
5,2014-06-01,59.429556321583455,71.00761975808601
6,2014-07-01,59.26825319734499,70.92016510621161
7,2014-08-01,58.802718032234516,70.2143268878059
8,2014-09-01,58.72474416163737,71.00192203439948
9,2014-10-01,58.895923018485696,70.97945532728141
10,2014-11-01,57.66691122523845,71.04793873911676
11,2014-12-01,57.33176922256585,69.10528671606903
12,2015-01-01,56.20257340811613,69.47196404861607
13,2015-02-01,55.53889521981647,68.78546486250545
14,2015-03-01,55.34123016735493,68.52848583324871
15,2015-04-01,54.481452996509496,69.20544337137841
16,2015-05-01,52.168215391946624,68.45761667320298
17,2015-06-01,51.32298760745786,68.97073399760029
18,2015-07-01,47.772237413543515,69.11325301204819
19,2015-08-01,43.93382352941176,68.86951040134483
20,2015-09-01,41.368299832495815,69.02749441367921
21,2015-10-01,40.22627278441232,69.27572331864343
22,2015-11-01,38.991758535802205,69.02791625124625
23,2015-12-01,40.38113488768232,68.95563726660619
24,2016-01-01,40.363946545351155,69.59746304536853
25,2016-02-01,39.51378188666324,69.05527161599663
26,2016-03-01,39.691204852495176,68.43477388950166
27,2016-04-01,39.36430317848411,68.52075775896816
28,2016-05-01,37.816798361135504,67.6710710065528
29,2016-06-01,37.610570544007075,67.61943238056762
30,2016-07-01,37.34783588818756,67.73585866300087
31,2016-08-01,35.36513069253571,67.05684816502759
32,2016-09-01,35.27789563003819,67.64539808018068
33,2016-10-01,34.7941285570452,67.69614801037639
34,2016-11-01,35.14483195272516,67.50251232234292
35,2016-12-01,34.30557818695345,67.05304518664047
36,2017-01-01,33.69150212719538,67.71669045626815
37,2017-02-01,31.116880051920464,66.62206283787401
38,2017-03-01,30.24798610014216,66.32862951447022
39,2017-04-01,28.415923042845385,64.45365742844162
40,2017-05-01,27.068309579240246,63.94297815195497
41,2017-06-01,25.46188391791257,63.50222577902266
42,2017-07-01,23.257780784844385,62.74597718328102
43,2017-08-01,21.794941825531218,61.77722511837008
44,2017-09-01,22.48989311624301,62.17781639154359
45,2017-10-01,21.94568914322734,60.038031851675775
46,2017-11-01,21.762006045001677,58.444400238710955
