month,pct,items,actual_cost
2010-08-01,07G,51,1368.23
2010-08-01,01F,70,2204.88
2010-08-01,09J,102,3862.4199999999996
2010-08-01,09D,72,2154.53
2010-08-01,05A,16,312.91
2010-08-01,07Q,80,2061.82
2010-08-01,03Q,46,1136.34
2010-08-01,05G,12,583.9799999999999
2010-08-01,09A,86,2424.96
2010-08-01,00M,38,1787.92
2010-08-01,03M,17,461.34
2010-08-01,02X,12,556.2
2010-08-01,01A,128,3642.8999999999996
2010-08-01,10J,94,1873.32
2010-08-01,00V,87,3121.66
2010-08-01,04H,11,454.28000000000003
2010-08-01,01E,87,2305.71
2010-08-01,01W,72,2142.61
2010-08-01,05Y,37,1197.41
2010-08-01,12D,50,1551.9100000000003
2010-08-01,06D,20,594.95
2010-08-01,11N,103,3390.98
2010-08-01,02T,69,1828.19
2010-08-01,03V,2,45.78
2010-08-01,04D,15,650.59
2010-08-01,15C,261,6746.06
2010-08-01,04K,4,103.06
2010-08-01,RNU,1,19.08
2010-08-01,02R,76,3008.080000000001
2010-08-01,03T,55,1232.97
2010-08-01,04E,11,498.97
2010-08-01,02A,29,784.3899999999999
2010-08-01,99M,29,699.3199999999999
2010-08-01,NQ7,2,45.78
2010-08-01,01D,88,2409.08
2010-08-01,07X,180,5800.370000000001
2010-08-01,99C,62,2270.6300000000006
2010-08-01,00N,26,332.27
2010-08-01,08L,159,3598.3199999999997
2010-09-01,04Y,53,1575.45
2010-09-01,07K,128,1398.17
2010-09-01,10X,23,772.1800000000001
2010-09-01,01F,45,1443.6999999999998
2010-09-01,07J,25,1111.6399999999999
2010-09-01,99D,13,224.63
2010-09-01,00R,58,2171.48
2010-09-01,14L,219,6543.5999999999985
2010-09-01,09L,50,1566.8999999999999
2010-09-01,00Y,194,4247.51
2010-09-01,04L,4,179.32
2010-09-01,06K,216,5370.490000000001
2010-09-01,07T,190,4904.87
2010-09-01,04C,24,979.6
2010-09-01,04F,61,3987.17
2010-09-01,01G,65,1730.9899999999998
2010-09-01,06N,203,5764.909999999999
2010-09-01,99G,116,2839.7400000000002
2010-09-01,5P7,3,19.14
2010-09-01,08R,28,673.29
2010-09-01,10C,44,681.81
2010-09-01,07N,51,2542.2699999999995
2010-09-01,11X,52,1664.6800000000003
2010-09-01,03E,18,550.02
2010-09-01,01J,95,4092.5
2010-09-01,01V,38,1579.9499999999998
2010-09-01,99Q,97,3340.46
2010-09-01,02R,56,2236.17
2010-09-01,12D,56,1904.5500000000004
2010-09-01,00X,84,2290.39
2010-09-01,04Q,23,749.99
2010-09-01,07X,192,6049.6
2010-09-01,02N,25,927.42
2010-09-01,10V,57,1444.32
2010-09-01,08L,148,3334.7599999999998
2010-09-01,03H,24,940.1400000000001
2010-09-01,07P,267,6061.669999999997
2010-09-01,99P,455,11254.32
2010-09-01,02G,51,1698.84
2010-09-01,03Q,45,968.26
2010-09-01,04D,20,880.47
2010-09-01,99K,64,2454.58
2010-09-01,08H,138,2746.43
2010-09-01,07G,33,1312.25
