,month,pct,items,actual_cost,list_size,cost_per_1000
0,2014-02-01,R1D,1,20.87,0,inf
1,2014-02-01,04V,6,308.98,372290,0.8299443981842113
2,2014-02-01,04N,7,131.51999999999998,122821,1.0708266501656882
3,2014-02-01,08P,16,890.7699999999999,206728,4.308898649433071
4,2014-02-01,07P,130,3759.58,355378,10.579101688905896
5,2014-02-01,04L,3,267.09999999999997,147224,1.8142422431125358
6,2014-02-01,06F,26,960.0300000000001,449990,2.1334474099424434
7,2014-02-01,05X,55,1231.54,175310,7.0249272716901485
8,2014-02-01,04M,7,104.4,94059,1.1099416323796765
9,2014-02-01,04C,10,324.38,376756,0.8609816432916795
10,2014-02-01,06T,40,1855.21,331038,5.604220663488784
11,2014-02-01,04G,31,1212.55,643683,1.8837688738090022
12,2014-02-01,03K,23,772.19,170023,4.5416796551054865
13,2014-02-01,03Y,1,50.08,102167,0.49017784607554304
14,2014-02-01,09X,21,674.8800000000001,228646,2.9516370284194786
15,2014-02-01,11N,63,2033.5999999999997,562005,3.6184731452567145
16,2014-02-01,10E,22,582.3299999999999,144920,4.018285950869445
17,2014-02-01,08D,96,2802.810000000001,292675,9.576526864269242
18,2014-02-01,02F,89,2131.15,257240,8.284675789146323
19,2014-02-01,01F,77,2813.19,129018,21.80463191182626
20,2014-02-01,07R,127,4726.849999999999,263989,17.90548091018944
21,2014-02-01,99E,16,614.9,267698,2.2969913858153594
22,2014-02-01,08Q,70,2704.7799999999997,304062,8.895488420124844
23,2014-02-01,05F,33,763.97,182274,4.1913273423527215
24,2014-02-01,08N,81,2530.2000000000007,288982,8.755562630198423
25,2014-02-01,01Y,13,270.63,241772,1.119360389126946
26,2014-02-01,02E,7,416.56,211309,1.9713310838629685
27,2014-02-01,08A,56,2926.93,276318,10.592614306704593
28,2014-02-01,01J,79,3493.47,160772,21.72934341800811
29,2014-02-01,09W,111,4241.2300000000005,290838,14.582791794744843
30,2014-02-01,09H,22,822.4599999999999,127669,6.442127689572253
31,2014-02-01,08L,111,3174.0999999999995,303237,10.467390193149251
32,2014-02-01,08H,48,1539.75,229468,6.710085937908554
33,2014-02-01,08V,17,494.62,282948,1.7480950563354396
34,2014-02-01,11M,54,1592.8200000000002,625935,2.5447051211387763
35,2014-02-01,99Q,34,1123.8899999999999,288212,3.8995253493955833
36,2014-02-01,00T,83,2741.95,297363,9.22088491170724
37,2014-02-01,10A,18,719.2600000000001,201847,3.5633920741948115
38,2014-02-01,09E,23,790.8899999999999,215854,3.6640043733264145
39,2014-02-01,07M,167,5151.839999999999,390973,13.176971299808425
40,2014-02-01,07V,54,1539.49,391989,3.927380615272367
41,2014-02-01,08X,50,1122.99,373577,3.0060469461449713
42,2014-02-01,09D,36,1561.81,303478,5.146369753326436
43,2014-02-01,NEN,1,45.87,0,inf
44,2014-02-01,02H,121,4826.669999999999,320859,15.042962796742492
45,2014-02-01,10L,29,757.6399999999999,141554,5.352303714483518
46,2014-02-01,04F,72,3218.8900000000003,274636,11.720568315879929
47,2014-02-01,00D,6,141.94,287987,0.49286946980245633
48,2014-02-01,05L,58,1970.2000000000003,546407,3.6057371153737052
49,2014-02-01,02P,38,1424.43,252445,5.642535997940146
50,2014-02-01,03R,57,1462.6599999999999,358181,4.083577855888503
51,2014-02-01,08T,6,496.64,187463,2.6492694558392857
52,2014-02-01,05J,5,408.81000000000006,172304,2.372608877333086
53,2014-02-01,RTR,1,26.76,0,inf
54,2014-02-01,03T,39,1479.23,243539,6.073893709015805
55,2014-02-01,02R,29,927.3299999999999,334606,2.7714087613491687
56,2014-02-01,09N,8,303.96000000000004,219362,1.3856547624474613
57,2014-02-01,12D,47,1753.0399999999997,226763,7.730714446360295
58,2014-02-01,08E,54,2337.3700000000003,251200,9.304816878980894
59,2014-02-01,02G,19,697.0500000000001,111962,6.225773030135225
60,2014-02-01,06W,38,1335.0600000000002,213055,6.266269273192369
61,2014-02-01,11A,40,935.7200000000001,545909,1.714058570201261
62,2014-02-01,06Q,116,3550.6,377196,9.413143299504767
63,2014-02-01,99P,82,2148.77,909804,2.3617944084659994
64,2014-02-01,06A,17,470.26000000000005,262370,1.7923543088005491
65,2014-02-01,08C,24,1062.2200000000003,202308,5.250509124700952
66,2014-02-01,10K,50,1684.1299999999999,201596,8.35398519811901
67,2014-02-01,07N,121,3447.4499999999994,229311,15.033949527061498
68,2014-02-01,05D,17,617.7600000000001,136321,4.531656898056793
69,2014-02-01,07Q,184,4390.370000000001,335775,13.075333184424096
70,2014-02-01,02M,138,2866.0499999999997,150656,19.023802570093455
71,2014-02-01,08J,2,121.03,197102,0.6140475489847896
72,2014-02-01,00L,22,826.4200000000001,321140,2.5733947810923588
73,2014-02-01,02W,28,1152.0099999999998,120781,9.538006805706194
74,2014-02-01,06H,33,1271.8200000000002,891880,1.4259990133201776
75,2014-02-01,07T,72,2839.2299999999996,285795,9.93449850417257
76,2014-02-01,02X,16,565.5600000000001,310790,1.8197496701953089
77,2014-02-01,00Q,61,1199.23,169338,7.0818717594397
78,2014-02-01,08K,74,2229.1099999999997,370288,6.01993583372942
79,2014-02-01,NQ7,1,20.87,0,inf
80,2014-02-01,09Y,69,1893.14,357435,5.296459496132164
81,2014-02-01,00P,39,1084.26,283466,3.8250089957878544
82,2014-02-01,09J,85,3506.060000000001,252344,13.893970136004823
83,2014-02-01,05G,73,2266.67,213825,10.600584590202269
84,2014-02-01,07G,2,207.19,166037,1.2478543939001547
85,2014-02-01,04E,5,88.15,186114,0.47363443910721387
86,2014-02-01,07L,51,2199.6,204804,10.740024608894357
87,2014-02-01,01W,30,978.74,301420,3.2470970738504414
88,2014-02-01,10J,25,956.21,218959,4.367073287693129
89,2014-02-01,03A,56,1107.75,242313,4.571566527590348
90,2014-02-01,05T,5,108.55000000000001,295925,0.36681591619498183
91,2014-02-01,06P,13,755.24,219686,3.437815791629872
92,2014-02-01,03F,7,326.53,288606,1.131404059513662
93,2014-02-01,04H,1,50.07,129347,0.3870982705435766
94,2014-02-01,02D,20,686.64,102461,6.701476659411874
95,2014-02-01,00M,12,1008.2700000000001,291006,3.4647739221871716
96,2014-02-01,01R,38,718.1,176819,4.061215140906803
97,2014-02-01,04Q,27,1264.4899999999998,130236,9.709220184895113
98,2014-02-01,06Y,36,951.1500000000001,228184,4.168346597482733
99,2014-02-01,10Q,66,2410.12,700967,3.438278834809627
100,2014-02-01,01D,111,3238.08,223957,14.45848979938113
101,2014-02-01,01V,31,1010.1800000000001,122411,8.252362941238943
102,2014-02-01,03H,7,729.6,168176,4.338312244315479
103,2014-02-01,99G,22,659.2699999999999,184606,3.5712273707246776
104,2014-02-01,01C,80,2304.79,204467,11.272185731682862
105,2014-02-01,06L,21,675.9599999999999,393051,1.7197768228550492
106,2014-02-01,01G,33,1379.46,253848,5.434196842204784
107,2014-02-01,01H,84,2667.5200000000004,520126,5.128603453778508
108,2014-02-01,07X,171,4995.62,316013,15.808273710258756
109,2014-02-01,99F,6,264.3,180693,1.462701930899371
110,2014-02-01,99N,35,1517.15,478211,3.1725535380825622
111,2014-02-01,99J,156,5025.58,469172,10.711594042270212
112,2014-02-01,08F,36,1243.8799999999997,257221,4.835841552594848
113,2014-02-01,05Y,28,947.54,273106,3.469495360775669
114,2014-02-01,09L,13,447.21999999999997,175268,2.5516352100782798
115,2014-02-01,07K,67,1679.0500000000004,240622,6.977957127777179
116,2014-02-01,03M,2,70.94,118017,0.6010998415482515
117,2014-02-01,03D,7,116.91,140975,0.8292959744635573
118,2014-02-01,09P,27,982.9800000000001,183475,5.357569151110506
119,2014-02-01,RRE,1,58.43,0,inf
120,2014-02-01,03Q,35,1142.66,346960,3.2933479363615406
121,2014-02-01,00J,4,73.05,251850,0.29005360333531865
122,2014-02-01,07J,27,691.71,167254,4.135685843088955
123,2014-02-01,03J,56,1472.21,188098,7.8268243149847425
124,2014-02-01,00X,76,1759.66,176033,9.996193895462783
125,2014-02-01,99A,165,6035.67,500182,12.066947631062295
126,2014-02-01,07H,38,1785.8699999999997,295384,6.045926658180537
127,2014-02-01,02Y,7,329.72,300949,1.0956009157697815
128,2014-02-01,00Y,114,2721.4600000000005,242984,11.200161327494817
129,2014-02-01,05Q,20,459.25,212636,2.159794202298764
130,2014-02-01,05W,51,1682.2000000000003,281824,5.968973543772
131,2014-02-01,00K,8,651.0500000000001,291443,2.233884498855694
132,2014-02-01,99C,13,296.4,215788,1.3735703560902366
133,2014-02-01,00C,8,395.96,106303,3.7248243229259757
134,2014-02-01,RY6,1,1.92,1262,1.5213946117274166
135,2014-02-01,07W,33,994.9499999999999,417718,2.3818700654508542
136,2014-02-01,05N,49,1223.14,300193,4.074512063905554
137,2014-02-01,04Y,76,1865.12,133143,14.00839698669851
138,2014-02-01,01E,61,1826.7100000000005,209994,8.698867586692955
139,2014-02-01,03E,14,849.2099999999999,160495,5.291192872052089
140,2014-02-01,04D,42,1224.82,229756,5.330959800832186
141,2014-02-01,03N,18,499.44999999999993,583916,0.8553456319059589
142,2014-02-01,05C,8,304.71000000000004,313196,0.9729051456595871
143,2014-02-01,11E,33,993.4399999999999,199321,4.984121091104299
144,2014-02-01,99H,27,1493.14,297571,5.017760467249833
145,2014-02-01,99K,19,653.1500000000001,166696,3.9182103949704863
146,2014-02-01,08G,183,3276.28,295492,11.087542133120355
147,2014-02-01,09A,54,2731.76,198965,13.72985198401729
148,2014-02-01,06V,35,916.4699999999999,168929,5.4251786253396395
149,2014-02-01,02N,5,350.33000000000004,156681,2.2359443710469042
150,2014-02-01,09F,27,1248.2,187774,6.6473526686335696
151,2014-02-01,10R,37,926.0800000000002,218678,4.234902459323755
152,2014-02-01,08R,18,396.59,217499,1.8234106823479648
153,2014-02-01,01A,83,2350.52,371631,6.324876019492454
154,2014-02-01,05H,2,58.44,184563,0.3166398465564604
155,2014-02-01,07Y,45,1617.5099999999995,294383,5.494576792817519
156,2014-02-01,05A,6,329.71999999999997,479762,0.687257431809939
157,2014-02-01,03W,6,489.28999999999996,321497,1.5219115574950932
158,2014-02-01,05V,42,1260.6299999999999,145246,8.67927516076174
159,2014-02-01,99D,10,450.76,159758,2.8215175452872465
160,2014-02-01,01T,49,1594.45,154930,10.291421932485639
161,2014-02-01,10D,53,1235.73,107468,11.498585625488518
162,2014-02-01,11J,74,1445.95,777935,1.8587028479243124
163,2014-02-01,00R,79,1761.76,172217,10.229884390042795
164,2014-02-01,06N,336,9734.769999999999,616461,15.791380152191294
165,2014-02-01,01K,27,1189.2599999999998,160742,7.398564158713963
166,2014-02-01,09G,59,1970.0300000000002,494290,3.9855752695785878
167,2014-02-01,10C,7,438.05000000000007,92782,4.72128214524369
168,2014-02-01,00V,18,788.2299999999999,199603,3.948988742654168
169,2014-02-01,08M,87,3468.8600000000006,363726,9.537014126017937
170,2014-02-01,10X,3,45.93,269948,0.1701438795619897
171,2014-02-01,08W,37,1549.5999999999997,295894,5.237010551075722
172,2014-02-01,12F,47,1581.95,332370,4.759605259199086
173,2014-02-01,06K,232,7539.530000000001,577762,13.049542891363572
174,2014-02-01,11X,63,1918.3,551639,3.4774553648309854
175,2014-02-01,09C,5,375.61,125931,2.9826651102587927
176,2014-02-01,02T,20,441.03999999999996,215651,2.045156294197569
177,2014-02-01,10V,18,774.58,209535,3.6966616555706686
178,2014-02-01,06D,3,128.65,112577,1.1427733906570616
179,2014-02-01,01X,69,2742.7299999999996,194028,14.135743294782195
180,2014-02-01,06M,38,1330.23,233389,5.699625946381364
181,2014-02-01,99M,25,830.6600000000001,220202,3.7722636488315278
182,2014-02-01,02A,29,919.3199999999999,236934,3.8800678670009368
183,2014-02-01,08Y,58,2030.6100000000001,235589,8.61929037433836
184,2014-02-01,04K,1,8.35,355170,0.02350986851366951
185,2014-03-01,03Y,1,100.29,102167,0.9816281186684547
186,2014-03-01,06V,30,965.3399999999999,168929,5.714471760325343
187,2014-03-01,03N,19,637.3,583916,1.0914241089471775
188,2014-03-01,08A,54,2529.0,276318,9.15249820858576
189,2014-03-01,01K,21,612.3399999999999,160742,3.809458635577509
190,2014-03-01,08V,24,503.74,282948,1.7803271272459957
191,2014-03-01,10R,33,1120.93,218678,5.125938594646009
192,2014-03-01,09Y,56,1728.34,357435,4.835396645543945
193,2014-03-01,03R,67,2362.62,358181,6.5961622754975835
194,2014-03-01,09D,25,1052.81,303478,3.4691476812157718
195,2014-03-01,01T,75,1975.1899999999998,154930,12.748918866584908
196,2014-03-01,02T,22,625.56,215651,2.900798048699055
197,2014-03-01,06H,42,1131.21,891880,1.2683432748800287
198,2014-03-01,02D,25,553.93,102461,5.406252134958667
199,2014-03-01,03K,29,954.0899999999999,170023,5.611534909982766
200,2014-03-01,01J,86,3218.3800000000006,160772,20.018286766352354
201,2014-03-01,03W,4,459.29,321497,1.4285980895622665
202,2014-03-01,07R,137,4803.89,263989,18.197311251605182
203,2014-03-01,00Y,89,2160.8199999999997,242984,8.892848911862508
204,2014-03-01,02E,9,509.48999999999995,211309,2.4111135824787397
205,2014-03-01,00R,62,1824.6,172217,10.594772873758107
206,2014-03-01,03D,13,298.82,140975,2.119666607554531
207,2014-03-01,07T,63,2883.4100000000003,285795,10.089084833534528
208,2014-03-01,06L,22,859.42,393051,2.186535589529094
209,2014-03-01,09C,18,940.2199999999999,125931,7.466152099165416
210,2014-03-01,99Q,46,1899.36,288212,6.5901489181574675
211,2014-03-01,05Y,41,1162.09,273106,4.255087768119338
212,2014-03-01,08E,61,2073.2200000000003,251200,8.253264331210193
213,2014-03-01,09P,35,1364.6599999999996,183475,7.4378525684698165
214,2014-03-01,08Q,88,2734.38,304062,8.992836987193403
215,2014-03-01,06M,40,1304.74,233389,5.590409145246777
216,2014-03-01,07P,93,3368.37,355378,9.47827383799785
217,2014-03-01,01D,95,3401.6700000000005,223957,15.188942520215937
218,2014-03-01,07V,56,1459.29,391989,3.722783037279107
219,2014-03-01,04Q,23,891.8499999999999,130236,6.84795294695783
220,2014-03-01,01Y,15,611.9399999999999,241772,2.531062323180517
221,2014-03-01,10J,18,856.3399999999999,218959,3.9109604994542355
222,2014-03-01,04H,1,19.15,129347,0.14805136570620114
223,2014-03-01,07N,113,3971.7499999999995,229311,17.320364047080165
224,2014-03-01,00V,28,827.0300000000001,199603,4.143374598578179
225,2014-03-01,07Y,41,1478.1899999999998,294383,5.0213157689132855
226,2014-03-01,99M,28,846.48,220202,3.844106774688695
