pct,month,drug,pregab_mg
03L,2012-01-01,gabapentin,7567133.333333333
04L,2012-01-01,gabapentin,4212383.333333333
10C,2012-01-01,gabapentin,1292216.6666666667
05W,2012-01-01,gabapentin,7880300.0
00Y,2012-01-01,gabapentin,7949750.0
10R,2012-01-01,gabapentin,4124033.3333333335
08Q,2012-01-01,gabapentin,4509183.333333333
02G,2012-01-01,gabapentin,3640366.6666666665
06F,2012-01-01,gabapentin,8390000.0
01F,2012-01-01,gabapentin,5035533.333333333
99G,2012-01-01,gabapentin,1952400.0
01D,2012-01-01,gabapentin,6668133.333333333
04D,2012-01-01,gabapentin,5583083.333333333
06M,2012-01-01,gabapentin,9558183.333333334
10Q,2012-01-01,gabapentin,14409083.333333334
14Y,2012-01-01,gabapentin,8261500.0
99Q,2012-01-01,gabapentin,8996583.333333334
08E,2012-01-01,gabapentin,2464100.0
06A,2012-01-01,gabapentin,2894433.3333333335
03Q,2012-01-01,gabapentin,9382650.0
14L,2012-01-01,gabapentin,13733633.333333334
99N,2012-01-01,gabapentin,11778950.0
00Q,2012-01-01,gabapentin,5654933.333333333
04N,2012-01-01,gabapentin,2590316.6666666665
10V,2012-01-01,gabapentin,4829516.666666667
05H,2012-01-01,gabapentin,4745250.0
05R,2012-01-01,gabapentin,4974866.666666667
04E,2012-01-01,gabapentin,5868950.0
10K,2012-01-01,gabapentin,3823150.0
00P,2012-01-01,gabapentin,10408950.0
08F,2012-01-01,gabapentin,3241966.6666666665
13T,2012-01-01,gabapentin,22993116.666666668
08G,2012-01-01,gabapentin,2532550.0
04Y,2012-01-01,gabapentin,2319216.6666666665
07Q,2012-01-01,gabapentin,4950383.333333333
06L,2012-01-01,gabapentin,8468633.333333334
08P,2012-01-01,gabapentin,2051933.3333333333
11X,2012-01-01,gabapentin,12497133.333333334
07Y,2012-01-01,gabapentin,2584850.0
05X,2012-01-01,gabapentin,3840300.0
10L,2012-01-01,gabapentin,3165100.0
05D,2012-01-01,gabapentin,2640166.6666666665
07T,2012-01-01,gabapentin,2427250.0
02H,2012-01-01,gabapentin,10963916.666666666
05Y,2012-01-01,gabapentin,5360200.0
00X,2012-01-01,gabapentin,3652783.3333333335
04Q,2012-01-01,gabapentin,3129883.3333333335
99H,2012-01-01,gabapentin,3277016.6666666665
09C,2012-01-01,gabapentin,2965216.6666666665
05A,2012-01-01,gabapentin,8325450.0
01X,2012-01-01,gabapentin,6438883.333333333
02D,2012-01-01,gabapentin,3189233.3333333335
01H,2012-01-01,gabapentin,8515200.0
15F,2012-01-01,gabapentin,16279816.666666666
01A,2012-01-01,gabapentin,11331000.0
11J,2012-01-01,gabapentin,14945566.666666666
05L,2012-01-01,gabapentin,18553816.666666668
06K,2012-01-01,gabapentin,11330500.0
09P,2012-01-01,gabapentin,3733716.6666666665
15E,2012-01-01,gabapentin,27639460.0
99D,2012-01-01,gabapentin,3843133.3333333335
02F,2012-01-01,gabapentin,5343300.0
01R,2012-01-01,gabapentin,4997383.333333333
02Y,2012-01-01,gabapentin,9261516.666666666
00K,2012-01-01,gabapentin,12128933.333333334
10X,2012-01-01,gabapentin,6405116.666666667
05G,2012-01-01,gabapentin,4589900.0
06Y,2012-01-01,gabapentin,6606350.0
01V,2012-01-01,gabapentin,3948083.3333333335
04R,2012-01-01,gabapentin,12292033.333333334
10E,2012-01-01,gabapentin,5105783.333333333
07W,2012-01-01,gabapentin,3587150.0
09G,2012-01-01,gabapentin,9476566.666666666
04G,2012-01-01,gabapentin,18618650.0
02A,2012-01-01,gabapentin,5704333.333333333
09W,2012-01-01,gabapentin,4919483.333333333
06T,2012-01-01,gabapentin,8200450.0
03M,2012-01-01,gabapentin,3151250.0
07H,2012-01-01,gabapentin,4306716.666666667
03D,2012-01-01,gabapentin,4074233.3333333335
04V,2012-01-01,gabapentin,8151733.333333333
00L,2012-01-01,gabapentin,15184283.333333334
09F,2012-01-01,gabapentin,4932550.0
99C,2012-01-01,gabapentin,10543100.0
07K,2012-01-01,gabapentin,6291650.0
99J,2012-01-01,gabapentin,7967900.0
05F,2012-01-01,gabapentin,4694400.0
01Y,2012-01-01,gabapentin,9732983.333333334
00C,2012-01-01,gabapentin,3721100.0
10A,2012-01-01,gabapentin,4595933.333333333
08M,2012-01-01,gabapentin,2434200.0
00M,2012-01-01,gabapentin,12365766.666666666
07L,2012-01-01,gabapentin,1696533.3333333333
06P,2012-01-01,gabapentin,4049733.3333333335
99F,2012-01-01,gabapentin,2004866.6666666667
09D,2012-01-01,gabapentin,6362500.0
15C,2012-01-01,gabapentin,20315300.0
06Q,2012-01-01,gabapentin,5289850.0
08W,2012-01-01,gabapentin,2153950.0
11D,2012-01-01,gabapentin,20000.0
01E,2012-01-01,gabapentin,3760666.6666666665
07J,2012-01-01,gabapentin,4818510.0
99K,2012-01-01,gabapentin,3369533.3333333335
07R,2012-01-01,gabapentin,3247250.0
07V,2012-01-01,gabapentin,5487466.666666667
99P,2012-01-01,gabapentin,24814750.0
08K,2012-01-01,gabapentin,4799366.666666667
01G,2012-01-01,gabapentin,10436633.333333334
03E,2012-01-01,gabapentin,3264533.3333333335
03R,2012-01-01,gabapentin,9833433.333333334
03T,2012-01-01,gabapentin,9652816.666666666
08R,2012-01-01,gabapentin,1990600.0
03N,2012-01-01,gabapentin,16054550.0
03W,2012-01-01,gabapentin,7517483.333333333
04H,2012-01-01,gabapentin,3751116.6666666665
09E,2012-01-01,gabapentin,4471283.333333333
02E,2012-01-01,gabapentin,4484650.0
08J,2012-01-01,gabapentin,2193783.3333333335
09A,2012-01-01,gabapentin,2479433.3333333335
08X,2012-01-01,gabapentin,3729650.0
09Y,2012-01-01,gabapentin,4434216.666666667
03A,2012-01-01,gabapentin,5684866.666666667
08C,2012-01-01,gabapentin,1904116.6666666667
03J,2012-01-01,gabapentin,2952150.0
00R,2012-01-01,gabapentin,6311300.0
06H,2012-01-01,gabapentin,22938466.666666668
08V,2012-01-01,gabapentin,3340033.3333333335
99E,2012-01-01,gabapentin,3161516.6666666665
03K,2012-01-01,gabapentin,4472966.666666667
08Y,2012-01-01,gabapentin,2521866.6666666665
00T,2012-01-01,pregabalin,10793700.0
00J,2012-01-01,pregabalin,6965575.0
06T,2012-01-01,pregabalin,16170450.0
07X,2012-01-01,pregabalin,3775875.0
05G,2012-01-01,pregabalin,4613600.0
00R,2012-01-01,pregabalin,6122475.0
05R,2012-01-01,pregabalin,4059475.0
99Q,2012-01-01,pregabalin,9305850.0
00Y,2012-01-01,pregabalin,10207925.0
07M,2012-01-01,pregabalin,5775800.0
07Q,2012-01-01,pregabalin,5653500.0
04Q,2012-01-01,pregabalin,3886850.0
06F,2012-01-01,pregabalin,7388350.0
