month,pct,seven_day,all_QI,percent_7_day
2018-10-01,08V,326641,1822150,0.1792613121861537
2017-06-01,08V,287175,1628342,0.1763603714698755
2019-02-01,08V,284613,1617496,0.17595901319075904
2017-12-01,08V,280469,1618338,0.17330681229755465
2018-09-01,08V,277795,1605932,0.17298054961231235
2018-12-01,08V,293286,1702389,0.17227907370172152
2019-05-01,08V,313635,1822505,0.17209006285305115
2019-07-01,08V,317226,1844059,0.17202594927819553
2018-04-01,08V,291690,1699636,0.17161909961897723
2019-06-01,08V,289051,1685767,0.17146557027157372
2018-11-01,08V,296023,1728510,0.17125906127242538
2018-06-01,08V,285544,1677316,0.1702386431656289
2019-03-01,08V,289170,1702019,0.16989822087767528
2018-07-01,08V,284536,1687464,0.16861752309975206
2018-08-01,08V,287098,1704516,0.1684337372016455
2019-04-01,08V,272230,1616250,0.16843310131477185
2018-02-01,08V,252665,1502121,0.16820549076938543
2017-09-01,08V,273826,1646295,0.16632863490443694
2017-02-01,08V,256606,1543351,0.16626548335407823
2017-08-01,08V,273182,1653955,0.165168943532321
2017-10-01,08V,269346,1633454,0.16489353235536477
2017-04-01,08V,250537,1520548,0.16476757063900646
2017-11-01,08V,289702,1760741,0.1645341364800388
2017-03-01,08V,288925,1759057,0.1642499361874004
2017-05-01,08V,273119,1671651,0.1633827874358942
2018-01-01,08V,285446,1747451,0.16334993084212376
2018-05-01,08V,279839,1713703,0.1632949233326895
2017-07-01,08V,277466,1706248,0.1626176265115036
2017-01-01,08V,265958,1641543,0.16201707783469577
2019-01-01,08V,285901,1791648,0.15957431370447767
2018-03-01,08V,267099,1731086,0.15429562713810868
2018-06-01,00P,322007,2480211,0.1298304861965373
2019-05-01,00P,349293,2707848,0.12899283859359906
2019-02-01,00P,305494,2369605,0.12892190892574923
2019-06-01,08X,232120,1801084,0.1288779423946912
2018-09-01,00P,313341,2433128,0.12878114098395152
2019-01-01,00P,338268,2640420,0.12811143681687004
2018-11-01,00P,331821,2593018,0.12796710242659326
2019-04-01,00P,325283,2545398,0.12779258882108024
2019-06-01,00P,317170,2491050,0.12732381927299732
2019-02-01,08X,210098,1653780,0.12704108164326572
2018-10-01,00P,333067,2623229,0.12696832796526725
2018-07-01,00P,319340,2520794,0.12668230724128984
2018-12-01,00P,325150,2578445,0.12610313580471952
2019-07-01,00P,322882,2572043,0.1255352262773212
2019-04-01,08X,218785,1747892,0.12517077714183714
2018-08-01,00P,330057,2637119,0.12515817450786257
2018-04-01,00P,306208,2466331,0.12415527356222664
2019-07-01,08X,237846,1918331,0.1239859023286388
2017-10-01,00P,308805,2507414,0.12315676629387887
2018-10-01,08X,239771,1947008,0.12314844109526
2018-01-01,00P,315350,2563290,0.12302548677675955
2019-04-01,08K,226947,1850350,0.1226508498392196
2019-03-01,00P,315091,2571082,0.12255190616246389
2018-11-01,08X,223146,1831799,0.12181795055025142
2018-09-01,08X,208236,1714841,0.12143166625943747
2019-05-01,08K,239841,1976581,0.12134134649680434
2019-02-01,08K,215474,1778948,0.12112439486707874
2019-05-01,08X,235585,1945396,0.1210987377377151
2018-08-01,08X,219821,1817155,0.1209698677328021
2019-03-01,08X,227066,1880527,0.12074593983495052
2018-03-01,00P,315805,2618795,0.12059172252887301
2019-01-01,08X,227332,1891542,0.12018342706638288
2018-07-01,08X,220570,1838021,0.12000406959441703
2018-12-01,08K,223146,1863638,0.11973677291405305
2018-10-01,08K,232981,1951192,0.11940444610269005
2019-01-01,08K,232008,1946341,0.11920213364461829
2018-06-01,08X,215439,1811838,0.11890632606226384
2017-12-01,00P,300104,2530793,0.11858101393515787
2018-12-01,08X,215173,1818047,0.11835392594360872
2017-11-01,00P,303296,2564660,0.11825973033462525
2018-03-01,08X,220451,1864297,0.11824886270803418
2018-02-01,00P,277186,2344194,0.11824362659404469
2019-06-01,08K,222040,1878911,0.11817483638128681
2019-07-01,08K,237671,2014403,0.11798582508068148
2017-07-01,00P,291774,2474044,0.11793403835986749
2018-08-01,08C,118475,1005013,0.11788404727103033
2017-06-01,00P,304430,2586459,0.11770145979503252
2018-11-01,08K,224763,1912901,0.11749850096790163
2018-11-01,08C,120638,1026735,0.11749672505563753
2018-05-01,00P,307104,2627088,0.1168990151833513
2018-02-01,08X,197848,1696681,0.11660883807857812
2017-10-01,08K,216930,1868628,0.11609052203006698
2018-02-01,08K,201467,1735832,0.11606365132109558
2018-04-01,08K,214914,1858712,0.11562522865295968
2018-01-01,08X,209811,1817703,0.1154264475549636
2018-05-01,08X,213647,1852333,0.11533941251384065
2019-04-01,08C,114394,992512,0.1152570447510962
2017-05-01,00P,294336,2556730,0.11512205043160599
2019-02-01,08C,108556,944982,0.11487626219335395
2017-09-01,00P,284347,2477142,0.11478833268339078
2019-05-01,08C,122829,1071489,0.11463393464608596
2019-03-01,08C,115885,1011006,0.11462345426238815
2019-06-01,08C,114947,1003583,0.11453661530735375
2017-11-01,08X,208565,1822239,0.114455348612339
2017-12-01,08K,218379,1909797,0.1143467080532643
2018-07-01,08K,221389,1937278,0.11427838441359474
2017-08-01,00P,291417,2553518,0.11412373047693418
2018-09-01,08K,208033,1824153,0.11404361366617823
2018-07-01,08C,115493,1012806,0.11403269727864962
2017-03-01,00P,299733,2629619,0.11398343258091762
2017-12-01,08X,205506,1803799,0.1139295453650878
2018-04-01,08X,204792,1799679,0.11379362653006453
2019-03-01,08K,214809,1888468,0.11374775744148166
2017-06-01,08X,204449,1798655,0.11366771281874512
2017-01-01,00P,274652,2431190,0.11297019155228509
2017-11-01,08K,221837,1966782,0.11279186000278628
2019-01-01,08C,116949,1037560,0.11271540922934577
2018-12-01,08Q,185976,1656933,0.11224111053373914
2017-04-01,00P,266889,2377855,0.11223939222534596
2017-02-01,00P,255752,2278682,0.11223681057734251
2018-08-01,08K,207669,1851382,0.1121697197012826
2019-06-01,08Q,184555,1645572,0.11215249165639668
2018-06-01,08K,210630,1880321,0.11201810754653062
2018-04-01,08Q,177681,1587780,0.11190530174205494
2017-04-01,08X,183043,1635772,0.11190006920279844
2018-10-01,08C,120120,1075960,0.11163983791219004
2017-09-01,08X,194593,1748772,0.11127408261339958
2019-02-01,08Q,171962,1547233,0.11114163154482874
2017-08-01,08X,201390,1814965,0.11096081742623136
2017-07-01,08X,201537,1816852,0.1109264816286632
2018-06-01,08C,109844,994169,0.11048825702672282
2018-10-01,13T,423633,3847341,0.11011059326428305
2018-04-01,08C,111531,1012930,0.11010731245002123
2017-10-01,08X,205044,1862591,0.11008535958780001
2017-05-01,08K,205758,1873706,0.10981338587804063
2019-04-01,13T,411166,3745573,0.10977385836559586
2018-12-01,13T,412321,3758773,0.10969563737953848
2018-11-01,08Q,185563,1694467,0.10951113240918826
2019-04-01,08Q,181244,1655366,0.10948877770837386
2018-06-01,08Q,183694,1680372,0.10931746065752107
2017-02-01,08K,180558,1653734,0.10918200871482354
2018-02-01,08C,104251,955274,0.10913203960329707
2017-02-01,08X,180831,1658603,0.10902609002877724
2017-07-01,08K,200102,1840356,0.10873005005553274
2018-01-01,08K,207809,1914467,0.10854666076772282
2019-07-01,13T,403844,3720653,0.10854116199495088
2018-02-01,08Q,163611,1508951,0.10842698006760988
2019-07-01,08C,122584,1131397,0.10834746777656296
2018-05-01,08K,209384,1936611,0.10811877036740987
2019-03-01,13T,406035,3760081,0.10798570562708623
2018-03-01,08K,205086,1900644,0.10790342641757215
2017-08-01,08K,202538,1877790,0.1078597713269322
2018-07-01,08Q,180649,1674957,0.10785291801520874
2017-11-01,08Q,176127,1633705,0.10780832524843836
2019-06-01,13T,396844,3686202,0.10765660699006728
2019-03-01,08Q,181461,1687053,0.10756093614130677
2018-09-01,13T,376607,3508687,0.10733559305802996
2018-03-01,08C,108129,1008625,0.10720436237451977
2019-05-01,13T,425082,3972221,0.10701368327693751
2018-08-01,08Q,179753,1681639,0.10689155044572586
2017-05-01,08X,196924,1843179,0.1068393248838013
2017-04-01,08K,177275,1660437,0.10676406271361094
2019-01-01,08Q,185654,1743110,0.10650733459162072
2019-01-01,13T,415842,3905803,0.10646773531588767
2019-07-01,08Q,182966,1720111,0.10636871690257199
2018-09-01,08Q,170849,1607722,0.10626775027025817
2017-09-01,08K,195958,1845284,0.10619395171691728
2017-08-01,08C,102368,966840,0.10587894584419345
2017-01-01,08K,179592,1696706,0.10584744793735626
2018-09-01,08C,101444,960013,0.10566940239350925
2019-02-01,13T,364616,3452071,0.10562239305043263
2017-11-01,08C,105966,1003926,0.1055516044011212
2018-12-01,08C,107219,1016437,0.10548514074162983
2017-12-01,08Q,176288,1672005,0.10543509140223863
2017-01-01,08X,184653,1752589,0.10536012721750507
2018-06-01,13T,388493,3687392,0.10535711961191
2017-06-01,08K,203770,1942510,0.1049003608733031
2017-03-01,08K,201243,1921415,0.10473687360617046
2019-05-01,08Q,188132,1797164,0.10468271120498741
2018-04-01,13T,382865,3659514,0.1046218159023302
2018-03-01,13T,400036,3824571,0.10459630635697442
2018-10-01,08Q,183386,1755604,0.1044574972488101
2018-05-01,08Q,174489,1671574,0.10438604572696153
2017-12-01,13T,387814,3715281,0.10438349077768276
2018-01-01,08Q,179158,1716720,0.10436064122279697
2018-11-01,13T,396256,3800554,0.10426269433351032
2017-03-01,08X,200725,1927378,0.10414407552644059
