month,pct,list_size
2014-07-01,,0.0
2014-07-01,00C,7615.714285714286
2014-07-01,00D,5654.823529411765
2014-07-01,00F,5881.0
2014-07-01,00G,8014.55
2014-07-01,00H,7497.5
2014-07-01,00J,6117.39024390244
2014-07-01,00K,6346.760869565218
2014-07-01,00L,6847.446808510638
2014-07-01,00M,5818.36
2014-07-01,00N,4304.166666666667
2014-07-01,00P,4577.999999999999
2014-07-01,00Q,4709.222222222222
2014-07-01,00R,5908.9655172413795
2014-07-01,00T,4594.63076923077
2014-07-01,00V,5194.394736842106
2014-07-01,00W,5416.025
2014-07-01,00X,4912.0
2014-07-01,00Y,4281.333333333334
2014-07-01,01A,5397.13043478261
2014-07-01,01C,7079.517241379311
2014-07-01,01D,4684.062500000001
2014-07-01,01E,5242.325
2014-07-01,01F,5620.869565217392
2014-07-01,01G,4324.8983050847455
2014-07-01,01H,5985.022988505747
2014-07-01,01J,3749.5813953488378
2014-07-01,01K,9978.6875
2014-07-01,01M,5032.641025641026
2014-07-01,01N,5835.896551724138
2014-07-01,01R,8883.45
2014-07-01,01T,3684.404761904762
2014-07-01,01V,4539.925925925925
2014-07-01,01W,6049.1
2014-07-01,01X,4522.093023255815
2014-07-01,01Y,5635.232558139535
2014-07-01,02A,6598.277777777778
2014-07-01,02D,6416.375
2014-07-01,02E,8163.961538461538
2014-07-01,02F,6442.275
2014-07-01,02G,4660.458333333334
2014-07-01,02H,4531.295774647887
2014-07-01,02M,6840.545454545454
2014-07-01,02N,6545.041666666667
2014-07-01,02P,5889.395348837209
2014-07-01,02Q,8707.384615384615
2014-07-01,02R,5024.268656716418
2014-07-01,02T,6763.96875
2014-07-01,02V,6680.225806451613
2014-07-01,02W,4165.48275862069
2014-07-01,02X,6635.04255319149
2014-07-01,02Y,6848.454545454545
2014-07-01,03A,5091.687499999999
2014-07-01,03C,7690.425531914892
2014-07-01,03D,6484.454545454545
2014-07-01,03E,8472.473684210527
2014-07-01,03F,4376.560606060606
2014-07-01,03G,5680.106382978724
2014-07-01,03H,5109.515151515151
2014-07-01,03J,5238.13888888889
2014-07-01,03K,6816.08
2014-07-01,03L,6465.074999999999
2014-07-01,03M,7891.866666666667
2014-07-01,03N,5802.18
2014-07-01,03Q,10852.90625
2014-07-01,03R,7995.866666666667
2014-07-01,03T,6423.421052631578
2014-07-01,03V,12106.833333333332
2014-07-01,03W,8944.277777777777
2014-07-01,03X,8102.75
2014-07-01,03Y,6388.8125
2014-07-01,04C,5480.536231884058
2014-07-01,04D,5742.150000000001
2014-07-01,04E,4922.421052631578
2014-07-01,04F,9549.03448275862
2014-07-01,04G,9123.394366197183
2014-07-01,04H,8119.625
2014-07-01,04J,6747.60465116279
2014-07-01,04K,5291.194029850746
2014-07-01,04L,5295.285714285714
2014-07-01,04M,5237.0
2014-07-01,04N,7236.411764705882
2014-07-01,04Q,5238.04
2014-07-01,04R,9611.107142857143
2014-07-01,04V,7306.980392156863
2014-07-01,04X,3854.061538461538
2014-07-01,04Y,4763.5
2014-07-01,05A,6116.384615384615
2014-07-01,05C,5813.425925925926
2014-07-01,05D,6516.52380952381
2014-07-01,05F,7309.920000000001
2014-07-01,05G,5634.710526315789
2014-07-01,05H,6380.931034482759
2014-07-01,05J,7189.874999999999
2014-07-01,05L,4692.9059829059825
2014-07-01,05N,6700.088888888889
2014-07-01,05P,5867.536585365854
2014-07-01,05Q,6669.5
2014-07-01,05R,7436.324324324323
2014-07-01,05T,7806.263157894737
2014-07-01,05V,9084.5625
2014-07-01,05W,4556.6612903225805
2014-07-01,05X,8390.142857142857
2014-07-01,05Y,3874.6056338028175
2014-07-01,06A,4783.618181818182
2014-07-01,06D,8062.714285714286
2014-07-01,06F,6565.304347826086
2014-07-01,06H,6659.896296296296
2014-07-01,06K,9359.338709677419
2014-07-01,06L,9637.487804878052
2014-07-01,06M,7804.733333333334
2014-07-01,06N,7861.012658227848
2014-07-01,06P,6149.11111111111
2014-07-01,06Q,6207.540983606557
2014-07-01,06T,7722.488372093023
2014-07-01,06V,8472.1
2014-07-01,06W,7346.3448275862065
2014-07-01,06Y,9171.72
2014-07-01,07G,5064.181818181818
2014-07-01,07H,5035.796610169491
2014-07-01,07J,8041.333333333333
2014-07-01,07K,9673.92
2014-07-01,07L,4935.095238095238
2014-07-01,07M,4786.487804878049
2014-07-01,07N,6980.757575757576
2014-07-01,07P,5103.885714285714
2014-07-01,07Q,6720.599999999999
2014-07-01,07R,6298.536585365854
2014-07-01,07T,5447.471698113208
2014-07-01,07V,5294.472972972973
2014-07-01,07W,5044.8170731707305
2014-07-01,07X,5574.473684210527
2014-07-01,07Y,5101.1551724137935
2014-07-01,08A,6180.0
2014-07-01,08C,5934.882352941177
2014-07-01,08D,5456.5370370370365
2014-07-01,08E,5045.6
2014-07-01,08F,4799.444444444444
2014-07-01,08G,5903.72
2014-07-01,08H,5605.29268292683
2014-07-01,08J,6987.785714285715
2014-07-01,08K,7032.320754716981
2014-07-01,08L,7107.46511627907
2014-07-01,08M,5163.605633802817
2014-07-01,08N,5995.897959183673
2014-07-01,08P,5878.342857142857
2014-07-01,08Q,5982.0392156862745
2014-07-01,08R,7686.964285714286
2014-07-01,08T,5850.21875
2014-07-01,08V,7015.707317073171
2014-07-01,08W,4867.163934426229
2014-07-01,08X,7100.1923076923085
2014-07-01,08Y,4246.482142857143
2014-07-01,09A,4432.8
2014-07-01,09C,8446.466666666665
2014-07-01,09D,5873.1923076923085
2014-07-01,09E,9379.82608695652
2014-07-01,09F,6754.071428571428
2014-07-01,09G,9186.351851851852
2014-07-01,09H,9888.846153846154
2014-07-01,09J,7499.205882352942
2014-07-01,09L,8039.499999999999
2014-07-01,09N,8803.76
2014-07-01,09P,5112.194444444443
2014-07-01,09W,4963.8813559322025
2014-07-01,09X,9586.833333333334
2014-07-01,09Y,6422.928571428571
2014-07-01,104,0.0
2014-07-01,106,0.0
2014-07-01,107,0.0
