pct,month,drug,gaba_ddd
02E,2012-01-01,gabapentin,14948.833333333334
10D,2012-01-01,gabapentin,5870.222222222223
00D,2012-01-01,gabapentin,47524.166666666664
04G,2012-01-01,gabapentin,62062.166666666664
01C,2012-01-01,gabapentin,19597.444444444445
14Y,2012-01-01,gabapentin,27538.333333333332
05F,2012-01-01,gabapentin,15648.0
02M,2012-01-01,gabapentin,18801.055555555555
03K,2012-01-01,gabapentin,14909.888888888889
01W,2012-01-01,gabapentin,32131.055555555555
15C,2012-01-01,gabapentin,67717.66666666667
06Q,2012-01-01,gabapentin,17632.833333333332
08T,2012-01-01,gabapentin,5676.722222222223
02A,2012-01-01,gabapentin,19014.444444444445
08R,2012-01-01,gabapentin,6635.333333333333
00L,2012-01-01,gabapentin,50614.27777777778
00M,2012-01-01,gabapentin,41219.22222222222
03V,2012-01-01,gabapentin,7624.611111111111
99D,2012-01-01,gabapentin,12810.444444444445
09F,2012-01-01,gabapentin,16441.833333333332
09H,2012-01-01,gabapentin,4752.277777777777
00V,2012-01-01,gabapentin,21289.38888888889
03T,2012-01-01,gabapentin,32176.055555555555
00T,2012-01-01,gabapentin,28687.055555555555
12F,2012-01-01,gabapentin,23592.055555555555
07Y,2012-01-01,gabapentin,8616.166666666666
99C,2012-01-01,gabapentin,35143.666666666664
01D,2012-01-01,gabapentin,22227.11111111111
15D,2012-01-01,gabapentin,20105.5
02X,2012-01-01,gabapentin,43884.27777777778
08N,2012-01-01,gabapentin,6666.388888888889
06D,2012-01-01,gabapentin,10526.5
06W,2012-01-01,gabapentin,18755.88888888889
01H,2012-01-01,gabapentin,28384.0
04K,2012-01-01,gabapentin,25118.777777777777
07W,2012-01-01,gabapentin,11957.166666666666
03W,2012-01-01,gabapentin,25034.944444444445
09L,2012-01-01,gabapentin,7841.277777777777
01G,2012-01-01,gabapentin,34788.77777777778
02R,2012-01-01,gabapentin,26736.5
11X,2012-01-01,gabapentin,41657.11111111111
05J,2012-01-01,gabapentin,14145.055555555555
15F,2012-01-01,gabapentin,54266.055555555555
06P,2012-01-01,gabapentin,13499.111111111111
02T,2012-01-01,gabapentin,16891.11111111111
05Q,2012-01-01,gabapentin,16076.5
07N,2012-01-01,gabapentin,14144.433333333332
00Q,2012-01-01,gabapentin,18849.777777777777
07G,2012-01-01,gabapentin,6106.277777777777
99F,2012-01-01,gabapentin,6682.888888888889
99N,2012-01-01,gabapentin,39263.166666666664
15N,2012-01-01,gabapentin,112704.44444444444
02H,2012-01-01,gabapentin,36546.38888888889
08V,2012-01-01,gabapentin,11133.444444444445
08G,2012-01-01,gabapentin,8441.833333333334
