month,pct,enteric_coated,total_aspirin
2010-08-01,05Y,3145,11546
2010-08-01,08E,1947,12487
2010-08-01,07Y,1521,9404
2010-08-01,00L,3843,23669
2010-08-01,08X,3526,10848
2010-08-01,08G,2601,10527
2010-08-01,13T,6121,33967
2010-08-01,08T,1185,6715
2010-08-01,01Y,1564,13845
2010-08-01,07K,2669,12998
2010-08-01,04N,1848,6426
2010-08-01,03E,1570,8097
2010-08-01,06K,6833,26115
2010-08-01,02Q,1446,6629
2010-08-01,04Q,2530,8945
2010-08-01,99J,4044,24251
2010-08-01,03V,302,2722
2010-08-01,03J,2173,9942
2010-08-01,06Q,2465,18315
2010-08-01,02T,1415,11182
2010-08-01,07G,1177,6731
2010-08-01,04H,2125,7539
2010-08-01,11A,3479,22974
2010-08-01,10X,655,7704
2010-08-01,04K,3052,12383
2010-08-01,00M,6397,19478
2010-08-01,99F,1138,7130
2010-08-01,07V,2887,12720
2010-08-01,03A,1777,10066
2010-08-01,02N,1534,7593
2010-08-01,00R,5169,15453
2010-08-01,01F,1005,7680
2010-08-01,01T,961,9568
2010-08-01,06V,1375,12856
2010-08-01,07R,543,4493
2010-08-01,03R,5202,22981
2010-08-01,05V,2467,7121
2010-08-01,02D,854,6078
2010-08-01,11E,1371,10234
2010-08-01,00P,1978,22968
2010-08-01,14L,5214,25405
2010-08-01,03D,2629,9465
2010-08-01,99E,2660,8833
2010-08-01,99N,5387,21311
2010-08-01,05L,5425,21913
2010-08-01,08Y,1059,4999
2010-08-01,09N,1939,7203
2010-08-01,99H,2603,9323
2010-08-01,00X,3556,10124
2010-08-01,02E,1137,9120
2010-08-01,11D,9,107
2010-08-01,99M,1815,6278
2010-08-01,01M,0,0
2010-08-01,10Q,4629,25643
2010-08-01,12D,2978,10971
2010-08-01,02Y,4125,19214
2010-08-01,07H,4366,14638
2010-08-01,09L,1172,5463
2010-08-01,15M,8751,48467
2010-08-01,09D,2222,10526
2010-08-01,01V,732,7862
2010-08-01,00N,2091,11281
2010-08-01,00C,1569,6571
2010-08-01,15F,14611,43024
2010-08-01,10J,1084,6958
2010-08-01,15E,10724,48843
2010-08-01,08K,2473,10006
2010-08-01,07P,1948,11007
2010-08-01,06A,2785,12641
2010-08-01,15C,10400,41908
2010-08-01,09Y,2270,8659
2010-08-01,00Y,3085,10673
2010-08-01,06Y,1268,12834
2010-08-01,07W,3701,13869
2010-08-01,08H,1485,4328
2010-08-01,01K,4855,22258
2010-08-01,09X,1179,7602
2010-08-01,01D,3141,10055
2010-08-01,09P,1199,9640
2010-08-01,03W,3579,14443
2010-08-01,09C,421,5260
2010-08-01,11N,7311,36241
2010-08-01,06P,2093,7130
2010-08-01,03F,1999,14576
2010-08-01,08M,509,13422
2010-08-01,09W,1211,9187
2010-08-01,01R,1395,7663
2010-08-01,02G,1508,5389
2010-08-01,02X,3938,21640
2010-08-01,09J,2792,10897
2010-08-01,05X,1550,5680
2010-08-01,99C,3458,15653
2010-08-01,10V,1448,9090
2010-08-01,03N,5029,36589
2010-08-01,99D,2646,12044
2010-08-01,08C,1653,5330
2010-08-01,10R,929,8293
2010-08-01,02M,4007,14607
2010-08-01,15A,972,18326
2010-08-01,05C,2295,12808
2010-08-01,05H,2253,11637
2010-08-01,01H,2359,20082
2010-08-01,08R,1749,7156
2010-08-01,06W,518,8243
2010-08-01,08V,1527,9689
2010-08-01,05N,3335,13200
2010-08-01,02P,5515,17433
2010-08-01,00Q,3258,9769
2010-08-01,03H,1631,8032
2010-08-01,08A,2046,9252
2010-08-01,03K,3136,10277
2010-08-01,15D,5052,15561
2010-08-01,03Q,3090,14691
2010-08-01,07T,1693,6536
2010-08-01,00K,1649,15511
2010-08-01,07Q,2690,10110
2010-08-01,06F,3411,17475
2010-08-01,06T,4287,19254
2010-08-01,08L,2292,10875
2010-08-01,04D,5089,14651
2010-08-01,02W,1753,6151
2010-08-01,05D,3378,8051
2010-08-01,02H,5656,16379
2010-08-01,07L,1110,5905
2010-08-01,05A,2906,22052
2010-08-01,01W,3191,16218
2010-08-01,06M,1354,10498
2010-08-01,12F,2151,17808
2010-08-01,06D,495,5078
2010-08-01,09F,775,9806
2010-08-01,01E,6494,10588
2010-08-01,10D,408,3693
2010-08-01,11X,2972,27650
2010-08-01,01J,1352,11504
2010-08-01,04L,1743,6549
2010-08-01,99A,4604,26437
2010-08-01,04V,4438,17810
2010-08-01,04G,5493,36072
2010-08-01,02A,4017,13995
2010-08-01,05R,2553,13509
2010-08-01,14Y,3808,18569
2010-08-01,08D,1811,7877
2010-08-01,00V,1882,9013
2010-08-01,99G,966,5780
2010-08-01,06H,6781,39227
2010-08-01,02R,4726,15888
2010-08-01,08N,2279,8194
2010-08-01,00J,3212,16010
2010-08-01,01X,1129,12204
2010-08-01,05F,1601,8684
2010-08-01,08W,1640,6752
2010-08-01,05J,1272,6074
2010-08-01,06N,4992,18250
2010-08-01,10C,439,2434
2010-08-01,01A,6478,22484
2010-08-01,03L,2231,15751
2010-08-01,15N,6087,65848
2010-08-01,05W,8054,16171
2010-08-01,08F,1600,11017
2010-08-01,07N,1419,8056
2010-08-01,07J,2426,10888
2010-08-01,11J,5333,38022
2010-08-01,00D,5537,22494
2010-08-01,07M,2652,10485
2010-08-01,09A,1581,4645
2010-08-01,04Y,1684,6174
2010-08-01,10A,1209,8391
2010-08-01,10K,941,8176
2010-08-01,10E,660,6990
2010-08-01,05G,5269,11594
2010-08-01,99K,1619,8053
2010-08-01,00T,2622,15398
2010-08-01,08P,1881,7564
2010-08-01,04F,1326,5497
2010-08-01,04E,4802,14259
2010-08-01,05T,3642,14446
2010-08-01,09G,5163,24678
2010-08-01,09H,1048,4718
2010-08-01,11M,4954,33312
2010-08-01,07X,2851,9729
2010-08-01,06L,3373,18929
2010-08-01,02F,1669,11973
2010-08-01,08Q,1698,8998
2010-08-01,04M,1210,4553
2010-08-01,03T,4404,19410
2010-08-01,10G,0,0
2010-08-01,04C,3950,16604
2010-08-01,01C,1024,9417
2010-08-01,09E,1388,8423
2010-08-01,01G,3247,16928
2010-08-01,10L,960,9741
2010-08-01,08J,895,5932
2010-08-01,03M,1454,7468
2010-08-01,05Q,1556,10939
2010-09-01,11X,3120,29451
2010-09-01,07Y,1540,9681
2010-09-01,08M,502,13857
2010-09-01,00T,2750,16392
2010-09-01,06F,3631,18134
2010-09-01,00R,5731,16666
2010-09-01,05Q,1524,11182
2010-09-01,05H,2302,12584
2010-09-01,11J,5482,40371
2010-09-01,05L,5539,22919
2010-09-01,01K,5217,23596
2010-09-01,04D,5350,15407
2010-09-01,03D,2720,9849
2010-09-01,06L,3448,20117
2010-09-01,01W,3382,17160
2010-09-01,99A,4932,28357
2010-09-01,06V,1422,13067
2010-09-01,00C,1640,6849
2010-09-01,08K,2656,10561
2010-09-01,14Y,3845,19410
2010-09-01,06Q,2462,19232
2010-09-01,01D,3321,10797
2010-09-01,01R,1490,8267
2010-09-01,05A,2977,22984
2010-09-01,02E,1216,9844
2010-09-01,07K,2836,13762
2010-09-01,00D,5893,23901
2010-09-01,15M,9145,50818
2010-09-01,09A,1687,4834
2010-09-01,09N,1972,7595
2010-09-01,04V,4667,18917
2010-09-01,04F,1413,5944
2010-09-01,10X,728,8136
2010-09-01,07J,2536,11459
2010-09-01,09F,821,10327
2010-09-01,06T,4471,20264
2010-09-01,08E,2011,12990
2010-09-01,00P,2076,23833
2010-09-01,01X,1215,12689
2010-09-01,09Y,2404,9166
2010-09-01,06Y,1365,13676
2010-09-01,11A,3560,23899
2010-09-01,99E,2798,9216
2010-09-01,10G,0,0
2010-09-01,04M,1284,4981
2010-09-01,03E,1680,8987
2010-09-01,03V,305,2774
2010-09-01,15E,11693,53075
2010-09-01,06H,7141,41378
2010-09-01,03J,2204,10471
2010-09-01,08W,1710,7319
2010-09-01,05C,2495,14024
2010-09-01,05R,2654,14327
2010-09-01,05X,1691,6106
2010-09-01,00N,2315,11992
2010-09-01,01E,6756,11179
2010-09-01,00Y,3273,11570
2010-09-01,03Q,3263,15575
2010-09-01,02F,1903,13017
2010-09-01,05G,5295,12027
2010-09-01,08V,1348,9060
2010-09-01,09P,1288,10043
2010-09-01,04E,5076,14918
2010-09-01,03M,1650,8189
2010-09-01,08R,1814,7406
2010-09-01,04C,4093,17180
2010-09-01,06D,530,5332
2010-09-01,02M,4230,15532
2010-09-01,06W,567,8658
2010-09-01,09C,489,5469
2010-09-01,06K,7248,27731
2010-09-01,07L,1209,6383
2010-09-01,07P,2013,11727
2010-09-01,00V,2052,9815
2010-09-01,07H,4535,15189
2010-09-01,10T,0,0
2010-09-01,00Q,3360,10276
2010-09-01,99N,5563,22456
2010-09-01,02G,1583,5728
2010-09-01,08C,1629,5441
2010-09-01,10Q,4947,27040
2010-09-01,07T,1714,6779
2010-09-01,10C,519,2714
2010-09-01,06M,1392,11216
2010-09-01,07X,3007,10386
2010-09-01,08G,2804,11269
2010-09-01,08Q,1740,8821
2010-09-01,00X,3936,10892
2010-09-01,15F,15411,45174
2010-09-01,01G,3294,17385
2010-09-01,07M,2698,11191
2010-09-01,15C,10753,44682
2010-09-01,99K,1745,8644
2010-09-01,03L,2303,16631
2010-09-01,09X,1256,8030
2010-09-01,06N,5198,19314
2010-09-01,01Y,1659,14899
2010-09-01,06P,2120,7567
2010-09-01,09G,5552,26087
2010-09-01,09J,2988,11540
2010-09-01,05V,2537,7564
2010-09-01,10D,488,4160
2010-09-01,15N,6494,70223
2010-09-01,07V,3030,13551
2010-09-01,04G,5652,37643
2010-09-01,08D,1788,8100
2010-09-01,07N,1535,8333
2010-09-01,04Q,2730,9501
2010-09-01,00K,1773,16877
2010-09-01,01T,1009,10680
2010-09-01,03T,4613,20403
2010-09-01,01M,0,0
2010-09-01,04K,3176,12973
2010-09-01,99D,2814,12644
2010-09-01,01H,2716,22045
2010-09-01,99J,4239,25540
2010-09-01,99G,1053,6288
2010-09-01,12F,2214,18871
2010-09-01,08P,2014,8123
2010-09-01,02X,4093,22634
2010-09-01,06A,3045,13814
2010-09-01,05T,3902,15427
2010-09-01,02W,1806,6349
2010-09-01,03H,1815,8635
2010-09-01,03F,2110,15252
2010-09-01,02Y,4372,20125
2010-09-01,02N,1641,8026
2010-09-01,04Y,1758,6567
2010-09-01,10L,980,9996
2010-09-01,10R,1106,8981
2010-09-01,09E,1520,9137
2010-09-01,01A,6853,23773
2010-09-01,13T,6351,35684
2010-09-01,08Y,1121,5385
2010-09-01,15D,5295,16071
2010-09-01,02P,5789,18367
2010-09-01,01F,969,7961
2010-09-01,99C,3558,16421
2010-09-01,05J,1363,6569
2010-09-01,04N,1939,6669
2010-09-01,99H,2693,9674
2010-09-01,03K,3335,11016
2010-09-01,03N,5234,38111
2010-09-01,11E,1402,10930
2010-09-01,05N,3652,14292
2010-09-01,03A,1796,10742
2010-09-01,10J,1056,7462
2010-09-01,02H,6268,17936
2010-09-01,01J,1462,12117
2010-09-01,00M,6625,20332
2010-09-01,01V,813,8378
2010-09-01,08J,899,6121
2010-09-01,07G,1155,6937
2010-09-01,02A,4246,14716
2010-09-01,09H,1130,4948
2010-09-01,10E,702,7306
2010-09-01,08T,1311,7321
2010-09-01,99M,1961,6663
2010-09-01,05D,3513,8476
2010-09-01,10K,1114,8800
2010-09-01,08H,1555,4535
2010-09-01,11N,7409,37567
2010-09-01,15A,1021,19287
2010-09-01,00L,4178,25241
2010-09-01,09D,2440,11354
2010-09-01,07R,572,4797
2010-09-01,02R,4969,16980
2010-09-01,11M,5232,35194
2010-09-01,07W,3808,14281
2010-09-01,05Y,3330,12235
2010-09-01,10V,1546,9806
2010-09-01,08X,3553,11160
2010-09-01,12D,3362,12080
2010-09-01,03W,3797,15484
2010-09-01,09L,1244,5879
2010-09-01,08F,1680,11442
2010-09-01,05F,1780,9304
2010-09-01,99F,1212,7535
2010-09-01,01C,1151,10472
2010-09-01,04L,1907,7019
2010-09-01,00J,3457,17030
2010-09-01,14L,5461,26464
2010-09-01,05W,8332,17061
2010-09-01,02Q,1525,7112
2010-09-01,08A,2002,9472
2010-09-01,07Q,2812,10712
2010-09-01,02D,894,6522
2010-09-01,03R,5555,24412
2010-09-01,08L,2273,10670
2010-09-01,11D,14,134
2010-09-01,10A,1342,9019
2010-09-01,02T,1440,11827
2010-09-01,08N,2448,8875
2010-09-01,09W,1302,9644
2010-09-01,04H,2301,7933
2010-10-01,03L,2226,15594
2010-10-01,07V,2752,12477
2010-10-01,07Q,2617,9964
2010-10-01,99K,1580,8014
2010-10-01,02T,1333,10995
2010-10-01,05Q,1520,10769
2010-10-01,15E,10875,49728
2010-10-01,05A,2863,21994
2010-10-01,99G,941,5765
2010-10-01,08D,1700,7818
2010-10-01,03M,1483,7507
2010-10-01,10K,905,8028
2010-10-01,03F,2022,14516
2010-10-01,06L,3396,19183
2010-10-01,01D,3141,10136
2010-10-01,09A,1584,4677
2010-10-01,01E,6376,10499
2010-10-01,14L,5113,25399
2010-10-01,15M,8572,47696
2010-10-01,00J,3118,15792
2010-10-01,06T,4413,19751
2010-10-01,10R,882,8397
2010-10-01,07N,1423,7951
2010-10-01,00X,3529,9997
2010-10-01,06N,5049,18814
2010-10-01,01A,6315,22070
2010-10-01,04F,1289,5593
2010-10-01,05Y,3044,11166
2010-10-01,04Q,2511,8873
2010-10-01,10A,1240,8433
2010-10-01,05G,5059,11271
2010-10-01,11D,12,114
2010-10-01,04D,5008,14315
2010-10-01,11M,4841,32983
2010-10-01,08G,2729,10987
2010-10-01,08X,3336,10501
2010-10-01,02H,5732,16500
2010-10-01,00C,1524,6591
2010-10-01,05V,2458,7220
2010-10-01,01G,3096,16243
2010-10-01,07M,2614,10573
2010-10-01,03Q,3132,14409
2010-10-01,03W,3619,14529
2010-10-01,07L,1157,6175
2010-10-01,04E,4725,14001
2010-10-01,09X,1178,7614
2010-10-01,09C,437,5126
2010-10-01,11A,3435,22994
2010-10-01,06K,6842,26145
2010-10-01,05T,3565,14322
2010-10-01,99N,5215,21544
2010-10-01,15N,6026,65078
2010-10-01,05N,3317,13054
2010-10-01,08P,1921,7729
2010-10-01,09P,1201,9658
2010-10-01,03A,1690,9783
2010-10-01,00Q,3125,9481
2010-10-01,04H,2049,7514
2010-10-01,09Y,2318,8642
2010-10-01,08L,2221,10440
2010-10-01,10Q,4630,25189
2010-10-01,09W,1226,9422
2010-10-01,15A,1030,18129
2010-10-01,04G,5347,35831
2010-10-01,10E,627,6987
2010-10-01,11J,5309,38069
2010-10-01,04N,1726,6249
2010-10-01,08M,492,13369
