month,pct,enteric_coated,total_aspirin
2010-10-01,00V,1830,9047
2010-10-01,05J,1307,6197
2010-10-01,07T,1605,6404
2010-10-01,07J,2310,10492
2010-10-01,10V,1456,9378
2010-10-01,07Y,1498,9504
2010-10-01,14Y,3584,18262
2010-10-01,08Y,1036,5123
2010-10-01,02G,1509,5416
2010-10-01,03N,4869,34991
2010-10-01,03V,283,2735
2010-10-01,10J,1058,7020
2010-10-01,05F,1715,8935
2010-10-01,02Q,1468,6587
2010-10-01,15F,14357,42276
2010-10-01,99D,2649,12047
2010-10-01,10C,440,2473
2010-10-01,06Y,1311,12962
2010-10-01,01C,976,9333
2010-10-01,01W,3020,15843
2010-10-01,04M,1181,4462
2010-10-01,05R,2507,13421
2010-10-01,10X,648,7651
2010-10-01,02M,3942,14424
2010-10-01,08E,1954,12587
2010-10-01,00D,5553,22516
2010-10-01,00M,6293,19367
2010-10-01,09H,965,4588
2010-10-01,00R,5386,15526
2010-10-01,08C,1667,5376
2010-10-01,02N,1529,7434
2010-10-01,04V,4403,17504
2010-10-01,08V,1531,9551
2010-10-01,08R,1699,6972
2010-10-01,07W,3719,13848
2010-10-01,07X,2960,10070
2010-10-01,02R,4578,15557
2010-10-01,00K,1613,15556
2010-10-01,03K,3159,10343
2010-10-01,08J,891,5871
2010-10-01,02P,5460,17176
2010-10-01,06P,2048,7163
2010-10-01,01V,736,7709
2010-10-01,04Y,1681,6266
2010-10-01,03R,5172,22505
2010-10-01,00N,2191,11206
2010-10-01,09D,2042,9996
2010-10-01,07R,556,4528
2010-10-01,04L,1775,6598
2010-10-01,09F,805,9740
2010-10-01,99C,3491,15511
2010-10-01,08A,1951,9150
2010-10-01,01K,4928,21965
2010-10-01,00T,2515,15032
2010-10-01,99H,2607,9414
2010-10-01,05H,2252,11901
2010-10-01,07P,1843,11022
2010-10-01,02Y,4033,18968
2010-10-01,04K,2921,12235
2010-10-01,02E,1072,8956
2010-10-01,06Q,2425,18668
2010-10-01,99E,2725,9059
2010-10-01,99F,1182,7328
2010-10-01,03E,1588,7972
2010-10-01,05C,2229,12907
2010-10-01,12F,2050,17769
2010-10-01,11X,3000,28179
2010-10-01,07H,4227,14489
2010-10-01,00P,2025,22986
2010-10-01,11N,7086,35397
2010-10-01,06A,2777,12559
2010-10-01,01H,2421,19887
2010-10-01,01M,0,0
2010-10-01,15C,10006,40877
2010-10-01,01T,916,9535
2010-10-01,10T,0,0
2010-10-01,06H,6659,38987
2010-10-01,04C,3907,16797
2010-10-01,09G,5175,24462
2010-10-01,08W,1658,6887
2010-10-01,08Q,1701,8707
2010-10-01,02W,1710,6194
2010-10-01,06W,526,8191
2010-10-01,07G,1147,6696
2010-10-01,08N,2352,8611
2010-10-01,06F,3421,17671
2010-10-01,02A,3900,13571
2010-10-01,02F,1704,11881
2010-10-01,01F,923,7602
2010-10-01,99A,4639,26220
2010-10-01,06V,1275,12642
2010-10-01,13T,5983,33588
2010-10-01,02X,3842,21125
2010-10-01,03J,2090,9773
2010-10-01,05X,1572,5713
2010-10-01,01X,1112,11908
2010-10-01,10L,911,9595
2010-10-01,06D,495,5198
2010-10-01,09N,1945,7320
2010-10-01,02D,852,6195
2010-10-01,01R,1406,7721
2010-10-01,05D,3252,7921
2010-10-01,05L,5286,21382
2010-10-01,06M,1387,10683
2010-10-01,09J,2646,10839
2010-10-01,10G,0,0
2010-10-01,00Y,3038,10639
2010-10-01,08T,1168,6698
2010-10-01,10D,434,3621
2010-10-01,08H,1535,4429
2010-10-01,08K,2521,10358
2010-10-01,08F,1650,11158
2010-10-01,11E,1327,10184
2010-10-01,09E,1293,8329
2010-10-01,15D,5021,15601
2010-10-01,01J,1398,11346
2010-10-01,09L,1126,5481
2010-10-01,00L,3812,23318
2010-10-01,05W,7933,16274
2010-10-01,07K,2749,13164
2010-10-01,03H,1660,8028
2010-10-01,99M,1751,6122
2010-10-01,99J,4097,24767
2010-10-01,12D,3001,10921
2010-10-01,01Y,1569,13743
2010-10-01,03T,4458,19146
2010-10-01,03D,2555,9204
2010-11-01,00N,2281,11888
2010-11-01,00K,1667,16163
2010-11-01,99H,2675,9442
2010-11-01,15M,8690,49074
2010-11-01,05N,3529,13593
2010-11-01,08Y,1132,5429
2010-11-01,09X,1191,7652
2010-11-01,00Q,3264,9887
2010-11-01,01W,3106,16065
2010-11-01,09P,1244,9975
2010-11-01,07N,1517,8353
2010-11-01,10A,1246,8611
2010-11-01,10D,452,3754
2010-11-01,05A,2954,22596
2010-11-01,03J,2190,10181
2010-11-01,03L,2246,15795
2010-11-01,15C,10163,42079
2010-11-01,11D,12,124
2010-11-01,03M,1485,7552
2010-11-01,08K,2425,10100
2010-11-01,06T,4395,19943
2010-11-01,02T,1379,11405
2010-11-01,01R,1362,7787
2010-11-01,04L,1773,6711
2010-11-01,10C,436,2630
2010-11-01,04Y,1805,6625
2010-11-01,06H,6972,40507
2010-11-01,07L,1067,6260
2010-11-01,09N,1933,7324
2010-11-01,10K,910,8280
2010-11-01,06N,5294,19530
2010-11-01,05C,2379,13595
2010-11-01,07Y,1515,9507
2010-11-01,09H,1053,4915
2010-11-01,10J,1048,7346
2010-11-01,01G,3205,16941
2010-11-01,02G,1511,5478
2010-11-01,01E,6550,10951
2010-11-01,00P,2109,23513
2010-11-01,04M,1262,4803
2010-11-01,02P,5745,17870
2010-11-01,04V,4485,18141
2010-11-01,05J,1348,6368
2010-11-01,99K,1616,8397
2010-11-01,08W,1692,7111
2010-11-01,10L,981,9763
2010-11-01,05H,2185,12096
2010-11-01,07X,2917,10406
2010-11-01,02E,1077,9153
2010-11-01,09F,856,10318
2010-11-01,01D,3082,10091
2010-11-01,07G,1171,6822
2010-11-01,11M,5072,34367
2010-11-01,08T,1304,7180
2010-11-01,05Q,1501,10767
2010-11-01,08X,3386,11242
2010-11-01,04K,2978,12509
2010-11-01,14L,5159,25977
2010-11-01,11A,3518,23476
2010-11-01,08V,1427,9344
2010-11-01,03T,4605,19692
2010-11-01,04D,4968,14549
2010-11-01,12F,2119,18046
2010-11-01,08R,1781,7427
2010-11-01,08E,1987,12648
2010-11-01,02N,1556,7766
2010-11-01,01K,5048,22609
2010-11-01,02Q,1421,6584
2010-11-01,00C,1526,6609
2010-11-01,11E,1426,10508
2010-11-01,05D,3305,8035
2010-11-01,01Y,1598,14067
2010-11-01,00J,3269,16457
2010-11-01,00X,3769,10500
2010-11-01,09Y,2327,9035
2010-11-01,10T,0,0
2010-11-01,11X,3055,28399
2010-11-01,15D,5158,15709
2010-11-01,04G,5489,36952
2010-11-01,04F,1316,5832
2010-11-01,01C,1103,10209
2010-11-01,15F,14816,43726
2010-11-01,05W,7968,16595
2010-11-01,07K,2787,13739
2010-11-01,03W,3590,14833
2010-11-01,03V,293,2718
2010-11-01,06Q,2458,18976
2010-11-01,07M,2731,11012
2010-11-01,99E,2621,8842
2010-11-01,01X,1167,12288
2010-11-01,08P,1945,8025
2010-11-01,05X,1633,5936
2010-11-01,02H,5911,17035
2010-11-01,02R,4649,15936
2010-11-01,00D,5563,22876
2010-11-01,01V,720,8065
2010-11-01,03A,1804,10325
2010-11-01,03R,5389,24262
2010-11-01,15A,1007,18770
2010-11-01,09A,1698,4993
2010-11-01,09G,5194,25045
2010-11-01,05V,2561,7387
2010-11-01,09C,491,5269
2010-11-01,07W,3746,14299
2010-11-01,08G,2742,10982
2010-11-01,99C,3445,15737
2010-11-01,05F,1723,9181
2010-11-01,07P,2016,11468
2010-11-01,15N,6350,67724
2010-11-01,05L,5304,21949
2010-11-01,10X,681,7813
2010-11-01,04C,3994,16800
2010-11-01,06D,511,5147
2010-11-01,07H,4188,14714
2010-11-01,02W,1658,5978
2010-11-01,99M,1806,6415
2010-11-01,06M,1285,10602
2010-11-01,02Y,4206,19430
2010-11-01,05T,3729,15081
2010-11-01,08M,493,13600
2010-11-01,10Q,4892,26649
2010-11-01,08D,1802,8177
2010-11-01,06A,2912,13372
2010-11-01,03N,5048,36729
2010-11-01,06W,560,8669
2010-11-01,02M,4106,14888
2010-11-01,12D,3148,11531
2010-11-01,06Y,1276,13209
2010-11-01,99A,4745,27249
2010-11-01,03E,1639,8430
2010-11-01,01A,6672,22954
2010-11-01,08J,888,5933
2010-11-01,10V,1480,9285
2010-11-01,11N,7253,36201
2010-11-01,06V,1396,13366
2010-11-01,03Q,3128,15005
2010-11-01,01H,2523,20973
2010-11-01,07Q,2690,10315
2010-11-01,01F,995,7767
2010-11-01,04Q,2685,9232
2010-11-01,99J,4114,25049
2010-11-01,07T,1701,6711
2010-11-01,10R,1008,8961
2010-11-01,01T,945,9742
2010-11-01,07V,2858,13098
2010-11-01,00R,5760,16591
2010-11-01,08C,1620,5294
2010-11-01,02D,852,6307
2010-11-01,04N,1954,6844
2010-11-01,04H,2097,7563
2010-11-01,99D,2787,12256
2010-11-01,07R,543,4370
2010-11-01,00M,6274,19708
2010-11-01,06F,3521,18445
2010-11-01,01J,1429,11862
2010-11-01,14Y,3732,18805
2010-11-01,08A,1984,9368
2010-11-01,01M,0,0
2010-11-01,05Y,3218,11826
2010-11-01,03H,1683,8278
2010-11-01,02F,1691,12100
2010-11-01,00Y,3119,11058
2010-11-01,09W,1289,9505
2010-11-01,03K,3374,10652
2010-11-01,08N,2437,8797
2010-11-01,09E,1424,8525
2010-11-01,13T,6155,34669
2010-11-01,08H,1541,4498
2010-11-01,03F,2141,15006
2010-11-01,07J,2493,11340
2010-11-01,10E,697,7189
2010-11-01,06K,6995,27071
2010-11-01,00L,4028,24129
2010-11-01,02X,3869,21613
2010-11-01,08L,2394,10867
2010-11-01,04E,4768,14239
2010-11-01,03D,2596,9480
2010-11-01,99N,5449,22061
2010-11-01,99G,1004,5966
2010-11-01,05R,2508,13863
2010-11-01,99F,1173,7331
2010-11-01,08F,1644,11247
2010-11-01,11J,5509,39547
2010-11-01,00T,2636,15859
2010-11-01,15E,10947,50653
2010-11-01,05G,4976,11486
2010-11-01,08Q,1786,8850
2010-11-01,00V,1880,9314
2010-11-01,02A,4058,14280
2010-11-01,06L,3211,18578
2010-11-01,09D,2115,10625
2010-11-01,06P,2135,7557
2010-11-01,09L,1214,5566
2010-11-01,09J,2880,11088
2010-11-01,10G,0,0
2010-12-01,08E,2157,13191
2010-12-01,01W,3372,17691
2010-12-01,03J,2229,10771
2010-12-01,10J,1068,7790
2010-12-01,05Y,3427,12542
2010-12-01,08G,2967,11864
2010-12-01,08D,1929,8684
2010-12-01,03A,1910,11087
2010-12-01,00P,2243,25106
2010-12-01,01C,1217,11221
2010-12-01,08N,2646,9262
2010-12-01,09A,1668,5037
2010-12-01,09Y,2620,9744
2010-12-01,09F,894,10690
2010-12-01,07R,601,4816
2010-12-01,02P,6137,19249
2010-12-01,99C,3785,17395
2010-12-01,00K,1888,17957
2010-12-01,02Q,1625,7349
2010-12-01,04M,1246,4934
2010-12-01,10D,490,4087
2010-12-01,00L,4246,26206
2010-12-01,03R,5814,25929
2010-12-01,08V,1408,9544
2010-12-01,10C,531,2786
2010-12-01,09J,3137,12202
2010-12-01,00T,2890,16861
2010-12-01,06L,3571,21465
2010-12-01,01H,2756,22873
2010-12-01,11M,5385,36382
2010-12-01,02E,1302,10166
2010-12-01,01R,1608,9022
2010-12-01,15D,5533,16667
2010-12-01,01T,1032,10970
2010-12-01,03K,3484,11484
2010-12-01,04F,1393,6010
2010-12-01,01X,1278,13307
2010-12-01,05L,5643,22779
2010-12-01,10X,728,8370
2010-12-01,00Q,3462,10539
2010-12-01,04E,5304,15570
2010-12-01,06A,3120,14171
2010-12-01,07K,2953,14356
2010-12-01,05C,2544,14285
2010-12-01,01Y,1809,15445
2010-12-01,03T,4871,20930
2010-12-01,08M,506,14004
2010-12-01,14Y,3863,20317
2010-12-01,02M,4306,15910
2010-12-01,10T,0,0
2010-12-01,04Y,1914,7102
2010-12-01,05H,2397,12808
2010-12-01,99K,1700,8872
2010-12-01,02Y,4520,21228
2010-12-01,99G,1072,6490
2010-12-01,11D,13,126
2010-12-01,09E,1544,9246
2010-12-01,08P,2046,8194
2010-12-01,00C,1719,7206
2010-12-01,09W,1408,10487
2010-12-01,03N,5501,38753
2010-12-01,06K,7598,28797
2010-12-01,10Q,5098,27937
2010-12-01,00X,4075,11350
2010-12-01,04K,3159,13478
2010-12-01,05R,2757,14976
2010-12-01,03Q,3357,15764
2010-12-01,07V,2949,13662
2010-12-01,99E,2952,9837
2010-12-01,08A,2163,9623
2010-12-01,05X,1788,6329
2010-12-01,05Q,1617,11805
2010-12-01,15E,11899,54049
2010-12-01,12D,3357,12074
2010-12-01,06P,2252,7961
2010-12-01,09D,2416,11727
2010-12-01,03D,2701,10058
2010-12-01,11A,3618,25199
2010-12-01,15M,9255,52321
2010-12-01,07P,1887,11363
2010-12-01,08T,1324,7500
2010-12-01,99H,3099,10720
2010-12-01,09N,2099,8018
2010-12-01,04G,5976,40074
2010-12-01,06V,1523,14177
2010-12-01,12F,2286,19599
2010-12-01,07H,4223,14855
2010-12-01,00R,6046,17579
2010-12-01,07M,2826,11370
2010-12-01,08K,2426,10764
2010-12-01,08W,1781,7325
2010-12-01,01A,7123,24769
2010-12-01,04H,2282,8313
2010-12-01,04D,5882,16296
2010-12-01,06F,3753,19191
