month,pct,items,total_list_size,measure
2014-12-01,10A,1125,202064,5.567542956686991
2014-12-01,05R,2268,275466,8.233320990612272
2014-12-01,05G,3827,215266,17.778004886977044
2014-12-01,00M,5343,291392,18.336124533274774
2014-12-01,06L,3277,396569,8.2633791345264
2014-12-01,99E,2274,270212,8.415614406466034
2014-12-01,01D,2188,225267,9.712918447886285
2014-12-01,99K,1181,167379,7.055843325626273
2014-12-01,04Y,1755,133482,13.147840158223579
2014-12-01,99M,1323,221616,5.969785575048732
2014-12-01,06V,1369,169841,8.060480096089872
2014-12-01,00L,2902,322048,9.011079093799681
2014-12-01,06F,2956,455275,6.492779089561254
2014-12-01,06Q,2139,379331,5.6388747558201135
2014-12-01,07P,1365,360465,3.786775415088843
2014-12-01,01C,806,205596,3.9203097336524064
2014-12-01,03Q,2952,348853,8.462016952699273
2014-12-01,09L,1113,177522,6.269645452394633
2014-12-01,05Q,1549,214061,7.236255086167028
2014-12-01,06W,347,226139,1.5344544726915754
2014-12-01,08C,1243,203605,6.104958129711942
2014-12-01,15N,4728,1194584,3.957863155709433
2014-12-01,00R,5335,171611,31.08775078520608
2014-12-01,09H,777,128952,6.025497859668714
2014-12-01,12F,1319,333015,3.9607825473327027
2014-12-01,05N,3460,302426,11.44081527381905
2014-12-01,03M,1490,118520,12.571717853526831
2014-12-01,15M,6069,1029747,5.893680680788582
2014-12-01,00D,5814,288788,20.13241547432719
2014-12-01,04H,1869,130092,14.366755834332626
2014-12-01,05W,5605,283289,19.785448781985895
2014-12-01,06N,5120,623408,8.212919949695868
2014-12-01,99N,4309,482605,8.928626930926951
2014-12-01,09J,2877,256269,11.226484670404925
2014-12-01,08H,689,231848,2.9717746109520036
2014-12-01,04E,3312,187599,17.654678329841847
2014-12-01,15D,4049,443225,9.135315020587736
2014-12-01,00K,1452,292997,4.955682140090172
2014-12-01,03N,4198,588053,7.138812317937329
2014-12-01,04G,4152,650586,6.381938744455
2014-12-01,11M,4170,631230,6.606149897818547
2014-12-01,08A,1583,280551,5.642467857893931
2014-12-01,02A,2504,238008,10.520654767906967
2014-12-01,08W,1223,298493,4.097248511690391
2014-12-01,11A,2804,547391,5.122481005350837
2014-12-01,08D,991,295151,3.3576033962276948
2014-12-01,10C,436,93601,4.658069892415679
2014-12-01,09G,4278,498698,8.578337992131512
2014-12-01,03T,4750,244645,19.41588832798545
2014-12-01,15C,7899,965645,8.18002475029643
2014-12-01,00Y,2629,244723,10.742758138793658
2014-12-01,09W,1217,293846,4.141625205039375
2014-12-01,06T,3481,333328,10.443167090673446
2014-12-01,10L,848,141790,5.980675647083715
2014-12-01,03D,2446,142668,17.144699582246897
2014-12-01,07T,805,291194,2.764480037363407
2014-12-01,15E,8233,1256100,6.554414457447655
2014-12-01,09D,1394,307825,4.528547064078615
2014-12-01,02R,4366,320635,13.616729302789775
2014-12-01,05A,2069,482085,4.29177427217192
2014-12-01,08F,1115,264673,4.212745538834714
2014-12-01,02Y,3694,301674,12.245006198744338
2014-12-01,06M,1262,234828,5.374146183589691
2014-12-01,02Q,1420,113443,12.517299436721526
2014-12-01,01F,841,129491,6.494659860530848
2014-12-01,07G,908,167836,5.410043137348364
2014-12-01,11X,2411,557787,4.32243849354682
2014-12-01,11J,5198,782734,6.640825618920349
2014-12-01,07M,2070,395595,5.2326242748265255
2014-12-01,02H,4772,322152,14.812883359407984
2014-12-01,10X,423,270029,1.5664984131334045
2014-12-01,99D,3379,161508,20.92156425687892
2014-12-01,00X,3010,177295,16.97735412730195
2014-12-01,05Y,2833,274462,10.32201179033892
2014-12-01,07K,2861,242675,11.789430308025135
2014-12-01,99F,1105,181810,6.077773499807489
2014-12-01,01V,630,122927,5.124992881954331
2014-12-01,04F,1171,278392,4.206299031581368
2014-12-01,00T,2254,299393,7.5285661321407
2014-12-01,04C,3060,378379,8.087129571144274
2014-12-01,07Q,1842,337061,5.464886177872849
2014-12-01,09F,796,189919,4.1912604847329655
2014-12-01,99G,772,184948,4.174146246512533
2014-12-01,10E,702,143655,4.88670773728725
2014-12-01,06H,5491,903454,6.077785919371657
2014-12-01,07X,2672,318937,8.377830104377981
2014-12-01,03K,3163,170587,18.541858406560877
2014-12-01,99J,3572,474887,7.5217893941084935
2014-12-01,01J,1192,161730,7.370308538922898
2014-12-01,01T,716,154758,4.626578270590213
2014-12-01,03F,2070,289262,7.1561421825196545
2014-12-01,05F,1292,182991,7.060456525184299
2014-12-01,99A,3976,501448,7.92903750737863
2014-12-01,14L,2903,590421,4.916830532789315
2014-12-01,09A,1279,203113,6.296987391255114
2014-12-01,08E,1522,253965,5.992951784694742
2014-12-01,07R,136,262113,0.5188601862555463
2014-12-01,08Q,1291,305868,4.220774974825742
2014-12-01,08L,983,307423,3.1975486544598164
2014-12-01,05T,3652,297251,12.28591325176366
2014-12-01,04L,1706,137983,12.363841922555679
2014-12-01,01G,2525,257137,9.81966811466261
2014-12-01,07W,3049,416658,7.317752209245954
2014-12-01,08N,1988,296581,6.703059197993129
2014-12-01,05D,2859,137193,20.839255647154012
2014-12-01,00J,2973,249876,11.897901359074103
2014-12-01,12D,3136,228741,13.709829020595347
2014-12-01,08P,1138,207034,5.49668170445434
2014-12-01,10V,1185,210283,5.635262955160426
2014-12-01,08K,1006,375201,2.681229527639852
2014-12-01,07L,726,205619,3.530802114590577
2014-12-01,11N,5829,563195,10.349878816395744
2014-12-01,15A,785,518170,1.514946832120733
2014-12-01,01W,2068,303082,6.823235955945916
2014-12-01,00C,1223,106624,11.470213085234096
2014-12-01,02F,1230,257961,4.768162629234651
2014-12-01,02M,3818,169294,22.5524826632958
2014-12-01,10Q,3524,708823,4.971621970506038
2014-12-01,13T,4385,504015,8.700137892721449
2014-12-01,04D,4618,231118,19.98113517770143
2014-12-01,05V,2660,145853,18.237540537390384
2014-12-01,03V,278,73088,3.803633975481611
2014-12-01,03H,2134,168655,12.653049123951261
2014-12-01,15F,13014,844330,15.413404711427999
2014-12-01,02G,1365,111978,12.189894443551413
2014-12-01,08M,404,371060,1.0887727052228755
2014-12-01,07Y,1512,298647,5.0628333785372055
2014-12-01,08J,644,198773,3.239876643206069
2014-12-01,06Y,1142,217961,5.239469446368846
2014-12-01,04V,3464,373069,9.28514564329923
2014-12-01,14Y,2578,536004,4.809665599510452
2014-12-01,01A,5583,373122,14.96293437535177
2014-12-01,04M,892,104972,8.49750409633045
2014-12-01,09N,1783,221059,8.065720011399671
2014-12-01,01H,2731,323546,8.44083994238841
2014-12-01,06K,6700,582125,11.509555507837668
2014-12-01,09E,1063,217483,4.887738351963142
2014-12-01,03W,3202,319879,10.0100350445012
2014-12-01,06A,2719,263725,10.309981988814103
2014-12-01,04Q,2827,131367,21.519864197248925
2014-12-01,03E,1354,161416,8.388263864796551
