month,pct,dementia_register,items,cost
2016-06-01,00D,2809,1887,13064.610000000002
2011-07-01,00D,2809,1245,53001.15000000001
2014-06-01,00D,2809,1883,18259.689999999995
2013-01-01,00D,2809,1804,22467.149999999998
2012-06-01,00D,2809,1495,55516.70999999999
2014-05-01,00D,2809,1951,17243.409999999996
2018-01-01,00D,2809,1744,10901.138210000001
2016-08-01,00D,2809,1955,17251.25
2015-01-01,00D,2809,1854,17388.84
2015-08-01,00D,2809,1785,14297.650000000007
2017-10-01,00D,2809,1746,12301.145810000002
2015-06-01,00D,2809,1836,15254.109999999997
2017-09-01,00D,2809,1846,11342.78932
2014-09-01,00D,2809,1900,17737.43999999999
2017-08-01,00D,2809,1844,12056.82363
2019-02-01,00D,2809,1639,11395.102069999999
2016-02-01,00D,2809,1812,14325.129999999997
2018-09-01,00D,2809,1629,9924.120200000001
2015-03-01,00D,2809,1986,18187.719999999994
2017-07-01,00D,2809,1806,11972.73288
2010-08-01,00D,2809,1007,44371.930000000015
2010-10-01,00D,2809,1035,45769.60999999999
2012-12-01,00D,2809,1754,22395.620000000017
2017-02-01,00D,2809,1722,11125.57698
2014-12-01,00D,2809,2073,20702.490000000005
2015-05-01,00D,2809,1764,17182.360000000008
2017-12-01,00D,2809,1808,11864.803849999997
2015-11-01,00D,2809,1909,16190.819999999996
2017-01-01,00D,2809,1835,12298.019830000003
2014-03-01,00D,2809,1881,17972.049999999996
2017-04-01,00D,2809,1796,11142.15502
2016-01-01,00D,2809,1895,14865.770000000008
2016-03-01,00D,2809,2009,16380.669999999998
2013-04-01,00D,2809,1776,20186.79
2013-06-01,00D,2809,1693,18565.060000000016
2012-05-01,00D,2809,1655,71180.52999999997
2011-11-01,00D,2809,1392,57940.79999999998
2019-01-01,00D,2809,1686,9597.240869999998
2015-04-01,00D,2809,1851,16400.080000000005
2017-03-01,00D,2809,1995,13726.683149999999
2017-11-01,00D,2809,1800,11719.828409999998
2011-09-01,00D,2809,1355,59128.26000000001
2014-02-01,00D,2809,1691,16238.510000000004
2010-09-01,00D,2809,1114,49617.48000000001
2012-10-01,00D,2809,1799,24070.20000000001
2010-11-01,00D,2809,1130,49531.12999999998
2016-12-01,00D,2809,1927,12910.849999999999
2014-10-01,00D,2809,1973,19265.60000000001
2018-07-01,00D,2809,1734,11405.454800000001
2012-11-01,00D,2809,1708,22922.49999999999
2015-10-01,00D,2809,1914,15977.810000000001
2013-03-01,00D,2809,1775,21849.51
2010-12-01,00D,2809,1193,52323.07000000003
2016-10-01,00D,2809,1871,13350.029999999999
2011-04-01,00D,2809,1202,50612.67
2013-12-01,00D,2809,1945,19201.05999999999
2016-07-01,00D,2809,1952,15681.619999999999
2011-02-01,00D,2809,1049,46145.19999999996
2012-01-01,00D,2809,1414,58045.32
2013-11-01,00D,2809,1854,17778.03000000001
2012-03-01,00D,2809,1600,67686.56000000004
2016-11-01,00D,2809,1990,15074.970000000001
2012-02-01,00D,2809,1411,58520.19999999998
2012-08-01,00D,2809,1718,26023.08000000001
2011-01-01,00D,2809,1072,46774.18
2014-11-01,00D,2809,1779,14817.360000000002
2011-06-01,00D,2809,1246,53797.23000000003
2013-10-01,00D,2809,1874,19672.169999999995
2014-04-01,00D,2809,1861,17732.229999999996
2011-10-01,00D,2809,1326,53786.650000000045
2013-08-01,00D,2809,1753,20745.79
2011-05-01,00D,2809,1188,50545.05000000002
2015-09-01,00D,2809,1806,17435.890000000003
2013-02-01,00D,2809,1606,19884.79999999999
2018-05-01,00D,2809,1698,10718.996169999997
2014-01-01,00D,2809,1959,19678.810000000005
2012-07-01,00D,2809,1589,24641.209999999995
2019-03-01,00D,2809,1679,10050.506859999998
2016-04-01,00D,2809,1957,14736.900000000001
2012-09-01,00D,2809,1555,25665.00999999999
2013-05-01,00D,2809,1880,20977.41000000001
2018-08-01,00D,2809,1760,11072.1149
2011-08-01,00D,2809,1372,57015.33000000001
2013-12-01,00J,1997,1398,14117.819999999992
2013-08-01,00J,1997,1276,13720.670000000002
2015-08-01,00J,1997,1509,9290.24
2017-08-01,00J,1997,1849,10233.10412
2017-11-01,00J,1997,1823,9997.72842
2018-05-01,00J,1997,1914,9161.9405
2017-12-01,00J,1997,1931,10789.221530000003
2014-02-01,00J,1997,1201,11790.769999999999
2016-02-01,00J,1997,1521,7527.27
2017-07-01,00J,1997,1748,10405.491399999999
2017-03-01,00J,1997,1979,9865.24227
2013-01-01,00J,1997,1209,12912.960000000001
2010-08-01,00J,1997,608,28949.469999999987
2017-06-01,00J,1997,1961,10770.15459
2019-03-01,00J,1997,1867,8883.070689999999
2011-03-01,00J,1997,703,31914.62
2014-08-01,00J,1997,1397,12072.179999999991
2012-02-01,00J,1997,839,35506.81999999999
2016-07-01,00J,1997,1629,10233.66
2019-01-01,00J,1997,2027,9348.78137
2013-11-01,00J,1997,1294,12470.720000000003
2013-07-01,00J,1997,1308,13882.499999999993
2013-09-01,00J,1997,1248,12282.910000000009
2018-09-01,00J,1997,1841,9586.160390000001
2015-06-01,00J,1997,1509,9517.74
2012-01-01,00J,1997,884,37534.64999999999
2014-10-01,00J,1997,1542,12436.789999999995
2015-12-01,00J,1997,1650,9493.74
2015-03-01,00J,1997,1517,11481.339999999991
2011-05-01,00J,1997,661,30184.960000000003
2016-04-01,00J,1997,1669,8613.77
2014-05-01,00J,1997,1310,11958.079999999996
2016-05-01,00J,1997,1558,8179.219999999999
2015-10-01,00J,1997,1662,8690.13
2016-12-01,00J,1997,1895,11192.57
2012-11-01,00J,1997,1180,14411.269999999995
2013-10-01,00J,1997,1359,13505.470000000001
2010-11-01,00J,1997,604,29174.730000000003
2012-12-01,00J,1997,1133,12531.329999999996
2014-04-01,00J,1997,1349,11642.870000000004
2018-01-01,00J,1997,1910,11405.456569999998
2016-08-01,00J,1997,1655,9485.88
2017-09-01,00J,1997,1761,9794.82949
2012-07-01,00J,1997,1006,14862.070000000002
2018-08-01,00J,1997,1973,10336.98943
2010-12-01,00J,1997,691,33090.69000000002
2016-09-01,00J,1997,1748,10461.56
2011-01-01,00J,1997,601,28290.16999999999
2013-05-01,00J,1997,1256,14038.110000000004
2013-04-01,00J,1997,1228,14362.699999999997
2016-01-01,00J,1997,1504,7341.009999999998
2015-01-01,00J,1997,1420,10104.309999999998
2015-02-01,00J,1997,1341,10250.76
2012-10-01,00J,1997,1182,12485.179999999997
2011-12-01,00J,1997,887,38900.689999999995
2015-04-01,00J,1997,1541,9834.050000000007
2011-10-01,00J,1997,795,35066.88
2013-02-01,00J,1997,1102,12910.000000000004
2015-11-01,00J,1997,1539,8571.759999999998
2013-06-01,00J,1997,1104,11447.930000000002
2018-12-01,00J,1997,1987,10127.268030000001
2014-12-01,00J,1997,1545,13058.679999999995
2018-04-01,00J,1997,1917,8998.81613
2015-09-01,00J,1997,1572,9213.889999999998
2014-09-01,00J,1997,1419,13577.720000000007
2011-06-01,00J,1997,735,34421.91
2014-06-01,00J,1997,1340,13958.62000000001
2016-10-01,00J,1997,1626,9038.8
2011-02-01,00J,1997,623,28912.899999999976
2018-02-01,00J,1997,1660,8589.07171
2014-11-01,00J,1997,1362,11054.439999999999
2012-09-01,00J,1997,1114,15354.439999999997
2018-11-01,00J,1997,2007,9325.24471
2012-04-01,00J,1997,867,37302.89000000002
2014-01-01,00J,1997,1357,12597.800000000005
2014-03-01,00J,1997,1341,13586.159999999998
2016-06-01,00J,1997,1656,9928.74
2018-03-01,00J,1997,1926,10174.04207
2012-08-01,00J,1997,1113,14501.249999999998
2019-02-01,00J,1997,1777,7470.678960000001
2011-04-01,00J,1997,661,30111.760000000002
2011-09-01,00J,1997,825,36599.00000000001
2017-04-01,00J,1997,1660,9115.47736
2012-05-01,00J,1997,997,41931.12999999998
2011-07-01,00J,1997,679,29993.58
2013-03-01,00J,1997,1193,13767.809999999998
2015-07-01,00J,1997,1634,8904.420000000002
2010-10-01,00J,1997,583,28005.399999999998
2015-05-01,00J,1997,1512,8844.830000000002
2017-05-01,00J,1997,1792,10096.525569999998
2011-11-01,00J,1997,859,37884.01999999999
2017-01-01,00J,1997,1802,8763.525580000001
2012-06-01,00J,1997,961,34765.10000000001
2012-03-01,00J,1997,961,40027.92999999999
2011-08-01,00J,1997,755,33618.149999999994
2017-02-01,00J,1997,1627,8744.791589999999
2014-07-01,00J,1997,1487,13566.540000000006
