pct,month,total_list_size,list_size_over_55
RY2,2015-08-01 00:00:00+00:00,0,0
Q69,2015-08-01 00:00:00+00:00,0,0
04K,2015-08-01 00:00:00+00:00,356363,69816
04E,2015-08-01 00:00:00+00:00,188997,57685
05H,2015-08-01 00:00:00+00:00,185965,59055
110,2015-08-01 00:00:00+00:00,0,0
212,2015-08-01 00:00:00+00:00,0,0
00T,2015-08-01 00:00:00+00:00,301104,81341
08M,2015-08-01 00:00:00+00:00,367759,50210
04G,2015-08-01 00:00:00+00:00,657014,184403
RHA,2015-08-01 00:00:00+00:00,0,0
12F,2015-08-01 00:00:00+00:00,333839,109456
RY3,2015-08-01 00:00:00+00:00,0,0
Q55,2015-08-01 00:00:00+00:00,0,0
10W,2015-08-01 00:00:00+00:00,136356,23690
05T,2015-08-01 00:00:00+00:00,299590,102745
09L,2015-08-01 00:00:00+00:00,178802,50894
NQ7,2015-08-01 00:00:00+00:00,0,0
Q56,2015-08-01 00:00:00+00:00,0,0
08J,2015-08-01 00:00:00+00:00,200442,44495
RXA,2015-08-01 00:00:00+00:00,0,0
10J,2015-08-01 00:00:00+00:00,220859,62818
13P,2015-08-01 00:00:00+00:00,715668,173781
13T,2015-08-01 00:00:00+00:00,506802,134263
R1G,2015-08-01 00:00:00+00:00,0,0
322,2015-08-01 00:00:00+00:00,0,0
08N,2015-08-01 00:00:00+00:00,298459,63459
03L,2015-08-01 00:00:00+00:00,259139,78609
00R,2015-08-01 00:00:00+00:00,171594,55608
RTR,2015-08-01 00:00:00+00:00,0,0
NDA,2015-08-01 00:00:00+00:00,0,0
09H,2015-08-01 00:00:00+00:00,130302,31173
99P,2015-08-01 00:00:00+00:00,899281,313679
09D,2015-08-01 00:00:00+00:00,309535,68879
NYF,2015-08-01 00:00:00+00:00,0,0
05C,2015-08-01 00:00:00+00:00,314929,100230
RYG,2015-08-01 00:00:00+00:00,0,0
413,2015-08-01 00:00:00+00:00,0,0
01A,2015-08-01 00:00:00+00:00,373571,110624
11J,2015-08-01 00:00:00+00:00,783006,284001
02G,2015-08-01 00:00:00+00:00,112007,37170
07N,2015-08-01 00:00:00+00:00,233654,64671
01D,2015-08-01 00:00:00+00:00,229714,61160
01V,2015-08-01 00:00:00+00:00,123373,46984
04X,2015-08-01 00:00:00+00:00,291820,59654
99E,2015-08-01 00:00:00+00:00,272516,78996
07L,2015-08-01 00:00:00+00:00,211198,36137
02V,2015-08-01 00:00:00+00:00,210532,55655
10H,2015-08-01 00:00:00+00:00,337261,100387
03M,2015-08-01 00:00:00+00:00,118858,44304
NQL,2015-08-01 00:00:00+00:00,0,0
NCN,2015-08-01 00:00:00+00:00,0,0
99A,2015-08-01 00:00:00+00:00,505184,130924
00Q,2015-08-01 00:00:00+00:00,170843,42075
09A,2015-08-01 00:00:00+00:00,209470,38607
Q67,2015-08-01 00:00:00+00:00,0,0
04J,2015-08-01 00:00:00+00:00,290740,102784
07Q,2015-08-01 00:00:00+00:00,338555,96732
04D,2015-08-01 00:00:00+00:00,232487,72152
10R,2015-08-01 00:00:00+00:00,218827,53387
04Y,2015-08-01 00:00:00+00:00,132096,41263
03W,2015-08-01 00:00:00+00:00,323145,109627
305,2015-08-01 00:00:00+00:00,0,0
310,2015-08-01 00:00:00+00:00,0,0
04Q,2015-08-01 00:00:00+00:00,131670,45893
04M,2015-08-01 00:00:00+00:00,94617,30594
11C,2015-08-01 00:00:00+00:00,151907,41458
NQT,2015-08-01 00:00:00+00:00,0,0
R1E,2015-08-01 00:00:00+00:00,0,0
03C,2015-08-01 00:00:00+00:00,365269,84567
111,2015-08-01 00:00:00+00:00,0,0
07V,2015-08-01 00:00:00+00:00,398389,90806
06V,2015-08-01 00:00:00+00:00,170620,73809
04C,2015-08-01 00:00:00+00:00,384186,79395
RRE,2015-08-01 00:00:00+00:00,0,0
104,2015-08-01 00:00:00+00:00,0,0
06F,2015-08-01 00:00:00+00:00,460862,131716
01G,2015-08-01 00:00:00+00:00,259428,61940
NR5,2015-08-01 00:00:00+00:00,0,0
07G,2015-08-01 00:00:00+00:00,169783,40959
03V,2015-08-01 00:00:00+00:00,74077,18683
05Y,2015-08-01 00:00:00+00:00,276988,77338
12A,2015-08-01 00:00:00+00:00,264329,77451
AC6,2015-08-01 00:00:00+00:00,0,0
03G,2015-08-01 00:00:00+00:00,270690,68561
99C,2015-08-01 00:00:00+00:00,216387,68800
07M,2015-08-01 00:00:00+00:00,399656,93776
NDJ,2015-08-01 00:00:00+00:00,0,0
05Q,2015-08-01 00:00:00+00:00,216234,71175
09X,2015-08-01 00:00:00+00:00,232834,73679
AKQ,2015-08-01 00:00:00+00:00,0,0
01R,2015-08-01 00:00:00+00:00,179174,56856
RJ1,2015-08-01 00:00:00+00:00,0,0
NTV,2015-08-01 00:00:00+00:00,0,0
03J,2015-08-01 00:00:00+00:00,189742,49207
10M,2015-08-01 00:00:00+00:00,117024,33526
07T,2015-08-01 00:00:00+00:00,295030,43087
RNU,2015-08-01 00:00:00+00:00,0,0
01H,2015-08-01 00:00:00+00:00,521971,188674
00V,2015-08-01 00:00:00+00:00,199072,56894
00L,2015-08-01 00:00:00+00:00,322225,119436
07W,2015-08-01 00:00:00+00:00,424476,81776
02Q,2015-08-01 00:00:00+00:00,114015,38067
09Y,2015-08-01 00:00:00+00:00,363976,101614
11H,2015-08-01 00:00:00+00:00,493930,108697
00M,2015-08-01 00:00:00+00:00,291689,87234
99J,2015-08-01 00:00:00+00:00,477908,145685
03H,2015-08-01 00:00:00+00:00,168866,52831
01Y,2015-08-01 00:00:00+00:00,243518,69298
06A,2015-08-01 00:00:00+00:00,266841,71753
ACV,2015-08-01 00:00:00+00:00,0,0
12D,2015-08-01 00:00:00+00:00,230256,59734
09P,2015-08-01 00:00:00+00:00,185611,69708
07J,2015-08-01 00:00:00+00:00,171125,65874
05X,2015-08-01 00:00:00+00:00,178536,49572
10V,2015-08-01 00:00:00+00:00,211608,74262
02H,2015-08-01 00:00:00+00:00,323073,97174
RY4,2015-08-01 00:00:00+00:00,0,0
414,2015-08-01 00:00:00+00:00,0,0
NKI,2015-08-01 00:00:00+00:00,0,0
02M,2015-08-01 00:00:00+00:00,150742,58809
01X,2015-08-01 00:00:00+00:00,195048,62072
01T,2015-08-01 00:00:00+00:00,154703,48931
00Y,2015-08-01 00:00:00+00:00,246928,63865
04F,2015-08-01 00:00:00+00:00,281727,64594
08H,2015-08-01 00:00:00+00:00,232862,38855
01C,2015-08-01 00:00:00+00:00,205819,72227
07P,2015-08-01 00:00:00+00:00,367886,69991
08R,2015-08-01 00:00:00+00:00,219213,46186
08L,2015-08-01 00:00:00+00:00,310456,55973
08D,2015-08-01 00:00:00+00:00,300289,55116
RGD,2015-08-01 00:00:00+00:00,0,0
10E,2015-08-01 00:00:00+00:00,143046,49261
08F,2015-08-01 00:00:00+00:00,265067,78579
Q52,2015-08-01 00:00:00+00:00,0,0
07R,2015-08-01 00:00:00+00:00,258297,42366
06Y,2015-08-01 00:00:00+00:00,232366,81530
112,2015-08-01 00:00:00+00:00,721,14
07X,2015-08-01 00:00:00+00:00,321990,73037
99N,2015-08-01 00:00:00+00:00,484911,164107
02W,2015-08-01 00:00:00+00:00,121697,14732
09W,2015-08-01 00:00:00+00:00,293415,79752
00W,2015-08-01 00:00:00+00:00,220820,32801
NEN,2015-08-01 00:00:00+00:00,0,0
Q65,2015-08-01 00:00:00+00:00,0,0
RXM,2015-08-01 00:00:00+00:00,0,0
10L,2015-08-01 00:00:00+00:00,142298,56905
R1K,2015-08-01 00:00:00+00:00,0,0
106,2015-08-01 00:00:00+00:00,0,0
AAX,2015-08-01 00:00:00+00:00,0,0
08P,2015-08-01 00:00:00+00:00,208447,50165
Q44,2015-08-01 00:00:00+00:00,0,0
03R,2015-08-01 00:00:00+00:00,362524,108097
06W,2015-08-01 00:00:00+00:00,214846,57897
10T,2015-08-01 00:00:00+00:00,151357,27158
,2015-08-01 00:00:00+00:00,0,0
09J,2015-08-01 00:00:00+00:00,259527,72613
03A,2015-08-01 00:00:00+00:00,243690,68756
11E,2015-08-01 00:00:00+00:00,202738,60576
RNA,2015-08-01 00:00:00+00:00,0,0
06K,2015-08-01 00:00:00+00:00,584184,162770
ACH,2015-08-01 00:00:00+00:00,0,0
99H,2015-08-01 00:00:00+00:00,301651,94127
Q59,2015-08-01 00:00:00+00:00,58,3
03N,2015-08-01 00:00:00+00:00,584291,153636
RJ7,2015-08-01 00:00:00+00:00,0,0
05N,2015-08-01 00:00:00+00:00,303227,113172
10G,2015-08-01 00:00:00+00:00,139861,36575
AC2,2015-08-01 00:00:00+00:00,0,0
ACD,2015-08-01 00:00:00+00:00,0,0
06N,2015-08-01 00:00:00+00:00,628819,168304
00N,2015-08-01 00:00:00+00:00,155206,49646
NI3,2015-08-01 00:00:00+00:00,0,0
01N,2015-08-01 00:00:00+00:00,170656,35617
11X,2015-08-01 00:00:00+00:00,559222,200670
10Y,2015-08-01 00:00:00+00:00,206947,60841
NWE,2015-08-01 00:00:00+00:00,0,0
05W,2015-08-01 00:00:00+00:00,284523,79914
02D,2015-08-01 00:00:00+00:00,103382,31784
RX4,2015-08-01 00:00:00+00:00,0,0
08X,2015-08-01 00:00:00+00:00,381676,59513
11N,2015-08-01 00:00:00+00:00,557077,207082
05L,2015-08-01 00:00:00+00:00,558284,120569
03T,2015-08-01 00:00:00+00:00,245303,95412
06H,2015-08-01 00:00:00+00:00,918196,247224
07H,2015-08-01 00:00:00+00:00,301552,88281
04N,2015-08-01 00:00:00+00:00,123661,40719
03D,2015-08-01 00:00:00+00:00,143158,55571
02E,2015-08-01 00:00:00+00:00,214025,61753
05P,2015-08-01 00:00:00+00:00,242159,75465
08A,2015-08-01 00:00:00+00:00,284409,54028
99M,2015-08-01 00:00:00+00:00,222945,62466
99G,2015-08-01 00:00:00+00:00,184978,55265
5A9,2012-03-01 00:00:00+00:00,2224,693
5QP,2012-03-01 00:00:00+00:00,225,39
5PD,2012-03-01 00:00:00+00:00,901,40
05D,2012-03-01 00:00:00+00:00,133795,39771
5NR,2012-03-01 00:00:00+00:00,4631,1100
5CQ,2012-03-01 00:00:00+00:00,0,0
NR3,2012-03-01 00:00:00+00:00,0,0
5M6,2012-03-01 00:00:00+00:00,2918,893
13J,2012-03-01 00:00:00+00:00,0,0
03R,2012-03-01 00:00:00+00:00,354096,102149
04G,2012-03-01 00:00:00+00:00,631611,172084
5NT,2012-03-01 00:00:00+00:00,5158,341
5PP,2012-03-01 00:00:00+00:00,0,0
218,2012-03-01 00:00:00+00:00,0,0
10M,2012-03-01 00:00:00+00:00,113978,31055
09L,2012-03-01 00:00:00+00:00,168090,47798
5L1,2012-03-01 00:00:00+00:00,2205,678
03Q,2012-03-01 00:00:00+00:00,340472,101876
07Q,2012-03-01 00:00:00+00:00,325795,92458
06Q,2012-03-01 00:00:00+00:00,379032,113611
5QJ,2012-03-01 00:00:00+00:00,0,0
12T,2012-03-01 00:00:00+00:00,0,0
99G,2012-03-01 00:00:00+00:00,184014,53068
99D,2012-03-01 00:00:00+00:00,156440,53389
05X,2012-03-01 00:00:00+00:00,172033,45942
5J6,2012-03-01 00:00:00+00:00,2035,495
99E,2012-03-01 00:00:00+00:00,262252,75103
5C3,2012-03-01 00:00:00+00:00,0,0
RXL,2012-03-01 00:00:00+00:00,0,0
5LF,2012-03-01 00:00:00+00:00,375,67
5MV,2012-03-01 00:00:00+00:00,2566,829
00P,2012-03-01 00:00:00+00:00,284656,83722
5QM,2012-03-01 00:00:00+00:00,4689,2039
06T,2012-03-01 00:00:00+00:00,327542,108386
