pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,percentile
02N,E54000005,Y54,2018-07-01,7098,17138,0.414167347415101,0.10309278350515463
02N,E54000005,Y54,2018-01-01,7751,17646,0.43924968831463224,0.10309278350515463
02N,E54000005,Y54,2018-02-01,6614,15246,0.43381870654597926,0.0979381443298969
02N,E54000005,Y54,2018-05-01,7528,17712,0.42502258355916894,0.10309278350515463
02N,E54000005,Y54,2018-04-01,7290,16963,0.42975888698932974,0.10824742268041238
02N,E54000005,Y54,2018-09-01,6734,16571,0.4063725786011707,0.0979381443298969
02N,E54000005,Y54,2018-03-01,7837,18051,0.43415877236718187,0.10824742268041238
02N,E54000005,Y54,2018-08-01,7527,18169,0.4142770653310584,0.10309278350515463
02N,E54000005,Y54,2018-06-01,7045,16889,0.41713541358280537,0.0979381443298969
02N,E54000005,Y54,2018-11-01,6817,17502,0.389498343046509,0.07731958762886598
02N,E54000005,Y54,2018-10-01,7181,18047,0.3979054690530282,0.08247422680412371
02R,E54000005,Y54,2018-11-01,8337,38086,0.21889933308827392,0.0
02R,E54000005,Y54,2018-02-01,8199,35188,0.23300557008070932,0.0
02R,E54000005,Y54,2018-01-01,9007,38539,0.23371130543086224,0.0
02R,E54000005,Y54,2018-09-01,8147,36794,0.22142197097352828,0.0
02R,E54000005,Y54,2018-04-01,8984,38518,0.23324160132924868,0.0
02R,E54000005,Y54,2018-05-01,8845,38737,0.22833466711412861,0.0
02R,E54000005,Y54,2018-08-01,8904,40054,0.2222998951415589,0.0
02R,E54000005,Y54,2018-10-01,8797,39680,0.22169858870967743,0.0
02R,E54000005,Y54,2018-03-01,8950,38611,0.23179922819921783,0.0
02R,E54000005,Y54,2018-07-01,8668,38010,0.22804525124967115,0.0
02R,E54000005,Y54,2018-06-01,8556,37538,0.2279290319143268,0.0
02T,E54000005,Y54,2018-01-01,11277,26677,0.42272369456835474,0.07731958762886598
02T,E54000005,Y54,2018-02-01,10084,23941,0.4212021218829623,0.08247422680412371
02T,E54000005,Y54,2018-07-01,10399,25784,0.4033121315544524,0.07731958762886598
02T,E54000005,Y54,2018-10-01,10740,27202,0.39482391000661715,0.07731958762886598
02T,E54000005,Y54,2018-03-01,10823,25959,0.41692669209137484,0.07731958762886598
02T,E54000005,Y54,2018-06-01,10205,25023,0.4078248011829117,0.08247422680412371
02T,E54000005,Y54,2018-09-01,9860,24557,0.401514843018284,0.08247422680412371
02T,E54000005,Y54,2018-04-01,10454,25151,0.4156494771579659,0.08247422680412371
02T,E54000005,Y54,2018-11-01,10257,26026,0.3941058941058941,0.08247422680412371
02T,E54000005,Y54,2018-08-01,10589,26465,0.40011335726431135,0.07731958762886598
02T,E54000005,Y54,2018-05-01,10813,26044,0.41518199969282754,0.08247422680412371
02W,E54000005,Y54,2018-02-01,3654,12014,0.30414516397536207,0.020618556701030927
02W,E54000005,Y54,2018-09-01,3780,12981,0.29119482320314305,0.02577319587628866
02W,E54000005,Y54,2018-05-01,4170,13822,0.3016929532629142,0.02577319587628866
02W,E54000005,Y54,2018-11-01,3894,13824,0.2816840277777778,0.020618556701030927
02W,E54000005,Y54,2018-06-01,3911,13145,0.297527577025485,0.02577319587628866
02W,E54000005,Y54,2018-03-01,4023,13009,0.30924744407717736,0.02577319587628866
02W,E54000005,Y54,2018-04-01,4027,13344,0.3017835731414868,0.02577319587628866
02W,E54000005,Y54,2018-07-01,3809,12823,0.29704437339156203,0.02577319587628866
02W,E54000005,Y54,2018-08-01,4198,14246,0.2946792081987926,0.02577319587628866
02W,E54000005,Y54,2018-01-01,4059,12946,0.31353313764869456,0.02577319587628866
02W,E54000005,Y54,2018-10-01,4068,13805,0.2946758420862007,0.02577319587628866
03A,E54000005,Y54,2018-09-01,11012,22753,0.48398013448775984,0.5
03A,E54000005,Y54,2018-10-01,12069,25208,0.4787765788638527,0.4793814432989691
03A,E54000005,Y54,2018-11-01,11687,24448,0.47803501308900526,0.5154639175257731
03A,E54000005,Y54,2018-07-01,12165,24886,0.48882906051595276,0.4896907216494845
03A,E54000005,Y54,2018-08-01,11918,24274,0.49097800115349755,0.5360824742268041
03A,E54000005,Y54,2018-02-01,11025,21774,0.5063378341140811,0.4639175257731959
03A,E54000005,Y54,2018-01-01,11993,23898,0.501841158255921,0.4329896907216495
03A,E54000005,Y54,2018-06-01,11700,23513,0.4975970739590865,0.5309278350515464
03A,E54000005,Y54,2018-03-01,12138,24139,0.5028377314718919,0.4793814432989691
03A,E54000005,Y54,2018-04-01,11757,23711,0.4958458099616212,0.4639175257731959
03A,E54000005,Y54,2018-05-01,11932,24047,0.4961949515532083,0.4793814432989691
03E,E54000005,Y54,2018-01-01,9012,17544,0.5136798905608755,0.4948453608247423
03E,E54000005,Y54,2018-05-01,8768,17638,0.4971085157047284,0.4845360824742268
03E,E54000005,Y54,2018-08-01,8928,18454,0.48379755066652214,0.4639175257731959
03E,E54000005,Y54,2018-11-01,8286,17426,0.47549638471249855,0.4896907216494845
03E,E54000005,Y54,2018-07-01,8368,17052,0.4907342247243725,0.5051546391752577
