month,pct,list_size
2014-06-01,,0.0
2014-06-01,00C,7599.071428571428
2014-06-01,00D,5649.058823529411
2014-06-01,00F,5872.714285714287
2014-06-01,00G,8056.75
2014-06-01,00H,7483.055555555556
2014-06-01,00J,6125.195121951219
2014-06-01,00K,6338.478260869564
2014-06-01,00L,6834.531914893617
2014-06-01,00M,5819.26
2014-06-01,00N,4297.083333333333
2014-06-01,00P,4574.5
2014-06-01,00Q,4703.194444444445
2014-06-01,00R,5736.2
2014-06-01,00T,4585.123076923077
2014-06-01,00V,5183.368421052632
2014-06-01,00W,5466.300000000001
2014-06-01,00X,4899.888888888889
2014-06-01,00Y,4198.586206896552
2014-06-01,01A,5391.188405797102
2014-06-01,01C,7061.51724137931
2014-06-01,01D,4155.759259259259
2014-06-01,01E,5126.487804878048
2014-06-01,01F,5612.304347826087
2014-06-01,01G,4316.372881355932
2014-06-01,01H,5980.275862068966
2014-06-01,01J,3736.0697674418607
2014-06-01,01K,10025.25
2014-06-01,01M,4890.900000000001
2014-06-01,01N,5844.896551724138
2014-06-01,01R,8866.4
2014-06-01,01T,3689.666666666667
2014-06-01,01V,4375.678571428572
2014-06-01,01W,6037.7
2014-06-01,01X,4515.627906976744
2014-06-01,01Y,5625.883720930233
2014-06-01,02A,6584.777777777777
2014-06-01,02D,6405.6875
2014-06-01,02E,8146.269230769231
2014-06-01,02F,6435.200000000001
2014-06-01,02G,4478.04
2014-06-01,02H,4524.802816901409
2014-06-01,02M,6837.681818181818
2014-06-01,02N,6529.625
2014-06-01,02P,5875.325581395347
2014-06-01,02Q,8694.23076923077
2014-06-01,02R,5009.059701492538
2014-06-01,02T,6749.406249999999
2014-06-01,02V,6668.903225806451
2014-06-01,02W,4155.241379310344
2014-06-01,02X,6620.787234042554
2014-06-01,02Y,6845.75
2014-06-01,03A,4936.530612244898
2014-06-01,03C,7730.574468085106
2014-06-01,03D,6473.818181818181
2014-06-01,03E,8451.421052631578
2014-06-01,03F,4250.382352941177
2014-06-01,03G,5659.191489361702
2014-06-01,03H,5102.696969696969
2014-06-01,03J,5228.444444444445
2014-06-01,03K,6803.92
2014-06-01,03L,6450.575000000001
2014-06-01,03M,7385.9375
