year,month,pct,total_items,total_cost,actual_cost_per_1000
2014,2014-08-01,15M,24,1033.6,5.121801351806703
2014,2014-08-01,09E,5,321.01,8.631621403603118
2014,2014-08-01,08V,9,487.7600000000001,6.96193317252109
2014,2014-08-01,08E,17,880.3900000000001,8.709747628139809
2014,2014-08-01,07N,9,461.09000000000003,5.715401301518439
2014,2014-08-01,03K,4,182.26000000000002,6.344112221100631
2014,2014-08-01,05F,5,335.33,21.94855347558581
2014,2014-08-01,05N,13,492.87,4.623806217986003
2014,2014-08-01,03H,5,269.14,7.732797011923574
2014,2014-08-01,99N,9,397.25,4.594450805546882
2014,2014-08-01,01H,5,185.45,4.029506985637616
2014,2014-08-01,09W,14,454.93999999999994,8.022218303650149
2014,2014-08-01,08G,5,275.64,9.176071107560173
2014,2014-08-01,15D,7,640.1400000000001,10.09111545494672
2014,2014-08-01,05G,12,408.71999999999997,5.856929955290611
2014,2014-08-01,04C,22,875.64,6.610749148780359
2014,2014-08-01,02X,3,246.39999999999998,10.7560677492579
2014,2014-08-01,08C,7,376.07000000000005,10.20404287070954
2014,2014-08-01,03N,6,184.21,9.556939040207524
2014,2014-08-01,99J,21,797.57,7.543103040620419
2014,2014-08-01,01R,6,285.15,8.608301886792452
2014,2014-08-01,99M,8,398.86,5.610871186011507
2014,2014-08-01,09A,15,545.28,8.889758387948742
2014,2014-08-01,01C,5,254.47000000000003,5.447053535115697
2014,2014-08-01,07Q,11,885.8199999999999,12.279690034240403
2014,2014-08-01,00J,9,299.37,2.9933407991041077
2014,2014-08-01,07H,9,349.58,5.236290648732044
2014,2014-08-01,07W,14,1256.98,19.45157147057458
2014,2014-08-01,10V,10,665.08,8.308411098202352
2014,2014-08-01,99E,9,459.65,7.405587420248759
2014,2014-08-01,08X,7,345.93000000000006,3.615564706620122
2014,2014-08-01,10J,5,243.89,4.95540158888189
2014,2014-08-01,02T,2,124.47,5.0638730675345816
2014,2014-08-01,02H,1,60.97,8.136927799279327
2014,2014-08-01,11M,51,2311.44,8.830750069723285
2014,2014-08-01,04G,11,521.88,4.792814635221512
2014,2014-08-01,05Q,4,239.91,6.431213810851383
2014,2014-08-01,10K,6,304.86,5.4502547599892734
2014,2014-08-01,03Q,12,462.35,3.2416723341302838
2014,2014-08-01,05X,4,152.44,5.232554148216798
2014,2014-08-01,03F,4,182.92000000000002,5.611042944785276
2014,2014-08-01,03D,8,243.90000000000003,8.052162429844834
2014,2014-08-01,07J,8,335.34000000000003,6.797065023512243
2014,2014-08-01,07Y,16,1905.05,40.76630074254777
2014,2014-08-01,10R,3,215.92000000000002,5.380647412095991
2014,2014-08-01,15E,31,1483.0900000000004,6.912174569588279
2014,2014-08-01,00N,2,93.99,6.1327156466135975
2014,2014-08-01,10A,4,132.54,3.8518992124153564
2014,2014-08-01,06P,13,561.22,6.462317922735909
2014,2014-08-01,05L,6,424.58000000000004,15.37887568820632
2014,2014-08-01,11E,7,356.51,5.648309515510631
2014,2014-08-01,99A,6,207.95,6.971637387689419
2014,2014-08-01,09H,5,243.89,5.335944166101473
2014,2014-08-01,01E,1,60.97,3.7226767615093417
2014,2014-08-01,15N,46,2238.7400000000002,7.075149404436467
2014,2014-08-01,06Y,9,391.74,6.562138800944771
2014,2014-08-01,05T,8,307.37,6.380677572033547
2014,2014-08-01,07P,7,594.5999999999999,14.16624973197055
2014,2014-08-01,08Y,9,692.3199999999999,13.51501190801546
2014,2014-08-01,02W,6,331.09000000000003,14.54062362758015
2014,2014-08-01,03T,9,376.43,6.7762956562438115
2014,2014-08-01,13T,13,579.08,8.634350723902962
2014,2014-08-01,01W,4,284.94,7.865621376911611
2014,2014-08-01,04D,5,185.44,9.113874281220818
2014,2014-08-01,01J,3,124.47999999999999,3.2902492532973855
2014,2014-08-01,05R,3,91.47,2.605611736219912
2014,2014-08-01,07X,14,629.73,7.189683518290177
2014,2014-08-01,07V,11,741.98,7.806207259337191
2014,2014-08-01,09F,6,304.86,7.9032508943848185
2014,2014-08-01,08K,12,781.72,8.325292607857547
2014,2014-08-01,03R,18,1134.2800000000002,9.873607242339835
2014,2014-08-01,03A,7,429.32000000000005,7.125524887553735
2014,2014-08-01,06H,23,1024.7400000000002,5.329748059999584
2014,2014-08-01,12D,3,141.95,4.8658005690192985
2014,2014-08-01,99G,10,673.1800000000001,9.216467463479416
2014,2014-08-01,05A,4,215.94,6.096039296502273
2014,2014-08-01,10E,6,371.81,7.945167425262304
2014,2014-08-01,01D,3,121.94999999999999,9.627378226888766
2014,2014-08-01,11A,13,762.0800000000002,6.093763743513063
2014,2014-08-01,15F,19,1072.66,7.393524996381332
2014,2014-08-01,01K,2,174.45,10.964112877883224
2014,2014-08-01,05Y,2,121.94,12.162377817674047
2014,2014-08-01,02A,1,30.49,3.3260608705137997
2014,2014-08-01,00Q,5,272.44,7.080961663417804
2014,2014-08-01,01A,3,280.01,11.983138614285103
2014,2014-08-01,04V,18,684.21,6.630391596329209
2014,2014-08-01,02N,6,239.64,6.231699388896112
2014,2014-08-01,01G,7,195.08,3.4518269485977178
2014,2014-08-01,02Y,11,408.17999999999995,3.9914729667621716
2014,2014-08-01,03L,4,241.95000000000002,6.11865564069494
2014,2014-08-01,08F,15,758.31,10.58781642255763
2014,2014-08-01,09P,3,119.22999999999999,4.573280656668328
2014,2014-08-01,06F,17,758.1400000000001,6.08810869844533
2014,2014-08-01,11J,17,732.0300000000001,6.477167151844413
2014,2014-08-01,00D,9,430.61,6.440568958554571
2014,2014-08-01,05V,6,243.86999999999998,7.798848736808442
2014,2014-08-01,08Q,11,698.1099999999999,11.600943882214134
2014,2014-08-01,07G,4,182.92,8.795922292748605
2014,2014-08-01,07R,17,808.74,6.64983801739874
2014,2014-08-01,02F,4,121.27,4.24659453023777
2014,2014-08-01,01T,1,30.49,5.788874121891019
2014,2014-08-01,06V,8,230.71,3.7089850971818077
2014,2014-08-01,08N,13,639.5500000000001,6.956469718064741
2014,2014-08-01,10L,7,365.83,15.484867724867724
2014,2014-08-01,04E,2,60.98,2.5568134171907757
2014,2014-08-01,15C,19,1024.2,6.240517666843366
2014,2014-08-01,99K,9,370.15,7.743885855352622
2014,2014-08-01,99D,5,243.87,4.3356979038882075
2014,2014-08-01,07M,21,1049.3000000000002,9.099975717209562
2014,2014-08-01,09J,9,446.6,6.2432723358449955
2014,2014-08-01,12F,4,279.41999999999996,13.209473833498793
2014,2014-08-01,00K,4,132.54,2.9694186176767112
2014,2014-08-01,06M,3,210.07999999999998,7.724097360100007
2014,2014-08-01,10C,3,121.94999999999999,3.092665855143031
2014,2014-08-01,06Q,8,433.12,6.749150746408202
2014,2014-08-01,01F,2,91.46,5.811042632949996
2014,2014-08-01,08R,5,307.38,5.16136615508614
2014,2014-08-01,04N,5,279.42,6.383241193402477
2014,2014-08-01,02M,3,123.22,6.349255423300871
2014,2014-08-01,08A,12,540.5,8.54626525836443
2014,2014-08-01,03V,2,60.98,1.2891905033720217
2014,2014-08-01,15A,9,458.56000000000006,4.637352857894099
2014,2014-08-01,06N,20,1132.37,6.297101610463564
2014,2014-08-01,05C,6,431.84,10.118325171630076
2014,2014-08-01,06D,1,30.49,4.436199621708133
2014,2014-08-01,03E,6,239.64000000000001,5.644697790549772
2014,2014-08-01,06L,7,318.01,6.405164253056457
2014,2014-08-01,07K,2,62.23,1.7173055164610755
2014,2014-08-01,99F,2,41.08,1.9354534746760894
2014,2014-08-01,00C,1,30.49,3.0224028548770816
2014,2014-08-01,02R,5,213.41,4.348738639605494
2014,2014-08-01,10D,3,153.7,7.598754140505265
2014,2014-08-01,00L,14,670.6500000000001,10.303267732866297
2014,2014-08-01,08H,5,347.16999999999996,7.839272004696743
2014,2014-08-01,05W,25,790.4600000000002,6.611629696543881
2014,2014-08-01,08W,13,721.8700000000001,10.147031950633252
2014,2014-08-01,06K,16,640.83,5.67317055896882
2014,2014-08-01,09L,4,163.01999999999998,4.570483346416956
2014,2014-08-01,00X,4,214.0,5.1664614567489915
2014,2014-08-01,10X,3,166.81,9.011885467314965
2014,2014-08-01,03M,1,30.48,3.7952932387000375
2014,2014-08-01,00T,6,254.48,11.405010531976874
2014,2014-08-01,11X,23,1204.66,7.3064162982101815
2014,2014-08-01,04K,5,362.84000000000003,13.930203094406266
2014,2014-08-01,06T,10,348.5,5.059376905432479
2014,2014-08-01,04L,2,62.25,3.81854987118145
2014,2014-08-01,04Y,4,152.44,4.425477559077978
2014,2014-08-01,04M,3,91.47,6.690805354399825
2014,2014-08-01,09X,8,335.36,7.496758617606295
2014,2014-08-01,09N,5,214.67,4.56239904786194
2014,2014-08-01,06W,5,274.37,7.316338230980508
2014,2014-08-01,08J,4,131.25,3.4570405099299375
2014,2014-08-01,10Q,15,732.9300000000001,7.352681527256676
2014,2014-08-01,05D,7,365.15,6.722944360570018
2014,2014-08-01,09Y,3,152.43,6.229260318757663
2014,2014-08-01,02P,1,63.5,6.565343258891646
2014,2014-08-01,00Y,4,307.97,11.794194240196079
2014,2014-08-01,99H,5,243.89,6.083561985532552
2014,2014-08-01,03J,3,152.43,4.613638427313176
2014,2014-08-01,00M,9,330.48,6.670165099099827
2014,2014-08-01,14Y,4,193.5,3.7368197443126956
2014,2014-08-01,00V,3,89.53999999999999,3.6080106378692025
2014,2014-08-01,02E,4,336.58,11.571890256480781
2014,2014-08-01,08T,4,150.51,4.690246182611405
2014,2014-08-01,08M,9,550.0,9.868125953171257
2014,2014-08-01,09C,3,121.94,2.8326519234343057
2014,2014-08-01,07L,7,207.14999999999998,8.248387353667278
2014,2014-08-01,00P,14,301.15000000000003,4.61334599712001
2014,2014-08-01,09G,16,848.88,5.91084434665144
2014,2014-08-01,09D,6,726.85,16.150786596746958
2014,2014-08-01,04Q,2,103.3,9.313858083130466
2014,2014-08-01,02G,1,30.49,5.752830188679245
2014,2014-08-01,14L,4,123.22999999999999,7.404759043384208
2014,2014-08-01,05J,1,121.93,21.87085201793722
2014,2014-08-01,99C,1,57.0,6.669006669006669
2014,2014-08-01,11N,21,749.3900000000001,4.15572820487226
2014,2014-08-01,07T,10,551.27,8.244522545427353
2014,2014-08-01,04F,5,253.04999999999998,4.789076250496792
2014,2014-08-01,05H,1,60.97,4.057633435378677
2014,2014-08-01,08D,9,515.28,9.884329861310928
2014,2014-08-01,04H,6,273.62,11.269357495881383
2014,2014-08-01,01Y,1,60.97,6.504854368932039
2014,2014-08-01,08P,8,274.4,6.381543756831554
