year,month,pct,total_items,total_cost
2010,2010-08-01,99K,3,97.63999999999999
2010,2010-08-01,05R,7,279.6
2010,2010-08-01,05X,2,244.51
2010,2010-08-01,08M,2,62.019999999999996
2010,2010-08-01,04H,2,64.10000000000001
2010,2010-08-01,13T,15,265.94
2010,2010-08-01,03R,14,748.99
2010,2010-08-01,00T,3,117.19999999999999
2010,2010-08-01,02H,1,316.12
2010,2010-08-01,12D,4,72.19
2010,2010-08-01,99F,6,117.6
2010,2010-08-01,09G,15,531.47
2010,2010-08-01,05D,3,68.53
2010,2010-08-01,07W,15,636.09
2010,2010-08-01,10J,6,213.82999999999998
2010,2010-08-01,08Y,4,332.92
2010,2010-08-01,09Y,3,328.85
2010,2010-08-01,10R,2,92.37
2010,2010-08-01,08T,3,91.14
2010,2010-08-01,99D,7,284.54
2010,2010-08-01,06T,5,66.79
2010,2010-08-01,15D,3,187.43
2010,2010-08-01,03D,5,217.55
2010,2010-08-01,10V,5,138.54
2010,2010-08-01,14L,3,133.29
2010,2010-08-01,06K,17,643.1199999999999
2010,2010-08-01,04V,6,313.77
2010,2010-08-01,08X,3,121.49
2010,2010-08-01,08J,6,213.12
2010,2010-08-01,5P9,1,7.25
2010,2010-08-01,99C,1,30.38
2010,2010-08-01,08P,1,9.43
2010,2010-08-01,03H,9,465.51000000000005
2010,2010-08-01,03E,3,147.6
2010,2010-08-01,99G,5,163.7
2010,2010-08-01,03J,2,54.5
2010,2010-08-01,00X,4,252.0
2010,2010-08-01,06V,3,103.25
2010,2010-08-01,99M,5,279.6
2010,2010-08-01,09P,4,124.03999999999999
2010,2010-08-01,00L,4,218.83999999999997
2010,2010-08-01,09W,7,204.80999999999997
2010,2010-08-01,02T,3,249.19
2010,2010-08-01,03N,4,163.79000000000002
2010,2010-08-01,02F,2,91.11
2010,2010-08-01,10A,2,4.55
2010,2010-08-01,08D,10,437.79999999999995
2010,2010-08-01,03L,5,184.22
2010,2010-08-01,07N,4,224.35999999999999
2010,2010-08-01,02R,5,182.76
2010,2010-08-01,07Y,9,377.78000000000003
2010,2010-08-01,03K,6,107.4
2010,2010-08-01,10X,3,139.28
2010,2010-08-01,00J,8,397.03000000000003
2010,2010-08-01,06W,2,19.9
2010,2010-08-01,15E,20,610.2
2010,2010-08-01,11M,20,966.31
2010,2010-08-01,07V,5,300.78000000000003
2010,2010-08-01,01H,2,91.11
2010,2010-08-01,10D,1,30.38
2010,2010-08-01,02X,1,31.61
2010,2010-08-01,99A,12,410.65999999999997
2010,2010-08-01,01E,2,78.94
2010,2010-08-01,10C,1,2.65
2010,2010-08-01,07T,8,354.81
2010,2010-08-01,11N,6,142.17
2010,2010-08-01,07P,6,234.58999999999997
2010,2010-08-01,09D,9,390.75
2010,2010-08-01,01K,17,258.65000000000003
2010,2010-08-01,09L,5,220.16
2010,2010-08-01,99E,3,77.86
2010,2010-08-01,15F,13,573.71
2010,2010-08-01,11A,5,138.07
2010,2010-08-01,05N,5,196.57
2010,2010-08-01,03V,1,31.64
2010,2010-08-01,04N,3,82.25999999999999
2010,2010-08-01,11X,12,614.85
2010,2010-08-01,04E,2,60.76
2010,2010-08-01,02N,1,31.64
2010,2010-08-01,99J,12,534.35
2010,2010-08-01,99N,6,145.24
2010,2010-08-01,08N,13,544.9799999999999
2010,2010-08-01,02Y,8,223.99
2010,2010-08-01,10Q,4,195.22000000000003
2010,2010-08-01,09A,6,306.21
2010,2010-08-01,99H,8,311.65999999999997
2010,2010-08-01,04C,15,629.87
