bnf_name,bnf_code,total_items,total_cost
Vivomixx_Cap,091104000BBNVA0,147,3704.16729
VSL#3_Probiotic Food Supp Pdr Sach 4.4g,091104000BBNMA0,19052,1021091.3553400001
Vivomixx_Pdr Sach 4.4g,091104000BBNUA0,689,36117.890629999994
