pct,seven_day,all_QI,percent_7_day
02T,2816114,61524488,0.045772246003900105
08Y,1894067,41581177,0.04555106749383261
07N,2737504,60427751,0.045302099692573365
08N,3008117,66795065,0.04503501867989798
RL4,525,11706,0.04484879548949257
RYF,1750,39088,0.04477077363896848
08G,2830842,64010989,0.04422431279729173
00L,4237562,95875604,0.044198542936949844
04D,2836428,64466424,0.04399853170078117
09J,2650403,60438512,0.04385288307561245
RE9,126,2875,0.04382608695652174
14H,28,644,0.043478260869565216
R1F,875,20158,0.04340708403611469
11M,6807206,158811441,0.04286344835823258
03N,6256019,148778912,0.042049097657065805
RY2,2884,71150,0.040534082923401264
06N,5872566,145311326,0.04041368392715651
RTV,42,1043,0.040268456375838924
10R,2067709,52512616,0.0393754712200969
NMS,98,2526,0.038796516231195566
05Q,2139144,56444421,0.037898236213637485
08A,2167655,57232311,0.03787467187896711
05T,2918447,78825524,0.037024137004151095
03F,2535589,69089881,0.03669986057726746
RLY,70,1944,0.0360082304526749
03T,3036047,86375332,0.035149468369047775
01E,1465051,41804955,0.03504491273821488
06K,4877411,140171060,0.03479613409501219
ACH,42,1226,0.03425774877650897
07M,2898497,84614675,0.03425525182245279
10Q,5395320,158641674,0.034009474710913604
NQ7,2723,81117,0.03356879569017592
04Q,1383872,41523084,0.03332777497933439
RNU,1512,46860,0.032266325224071704
NCN,147,4578,0.03211009174311927
RMC,49,1546,0.03169469598965071
08F,2152192,69319430,0.0310474566798948
NI3,189,6104,0.03096330275229358
AKV,42,1358,0.030927835051546393
08W,1649340,54714631,0.030144405067814493
03H,1520386,50697845,0.02998916423370658
08E,1935283,65055376,0.02974824094476066
00M,2230872,79318850,0.028125369946740277
07T,1299949,46666634,0.02785606949924865
RH8,63,2271,0.02774108322324967
99J,3135629,113956781,0.02751594922640014
R1A,182,6760,0.026923076923076925
01W,1843205,69267274,0.02661004098414498
RCD,735,27636,0.026595744680851064
02D,817614,31367867,0.02606533622448731
15D,2164288,84432731,0.02563328195554873
99K,1144640,44753976,0.025576275055427478
NR3,308,12061,0.025536854323853744
03M,851074,33892862,0.025110715052626714
14L,3194156,129790084,0.024610169756882197
R1K,70,2924,0.023939808481532147
15N,8292984,351856370,0.023569230819950767
00R,1329174,57237358,0.023222141035929716
05F,1176182,51103184,0.023015826176310268
RJ8,637,27705,0.022992239667929976
09W,1551543,68405351,0.022681602788647337
10J,1255555,55829893,0.022488937960171266
06W,854168,38684507,0.022080364110624442
