pct_id,numerator_items,denominator_items,calc_value_items,numerator_cost,denominator_cost,savings_10,savings_20,savings_30,savings_40,savings_50,savings_60,savings_70,savings_80,savings_90,measure_id
00Q,1384,5821,0.24405652858503588,80143.46095000001,117643.09338,51884.58728693986,47152.97236238989,43604.2044356625,38960.78349898924,34840.03697472199,29728.157552511577,24018.00573947053,16965.850231078934,7296.478033286022,keppra
00R,1056,12264,0.10866129905904422,55211.51834999999,125004.255,22135.692461379716,14845.078122102945,9366.879630597701,2178.248993179627,-4175.144737844707,-12034.764732545627,-20801.791508892515,-31685.778032314553,-46711.54421307293,keppra
00X,972,6787,0.15852410600944725,61709.77321000001,109451.21724,33504.65432904469,27874.54809194208,23635.350716198813,18069.809227129736,13152.366956373575,7067.785047511677,253.4525827958114,-8163.476929363205,-19755.529953173642,keppra
01A,4180,15406,0.31006022599236344,267729.21884,354503.961,186560.62614513884,173992.96583287814,164623.7518707886,152310.46570754616,141382.50021978578,127849.68135297242,112787.11003498081,94076.30143513302,68395.97378951756,keppra
01E,1547,9831,0.1968036271698753,97222.67095,154118.54106000002,59005.309381701416,51828.953220443036,46432.36786705639,39359.419738628625,33115.350163836716,25364.81623519025,16714.910513760085,6036.967871417104,-8689.191442026911,keppra
01K,2585,13607,0.20959333365902,165418.39810999998,249239.88391000003,104041.6698715974,92412.40149341399,83748.10331382426,72354.18416474857,62257.53995514844,49731.59036486786,35763.01088450809,18509.706583688287,-5254.994796768637,keppra
02G,526,3086,0.21326720396776194,38572.90695,57910.58370000001,24359.729341198195,21727.50719262346,19729.660382895905,17125.20883035461,14816.257186754729,11970.611510611212,8774.008216272216,4804.588620833306,-609.5426772457267,keppra
02M,1701,10639,0.13376733549719683,66884.83065,124517.80191000001,33424.522464851354,26011.556855619554,20486.386535803234,13252.045670947457,6825.698738889287,-1165.863376520584,-10051.467989231305,-21030.68382362159,-36097.13085886263,keppra
02N,674,6937,0.1313628564841922,58745.74034,111062.39073,28645.64434270881,22037.734188236616,17093.715282847985,10600.887192773085,4862.281577217162,-2243.4855207880137,-10198.656687014502,-20023.899483318804,-33519.75099572021,keppra
02R,2894,16511,0.19465967407366136,154909.81855,243097.91117999997,94051.97203900614,82372.33377314098,73666.0789512511,62229.82140235689,52082.6638677044,39519.08990035836,25510.738230970277,8174.556385225669,-15693.08082579982,keppra
02T,1599,10282,0.22120517243664636,102001.67886,151512.75475,64926.79359793822,58122.74090791994,53069.22303735067,46461.48564583582,40579.37451945234,33273.648675468874,25143.29772426442,15124.728113047198,1307.3489532600142,keppra
02W,520,5312,0.10166592322523327,26458.726920000005,57659.072570000004,10050.023169957796,6193.679908686465,3320.318800987078,-433.1525529310293,-3779.884363785272,-7914.733700030736,-12543.622328545116,-18248.70157275072,-26072.299962714278,keppra
03A,1564,8987,0.21243619860119384,79292.66702000001,121720.49496000001,49400.915750892615,43958.57593961126,39901.023729997454,34585.38267858587,29869.27346428177,24024.149305405343,17495.264574879257,9440.133323032263,-1665.0757917459305,keppra
03E,1057,6174,0.19176084177921116,80877.09235,126752.91798000003,49003.506870699515,42826.578395498815,38143.19271130666,32027.66265987527,26631.29576453268,19942.997023136686,12466.0157731568,3244.938730179547,-9493.280927389937,keppra
03J,1225,7926,0.212391587282491,92493.79469,137255.88981,58734.6735619925,52304.04029862906,47484.87148018358,41146.15456270611,35541.66969541644,28601.88264479432,20850.22652619078,11237.509417734465,-1946.8179425110393,keppra
03R,798,16441,0.061960937839836444,63944.584240000004,202778.06227999998,4294.982213748159,-10762.365952738706,-22037.204640182594,-36848.8806800481,-49954.38063255261,-66191.15410753072,-84314.57505117534,-106711.04122713517,-137555.6276231961,keppra
15F,5610,43161,0.1920879051500259,446970.97529,713941.76831,268889.21195438365,234944.27613293842,209544.89291936375,176221.91126635188,146734.6458053569,110112.70447806935,69327.43855926146,18862.489817856236,-50634.29175410715,keppra
02Y,1257,10323,0.14391867935073285,71454.18136,140253.64695,36383.38081473578,29301.011110287232,23987.258336124192,17007.647033821995,10838.116543021553,3220.0506125110023,-5318.474800049928,-15853.131960864968,-30401.531966618255,keppra
03F,1071,15511,0.08421797146844667,56375.16054999999,146246.05429,15355.170869651689,5660.146501093693,-1599.1181086198067,-11148.636527619386,-19574.162543684226,-30045.897265665062,-41703.62018069308,-56087.45285514626,-75996.92855332031,keppra
03H,370,6389,0.08225863358595481,26846.677539999997,65458.498849999996,7147.907993601988,2302.880376645842,-1322.878189370827,-6080.919354855544,-10292.286970606787,-15506.945982436428,-21319.183071386396,-28519.812530819483,-38460.446792008166,keppra
03K,791,6248,0.12397045018570671,38831.2512,76957.99579999999,18023.170385061476,13430.202559927242,10001.354348622526,5504.1731914198035,1504.805154373973,-3432.4706784545187,-8959.21592475134,-15787.246311081202,-25161.047056119583,keppra
03M,1140,5222,0.2444581770568836,58042.31452,88032.71392000001,36973.58049315578,33620.26419807065,31106.055046306243,27802.78085005144,24882.985435986862,21274.413495015495,17242.856866797756,12258.99858500202,5376.105338063041,keppra
03Q,2276,10536,0.269529811134755,177132.99863999998,242940.58768,120005.29027866424,110364.8783935046,103140.6684955589,93671.92254782595,85301.23261095182,74924.66183371229,63347.308384939315,49058.21770695982,29297.17198838145,keppra
00T,2715,8927,0.34185513555274094,173011.9668,217927.89567,124205.9404096596,116754.85245198972,111173.35592217818,103866.13397229365,97401.5546141135,89366.99767588548,80430.51959835314,69392.23237150189,54124.55350758537,keppra
00V,1254,6713,0.22124347863579527,93575.49904999998,139746.2649,59819.08712811282,53671.05726232384,49019.352618430115,42929.85227064325,37562.201303054855,30907.634053876245,23472.72374613263,14279.844007066105,1599.640000839363,keppra
