pct_id,numerator_items,denominator_items,calc_value_items,numerator_cost,denominator_cost,savings_10,savings_20,savings_30,savings_40,savings_50,savings_60,savings_70,savings_80,savings_90,measure_id
00Q,1462,6844,0.22367458892553002,10934.45368,25807.333629999997,3645.728049492291,2032.3547807582386,715.1353816162887,-915.4477072714783,-2795.5756352552326,-5715.678383750483,-8375.768176666392,-11883.939231697139,-18113.731716661394,desogestrel
00R,2751,7047,0.3855965207361213,21094.8738,37376.17246,7957.513304191273,6437.624717613866,5185.84382737235,3636.2842991896587,1864.2259581195594,-917.2278637776253,-3439.56116361961,-6758.3761916879885,-12701.930193338865,desogestrel
00X,1428,10260,0.15323671826467308,14887.924449999999,42022.36408,3379.2132520464615,-138.4243292225483,-3028.354257898476,-6600.819972415598,-10706.757090874118,-17166.730402455378,-22928.30590312108,-30642.24390926182,-44236.399916288276,desogestrel
01A,1845,17619,0.10204533485021847,17296.36893,66150.06796000001,89.58973667160535,-6132.540897783967,-11241.497908134937,-17559.5963533814,-24811.33320216418,-36223.93959238488,-46452.92551978733,-60068.253066619465,-84168.86140033285,desogestrel
01E,1894,8482,0.24333245115563812,23508.96182,47004.237989999994,9249.856362383434,5704.665671742498,2773.784887025084,-848.0266011697058,-5027.41934241623,-11534.325427489159,-17381.698279999033,-25177.42735873699,-38928.68908463935,desogestrel
01K,3320,20586,0.16533697510372022,22752.33641,76005.24429000002,4721.655492583341,734.5118175129965,-2546.0277002348475,-6598.102523639225,-11272.272623830446,-18564.618824240177,-25128.674119716332,-33858.080376939695,-49318.636810594544,desogestrel
02G,1150,4845,0.2365833472352018,12456.68099,25266.16749,4815.617630748281,2868.318090565701,1269.239159964593,-716.2587509172779,-2983.7386774704296,-6531.833785888383,-9729.320508803876,-13997.673442180663,-21508.394988202548,desogestrel
02M,2943,6269,0.46891690876236686,23986.34207,37048.684890000004,9749.337583219147,8307.99839506744,7129.035850286164,5663.76309443867,3981.5599583420385,1344.2904074554426,-1010.3988708050997,-4166.894074655687,-9713.266228115583,desogestrel
02N,2624,7300,0.3626220694670499,15899.532659999999,31950.405189999998,4827.048140419825,3820.4024936333103,2993.3091273022314,1973.0209493513971,795.2015236584648,-1041.1396801583428,-2710.093090219142,-4903.87523791188,-8820.791653620247,desogestrel
02R,9956,13431,0.7569719997159846,68845.48614000001,80942.2023,27038.691973420107,24806.954019957724,22976.287147200106,20710.986235239554,18103.464614865243,14037.376968020024,10357.010253067143,5489.182293717027,-3154.6709409998157,desogestrel
02T,4171,10345,0.3853799821229474,30112.84271,56544.33004000001,9925.312675048048,8007.714960601682,6440.864629994096,4505.514992980122,2295.509228218217,-1175.8995073961432,-4357.464606452577,-8503.239079039937,-16001.299037711797,desogestrel
02W,1286,2076,0.6234637016977398,8119.326959999999,10484.73402,3519.727910303797,3154.1284748142493,2851.9797937980743,2477.014384656989,2047.039240480232,1370.9637214657023,768.3631632204957,-38.71150886809255,-1455.2731671220918,desogestrel
03A,10689,13363,0.834445372088697,69347.10282,77312.00352,25608.376014515212,23708.40420401501,22157.354170805003,20228.51097393827,18021.17664566936,14581.568633887207,11468.913613801942,7331.209753735864,24.62487646507634,desogestrel
03E,4420,8968,0.48847553909427616,23150.4012,38477.17434,6723.2949231681705,5781.340605660857,5009.865645648091,4055.0290966077055,2958.301028351229,1248.1871053411742,-314.91260956755605,-2359.663566950522,-6028.634845017927,desogestrel
03J,7792,9054,0.8755703815488488,45848.27213000001,49810.840240000005,15746.539529254469,14641.15145053368,13734.35559772626,12612.13106687395,11321.366238058576,9310.109739769996,7504.525410031416,5091.130577241485,834.7888892275764,desogestrel
03R,7119,23867,0.31600298994714154,54057.38154,114105.55286000001,17855.23052505723,13349.594037868786,9650.67206988428,5094.351162703901,-154.61399061076554,-8361.211775823054,-15801.502744199657,-25606.945806183703,-43188.71135145877,desogestrel
15F,11924,44756,0.2871202569703385,95648.22894,224516.95447,28203.24506191744,19963.15112718028,13188.41684527688,4827.371330769503,-4740.748417305014,-19783.989266862627,-33418.53666557499,-51365.82994859107,-83583.42169924425,desogestrel
02Y,3428,18013,0.1922220212084151,20731.03181,59323.93403,5444.605419933738,2190.5444532996426,-476.76262583745574,-3784.67436252263,-7577.608454576187,-13523.107109405402,-18878.356512558035,-25983.442692912347,-38581.40467985062,desogestrel
03F,3184,14226,0.2263480946165356,22590.3544,55731.01252999999,7114.395621616915,4031.426220229688,1503.489335154426,-1617.70310278549,-5199.839103375571,-10829.299031857383,-15909.472830891209,-22628.800424322773,-34599.76640041484,desogestrel
03H,874,8692,0.12363223036634297,7567.689480000001,31094.88817,741.2388291421335,-1123.005777567248,-2658.1843393416025,-4561.567494595365,-6734.834638657507,-10135.70856048663,-13197.368348099044,-17287.72327503461,-24496.11894059673,desogestrel
03K,2904,10934,0.27036735060106776,16061.94843,36433.00908,5320.168975700812,3622.1240945764116,2223.0922848946193,494.1810830022823,-1498.67329163349,-4608.653888424629,-7417.9519564831735,-11134.190701471229,-17740.882311073343,desogestrel
