pct_id,numerator,denominator,calc_value,measure_id
00Q,9392,44344,0.21179866498286126,ktt13_nsaids_ibuprofen
00R,8482,45839,0.18503894064006632,ktt13_nsaids_ibuprofen
00X,7234,34778,0.20800506067053884,ktt13_nsaids_ibuprofen
01A,19390,86340,0.22457725272179754,ktt13_nsaids_ibuprofen
01E,5853,33776,0.17328872572240644,ktt13_nsaids_ibuprofen
01K,14393,81327,0.17697689574188155,ktt13_nsaids_ibuprofen
02G,4030,16586,0.242976003858676,ktt13_nsaids_ibuprofen
02M,7223,40340,0.17905304908279623,ktt13_nsaids_ibuprofen
02N,4466,26193,0.17050356965601496,ktt13_nsaids_ibuprofen
02R,11657,66947,0.1741228135689426,ktt13_nsaids_ibuprofen
02T,9310,49186,0.18928150286666937,ktt13_nsaids_ibuprofen
02W,4628,32476,0.14250523463480724,ktt13_nsaids_ibuprofen
03A,11509,59588,0.19314291468080821,ktt13_nsaids_ibuprofen
03E,9278,35314,0.26272866285325935,ktt13_nsaids_ibuprofen
03J,10540,46517,0.22658382956768494,ktt13_nsaids_ibuprofen
03R,20183,78748,0.2562985726621628,ktt13_nsaids_ibuprofen
15F,31633,146344,0.2161550866451648,ktt13_nsaids_ibuprofen
02Y,26536,97387,0.27247989978128495,ktt13_nsaids_ibuprofen
03F,26154,94944,0.2754676440849343,ktt13_nsaids_ibuprofen
03H,13208,48430,0.2727235184802808,ktt13_nsaids_ibuprofen
03K,10351,40341,0.2565875907885278,ktt13_nsaids_ibuprofen
03M,8367,31333,0.2670347556888903,ktt13_nsaids_ibuprofen
03Q,11000,63741,0.17257338290895968,ktt13_nsaids_ibuprofen
00T,9203,64680,0.14228509585652444,ktt13_nsaids_ibuprofen
00V,6308,36169,0.17440349470541072,ktt13_nsaids_ibuprofen
00Y,15483,69788,0.22185762595288588,ktt13_nsaids_ibuprofen
01D,12350,56977,0.2167541288590133,ktt13_nsaids_ibuprofen
01G,5927,43354,0.13671172210176685,ktt13_nsaids_ibuprofen
01W,8428,60232,0.13992562093239475,ktt13_nsaids_ibuprofen
01Y,12197,63763,0.19128648275645752,ktt13_nsaids_ibuprofen
02A,14012,47739,0.29351264165566937,ktt13_nsaids_ibuprofen
02H,18923,92464,0.20465262156082367,ktt13_nsaids_ibuprofen
14L,21248,118115,0.1798924776700673,ktt13_nsaids_ibuprofen
01C,4201,31401,0.13378554823094807,ktt13_nsaids_ibuprofen
01F,6218,31474,0.19755989070343777,ktt13_nsaids_ibuprofen
01J,8029,40853,0.1965339142780212,ktt13_nsaids_ibuprofen
01R,7133,33202,0.2148364556352027,ktt13_nsaids_ibuprofen
01T,6706,34583,0.19391030274990603,ktt13_nsaids_ibuprofen
01V,3906,25212,0.15492622560685387,ktt13_nsaids_ibuprofen
01X,12126,51264,0.23654026217228463,ktt13_nsaids_ibuprofen
02D,3608,19879,0.1814980632828613,ktt13_nsaids_ibuprofen
02E,11199,48329,0.231724223551077,ktt13_nsaids_ibuprofen
