month,pct,total_items,total_cost,list_size,cost_per_1000
2019-04-01,10D,4,31.13683,6385.277777777777,4.876346978727107
2019-05-01,10D,7,690.24633,6396.944444444444,107.90250501541534
2019-06-01,10D,4,505.33507000000003,6403.88888888889,78.91065550446777
2019-07-01,10D,4,121.0514,6413.61111111111,18.87414093291178
2019-08-01,10D,5,127.77748,6790.352941176469,18.817501992446033
2019-09-01,10D,3,114.03676999999999,6797.941176470588,16.775192229481245
