month,supplier,practice,pct,chemical_code,chemical,total_items,total_cost
2016-01-01,EMIS,P81100,01A,0402020Z0,Zuclopenthixol Decanoate,4,77.85000000000001
2016-01-01,TPP,A86036,13T,0402020Z0,Zuclopenthixol Decanoate,2,57.75
2016-01-01,Unknown,P83019,00V,0402020Z0,Zuclopenthixol Decanoate,3,14.88
2016-01-01,EMIS,F84083,08V,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,TPP,E81007,06F,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,A82608,01K,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,N82009,99A,0402020Z0,Zuclopenthixol Decanoate,1,17.58
2016-01-01,INPS,C83075,04Q,0402020Z0,Zuclopenthixol Decanoate,1,2.91
2016-01-01,EMIS,P84024,14L,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,INPS,G82128,10A,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,EMIS,P88003,01W,0402020Z0,Zuclopenthixol Decanoate,5,83.22999999999999
2016-01-01,TPP,A86030,13T,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,F81042,06T,0402020Z0,Zuclopenthixol Decanoate,4,25.6
2016-01-01,TPP,A81002,00K,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,EMIS,E83041,07M,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,B86095,15F,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,F84074,08M,0402020Z0,Zuclopenthixol Decanoate,2,35.05
2016-01-01,INPS,F82649,08F,0402020Z0,Zuclopenthixol Decanoate,3,82.55
2016-01-01,TPP,E85681,07Y,0402020Z0,Zuclopenthixol Decanoate,2,17.69
2016-01-01,TPP,Y00025,15F,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,J82171,10X,0402020Z0,Zuclopenthixol Decanoate,4,22.46
2016-01-01,TPP,J83017,99N,0402020Z0,Zuclopenthixol Decanoate,2,13.74
2016-01-01,EMIS,M85056,15E,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,B86643,15F,0402020Z0,Zuclopenthixol Decanoate,2,16.759999999999998
2016-01-01,EMIS,G81098,09F,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,INPS,G82087,09C,0402020Z0,Zuclopenthixol Decanoate,2,40.87
2016-01-01,EMIS,J82126,10X,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,H85683,08T,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,L81087,15C,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,J81006,11J,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,INPS,F82014,08F,0402020Z0,Zuclopenthixol Decanoate,1,29.12
