bnf_code,squ
0411000D0AAAEAE,unit
0602010V0AAGAGA,ml
0906040G0CKABBF,unit
1404000G0BDADAG,unit
0606020T0BCABAC,unit
0501090R0AAAUAU,ml
0802020T0BJAABC,unit
0704040D0AAAAAA,unit
0901030S0BBADAD,unit
0212000L0AAAAAA,unit
0409010H0BCAAAH,unit
0209000A0AABIBI,ml
0410020B0BBAQBL,unit
0702020Y0AAAAAA,unit
1304000F0BGACAB,g
1304000V0AAEGEG,g
0906024N0AACECE,ml
0604020K0BEABBC,unit
091200000BFSRA0,unit
0401010ADAACECE,ml
0407020B0BSACAG,unit
0105010B0BBAEAK,unit
0803042E0AAAAAA,unit
0601022B0BKACAV,unit
0410000M0AABJBJ,ml
0408010N0AACSCS,ml
0103050P0BDABBD,unit
0205051F0AAADAD,unit
0410000P0BJABBQ,unit
1106000B0AAAZAZ,ml
0601012S0BGABAF,unit
0901030D0BCAIAT,unit
0904010H0BJAUAA,g
0902021S0BEADAD,unit
0206020F0BJABAC,unit
0207020Y0BCAAAD,unit
1001010B0BBABAB,unit
090602200BBAIA0,unit
0204000R0BNACAB,unit
1305020S0AABYBY,g
0501100J0AAAIAI,unit
0906040N0BFABEE,unit
0401010ADAACPCP,unit
0205030N0BBACAA,unit
0206010K0BUACAH,unit
0906024N0AACYCY,ml
0402020G0BBABAC,unit
0501130R0AABNBN,ml
0704020G0BBABAC,unit
0902012L0AAARAR,unit
091200000BFSMA0,unit
0407010X0CDALA0,unit
1315000G0BEABAW,g
0906040G0CQAABR,unit
0604011G0BJACBR,unit
0906026M0AABCBC,ml
1003020AAAAACAC,g
0503050B0BEAAAB,unit
1001010AEBBAAAA,unit
090401000BBQYA0,unit
1104010S0BBAAAP,unit
0602010M0AAAUAU,unit
0904010A0BBANBF,g
1304000V0AAEPEP,g
1309000C0BDAAAE,ml
090401000BBPDA0,g
090900000BBKIA0,g
091200000BFSTA0,unit
0902021S0BGADCJ,unit
090401000BBJTA0,unit
0904010AABEAFAL,g
0205051I0AABWBW,ml
091200000BEGMA0,unit
090402000BBEQA0,ml
130802000BBCZA0,g
1304000N0AACFCF,g
0205051L0BBAAAA,unit
0206020R0CBABAR,unit
0105000B0BCAAAC,unit
0407020Q0AAFXFX,g
1108010K0AABLBL,ml
0504010U0BDAAAB,unit
090605000BBGHA0,unit
0901020N0BBAAAB,unit
1304000H0AACUCU,g
0206040AGAAAEAE,ml
0904010A0BMAFBF,g
0403040W0CBAAAE,unit
0602010Z0BEAAAI,unit
0604030Q0BBADAD,unit
0501013K0BBACAE,unit
0206010F0AABHBH,unit
0109010U0BCACBK,unit
0404000L0BFAIBF,unit
040702040AAAYAY,unit
1302011L0BKABAH,g
1106000ADAAAAAA,ml
091200000BDIRA0,ml
0103050P0AAAPAP,unit
0904010T0BEAKAD,g
0501070Y0BBABAB,unit
131500000BBNHA0,g
0904010U0BSABAA,g
0409010N0AAASAS,ml
1305020F0BDAAAU,g
0109040N0BFABAS,unit
0407010X0CRACA0,unit
090402000BBJYA0,g
0605020E0AABCBC,ml
0405020S0BBABAB,unit
0401020K0BLACBQ,unit
091200000BCTZA0,unit
0501080D0BGACAJ,unit
090601100BBEPA0,ml
091102000BBFXBB,unit
130801000BBARA0,g
0407042F0AAAWAW,ml
0213000T0BEADAD,unit
0802010N0BBABAB,unit
0408010ABAAAEAE,ml
0406000J0BCAAAB,unit
0203020D0BEABAB,unit
0906012B0AAACAC,unit
190205500BCMAA0,unit
0501020Q0BBAAAA,unit
191300000BMCDA0,ml
1302030T0AAAAAA,g
0408010F0AACGCG,ml
1001010J0CMADAA,unit
0205052B0AAACAC,unit
0904010H0BEAJAA,g
0404000L0BFAAAV,unit
1106000AABCAAAA,ml
1305020C0AAAQAQ,g
0905041Q0AAA8A8,ml
0404000L0BFADAY,unit
0301011R0BLADAL,unit
090401000BBQEA0,unit
0206020C0BBAEAX,unit
0304010ABBDAAAD,ml
0101021C0AACACA,ml
0205040S0BBAAAB,unit
0902021S0BDAIA0,unit
1310050P0AAAFAF,g
1106000ABBBABAB,unit
0206020A0BFABAB,unit
0906040G0BRAABU,unit
0906040G0AACGCG,ml
0407020Q0AAFFFF,ml
0604011K0BCABAB,unit
0906040G0BWAHCU,ml
0206010K0CHAAAE,unit
131005000BBAAA0,g
0703010F0CBAAAA,unit
0904010AABFABAL,g
0309020H0BLACAH,ml
0601011N0BFAPAM,unit
0906026M0AAAVAV,ml
0501020D0BBABAB,ml
0904010A0BPANBF,g
0410030A0BEADAJ,unit
090402000BBDZA0,ml
0501090K0AABQBQ,ml
0101021B0BEARA0,unit
090401030BFAGAK,g
0801050AEBBABAB,unit
190606000AAASAS,ml
0502000K0AAAPAP,ml
0302000N0BBAXBA,unit
0906040G0BIAJAN,unit
0601023AMBBAAAA,unit
0704050ABBBAAAA,unit
0409010X0BBAGAG,unit
0204000H0BKACAM,unit
0601023B0AAADAD,ml
1002020C0AAANAN,unit
0601012D0BBARAZ,unit
0901030Q0BBAIAI,unit
1108010D0BCAAAC,unit
0407010ABBBAKAD,unit
