month,pct,items_more_than_twenty,items_more_than_ten,items_more_than_eight,items_more_than_six,items_more_than_four,all_items
2019-05-01,06P,1,1,1,1,1,6297
2019-05-01,08F,1,1,1,1,4,7237
2019-05-01,08M,1,1,1,3,4,7730
2019-05-01,15C,1,1,2,3,15,23817
2018-06-01,08R,1,1,1,1,3,4073
2018-06-01,09G,1,1,1,1,14,13688
2018-06-01,05D,1,1,1,1,1,4792
2018-06-01,04K,1,1,1,3,11,11412
2017-02-01,01D,1,2,3,3,4,8617
2017-02-01,14L,1,1,2,3,16,20209
2018-12-01,03F,1,1,1,1,7,14985
2018-12-01,02P,1,1,1,1,6,12551
2018-12-01,99F,1,1,1,1,2,5496
2018-12-01,09F,1,1,1,1,4,6078
2019-06-01,03F,1,1,1,1,6,13670
2019-06-01,05R,1,1,1,1,1,6033
2019-06-01,05W,1,1,1,1,5,12876
2019-06-01,08F,1,1,1,1,5,6566
2019-06-01,09W,1,1,1,1,1,7953
2019-06-01,09P,1,1,1,1,3,6431
2019-02-01,06K,1,1,1,2,5,16606
2017-01-01,08Q,1,1,1,2,6,5859
2017-01-01,99J,1,1,1,2,8,12657
2018-07-01,99F,1,1,1,1,1,5164
2018-07-01,00D,1,2,4,4,9,13797
2018-07-01,07W,1,1,2,3,6,7787
2018-07-01,03L,1,1,1,3,8,11985
2018-07-01,08F,1,1,1,1,6,6690
2018-07-01,08A,1,1,1,3,6,7458
2017-05-01,06D,1,1,1,2,5,3185
2017-05-01,11A,1,1,1,4,15,13777
2017-05-01,08J,1,1,1,1,9,3882
2017-05-01,05W,1,1,1,1,9,13712
2019-03-01,07M,1,1,1,1,5,6818
2019-04-01,01H,1,1,1,1,2,10693
2019-04-01,06T,1,1,1,1,3,11147
2019-04-01,08M,1,2,2,3,4,7597
2019-04-01,08E,1,1,1,2,2,5063
2019-04-01,15N,1,3,4,7,21,34887
2019-04-01,09G,1,1,1,1,9,13360
2019-04-01,14Y,1,1,1,2,3,12814
2017-03-01,11N,1,1,1,7,10,21727
2017-03-01,03R,1,1,1,4,9,16054
2017-10-01,08W,1,1,1,1,1,6431
2017-10-01,00R,1,1,1,1,3,7428
2017-10-01,08E,1,1,1,1,1,5973
2018-01-01,10X,1,1,1,2,5,8575
2018-01-01,99G,1,2,3,4,8,5989
2018-01-01,08D,1,1,1,1,4,5912
2018-08-01,08M,1,1,1,3,4,6814
2018-08-01,08R,1,1,1,1,2,3533
2018-08-01,00Y,1,1,1,1,2,8206
2018-08-01,08J,1,1,1,1,14,3267
2018-08-01,09L,1,1,2,3,3,3178
2018-08-01,09W,1,2,2,2,2,7990
2018-08-01,06N,1,1,1,1,6,12086
2019-01-01,05A,1,1,1,2,2,13622
2019-01-01,05R,1,1,1,1,2,6759
2019-01-01,06K,1,1,3,7,11,18977
2019-01-01,10Q,1,2,2,2,11,16930
2017-12-01,99J,1,1,1,1,8,13710
2017-12-01,06H,1,2,2,4,8,28635
2018-03-01,05R,1,1,1,2,2,6347
2018-03-01,14L,1,1,2,7,20,21759
2017-04-01,01C,1,1,1,2,3,4436
2017-04-01,09E,1,1,1,1,1,5439
2017-04-01,04C,1,1,1,2,6,10438
2017-04-01,14L,1,1,1,1,18,19810
2018-10-01,15E,1,2,2,5,27,42808
2018-10-01,08L,1,2,2,4,7,7519
2018-09-01,07V,1,1,1,1,3,8048
2018-04-01,00N,1,1,1,1,4,6682
2018-04-01,08X,1,1,2,3,5,6272
2018-04-01,15M,1,1,1,4,14,32745
2018-04-01,07P,1,1,1,1,2,6601
2018-11-01,01F,1,1,1,1,2,5374
2018-11-01,99A,1,1,1,2,9,24385
2018-11-01,04V,1,1,1,1,4,12179
2018-11-01,09G,1,1,1,2,13,14641
2017-08-01,14L,1,1,1,3,20,20468
2017-06-01,06H,1,2,2,3,7,26566
2017-06-01,06K,1,1,1,3,11,17537
2017-06-01,09G,1,1,1,3,11,14121
2017-06-01,13T,1,1,1,5,7,19208
2017-11-01,14L,1,1,1,6,26,23523
2017-11-01,05W,1,1,1,1,4,14392
2017-11-01,00T,1,1,1,1,6,13326
2017-11-01,08M,1,1,1,6,6,8911
2017-11-01,15E,1,2,2,4,25,44220
2017-11-01,01X,1,1,1,1,1,8803
2017-09-01,08E,1,1,1,1,1,5642
2017-09-01,03N,1,1,1,10,18,19749
2017-09-01,08W,1,2,2,2,2,6152
2017-09-01,04V,1,1,1,1,1,11833
2017-09-01,04N,1,1,1,1,4,3041
2019-05-01,03L,1,1,1,4,7,12359
2019-05-01,15N,1,3,3,4,17,37314
2019-05-01,10L,1,1,1,2,4,4969
2018-06-01,08F,1,1,1,2,7,7233
2018-06-01,11E,1,1,1,1,2,4348
2017-02-01,06K,1,1,1,4,6,16171
2017-02-01,08X,1,1,2,3,6,6218
2017-02-01,99K,1,1,1,1,1,3646
2018-05-01,15F,1,1,1,2,10,21719
2018-05-01,00P,1,1,1,1,3,12466
2018-05-01,99G,1,1,1,1,7,5520
2018-05-01,00T,1,1,1,1,3,11740
2018-05-01,01H,1,1,1,2,7,11183
2018-12-01,01Y,1,1,1,1,3,9965
2018-12-01,01K,1,1,1,3,10,12540
2018-12-01,99A,1,1,1,2,11,24092
2018-12-01,03N,1,1,2,5,16,20290
2018-12-01,08D,1,1,1,1,3,5574
2018-12-01,15C,1,1,2,4,14,24953
2018-12-01,09N,1,1,1,1,4,4305
2019-07-01,05C,1,2,2,2,3,9369
2019-07-01,15M,1,1,1,4,15,34538
2019-07-01,06K,1,1,1,4,7,17035
2019-07-01,03T,1,1,1,1,4,9914
2018-02-01,06F,1,1,2,2,2,12848
2019-06-01,13T,1,1,1,2,8,17447
2019-06-01,03Q,1,1,1,1,9,8886
2019-06-01,15E,1,2,3,7,22,37606
2019-06-01,07P,1,1,1,1,3,6716
2019-02-01,02R,1,1,2,3,9,10882
2019-02-01,15F,1,1,3,3,7,20222
2019-02-01,05R,1,1,1,2,2,6037
2019-02-01,99F,1,1,1,1,1,4990
2019-02-01,07V,1,1,1,1,1,7913
2019-02-01,08Q,1,1,1,4,7,5159
2017-01-01,15E,1,2,3,9,24,44511
2017-01-01,06N,1,1,1,2,12,14692
2017-01-01,01D,1,1,1,2,4,10008
2017-01-01,15F,1,1,2,3,11,24200
2017-01-01,08H,1,2,3,4,15,6079
2017-01-01,99A,1,1,1,2,10,24442
2018-07-01,13T,1,1,1,3,16,18319
2018-07-01,05A,1,1,2,3,3,12802
2018-07-01,15C,1,1,4,7,18,22765
2017-05-01,01D,1,1,1,1,3,9437
2017-05-01,15N,1,4,4,8,32,35841
2017-05-01,02P,1,1,2,2,6,12504
2017-05-01,04V,1,1,1,2,2,11892
2017-05-01,01T,1,1,1,3,4,6730
2017-05-01,08T,1,1,1,1,3,4572
2017-07-01,05L,1,1,1,2,10,18272
2017-07-01,01D,1,1,1,1,4,9253
2017-07-01,15F,1,1,1,3,15,21635
2017-07-01,08Q,1,1,1,2,6,5281
2017-07-01,08X,1,1,2,2,3,6163
2017-07-01,05W,1,1,1,1,8,12955
2019-03-01,00Y,1,2,2,2,3,8878
2019-03-01,99F,1,1,1,1,3,5180
2019-03-01,14Y,1,1,1,2,4,12924
2019-04-01,02H,1,1,1,1,3,12887
2019-04-01,02Y,1,1,1,1,3,11376
2019-04-01,08D,1,1,1,1,2,5439
2017-03-01,07Q,1,1,1,1,7,7472
2017-03-01,08E,1,1,1,1,1,6295
2017-03-01,08Q,1,1,1,3,5,5801
2017-03-01,03Q,1,1,1,2,12,9357
2017-03-01,99J,1,1,1,2,6,12816
2017-10-01,15E,1,2,2,6,24,43754
2017-10-01,08R,1,1,1,1,4,4388
2017-10-01,15M,1,1,2,5,21,34946
2018-01-01,08R,1,1,1,1,3,4484
2018-01-01,09L,1,1,1,2,2,3760
2018-08-01,15C,1,1,2,3,13,21906
2018-08-01,99F,1,1,1,2,2,4962
2018-08-01,08Q,1,2,2,5,7,5070
2018-08-01,08L,1,1,1,1,6,6497
2019-01-01,11N,1,1,1,2,3,21996
2017-12-01,03R,1,1,2,2,4,15786
2017-12-01,08P,1,1,1,2,3,4250
2017-12-01,01J,1,1,1,1,1,9366
2017-12-01,08X,1,1,2,3,4,7004
2017-12-01,15F,1,1,1,2,12,23488
2017-12-01,08A,1,1,1,3,6,7872
2017-12-01,10Q,1,2,2,2,15,17291
2018-03-01,99A,1,2,2,2,11,25099
2018-03-01,11N,1,1,1,2,6,20829
2017-04-01,07L,1,1,1,1,3,5623
2017-04-01,02P,1,1,1,1,5,11327
2018-10-01,99F,1,1,1,1,1,5331
2018-10-01,11N,1,2,2,2,5,21339
2018-10-01,08M,1,1,1,1,2,8123
2018-10-01,07P,1,1,1,1,3,7506
2018-09-01,05R,1,1,1,2,2,5606
2018-09-01,99F,1,1,1,2,2,4836
2018-09-01,02X,1,1,1,2,9,13151
2018-09-01,01F,1,1,1,1,4,4809
2018-04-01,15E,1,1,1,2,18,38076
2018-04-01,05W,1,1,1,1,6,12996
2018-04-01,99A,1,2,2,3,11,23300
2018-04-01,01J,1,2,2,2,4,8176
2018-11-01,99F,1,1,1,2,4,5384
2018-11-01,05W,1,1,1,1,5,13775
2017-08-01,07Q,1,1,1,1,6,6303
2017-08-01,99G,1,1,1,1,5,5123
2017-06-01,01X,1,1,1,1,2,8714
2017-06-01,03F,1,2,2,2,14,14858
2017-06-01,08R,1,1,1,1,1,4016
2017-09-01,11E,0,0,0,1,1,4286
2017-09-01,00Q,0,0,0,0,4,6961
2017-09-01,07Q,0,0,0,0,5,6875
2017-09-01,07R,0,0,0,0,6,4311
2017-09-01,07T,0,0,0,4,8,5357
2017-09-01,11N,0,0,0,7,14,20121
2017-09-01,01H,0,0,0,1,2,11407
2017-09-01,10E,0,0,0,0,1,5800
2017-09-01,09C,0,0,0,1,1,3463
2017-09-01,08F,0,0,0,0,4,6827
2017-09-01,05L,0,2,2,4,9,19203
2017-09-01,01D,0,0,0,0,0,9516
2017-09-01,07Y,0,0,0,0,11,5923
2017-09-01,08K,0,1,1,4,7,6050
2017-09-01,09W,0,0,0,0,0,8205
2017-09-01,06Q,0,0,0,0,1,10886
2017-09-01,06V,0,0,0,2,3,5962
2017-09-01,06W,0,0,0,3,6,5791
2017-09-01,99C,0,0,0,0,7,7360
2017-09-01,03Q,0,0,0,0,8,9313
2017-09-01,02N,0,0,0,1,6,4963
2017-09-01,15N,0,4,4,9,23,35694
2017-09-01,01G,0,0,0,0,2,10414
2017-09-01,04Y,0,0,0,1,2,4705
2017-09-01,05V,0,0,0,2,2,4287
2017-09-01,07K,0,0,0,0,0,7949
2017-09-01,09N,0,0,0,1,6,4013
2017-09-01,02E,0,0,0,0,2,6236
2017-09-01,09H,0,0,0,0,3,3516
2017-09-01,99N,0,0,0,0,2,12231
2017-09-01,05J,0,1,1,3,6,4571
2017-09-01,07M,0,0,0,0,2,7050
2017-09-01,00T,0,0,0,0,2,12120
2017-09-01,02R,0,1,1,2,15,11237
2017-09-01,02W,0,0,0,0,0,5562
2017-09-01,02T,0,1,1,1,5,7235
2017-09-01,00X,0,0,0,0,1,5047
2017-09-01,00C,0,0,0,0,2,3230
2017-09-01,07W,0,0,0,2,9,8490
2017-09-01,01A,0,0,0,0,0,14994
2017-09-01,02Y,0,0,0,0,2,11667
2017-09-01,99K,0,0,0,0,2,3861
2017-09-01,11M,0,0,2,4,16,16288
2017-09-01,08C,0,0,0,1,7,3469
2017-09-01,10J,0,0,0,0,4,5536
2017-09-01,08D,0,0,0,0,3,5519
2017-09-01,03F,0,0,0,0,6,14233
2017-09-01,08H,0,0,2,2,10,5461
2017-09-01,03J,0,0,0,0,1,6372
2017-09-01,01J,0,0,0,0,2,8911
2017-09-01,03W,0,1,1,1,4,8664
2017-09-01,04Q,0,0,0,0,2,3802
2017-09-01,04D,0,0,0,0,2,7055
2017-09-01,99D,0,0,0,0,3,5047
2017-09-01,99A,0,0,0,0,8,24490
2017-09-01,03H,0,0,0,0,3,7499
2017-09-01,03K,0,0,0,0,2,6351
2017-09-01,05G,0,0,0,2,2,7883
2017-09-01,04L,0,0,0,0,0,4227
2017-09-01,01T,0,0,0,1,2,6527
2017-09-01,01V,0,0,0,0,2,3529
2017-09-01,99G,0,0,0,0,5,5553
2017-09-01,00N,0,0,0,1,5,6979
2017-09-01,10X,0,0,0,0,7,7936
2017-09-01,05W,0,0,0,0,6,13710
2017-09-01,08T,0,0,0,0,0,4307
2017-09-01,05H,0,0,0,2,6,7029
2017-09-01,13T,0,0,0,2,12,18338
2017-09-01,14L,0,0,0,3,22,21488
2019-05-01,01R,0,0,0,0,0,5449
2019-05-01,00J,0,0,0,0,1,10078
2019-05-01,00V,0,0,0,0,0,7366
2019-05-01,14L,0,0,0,5,14,21694
2019-05-01,00Q,0,0,0,0,5,6442
2019-05-01,00R,0,0,0,0,3,7390
2019-05-01,01K,0,0,0,2,8,12267
2019-05-01,02G,0,0,0,0,0,3575
2019-05-01,99A,0,0,1,1,7,24411
2019-05-01,00P,0,3,3,5,7,12586
2019-05-01,01H,0,0,2,2,5,11616
2019-05-01,03H,0,0,0,0,2,7825
2019-05-01,02Q,0,0,0,0,0,4627
2019-05-01,02X,0,0,0,1,10,14086
2019-05-01,02N,0,0,0,1,5,4593
2019-05-01,02W,0,0,0,0,1,5281
2019-05-01,05T,0,0,0,0,1,7975
2019-05-01,05L,0,1,1,2,6,18180
2019-05-01,04H,0,0,0,0,2,4268
2019-05-01,06H,0,0,0,0,3,26652
2019-05-01,06L,0,0,0,0,1,11219
2019-05-01,06M,0,0,0,1,3,8779
2019-05-01,07J,0,0,0,0,0,6979
2019-05-01,06T,0,0,0,0,2,11592
2019-05-01,99F,0,0,0,0,0,5332
2019-05-01,99G,0,0,0,0,1,5432
2019-05-01,06K,0,0,0,2,8,17520
2019-05-01,03T,0,0,0,0,4,10088
2019-05-01,04V,0,1,1,1,4,12315
2019-05-01,99D,0,0,0,0,2,5070
2019-05-01,05G,0,0,0,0,1,8261
2019-05-01,05N,0,2,2,3,12,9064
2019-05-01,05X,0,1,1,3,7,5948
2019-05-01,07R,0,0,0,0,6,4724
2019-05-01,07X,0,1,1,1,2,7941
2019-05-01,08N,0,0,0,0,0,6155
2019-05-01,08E,0,0,0,0,0,5038
2019-05-01,08G,0,0,0,1,3,6361
2019-05-01,08Q,0,0,0,2,3,5732
2019-05-01,11E,0,0,0,0,5,4484
2019-05-01,11M,0,0,0,1,7,15958
2019-05-01,12D,0,0,0,0,1,5805
2019-05-01,09C,0,0,0,0,1,3530
2019-05-01,09J,0,0,0,0,2,6443
2019-05-01,09W,0,0,0,0,0,8665
2019-05-01,09D,0,0,0,1,4,6736
2019-05-01,09H,0,0,0,0,6,3241
2019-05-01,09L,0,0,0,1,1,3394
2019-05-01,09Y,0,0,0,0,2,6983
2019-05-01,99K,0,0,0,0,0,3849
2019-05-01,15D,0,0,1,1,2,9853
2019-05-01,11A,0,1,1,3,9,13904
2018-06-01,15D,0,0,0,1,3,9474
2018-06-01,15E,0,1,2,4,24,39872
2018-06-01,15A,0,0,0,2,2,12283
2018-06-01,02F,0,0,0,0,0,7891
2018-06-01,03W,0,1,1,1,5,8929
2018-06-01,01W,0,0,2,3,6,9908
2018-06-01,00P,0,0,0,2,3,11912
2018-06-01,10X,0,0,0,1,8,7812
2018-06-01,99E,0,0,0,0,1,7755
2018-06-01,00N,0,0,0,1,4,7098
2018-06-01,04E,0,0,0,3,5,9044
2018-06-01,04N,0,0,0,0,1,3115
2018-06-01,05G,0,0,0,2,4,8174
2018-06-01,06P,0,0,0,0,1,6208
2018-06-01,00M,0,0,1,1,3,12612
2018-06-01,03T,0,0,0,0,5,9518
2018-06-01,04C,0,0,0,1,6,11761
2018-06-01,01A,0,0,0,0,0,14315
2018-06-01,08J,0,0,0,0,9,3565
2018-06-01,10L,0,0,0,1,2,4658
2018-06-01,00K,0,0,2,3,8,12319
2018-06-01,11M,0,0,0,1,5,15796
2018-06-01,10V,0,0,0,0,6,5578
2018-06-01,10K,0,0,0,0,2,4823
2018-06-01,08C,0,0,0,0,3,3540
2018-06-01,09F,0,0,0,0,1,5416
2018-06-01,00V,0,0,0,0,0,7042
2018-06-01,07W,0,0,0,2,6,8094
2018-06-01,02G,0,0,0,0,0,3330
2018-06-01,00X,0,0,0,0,1,4959
2018-06-01,02P,0,0,0,0,5,12367
2018-06-01,09H,0,0,0,0,5,3389
2018-06-01,09J,0,0,0,0,1,6211
2018-06-01,05Y,0,0,0,3,6,10846
2018-06-01,08W,0,0,0,1,1,5765
2018-06-01,08X,0,0,0,1,2,6126
2018-06-01,08V,0,0,0,1,2,6563
2018-06-01,11X,0,0,0,1,3,14748
2018-06-01,05V,0,0,0,1,1,4404
2018-06-01,01G,0,0,0,0,1,10562
2018-06-01,08N,0,0,0,0,4,6103
2018-06-01,10R,0,0,0,0,3,5618
2018-06-01,04G,0,0,1,1,4,21266
2018-06-01,00L,0,0,0,2,5,11445
2018-06-01,03Q,0,0,0,0,10,9318
2018-06-01,02M,0,0,0,0,1,5803
2018-06-01,01K,0,0,0,2,5,11682
2018-06-01,08M,0,0,0,3,4,7599
2018-06-01,06Q,0,0,0,0,1,11334
2018-06-01,06N,0,0,0,0,3,13158
2018-06-01,07Y,0,0,0,0,6,5217
2018-06-01,01D,0,1,1,1,3,8747
2018-06-01,08G,0,0,0,1,2,6391
2018-06-01,05F,0,0,0,0,1,4746
2018-06-01,05L,0,1,2,3,6,17493
2018-06-01,01F,0,0,0,0,1,5160
2018-06-01,08A,0,0,0,4,6,7643
2018-06-01,10D,0,0,0,0,0,3620
2018-06-01,09E,0,0,0,0,2,5545
2018-06-01,10E,0,0,0,2,2,5535
2018-06-01,07T,0,0,0,2,9,5338
2018-06-01,01C,0,0,0,1,2,4978
2018-06-01,15C,0,0,1,3,12,23963
2018-06-01,11J,0,1,1,4,23,23093
2018-06-01,07N,0,0,0,0,2,5442
2018-06-01,06F,0,0,1,2,3,13357
2017-02-01,06F,0,0,1,3,3,12767
2017-02-01,07Q,0,0,0,0,7,6524
2017-02-01,06H,0,1,1,2,4,24509
2017-02-01,01C,0,0,0,3,3,4502
2017-02-01,07T,0,0,0,1,6,5314
2017-02-01,11N,0,0,0,6,9,18835
2017-02-01,10A,0,0,0,0,1,5538
2017-02-01,09E,0,0,0,1,1,5434
2017-02-01,10E,0,0,0,0,1,5296
2017-02-01,10D,0,0,0,0,0,3284
2017-02-01,07X,0,0,0,0,3,7377
2017-02-01,08E,0,1,1,1,1,5631
2017-02-01,08F,0,0,0,1,2,6667
2017-02-01,05L,0,0,0,0,5,18127
2017-02-01,06N,0,0,0,1,8,13199
2017-02-01,08Q,0,1,1,2,9,5377
2017-02-01,04F,0,0,0,1,4,6227
2017-02-01,08M,0,0,0,3,5,7997
2017-02-01,06Y,0,0,0,3,3,6497
2017-02-01,02M,0,0,0,0,0,5494
2017-02-01,00R,0,0,0,0,2,6663
2017-02-01,99C,0,0,0,0,7,6899
2017-02-01,03E,0,0,0,0,3,3646
2017-02-01,04G,0,0,0,1,3,19525
2017-02-01,00L,0,0,0,1,3,10370
2017-02-01,04K,0,0,0,1,5,11030
2017-02-01,08N,0,0,0,0,1,6012
2017-02-01,03N,0,1,1,11,21,18652
2017-02-01,09Y,0,0,0,1,5,7084
2017-02-01,09N,0,0,0,0,1,4024
2017-02-01,01Y,0,1,1,1,4,9035
2017-02-01,08V,0,0,0,1,9,6018
2017-02-01,05Y,0,0,0,2,6,10429
2017-02-01,09J,0,0,0,0,1,6068
2017-02-01,99J,0,0,0,1,5,11241
2017-02-01,12F,0,0,0,0,4,12447
2017-02-01,06D,0,0,1,1,1,3206
2017-02-01,07L,0,0,0,1,4,5796
2017-02-01,02R,0,1,1,1,14,10232
2017-02-01,00V,0,0,0,0,0,6551
2017-02-01,00X,0,0,0,1,1,4833
2017-02-01,00J,0,0,0,0,1,8755
2017-02-01,00C,0,0,0,0,2,2955
2017-02-01,09F,0,0,0,0,2,5515
2017-02-01,11A,0,0,0,1,12,13294
2017-02-01,10J,0,0,0,0,3,5192
2017-02-01,08J,0,0,0,0,11,3541
2017-02-01,04C,0,0,0,1,2,10779
2017-02-01,04Q,0,0,0,0,1,3555
2017-02-01,99D,0,0,0,0,3,4672
2017-02-01,99A,0,0,0,0,6,22160
2017-02-01,00M,0,0,1,3,9,12315
2017-02-01,04L,0,0,0,0,2,4264
2017-02-01,08P,0,0,0,0,0,3724
2017-02-01,05N,0,0,0,1,8,7985
2017-02-01,00N,0,0,0,0,3,6624
2017-02-01,13T,0,0,0,2,6,16932
2018-05-01,06N,0,0,0,1,7,13376
2018-05-01,14Y,0,0,0,1,2,13615
2018-05-01,10Q,0,0,0,1,12,15985
2018-05-01,05R,0,0,0,0,0,6272
2018-05-01,08R,0,0,0,0,2,4134
2018-05-01,01W,0,0,2,3,5,10406
2018-05-01,10X,0,0,0,0,5,7974
2018-05-01,05N,0,0,0,1,9,9015
2018-05-01,99F,0,0,0,0,0,5464
2018-05-01,04L,0,0,0,0,0,4331
2018-05-01,05G,0,0,0,1,2,7959
2018-05-01,03H,0,0,0,0,0,7485
2018-05-01,99A,0,0,0,1,13,25079
2018-05-01,08H,0,0,1,1,3,5633
2018-05-01,04C,0,0,0,2,3,11281
2018-05-01,02X,0,0,0,2,10,14207
2018-05-01,00K,0,0,1,2,8,12320
2018-05-01,10K,0,0,0,1,6,4918
2018-05-01,01A,0,0,0,0,0,14492
2018-05-01,02W,0,0,0,0,4,5317
2018-05-01,00J,0,0,0,0,0,9868
2018-05-01,02G,0,0,0,0,1,3563
2018-05-01,05J,0,0,0,1,4,4673
2018-05-01,08W,0,0,0,0,0,5725
2018-05-01,09G,0,0,0,0,11,13993
2018-05-01,05X,0,0,0,7,13,5741
2018-05-01,12D,0,0,0,0,1,5671
2018-05-01,99M,0,1,1,3,3,4849
2018-05-01,09N,0,0,0,1,6,4108
2018-05-01,04Y,0,0,0,0,2,4639
2018-05-01,05D,0,0,0,0,0,4579
2018-05-01,03L,0,0,0,1,7,12062
2018-05-01,02M,0,0,0,0,2,5978
2018-05-01,04G,0,0,1,1,3,21028
2018-05-01,99C,0,0,0,0,6,7270
2018-05-01,03M,0,0,0,0,0,4605
2018-05-01,06V,0,0,0,1,3,6397
2018-05-01,06W,0,0,0,3,5,5766
2018-05-01,01K,0,0,0,2,7,11911
2018-05-01,04F,0,0,0,2,5,6938
2018-05-01,06Q,0,0,0,0,1,11267
2018-05-01,08L,0,0,0,0,3,7099
2018-05-01,08E,0,0,0,0,0,5075
2018-05-01,01X,0,0,0,0,0,8750
2018-05-01,07X,0,0,0,0,2,7418
2018-05-01,10E,0,0,0,1,3,5653
