month,pct,items_more_than_twenty,items_more_than_ten,items_more_than_eight,items_more_than_six,items_more_than_four,all_items
2018-06-01,99G,3,3,4,4,8,5352
2018-09-01,99A,3,3,3,4,9,21831
2017-04-01,08E,3,3,3,3,4,5344
2018-05-01,00L,2,2,2,4,6,11221
2017-01-01,01V,2,2,2,2,7,3524
2018-07-01,08M,2,2,2,6,7,7577
2019-03-01,08M,2,2,2,2,2,7978
2018-08-01,04M,2,2,2,2,2,2787
2018-09-01,08M,2,2,2,4,6,7261
2018-12-01,08M,2,2,2,3,4,8005
2019-02-01,08M,2,2,2,4,4,7182
2017-07-01,99J,2,2,2,4,10,11606
2017-03-01,00P,2,2,4,7,9,13202
2019-01-01,08Q,2,3,3,5,8,5955
2017-04-01,01D,2,3,4,4,4,8177
2017-04-01,99J,2,2,2,3,6,11446
2018-12-01,15M,2,3,3,4,16,35196
2017-05-01,06K,2,2,2,5,13,17627
2017-03-01,14L,2,2,2,3,15,23015
2018-03-01,99G,2,2,2,2,5,5438
2017-06-01,01D,2,2,2,2,3,9263
2019-05-01,15E,1,2,2,6,26,40004
2018-06-01,03L,1,1,1,4,8,12086
2018-05-01,07N,1,1,1,1,3,5772
2018-12-01,02Y,1,1,1,1,4,12471
2018-12-01,02W,1,1,1,1,2,5520
2018-12-01,05A,1,1,2,3,5,13045
2018-12-01,05Y,1,1,1,4,8,11425
2018-12-01,11E,1,1,1,2,3,4811
2019-07-01,04V,1,1,1,1,3,11656
2019-07-01,07L,1,1,1,1,3,5776
2019-07-01,08F,1,1,1,2,7,6946
2019-07-01,08M,1,1,1,1,2,7888
2018-02-01,06K,1,1,1,7,13,16157
2018-02-01,00D,1,1,2,2,3,12718
2018-02-01,00K,1,1,2,4,11,10964
2018-02-01,09E,1,1,1,1,1,5328
2019-06-01,03L,1,1,1,3,7,11639
2019-06-01,08M,1,1,1,1,2,7249
2019-06-01,15C,1,1,2,4,12,22375
2019-02-01,99A,1,1,1,4,9,22154
2019-02-01,03A,1,1,1,3,8,5922
2019-02-01,08F,1,1,1,2,5,6591
2017-01-01,06M,1,1,1,1,6,9116
2017-01-01,01X,1,1,1,1,1,9086
2017-01-01,08M,1,1,1,4,5,9276
2017-05-01,05Q,1,1,1,1,2,6307
2017-07-01,15E,1,2,2,7,25,40556
2017-07-01,06H,1,1,1,1,5,25957
2017-07-01,08E,1,1,1,1,1,5535
2017-07-01,00L,1,1,1,3,6,11021
2017-07-01,05Q,1,1,1,1,2,6324
2017-07-01,14L,1,1,1,2,15,20845
2019-03-01,00N,1,1,1,2,4,7135
2019-03-01,02Y,1,1,1,1,4,11666
2019-03-01,10D,1,1,1,1,1,3544
2019-04-01,10Q,1,1,1,2,11,15157
2017-03-01,01D,1,1,1,1,2,9729
2017-03-01,06L,1,1,1,1,5,11758
2017-03-01,07W,1,1,1,2,7,9189
2017-10-01,09P,1,1,1,1,5,6883
2017-10-01,05L,1,1,1,2,10,19347
2017-10-01,05A,1,2,3,5,7,13766
2018-01-01,07H,1,1,1,2,6,8981
2018-01-01,06A,1,1,2,4,9,9680
2018-01-01,01X,1,2,2,2,2,9142
2018-01-01,10E,1,1,1,2,3,6103
2018-08-01,02Y,1,1,1,1,3,11832
2019-01-01,00Y,1,1,1,1,2,9598
2019-01-01,01Y,1,1,1,1,3,10660
2019-01-01,01J,1,1,1,1,2,9187
2019-01-01,99A,1,3,3,4,9,24855
2019-01-01,02Y,1,1,1,1,5,12498
2019-01-01,15N,1,2,2,4,15,39890
2019-01-01,09G,1,1,1,2,10,15193
2019-01-01,09P,1,1,1,1,3,7141
2019-01-01,15A,1,1,1,1,7,13309
2017-12-01,99K,1,1,1,1,1,4377
2017-12-01,08W,1,1,1,1,3,6435
2017-12-01,01X,1,1,1,1,1,9189
2018-03-01,01X,1,1,1,1,1,8915
2017-04-01,03L,1,1,1,3,8,10763
2017-04-01,07K,1,1,1,1,1,7671
2017-04-01,03W,1,2,2,2,3,8303
2018-10-01,09G,1,1,1,1,13,14667
2018-10-01,03L,1,1,1,4,10,12384
2018-10-01,99A,1,2,2,3,13,24872
2018-09-01,03L,1,1,1,3,8,11145
2018-04-01,99G,1,1,1,1,3,5169
2018-11-01,03D,1,1,2,2,5,4584
2018-11-01,05V,1,1,1,1,1,4370
2018-11-01,08M,1,1,1,5,8,8434
2018-11-01,08E,1,1,1,2,2,5429
2018-11-01,10D,1,1,1,1,1,3831
2018-11-01,14Y,1,1,1,3,3,13391
2017-08-01,15E,1,2,2,5,24,38985
2017-08-01,01D,1,1,1,1,1,9013
2017-08-01,04V,1,1,1,2,3,11268
2017-06-01,07Q,1,1,1,2,12,6837
2017-06-01,00L,1,1,1,2,6,11743
2017-06-01,99K,1,1,1,1,2,4033
2017-06-01,03W,1,2,2,2,3,9347
2017-06-01,04M,1,1,1,1,2,3111
2017-11-01,15M,1,1,1,3,12,36206
2017-09-01,15E,1,3,4,9,26,42141
2017-09-01,07V,1,1,1,2,3,8678
2017-09-01,08M,1,1,1,4,4,8265
2017-09-01,05Q,1,1,1,1,1,6519
2017-09-01,01Y,1,1,1,1,6,9765
