month,pct,more_than_two,all_inhlaers,percent_more_than_two
2017-11-01,08H,908,9588,9.470171047142262
2017-06-01,04M,427,4513,9.46155550631509
2018-01-01,99C,1104,11688,9.44558521560575
2017-09-01,08H,814,8623,9.439870114809231
2017-10-01,08C,507,5387,9.411546315203267
2017-02-01,08C,448,4766,9.399916072177927
2018-08-01,08H,767,8163,9.396055371799584
2017-01-01,08H,903,9620,9.386694386694387
2017-06-01,99C,1099,11713,9.382737129684966
2017-11-01,07Y,870,9280,9.375
2017-03-01,07Y,980,10466,9.363653735906746
2017-12-01,99C,1131,12099,9.347879990081825
2018-03-01,07R,626,6706,9.334923948702654
2019-04-01,07Y,645,6910,9.334298118668597
2017-10-01,99C,1034,11087,9.326237936321819
2018-11-01,99C,1026,11017,9.312880094399564
2017-01-01,05X,952,10277,9.263403717038047
2018-07-01,08C,481,5196,9.257120862201694
2017-09-01,08C,472,5118,9.222352481438062
2018-08-01,08L,964,10459,9.216942346304618
2018-04-01,99C,935,10167,9.196419789515097
2019-05-01,08H,821,8934,9.189612715468995
2019-06-01,07Y,626,6828,9.16813122437024
2019-02-01,07Y,632,6908,9.14881297046902
2018-02-01,99C,904,9903,9.12854690497829
2017-10-01,07R,645,7067,9.126927975095514
2017-01-01,07Y,935,10246,9.125512395081008
2017-07-01,08C,456,5012,9.098164405426976
2018-01-01,07Y,841,9250,9.091891891891892
2018-09-01,08H,748,8232,9.086491739552963
2017-03-01,08H,848,9359,9.060797093706592
2019-01-01,99C,1027,11373,9.030159148861339
2017-07-01,05X,900,9974,9.02346099859635
2018-02-01,08H,716,7942,9.015361369932007
2017-09-01,05N,1140,12669,8.998342410608572
2018-07-01,08H,812,9026,8.996233104365167
2017-06-01,08H,792,8822,8.977556109725686
2017-03-01,09A,461,5138,8.972362787076683
2017-06-01,05X,955,10648,8.968820435762584
2017-08-01,99C,984,10972,8.968282901932191
2019-01-01,08Q,843,9416,8.952846219201358
2017-07-01,07Y,801,8954,8.94572258208622
2017-03-01,05X,960,10749,8.931063354730673
2018-04-01,08C,470,5270,8.918406072106261
2019-03-01,07Y,633,7104,8.910472972972974
2017-02-01,99C,937,10524,8.903458760927405
2018-09-01,08C,424,4767,8.894482903293476
2017-08-01,07Y,757,8515,8.890193775689958
2018-08-01,05N,1066,11994,8.887777221944306
2017-05-01,07Y,867,9758,8.885017421602788
2017-09-01,05X,886,9974,8.883096049729296
2017-12-01,08H,822,9269,8.868270579350524
2018-08-01,08C,417,4703,8.866680842015736
2018-05-01,05X,852,9619,8.857469591433622
2017-02-01,08H,738,8334,8.855291576673865
2018-10-01,08H,821,9280,8.84698275862069
2019-01-01,08H,828,9365,8.841430859583555
2017-11-01,05N,1171,13260,8.83107088989442
2017-07-01,05N,1107,12555,8.817204301075268
2018-10-01,07R,596,6770,8.80354505169867
2018-09-01,07R,530,6022,8.801062769843906
2017-02-01,05X,842,9572,8.796489761805265
2017-08-01,05N,1074,12210,8.796068796068795
2018-10-01,99C,989,11258,8.784864096642387
2018-10-01,08C,493,5613,8.783181899162658
2017-04-01,07R,546,6227,8.768267223382047
2018-06-01,05X,859,9811,8.755478544490877
2018-02-01,07R,526,6008,8.754993342210387
2017-04-01,05X,814,9298,8.754570875457087
2018-01-01,05X,932,10657,8.745425541897344
2018-04-01,08H,739,8465,8.730064973419964
2017-10-01,05N,1152,13200,8.727272727272728
2017-09-01,07Y,780,8941,8.723856391902473
2017-02-01,07Y,781,8956,8.720410897722196
2017-07-01,07R,603,6916,8.718912666281087
2017-04-01,05N,1062,12181,8.718496018389295
2017-03-01,05N,1167,13392,8.71415770609319
2019-02-01,99C,886,10176,8.706761006289309
2018-05-01,99C,950,10912,8.70601173020528
2017-04-01,08H,714,8205,8.702010968921389
2017-05-01,07R,616,7105,8.669950738916256
2017-05-01,08H,778,8977,8.666592402807174
2017-09-01,07R,567,6552,8.653846153846153
2018-03-01,08H,779,9024,8.632535460992907
2017-07-01,08Q,748,8669,8.628446187564887
2017-05-01,99C,967,11217,8.620843362752964
2018-08-01,08Q,702,8147,8.616668712409476
2018-08-01,05X,799,9278,8.61176977796939
2019-02-01,08C,424,4935,8.591691995947315
2019-05-01,99C,917,10721,8.553306594534092
2018-07-01,07R,559,6551,8.533048389558846
2018-12-01,99C,977,11452,8.531260915123996
2017-08-01,05X,837,9816,8.526894865525673
2018-01-01,08H,791,9278,8.52554429834016
2018-06-01,08H,702,8235,8.524590163934425
2019-03-01,99C,909,10673,8.516818139229834
2017-12-01,08C,492,5778,8.515057113187954
2019-06-01,05N,1023,12025,8.507276507276506
2017-08-01,08Y,432,5081,8.502263333989372
2018-04-01,05N,1026,12089,8.487054346926959
2019-06-01,08H,691,8148,8.480608738340697
2018-05-01,08H,742,8775,8.455840455840455
2017-03-01,08Q,793,9393,8.4424571489407
2017-04-01,08Y,434,5145,8.435374149659863
2018-06-01,05N,1082,12829,8.434016680957205
2018-07-01,99C,917,10878,8.42985842985843
2019-04-01,99C,860,10219,8.41569625207946
2019-07-01,08H,722,8585,8.410017472335468
2017-02-01,05N,992,11811,8.398950131233596
2018-09-01,05X,774,9220,8.394793926247289
2017-03-01,08C,464,5531,8.389079732417285
2017-12-01,05X,874,10425,8.383693045563549
2019-06-01,99C,834,9954,8.378541289933695
2018-01-01,05N,1174,14018,8.374946497360536
2017-06-01,08Y,445,5314,8.374106134738426
2017-05-01,05X,856,10272,8.333333333333332
2018-02-01,08C,410,4921,8.33163991058728
2019-06-01,08C,400,4807,8.321198252548367
2017-05-01,05N,1093,13157,8.307364900813255
2017-06-01,05N,1082,13056,8.287377450980392
2017-07-01,08X,808,9775,8.265984654731458
2017-02-01,07R,538,6514,8.259134172551427
2018-11-01,08C,455,5528,8.23082489146165
2017-04-01,08C,397,4827,8.224570126372488
2019-02-01,07R,512,6228,8.220937700706486
2018-11-01,08H,712,8667,8.215068651205723
2018-10-01,05N,1108,13497,8.209231681114321
2017-01-01,05N,1097,13365,8.208005985783764
2018-07-01,05N,1051,12848,8.180261519302615
2018-04-01,05X,769,9405,8.176501860712387
2018-11-01,05N,1068,13065,8.174512055109071
2018-03-01,05N,1058,12959,8.164210201404428
2018-08-01,08R,433,5313,8.149821193299454
2017-06-01,07R,557,6837,8.146848032762907
2018-05-01,07R,521,6410,8.127925117004681
2019-04-01,08C,414,5096,8.124018838304552
2018-01-01,07R,587,7238,8.109975131251728
2017-12-01,07R,547,6749,8.104904430285968
2019-07-01,99C,814,10045,8.103534096565456
2017-01-01,07R,606,7479,8.102687525070197
2019-03-01,08H,731,9023,8.10151834201485
2017-10-01,05X,820,10124,8.09956538917424
2017-07-01,08K,761,9407,8.089720420963113
2017-06-01,07Q,929,11487,8.087403151388527
2019-02-01,08H,624,7718,8.084996112982639
2018-08-01,07R,479,5925,8.084388185654008
2018-11-01,07R,543,6723,8.076751450245427
2017-12-01,05N,1097,13601,8.06558341298434
2017-01-01,08Q,759,9415,8.061603823685608
2018-05-01,05N,1050,13070,8.033664881407804
2017-05-01,07Q,940,11739,8.007496379589403
2017-05-01,08T,543,6788,7.999410724808485
2017-01-01,08C,411,5157,7.969749854566609
2018-09-01,05N,958,12022,7.96872400598902
2017-02-01,00N,766,9634,7.951006850736973
2019-02-01,08Q,636,8001,7.949006374203224
2018-01-01,08C,434,5470,7.93418647166362
2018-07-01,05X,800,10089,7.929428089999009
2019-07-01,05N,1053,13284,7.926829268292683
2017-03-01,07R,595,7512,7.92066027689031
2018-12-01,05N,1082,13662,7.919777484994876
2017-07-01,10V,700,8880,7.882882882882883
2019-07-01,08C,442,5609,7.88019254769121
2017-03-01,08Y,451,5731,7.869481765834934
2017-09-01,09D,804,10219,7.867697426362658
2018-06-01,08C,400,5085,7.866273352999016
2019-05-01,05N,1028,13076,7.861731416335271
2019-02-01,05N,995,12668,7.854436375118408
2018-07-01,08Y,393,5004,7.853717026378897
2018-10-01,09A,350,4457,7.852815795378057
2018-04-01,07R,497,6334,7.846542469213767
2018-11-01,05X,764,9746,7.839113482454341
2019-04-01,05N,983,12567,7.822073685048142
2017-06-01,09D,808,10331,7.82112089826735
2019-04-01,05X,727,9296,7.820567986230636
2017-08-01,09D,765,9793,7.811702236291228
2017-03-01,08K,813,10413,7.8075482569864585
2017-10-01,08R,513,6584,7.791616038882139
2019-04-01,08Y,388,4989,7.7771096412106635
2017-02-01,08X,748,9637,7.7617515824426695
2019-01-01,05N,1065,13722,7.761259291648448
2018-02-01,05N,911,11777,7.735416489768192
2019-02-01,08F,729,9426,7.733927434754934
2018-05-01,08C,396,5137,7.708779443254818
2019-03-01,08C,397,5151,7.707241312366531
2017-08-01,09A,329,4273,7.699508542007957
2017-01-01,08Y,445,5784,7.693637621023513
2017-06-01,10V,720,9389,7.668548301203535
2017-05-01,10V,712,9288,7.665805340223946
2019-03-01,05N,977,12772,7.649545881616035
2017-04-01,08K,684,8953,7.639897241148219
2019-04-01,08H,608,7965,7.633396107972379
2018-12-01,05X,768,10095,7.607726597325408
2018-02-01,05X,699,9189,7.6069213189683325
2019-06-01,07R,480,6311,7.605767707177943
2019-05-01,08C,399,5247,7.604345340194396
2019-05-01,07R,510,6715,7.59493670886076
2017-03-01,00N,821,10828,7.582194311045437
2018-11-01,03D,455,6010,7.570715474209651
2017-12-01,08Y,427,5641,7.569579861726644
2017-02-01,08Q,648,8567,7.563908019143224
2018-10-01,05X,778,10304,7.550465838509317
2018-12-01,08C,396,5245,7.550047664442326
2018-12-01,07R,490,6504,7.533825338253383
2019-02-01,05X,689,9147,7.532524324915273
2017-12-01,08Q,699,9287,7.526650156132228
2019-03-01,07R,511,6803,7.511392032926651
2018-03-01,08Y,376,5006,7.510986815821015
2017-03-01,07Q,927,12344,7.509721322099805
2017-08-01,08Q,615,8196,7.503660322108345
2018-05-01,09A,332,4426,7.501129688206055
2017-01-01,00N,803,10738,7.47811510523375
2017-07-01,00N,736,9851,7.4713227083544815
2017-07-01,09A,342,4583,7.462360898974471
2017-08-01,10C,190,2549,7.4539034915653195
2019-03-01,05X,727,9769,7.441908076568737
2017-02-01,10V,641,8642,7.417264522101366
2017-08-01,08K,672,9062,7.415581549326859
2019-01-01,05X,773,10467,7.385115123722175
2017-02-01,08Y,377,5106,7.383470426948688
2019-01-01,07R,485,6570,7.382039573820395
2017-05-01,08Y,414,5611,7.378363927998574
2018-08-01,08X,644,8749,7.360841238998743
2019-05-01,05X,728,9891,7.360226468506724
2018-03-01,09A,337,4585,7.350054525627045
2018-08-01,10V,615,8378,7.340654094055861
2017-01-01,09D,824,11242,7.329656644725138
2018-10-01,09D,796,10871,7.322233465182595
2017-08-01,07Q,771,10533,7.3198518940472805
2017-08-01,00N,754,10307,7.315416707092267
2017-02-01,08K,659,9025,7.301939058171746
2017-11-01,07R,509,6991,7.280789586611358
2019-06-01,05X,669,9194,7.276484663911247
2017-02-01,09A,311,4283,7.261265468129816
2019-01-01,08C,407,5611,7.253608982356086
2017-01-01,10V,680,9377,7.251786285592407
2017-09-01,08K,694,9577,7.246528140336222
2019-06-01,08Y,344,4748,7.245155855096883
2018-09-01,07Q,761,10523,7.231778010073173
2017-01-01,08K,737,10216,7.2141738449491
2017-10-01,09D,784,10873,7.210521475213833
2017-02-01,09D,692,9599,7.20908427961246
2018-11-01,08Y,383,5315,7.206020696142991
2017-04-01,10V,623,8648,7.203977798334875
2017-04-01,09D,691,9601,7.197166961774815
2017-06-01,09A,344,4784,7.190635451505016
2017-06-01,00N,791,11005,7.187641980917765
2017-01-01,09A,362,5050,7.168316831683168
2017-10-01,00N,718,10033,7.156383933021031
2017-06-01,08K,724,10129,7.147793464310396
2019-07-01,09D,702,9843,7.131971959768363
2018-10-01,08L,840,11784,7.128309572301425
2017-10-01,10V,673,9446,7.124708871479991
2018-12-01,09N,430,6043,7.115671024325667
2017-09-01,09A,311,4377,7.105323280785926
2018-07-01,10V,616,8671,7.104140237573521
2018-09-01,08J,327,4608,7.096354166666667
2017-04-01,07Q,788,11108,7.093986316168527
2019-04-01,07R,456,6448,7.07196029776675
2018-04-01,07Q,760,10749,7.07042515582845
2018-01-01,10V,697,9859,7.069682523582513
2017-09-01,00N,710,10047,7.066786105305066
2018-12-01,09F,615,8703,7.066528783178215
2018-07-01,09D,705,9982,7.062712883189741
2018-08-01,10R,595,8431,7.057288577867395
2017-11-01,09A,345,4889,7.056657803231745
2017-10-01,07Q,809,11466,7.055642769928484
2019-06-01,10V,559,7923,7.055408304935
2017-03-01,10V,681,9658,7.051149306274591
2018-08-01,08Y,319,4528,7.045053003533569
2018-05-01,08Y,352,5001,7.038592281543692
2018-08-01,09A,274,3899,7.027442934085664
2018-04-01,09D,664,9455,7.022739291380223
2017-06-01,08J,378,5384,7.020802377414562
2017-01-01,07Q,839,11964,7.012704781009696
2017-12-01,09D,808,11540,7.0017331022530325
2019-03-01,07M,673,9618,6.997296735288002
2017-04-01,09A,310,4433,6.993006993006993
2019-06-01,09A,284,4065,6.9864698646986465
2017-05-01,08K,691,9892,6.985442782046097
2017-09-01,07Q,801,11480,6.977351916376307
2019-02-01,08Y,326,4676,6.971770744225834
2017-12-01,10X,958,13752,6.966259453170448
2017-06-01,08Q,622,8942,6.955938268843659
2018-05-01,10C,191,2747,6.953039679650527
2018-12-01,08Y,339,4877,6.950994463809719
2017-01-01,10C,216,3112,6.940874035989718
2018-01-01,00N,740,10665,6.938584153774027
2017-03-01,09D,745,10738,6.937977276960328
2017-05-01,08X,682,9831,6.9372393449293055
2017-05-01,09D,726,10471,6.933435201986439
2017-11-01,00N,741,10701,6.924586487244183
2017-12-01,06A,981,14169,6.9235655303832315
2018-03-01,08Q,593,8569,6.920294083323608
2017-07-01,10R,591,8542,6.918754390072583
2017-04-01,00N,684,9903,6.906997879430475
2017-03-01,10R,689,9979,6.904499448842569
2018-07-01,08X,645,9344,6.902825342465753
2017-08-01,08X,635,9220,6.887201735357918
2017-07-01,09D,690,10021,6.88554036523301
2017-02-01,07Q,736,10691,6.884295201571415
2018-08-01,09D,665,9667,6.879073135409124
2018-07-01,10C,183,2663,6.871948929778446
2017-09-01,10V,628,9142,6.869394005688033
2017-08-01,08J,318,4632,6.865284974093264
2018-09-01,01F,424,6182,6.858621805241022
2017-08-01,09G,1398,20396,6.854285153951755
2019-05-01,08Y,330,4815,6.853582554517133
2017-01-01,08V,721,10525,6.850356294536818
2017-05-01,07W,872,12732,6.848884699968583
2018-02-01,09E,517,7549,6.848589217114849
2017-04-01,09E,530,7741,6.8466606381604445
2018-04-01,08Y,325,4752,6.839225589225589
2017-09-01,08X,658,9649,6.819359519121153
2017-08-01,06A,873,12808,6.816052467207995
2018-07-01,08J,354,5195,6.81424446583253
2017-05-01,06A,915,13431,6.812597721688631
2017-07-01,07Q,751,11025,6.811791383219955
2018-10-01,08Y,343,5036,6.810961080222398
2019-07-01,08J,339,4983,6.803130644190247
2017-11-01,08K,721,10611,6.794835548016209
2018-05-01,10V,602,8862,6.79304897314376
2017-06-01,06A,933,13746,6.787429070274989
2017-02-01,08V,603,8890,6.782902137232846
2017-04-01,08V,591,8721,6.776745786033713
2018-01-01,07Q,813,12000,6.775
2017-08-01,07W,762,11251,6.772731312772199
2018-02-01,08Y,321,4743,6.7678684376976594
2018-05-01,10X,835,12343,6.764967998055578
2017-10-01,09A,324,4791,6.762680025046963
2019-07-01,07R,443,6556,6.7571690054911535
2017-07-01,08V,625,9259,6.750189005292148
2018-01-01,09D,757,11215,6.749888542131075
2018-05-01,00N,670,9929,6.747910162151275
2018-06-01,09D,636,9426,6.74729471674093
2017-11-01,07Q,786,11653,6.745044194627993
2017-09-01,06A,954,14146,6.743955888590413
2017-08-01,10V,579,8588,6.741965533302283
2018-04-01,08X,643,9539,6.740748506132718
2017-06-01,09G,1467,21765,6.740179186767746
2018-07-01,07Q,749,11114,6.739247795573151
2018-02-01,07Q,715,10628,6.7275122318404215
2017-09-01,08Y,336,4996,6.725380304243394
2017-07-01,08Y,367,5480,6.697080291970803
2019-01-01,09G,1539,22990,6.694214876033058
2017-09-01,08Q,599,8959,6.686014064069651
2017-03-01,08X,728,10891,6.68441832705904
2017-11-01,09D,736,11022,6.677553982943205
2018-06-01,09A,283,4247,6.66352719566753
2018-10-01,10V,638,9577,6.6617938811736455
2018-05-01,09D,677,10169,6.657488445274855
2017-10-01,09G,1432,21511,6.657059179024685
2018-05-01,08X,627,9425,6.652519893899204
2018-02-01,09A,290,4360,6.651376146788992
2017-05-01,00N,677,10188,6.645072634471928
2018-11-01,09A,284,4279,6.637064734751109
2018-06-01,08Y,335,5048,6.636291600633914
2018-01-01,09G,1547,23317,6.634644250975683
2018-06-01,08J,335,5054,6.628413138108429
2017-12-01,08K,680,10262,6.6263886182030785
2017-01-01,09G,1505,22735,6.619749285243018
2019-07-01,05X,620,9367,6.618981530906373
2019-04-01,10X,809,12237,6.611097491215167
2017-11-01,06A,945,14320,6.599162011173185
2017-10-01,08Y,369,5595,6.595174262734585
2017-11-01,10X,868,13168,6.591737545565006
2017-05-01,09G,1416,21502,6.585433913124361
2018-09-01,09D,644,9789,6.578812953314945
2017-05-01,08Q,603,9169,6.576507798015051
2017-06-01,08L,747,11376,6.5664556962025316
2017-05-01,10R,616,9389,6.560869102140803
2018-02-01,08Q,523,7976,6.55717151454363
2017-11-01,08J,375,5726,6.549074397485155
2017-07-01,08L,729,11132,6.548688465684513
2017-09-01,10R,603,9214,6.544388973301498
2018-04-01,07W,724,11094,6.526050117180458
2018-10-01,07W,807,12384,6.516472868217055
2017-12-01,07Q,789,12114,6.513125309559189
2018-08-01,10X,749,11506,6.509647140622284
2019-03-01,10X,802,12321,6.50921191461732
2017-12-01,08X,694,10665,6.507266760431317
2018-04-01,00N,605,9298,6.506775650677565
2017-02-01,06A,782,12021,6.5052824224274195
2018-03-01,07Q,739,11365,6.502419709634843
2018-12-01,06A,881,13562,6.496092021825689
2017-05-01,08V,622,9579,6.49337091554442
2017-05-01,02T,715,11013,6.4923272496140925
2017-05-01,09A,309,4760,6.491596638655463
2017-08-01,10X,736,11338,6.491444699241489
2017-05-01,10X,803,12382,6.4852204813438865
2017-07-01,06A,864,13325,6.4840525328330205
2019-05-01,10C,183,2826,6.475583864118896
2018-10-01,07Q,775,11970,6.474519632414369
2017-09-01,07W,807,12469,6.472050685700537
2017-12-01,09G,1553,24000,6.470833333333334
2019-05-01,09D,666,10300,6.466019417475728
2019-04-01,08D,480,7436,6.4550833781603005
2017-02-01,10X,735,11393,6.451329763890108
2017-10-01,08X,662,10271,6.445331515918607
2017-12-01,00N,682,10590,6.4400377714825305
2018-11-01,10V,573,8899,6.438925721991234
2018-08-01,07W,660,10253,6.437140349166098
2019-04-01,08J,331,5143,6.435932335212911
2019-01-01,10C,193,3002,6.429047301798802
2017-09-01,09G,1383,21525,6.425087108013937
2017-09-01,08L,728,11338,6.420885517727995
2018-04-01,10C,166,2589,6.411741985322518
2019-03-01,09D,652,10170,6.411012782694199
2018-08-01,02R,932,14543,6.40858144811937
2018-06-01,07Q,722,11268,6.4075257365992195
2018-02-01,10X,742,11586,6.404281028827896
2017-08-01,07M,592,9245,6.403461330448891
2017-10-01,08K,648,10122,6.401896858328393
2017-04-01,08Q,551,8618,6.393594801578092
2017-03-01,09G,1440,22523,6.393464458553479
2017-12-01,10R,649,10154,6.391569824699626
2018-09-01,08Y,284,4444,6.390639063906391
2018-07-01,09A,265,4148,6.388621022179364
2018-11-01,09D,644,10085,6.3857213683688645
2018-08-01,06A,835,13104,6.372100122100122
2018-10-01,10X,821,12885,6.37175009701203
2017-01-01,02T,707,11096,6.371665465032445
2017-10-01,08Q,558,8761,6.369135943385458
2018-04-01,09G,1272,19990,6.3631815907953975
2019-01-01,08Y,323,5078,6.360771957463568
2018-01-01,08Y,350,5503,6.360167181537343
2017-03-01,03R,1354,21294,6.358598666290974
2017-02-01,03A,562,8839,6.358185315080892
2018-11-01,08X,640,10066,6.358036956089808
2018-08-01,07Q,668,10513,6.354037857890231
2018-09-01,07W,716,11272,6.352022711142655
2019-04-01,09A,247,3889,6.3512471072255074
2017-06-01,10X,777,12234,6.351152525747916
2018-06-01,10V,534,8408,6.351094196003807
2017-03-01,08J,349,5501,6.344301036175241
2017-07-01,09G,1297,20455,6.340747983378147
2019-02-01,03A,561,8855,6.3354037267080745
2017-12-01,07W,848,13391,6.332611455455156
2018-02-01,00N,582,9191,6.332281579806333
2017-01-01,06A,883,13946,6.331564606338736
2018-07-01,07W,717,11328,6.329449152542373
2018-09-01,10X,735,11614,6.3285689684863105
2017-02-01,08J,317,5010,6.327345309381238
2018-09-01,09A,248,3922,6.323304436511984
2018-05-01,09G,1340,21202,6.320158475615507
2017-12-01,10V,651,10309,6.31487050150354
2019-07-01,08F,621,9837,6.312900274473924
2017-02-01,07W,736,11664,6.310013717421124
2019-01-01,09D,684,10844,6.307635558834379
2017-04-01,09G,1242,19693,6.306809526227594
2018-03-01,08X,625,9913,6.3048522142640975
2017-06-01,08X,615,9755,6.304459251665813
2017-08-01,08V,546,8663,6.302666512755397
2018-12-01,10V,579,9187,6.302383803200175
2018-07-01,06A,796,12640,6.29746835443038
2018-02-01,06A,775,12308,6.296717582060449
2018-06-01,09G,1306,20753,6.293066062737918
2018-04-01,08Q,515,8185,6.2919975565058035
2018-07-01,10X,768,12209,6.290441477598494
2018-12-01,10X,811,12893,6.290235011246413
2017-03-01,07W,847,13472,6.287114014251781
2018-06-01,10R,542,8625,6.284057971014493
2017-03-01,02T,701,11158,6.282487901057538
2019-07-01,07L,490,7800,6.282051282051282
2019-03-01,08Y,307,4888,6.280687397708674
2018-05-01,07Q,704,11220,6.2745098039215685
2017-11-01,09G,1437,22906,6.273465467563084
2018-03-01,00N,619,9873,6.269624227691685
2018-08-01,00N,586,9347,6.269391248528939
2017-05-01,08L,707,11280,6.2677304964539005
2018-04-01,06A,785,12526,6.266964713396137
2017-10-01,07W,819,13079,6.261946632005505
2017-03-01,08V,664,10609,6.258836836648129
2017-04-01,10X,714,11417,6.253832004904966
2018-09-01,08V,543,8685,6.252158894645941
2018-06-01,08X,588,9411,6.248007650621613
2018-01-01,06A,906,14516,6.241388812344999
2019-06-01,10X,729,11695,6.2334330910645575
2017-11-01,10C,187,3000,6.233333333333333
2019-05-01,06A,862,13835,6.230574629562703
2019-07-01,09A,256,4109,6.230226332440983
2019-05-01,08X,600,9637,6.22600394313583
2017-11-01,10R,599,9621,6.225964037002391
2017-04-01,06A,768,12348,6.219630709426627
2018-03-01,08J,327,5260,6.216730038022813
2018-03-01,09D,669,10762,6.216316669763984
2018-07-01,08Q,537,8639,6.2159972219006825
2017-09-01,08V,602,9689,6.213231499638765
2019-05-01,10X,769,12378,6.212635320730328
2018-08-01,09G,1255,20202,6.212256212256212
2018-06-01,08Q,526,8468,6.2116202172886155
2017-06-01,07W,761,12254,6.210217071976498
2017-11-01,08X,660,10630,6.208842897460019
2018-06-01,07M,590,9510,6.203995793901157
2019-07-01,10X,684,11032,6.200145032632342
2019-06-01,08F,570,9197,6.1976731542894425
2017-07-01,10X,752,12148,6.190319394138953
2017-09-01,10X,762,12312,6.189083820662768
2019-01-01,09A,267,4315,6.1877172653534185
2017-04-01,10R,531,8589,6.182326231225987
2017-03-01,10C,179,2897,6.17880566102865
2018-07-01,08V,567,9188,6.171092729647366
2017-01-01,08X,679,11003,6.171044260656185
2018-11-01,06A,828,13427,6.166679079466746
2019-06-01,09D,564,9146,6.166630220861579
2018-06-01,10X,736,11943,6.162605710458009
2018-10-01,06A,865,14037,6.1622853886158016
2018-12-01,07Q,709,11508,6.1609315258950295
2018-09-01,06A,770,12500,6.16
2017-06-01,08V,569,9240,6.158008658008658
2017-11-01,07W,811,13173,6.1565323009185455
2017-11-01,10V,595,9665,6.156233833419556
2019-01-01,08X,651,10577,6.154864328259431
2017-12-01,08J,364,5916,6.152805949966194
2019-07-01,08Y,324,5267,6.151509398139359
2017-07-01,02R,918,14932,6.147870345566568
2017-02-01,09G,1245,20251,6.147844550886377
2019-02-01,10X,744,12128,6.134564643799472
2017-08-01,02R,881,14383,6.125286796913023
2018-03-01,08K,570,9311,6.121791429491999
2017-06-01,10R,564,9214,6.121120034729759
2019-02-01,07W,670,10952,6.117604090577063
2019-02-01,06A,762,12456,6.1175337186897885
2017-04-01,08J,296,4839,6.1169663153544125
2018-01-01,08Q,571,9335,6.116764863417247
2019-06-01,09G,1185,19377,6.115497755070445
2017-06-01,07M,626,10239,6.113878308428557
2018-10-01,09G,1360,22252,6.111810174366349
2018-02-01,09G,1226,20073,6.107706869924775
2019-06-01,06A,760,12444,6.107360977177756
2017-10-01,10C,179,2932,6.105047748976808
2018-06-01,06A,809,13253,6.104278276616615
2017-07-01,08J,302,4948,6.1034761519805985
2017-04-01,09Y,601,9849,6.102142349477104
2019-01-01,10V,570,9349,6.096908760295219
2018-09-01,10V,477,7824,6.096625766871166
2018-03-01,09G,1315,21573,6.095582441014231
2018-02-01,08J,289,4742,6.094474905103332
2017-07-01,07W,721,11848,6.085415259959487
2018-09-01,09G,1207,19838,6.084282689787277
2018-03-01,10X,759,12476,6.083680666880411
2019-03-01,06A,774,12733,6.078693159506794
2019-07-01,08X,593,9769,6.070222131231446
2019-04-01,09D,563,9276,6.069426476929711
2018-10-01,10C,169,2787,6.063867958378184
2019-03-01,09G,1271,20964,6.062774279717611
2017-12-01,08V,597,9847,6.062760231542602
2017-08-01,11J,1945,32091,6.060889345922533
2017-01-01,10R,593,9789,6.057820002043109
2019-04-01,07W,673,11110,6.057605760576058
2018-04-01,10R,520,8593,6.051437216338881
