month,pct,more_than_two,all_inhlaers,percent_more_than_two
2018-08-01,07Y,870,6885,12.636165577342048
2018-05-01,07Y,895,7707,11.612819514726871
2018-07-01,07Y,886,7700,11.506493506493506
2019-01-01,07Y,931,8159,11.410712097070718
2017-12-01,07Y,1020,9255,11.021069692058347
2018-12-01,07Y,848,7798,10.874583226468324
2018-10-01,07Y,869,8010,10.848938826466917
2017-05-01,08C,588,5422,10.84470675027665
2017-10-01,07Y,1002,9314,10.75799871161692
2018-09-01,07Y,768,7201,10.665185390917928
2018-06-01,07Y,815,7699,10.585790362384726
2018-11-01,07Y,820,7752,10.577915376676987
2018-02-01,07Y,812,7686,10.564663023679417
2018-06-01,08R,663,6301,10.522139342961434
2017-04-01,08E,765,7297,10.483760449499794
2018-03-01,07Y,839,8086,10.375958446697997
2017-06-01,08R,639,6189,10.324769752787203
2017-09-01,99C,1158,11235,10.307076101468624
2017-11-01,99C,1137,11303,10.059276298327879
2018-06-01,99C,1054,10545,9.995258416311048
2017-07-01,08H,889,8908,9.979793444095195
2018-08-01,08J,484,4855,9.969104016477857
2019-05-01,07Y,703,7054,9.9659767507797
2017-04-01,99C,1042,10474,9.948443765514607
2019-07-01,07Y,707,7168,9.86328125
2017-08-01,08H,797,8109,9.82858552225922
2017-08-01,07R,623,6360,9.79559748427673
2017-07-01,99C,1079,11025,9.786848072562359
2018-04-01,07Y,738,7615,9.6913985554826
2017-06-01,08C,505,5217,9.679892658616062
2018-03-01,08C,497,5137,9.67490753357991
2017-01-01,99C,1120,11582,9.670177862199965
2018-08-01,99C,1037,10738,9.65729186068169
2017-05-01,08J,549,5690,9.648506151142355
2017-11-01,05X,1004,10415,9.639942390782526
2018-06-01,07R,649,6744,9.623368920521944
2017-08-01,08C,457,4762,9.596808063838722
2017-06-01,07Y,895,9333,9.589628201007178
2017-03-01,99C,1140,11890,9.5878889823381
2017-10-01,08H,857,8944,9.581842576028622
2017-04-01,07Y,848,8870,9.56031567080045
2018-09-01,99C,1002,10483,9.558332538395497
2018-03-01,99C,1042,10910,9.550870760769936
2018-03-01,05X,962,10079,9.544597678341106
2017-11-01,08C,519,5453,9.517696680726207
2018-12-01,08H,839,8816,9.516787658802178
