month,pct,items_more_than_two,all_items,items_percent_more_than_two
2017-05-01,09E,118,5870,2.010221465076661
2017-05-01,08P,79,3930,2.010178117048346
2017-07-01,05J,92,4577,2.0100502512562812
2019-01-01,11J,505,25130,2.009550338241146
2017-04-01,02R,202,10057,2.008551257830367
2017-08-01,99K,73,3636,2.0077007700770078
2017-01-01,06M,183,9116,2.007459412022817
2018-06-01,99H,108,5380,2.0074349442379185
2018-04-01,09Y,139,6925,2.0072202166064983
2017-11-01,03J,140,6977,2.0065930915866415
2017-09-01,11E,86,4286,2.006532897806813
2019-03-01,08K,118,5881,2.0064614861418124
2017-07-01,00J,187,9332,2.0038576939562796
2018-07-01,02N,93,4642,2.003446790176648
2017-06-01,09H,70,3496,2.002288329519451
2017-02-01,99K,73,3646,2.002194185408667
2018-06-01,08A,153,7643,2.001831741462776
2019-03-01,09X,90,4496,2.0017793594306053
2017-01-01,08A,159,7943,2.00176255822737
2019-05-01,08V,135,6745,2.001482579688658
2017-05-01,99K,76,3801,1.9994738226782425
2018-01-01,08A,159,7956,1.998491704374057
2017-10-01,09H,70,3504,1.9977168949771689
2017-08-01,08T,83,4156,1.9971126082771895
2017-05-01,07P,150,7517,1.995476918983637
2017-11-01,10L,99,4962,1.995163240628779
2019-05-01,07M,137,6868,1.9947582993593476
2017-04-01,99K,73,3663,1.9929019929019929
2017-08-01,09E,109,5472,1.9919590643274854
2018-05-01,08N,125,6276,1.9917144678138943
2019-02-01,07M,129,6479,1.9910480012347587
2019-03-01,03J,128,6429,1.9909783792191633
2017-09-01,13T,365,18338,1.9904024430145055
2019-07-01,03A,135,6786,1.989389920424403
2018-04-01,02R,212,10663,1.9881834380568322
2017-12-01,09Y,158,7947,1.9881716370957596
2017-10-01,08A,152,7648,1.9874476987447698
2019-06-01,08N,114,5741,1.9857167740811705
2019-02-01,11A,266,13414,1.9830028328611897
2017-06-01,10Q,320,16140,1.982651796778191
2017-04-01,00C,59,2976,1.98252688172043
2018-04-01,09E,112,5650,1.9823008849557522
2018-11-01,02N,96,4844,1.981833195706028
2018-08-01,08R,70,3533,1.9813189923577696
2018-01-01,08N,137,6921,1.9794827337090017
2018-01-01,10L,103,5204,1.9792467332820907
2018-02-01,13T,329,16625,1.9789473684210528
2018-09-01,09H,63,3185,1.9780219780219779
2018-05-01,09X,93,4702,1.977881752445768
2018-06-01,13T,359,18159,1.9769811112946747
2018-05-01,09H,68,3442,1.9755955839628123
2017-09-01,06M,170,8605,1.9755955839628123
2017-09-01,15C,470,23795,1.9752048749737339
2018-04-01,08A,144,7291,1.975037717734193
2018-09-01,08D,100,5066,1.9739439399921042
2019-05-01,10L,98,4969,1.97222781243711
2017-11-01,02N,102,5178,1.9698725376593278
2019-01-01,11A,290,14724,1.9695734854659062
2017-02-01,09E,107,5434,1.9690835480309163
2018-12-01,10C,43,2184,1.9688644688644688
2017-09-01,99K,76,3861,1.9684019684019685
2017-04-01,03Q,167,8486,1.9679472071647421
2017-01-01,08T,97,4929,1.9679448163927773
2017-03-01,08A,158,8032,1.9671314741035857
2018-09-01,08R,73,3714,1.9655358104469574
2018-07-01,07P,138,7022,1.9652520649387637
2017-04-01,00J,173,8808,1.964123524069028
2018-05-01,09E,112,5703,1.9638786603541996
2019-06-01,07M,117,5958,1.9637462235649545
2018-10-01,09F,116,5908,1.9634394041976981
2018-04-01,99K,72,3668,1.9629225736095965
2018-08-01,00C,63,3214,1.9601742377100186
2017-05-01,03E,76,3878,1.9597730789066528
2018-01-01,02R,240,12254,1.9585441488493553
2018-09-01,08N,115,5874,1.957780047667688
2017-07-01,10Q,307,15682,1.9576584619308761
2018-03-01,09F,112,5722,1.9573575672841663
2017-12-01,08D,117,5978,1.9571763131482103
2018-04-01,03D,82,4190,1.9570405727923628
2017-07-01,02N,97,4957,1.9568287270526528
2017-08-01,00J,182,9301,1.9567788409848403
2017-08-01,10Q,296,15127,1.956766047464798
2018-01-01,09X,101,5164,1.9558481797056544
2019-06-01,11J,428,21886,1.9555880471534313
2017-02-01,05J,84,4296,1.9553072625698324
2018-04-01,02T,130,6649,1.9551812302601896
2018-10-01,08N,126,6445,1.9550038789759503
2017-01-01,05J,96,4914,1.9536019536019535
2017-09-01,09F,111,5682,1.9535374868004225
2017-02-01,00J,171,8755,1.9531696173615078
2017-04-01,03E,69,3534,1.9524617996604414
2017-11-01,99K,81,4149,1.9522776572668112
2018-10-01,10L,98,5020,1.952191235059761
2017-02-01,99H,106,5430,1.9521178637200736
2017-10-01,02N,99,5072,1.9518927444794953
2017-11-01,13T,371,19023,1.9502707249119486
2019-06-01,00N,134,6875,1.949090909090909
2019-02-01,99H,105,5388,1.9487750556792873
2017-04-01,06N,252,12933,1.9485038274182327
2018-06-01,09E,108,5545,1.9477006311992788
2017-02-01,03E,71,3646,1.9473395501919912
2019-02-01,11J,424,21776,1.947097722263042
2019-07-01,99H,104,5345,1.9457436856875585
2017-08-01,03J,116,5964,1.9450033534540576
2018-03-01,05J,89,4576,1.94493006993007
2018-08-01,15C,426,21906,1.9446726924130373
2018-12-01,09H,66,3394,1.9446081319976427
2018-06-01,99K,72,3703,1.9443694301917365
2018-12-01,99H,114,5864,1.9440654843110503
2018-05-01,10L,91,4688,1.9411262798634814
2018-01-01,13T,385,19836,1.9409155071587014
2017-08-01,04M,57,2937,1.940755873340143
2018-08-01,06M,166,8554,1.9406125789104514
2017-05-01,06M,172,8865,1.940214326001128
2017-11-01,06N,283,14588,1.9399506443652317
2018-03-01,99K,76,3918,1.9397651863195506
2018-11-01,99K,79,4076,1.9381746810598626
2019-05-01,02N,89,4593,1.9377313302852168
2018-09-01,03Q,171,8827,1.9372380197122465
2018-01-01,04M,65,3356,1.936829558998808
2018-04-01,09H,62,3202,1.9362898188632107
2017-01-01,10K,100,5165,1.9361084220716358
2017-09-01,08G,130,6715,1.93596425912137
2018-07-01,07T,104,5372,1.93596425912137
2018-09-01,10Q,285,14722,1.9358782774079608
2018-02-01,09H,64,3306,1.9358741681790685
2017-08-01,01V,66,3410,1.935483870967742
2018-09-01,08A,138,7132,1.9349411104879417
2018-07-01,10Q,306,15816,1.9347496206373291
2018-11-01,04M,58,2998,1.9346230820547032
2017-03-01,00J,193,9979,1.9340615292113439
2017-04-01,06M,154,7963,1.9339444932814267
2017-09-01,09E,110,5688,1.9338959212376934
2017-08-01,08P,67,3465,1.9336219336219336
2017-12-01,02T,152,7861,1.9335962345757538
2019-02-01,09F,104,5380,1.933085501858736
2018-02-01,99H,102,5279,1.932184125781398
2018-06-01,11E,84,4348,1.9319227230910765
2018-10-01,07P,145,7506,1.9317879030109244
2019-01-01,02R,229,11856,1.931511470985155
2018-07-01,08A,144,7458,1.9308125502815767
2018-09-01,08T,84,4352,1.9301470588235294
2017-05-01,03J,126,6529,1.929851432072293
2017-03-01,07L,128,6639,1.9280012050007531
2017-07-01,03E,74,3843,1.9255789747593028
2018-11-01,08N,122,6338,1.92489744398864
2019-02-01,08N,115,5975,1.9246861924686192
2017-08-01,06N,243,12633,1.9235336024697223
2018-07-01,99H,101,5253,1.922710831905578
2018-07-01,10L,91,4734,1.9222644697929872
2019-04-01,08K,113,5881,1.9214419316442781
2019-07-01,08K,116,6043,1.9195763693529704
2018-02-01,03D,77,4013,1.918764016944929
2018-06-01,05Y,208,10846,1.9177576986907616
2017-12-01,10L,101,5268,1.917236142748671
2018-11-01,13T,362,18885,1.9168652369605508
2017-02-01,08T,87,4539,1.9167217448777263
2017-05-01,09F,108,5638,1.9155728981908478
2019-03-01,09Y,135,7051,1.9146220394270317
2019-07-01,00N,139,7261,1.9143368681999724
2017-07-01,09F,105,5487,1.913613996719519
2018-09-01,04M,55,2875,1.9130434782608694
2019-04-01,11J,425,22221,1.9126051932856307
2017-08-01,10K,89,4656,1.911512027491409
2017-03-01,02N,104,5441,1.911413343135453
2018-09-01,03D,79,4135,1.9105199516324063
2017-03-01,06N,272,14237,1.910514855657793
2017-05-01,05T,150,7853,1.9100980516999873
2017-05-01,09N,78,4087,1.9084903352091998
2017-02-01,08P,71,3724,1.9065520945220193
2017-10-01,06N,272,14267,1.90649751174038
2017-01-01,08N,127,6662,1.9063344341038728
2017-12-01,08A,150,7872,1.9054878048780488
2018-10-01,13T,361,18946,1.90541539111158
2019-01-01,04M,62,3256,1.9041769041769043
2019-03-01,11E,84,4412,1.9038984587488668
2018-03-01,08A,142,7462,1.9029750737067812
2018-01-01,03J,138,7252,1.9029233314947602
2017-02-01,02N,90,4730,1.9027484143763214
2018-03-01,07P,130,6835,1.9019751280175567
2018-07-01,02T,133,6994,1.9016299685444666
2017-02-01,09X,82,4314,1.9007881316643487
2017-05-01,09H,63,3318,1.89873417721519
2018-09-01,02N,88,4636,1.8981880931837791
2019-03-01,10C,39,2055,1.897810218978102
2018-07-01,09H,63,3321,1.8970189701897018
2018-04-01,10Q,293,15446,1.8969312443351027
2017-05-01,10Q,298,15710,1.896880967536601
2018-10-01,09E,112,5905,1.8966977138018628
2018-01-01,09H,69,3638,1.8966465090709181
2019-02-01,09X,84,4429,1.8965906525174985
2017-02-01,10Q,278,14659,1.8964458694317485
2017-02-01,08N,114,6012,1.8962075848303395
2017-10-01,03J,125,6594,1.8956627236882013
2017-09-01,08N,116,6121,1.8951151772586179
2018-01-01,10Q,326,17208,1.8944676894467687
2017-03-01,08D,118,6233,1.8931493662762713
2018-02-01,05J,83,4386,1.8923848609211127
2018-06-01,07T,101,5338,1.8920944173847882
2017-09-01,04M,54,2854,1.89208128941836
2017-08-01,05J,85,4495,1.8909899888765296
2018-06-01,08R,77,4073,1.8904984041247237
2017-07-01,08T,82,4338,1.8902720147533425
2018-02-01,09Y,124,6561,1.8899557994208198
2017-05-01,10K,94,4974,1.8898271009248089
2017-04-01,15E,737,39032,1.8881943021110883
2019-06-01,09E,102,5403,1.8878400888395337
2017-07-01,07T,99,5245,1.8875119161105816
2018-02-01,06M,154,8162,1.8867924528301887
2018-04-01,03J,115,6096,1.8864829396325458
2018-11-01,02T,140,7423,1.886029907045669
2019-04-01,02T,128,6787,1.8859584499778987
2019-05-01,09X,83,4407,1.8833673700930338
2019-01-01,03J,133,7062,1.8833191730387993
2017-06-01,15E,781,41473,1.8831528946543534
2017-03-01,09E,116,6160,1.883116883116883
2017-11-01,09H,70,3719,1.8822264049475665
2017-04-01,03R,262,13921,1.8820487033977442
2017-07-01,15E,763,40556,1.8813492454877205
2019-02-01,08V,118,6273,1.881077634305755
2017-07-01,08P,69,3669,1.8806214227309894
2017-01-01,03J,124,6596,1.879927228623408
2017-10-01,08N,123,6543,1.8798716185236128
2017-09-01,08A,138,7341,1.879852881078872
2018-01-01,06M,182,9685,1.8791946308724832
2019-01-01,08A,151,8041,1.8778758860838205
2017-04-01,06W,101,5382,1.876625789669268
2018-03-01,09E,111,5915,1.8765849535080303
2019-05-01,09Y,131,6983,1.875984533867965
2018-03-01,03D,82,4372,1.8755718206770355
2017-06-01,02N,95,5068,1.8745067087608525
2018-08-01,10L,88,4695,1.8743343982960599
2017-02-01,15E,733,39125,1.873482428115016
2018-01-01,07T,106,5658,1.8734535171438673
2018-08-01,10Q,273,14576,1.8729418221734357
2019-04-01,13T,324,17320,1.8706697459584296
2019-01-01,99H,114,6096,1.8700787401574805
2018-01-01,07L,122,6527,1.8691588785046727
2019-03-01,07P,134,7171,1.8686375679821503
2017-12-01,99H,118,6315,1.868566904196358
2019-05-01,02R,206,11027,1.8681418336809648
2018-06-01,08N,114,6103,1.8679338030476815
2017-02-01,09F,103,5515,1.8676337262012694
2018-04-01,07L,101,5408,1.8676035502958581
2017-12-01,09E,117,6270,1.8660287081339715
2018-09-01,06M,154,8258,1.8648583192056187
2018-04-01,15E,710,38076,1.864691669292993
2019-06-01,02N,80,4291,1.86436728035423
2018-07-01,04M,57,3060,1.8627450980392157
2018-12-01,02R,214,11490,1.8624891209747605
2017-09-01,10Q,291,15632,1.8615660184237461
2019-03-01,09F,105,5642,1.8610421836228286
2017-04-01,03J,107,5752,1.8602225312934633
2018-02-01,08A,127,6830,1.8594436310395317
2019-04-01,11A,245,13176,1.8594414086217363
2018-09-01,05Y,194,10434,1.8593061146252636
2017-03-01,05Y,210,11295,1.859229747675963
2018-12-01,03A,127,6839,1.8569966369352244
2019-07-01,10L,85,4581,1.8554900676708144
2017-01-01,09N,86,4635,1.8554476806903992
2017-12-01,00C,65,3504,1.8550228310502281
2018-03-01,08N,119,6417,1.8544491195262585
2019-07-01,02R,195,10522,1.8532598365329784
2018-08-01,15E,696,37569,1.8525912321328755
2019-01-01,02N,98,5296,1.8504531722054378
2018-10-01,02T,143,7729,1.8501746668391772
2017-12-01,04M,61,3298,1.8496058217101274
2017-09-01,07L,114,6164,1.8494484101232964
2018-04-01,08R,71,3841,1.8484769591252277
2017-02-01,03Q,157,8499,1.8472761501353099
2018-08-01,07L,99,5361,1.846670397313934
2018-07-01,09E,103,5579,1.8462089980283207
2018-07-01,13T,338,18319,1.84507887985152
2017-07-01,09N,71,3849,1.8446349701221096
2018-08-01,05Y,191,10358,1.8439853253523846
2017-09-01,15E,777,42141,1.8438100662063073
2019-03-01,99K,71,3853,1.8427199584739165
2017-06-01,08R,74,4016,1.8426294820717133
2018-02-01,07T,91,4940,1.8421052631578945
2017-05-01,03Q,167,9067,1.8418440498511084
2017-08-01,15E,718,38985,1.8417340002565088
2019-06-01,09Y,116,6299,1.8415621527226544
2017-02-01,00K,198,10759,1.8403197323171299
2017-12-01,07T,101,5489,1.8400437238112588
2017-05-01,15C,452,24566,1.839941382398437
2017-08-01,09F,98,5327,1.8396846254927726
2018-07-01,06M,154,8374,1.839025555290184
2017-03-01,15E,809,43996,1.8388035275934176
2017-04-01,09E,100,5439,1.8385732671446955
2017-06-01,15C,435,23663,1.8383129780670244
2019-02-01,02R,200,10882,1.837897445322551
2017-07-01,05T,139,7563,1.8378950152056064
2017-03-01,08T,93,5062,1.8372184907151323
2017-02-01,10K,88,4790,1.837160751565762
2017-08-01,05T,135,7353,1.8359853121175032
2019-01-01,09Y,140,7626,1.835824809861002
2018-05-01,06M,165,8988,1.8357810413885183
2018-09-01,09F,96,5230,1.835564053537285
2018-04-01,10L,84,4577,1.83526327288617
2017-06-01,99K,74,4033,1.834862385321101
2017-06-01,08P,70,3815,1.834862385321101
2018-04-01,06M,155,8448,1.834753787878788
2017-11-01,06M,170,9266,1.8346643643427585
2017-12-01,03E,78,4253,1.8339995297437104
2019-06-01,09X,77,4199,1.8337699452250535
2019-04-01,02R,198,10798,1.8336729023893314
2019-02-01,07T,92,5019,1.8330344690177327
2017-11-01,03Q,177,9658,1.8326775729964797
2018-11-01,02R,214,11678,1.8325055660215792
2017-04-01,09F,96,5240,1.8320610687022902
2019-05-01,09E,105,5732,1.8318213538032102
2017-02-01,05Y,191,10429,1.8314315850033558
2017-11-01,00C,62,3386,1.831069108092144
2017-06-01,09F,106,5791,1.830426523916422
2018-11-01,06M,159,8687,1.8303211695637158
2018-12-01,99K,76,4155,1.829121540312876
2018-08-01,09F,97,5304,1.8288084464555054
2019-01-01,10L,93,5086,1.8285489579237122
2017-12-01,00J,188,10283,1.8282602353398811
2018-03-01,03E,67,3665,1.8281036834924966
2017-03-01,08N,123,6730,1.8276374442793464
2017-04-01,10Q,267,14610,1.8275154004106775
2017-05-01,11E,83,4544,1.8265845070422535
2018-06-01,10L,85,4658,1.824817518248175
2018-12-01,02T,133,7289,1.8246673069008095
2018-11-01,09H,62,3399,1.8240659017358045
2017-07-01,15N,634,34758,1.8240405086598768
2017-08-01,00M,230,12616,1.8230818008877616
2017-05-01,07L,111,6089,1.8229594350468055
2017-04-01,15C,399,21900,1.821917808219178
2017-07-01,15C,426,23384,1.8217584673280878
2018-08-01,08T,79,4337,1.8215356237030207
2017-10-01,07L,116,6371,1.8207502746821536
2018-02-01,09E,97,5328,1.8205705705705704
2017-10-01,00J,177,9726,1.8198642813078345
2018-05-01,05J,85,4673,1.8189599828803766
2017-07-01,07L,107,5886,1.81787291879035
2017-12-01,06M,175,9628,1.8176152887411714
2019-03-01,09H,58,3193,1.816473535859693
2018-10-01,06M,160,8809,1.8163242138721762
2017-10-01,06M,159,8754,1.8163125428375602
2017-05-01,05Y,200,11012,1.8162005085361426
2018-09-01,07L,99,5453,1.8155143957454611
2017-07-01,05Y,189,10411,1.815387570838536
2018-02-01,00C,55,3031,1.8145826459914218
2017-09-01,01V,64,3529,1.8135449135732502
2018-07-01,99K,71,3916,1.8130745658835545
2018-11-01,07T,98,5408,1.8121301775147929
2019-03-01,09E,100,5519,1.811922449719152
2017-04-01,08N,103,5685,1.8117854001759015
2017-08-01,08W,101,5577,1.8110095033171958
2019-07-01,09Y,109,6019,1.810932048513042
2017-11-01,05J,88,4862,1.809954751131222
2017-04-01,15N,598,33041,1.8098725825489543
2017-05-01,00J,173,9562,1.809244927839364
2019-03-01,99H,102,5638,1.8091521816246896
2018-12-01,08A,137,7574,1.8088196461579085
2019-06-01,02R,185,10228,1.8087602659366444
2019-07-01,10C,33,1825,1.808219178082192
2018-05-01,08T,82,4536,1.8077601410934743
2017-04-01,15M,580,32086,1.8076419622265163
2017-06-01,00J,180,9963,1.8066847335140017
2017-09-01,08P,70,3875,1.806451612903226
2017-08-01,15C,400,22146,1.8061952497064933
2018-02-01,10L,79,4375,1.8057142857142858
2017-01-01,05T,150,8307,1.8057060310581439
2018-08-01,99K,64,3545,1.8053596614950633
2018-07-01,05Y,197,10912,1.8053519061583578
2018-01-01,99K,78,4321,1.8051376996065724
2018-09-01,15C,405,22443,1.8045715813393932
2017-11-01,09F,104,5767,1.803363967400728
2017-02-01,02F,133,7379,1.8024122509825178
2017-10-01,00C,60,3330,1.8018018018018018
2019-03-01,02R,196,10881,1.8013050271114786
2017-08-01,03D,77,4275,1.801169590643275
2018-09-01,11E,75,4164,1.8011527377521614
2018-07-01,15C,410,22765,1.8010103228640457
2018-02-01,03Q,153,8498,1.8004236290891973
2017-03-01,00K,215,11945,1.799916282963583
2019-07-01,08F,125,6946,1.7995968902965735
2019-02-01,13T,305,16971,1.797183430558011
2017-01-01,00C,58,3229,1.796221740476928
2018-01-01,02N,95,5291,1.7955017955017953
2018-04-01,08T,79,4400,1.7954545454545456
2017-12-01,06N,265,14760,1.7953929539295395
2018-06-01,10Q,286,15936,1.7946787148594379
2018-10-01,09Y,130,7244,1.7945886250690226
2018-11-01,09X,84,4682,1.794105083297736
2017-09-01,15N,640,35694,1.7930184344707796
2017-01-01,07L,118,6584,1.7922235722964763
2017-03-01,05T,144,8038,1.7914904205026128
2017-07-01,00M,228,12733,1.7906227911725439
2018-05-01,99K,71,3966,1.790216843166919
2018-12-01,13T,332,18548,1.7899503989648478
2018-01-01,08T,93,5196,1.7898383371824482
2018-07-01,06N,234,13074,1.7898118402937127
2017-09-01,05Y,193,10786,1.7893565733358059
2017-05-01,15N,641,35841,1.7884545632097317
2018-02-01,07L,99,5538,1.7876489707475622
2018-05-01,15C,419,23444,1.78723767275209
2017-07-01,09E,96,5373,1.786711334450028
2017-01-01,99H,111,6213,1.7865765330758085
2018-12-01,05Y,204,11425,1.7855579868708973
2018-03-01,15E,708,39682,1.784184264906003
2018-11-01,08D,100,5605,1.784121320249777
2018-09-01,05J,76,4260,1.784037558685446
2019-04-01,00C,56,3141,1.7828716969118115
2017-04-01,00M,213,11952,1.7821285140562249
2017-01-01,15E,793,44511,1.7815820808339513
2017-12-01,10Q,308,17291,1.7812734948817304
2017-01-01,05Y,201,11285,1.7811253876827648
2018-11-01,08A,141,7918,1.7807527153321547
2019-01-01,09E,108,6069,1.7795353435491843
2017-02-01,04M,48,2698,1.7790956263899185
2019-06-01,05J,81,4553,1.7790467823413134
2018-07-01,08T,79,4443,1.7780778753094757
2017-06-01,10K,85,4785,1.7763845350052248
2017-04-01,05T,133,7488,1.7761752136752136
2017-06-01,15N,638,35922,1.7760703747007407
2017-02-01,03R,248,13968,1.7754868270332187
2019-02-01,05Y,189,10651,1.774481269364379
2017-06-01,05Y,199,11216,1.7742510699001426
2017-06-01,06W,105,5918,1.774248056775938
2017-06-01,03E,71,4002,1.7741129435282361
2019-05-01,08D,101,5694,1.7737969792764312
2017-05-01,03D,79,4454,1.7736865738661876
2017-03-01,99K,71,4009,1.77101521576453
2018-02-01,08D,97,5478,1.7707192405987588
2018-08-01,06N,214,12086,1.7706437200066192
2019-06-01,15C,396,22375,1.769832402234637
2017-10-01,15C,449,25373,1.7695976037520198
2017-11-01,07L,119,6728,1.7687277051129608
2017-01-01,03Q,164,9277,1.767812870540045
2019-07-01,02N,84,4752,1.7676767676767675
2019-05-01,13T,327,18503,1.7672809814624657
2018-12-01,00C,59,3343,1.7648818426562969
2018-02-01,03E,61,3457,1.76453572461672
2018-12-01,07P,123,6973,1.7639466513695683
2018-12-01,08N,115,6520,1.763803680981595
2017-11-01,05Y,210,11913,1.7627801561319565
2017-09-01,03Q,164,9313,1.7609792762804684
2018-02-01,04M,49,2783,1.760689902982393
2018-07-01,07L,98,5567,1.7603736303215374
2018-12-01,10L,90,5114,1.759874853343762
2017-07-01,00C,57,3239,1.7598024081506638
2018-08-01,10K,80,4547,1.7594018033868484
2017-08-01,03Q,158,8981,1.7592695690903017
2017-01-01,15N,658,37408,1.7589820359281436
2019-06-01,10Q,265,15067,1.758810645782173
2017-11-01,03E,72,4094,1.7586712261846604
2019-07-01,02T,129,7341,1.7572537801389458
2018-11-01,99H,102,5805,1.757105943152455
2017-05-01,15E,736,41908,1.7562279278419395
2019-01-01,13T,348,19816,1.7561566410981024
2017-11-01,15C,457,26029,1.7557339890122556
2017-03-01,03E,70,3987,1.7557060446450965
2019-04-01,10Q,266,15157,1.7549647027775945
2017-01-01,15C,443,25255,1.7541080974064542
2018-09-01,08G,107,6100,1.7540983606557377
2019-02-01,02T,120,6843,1.7536168347216132
2017-12-01,07L,116,6618,1.7527954064672107
2017-08-01,15N,593,33844,1.752156955442619
2018-10-01,08D,106,6051,1.7517765658568833
2019-04-01,15C,390,22264,1.751706791232483
2018-01-01,06N,258,14731,1.751408594121241
2018-06-01,15E,698,39872,1.750601926163724
2017-08-01,05Y,183,10462,1.749187535844007
2017-12-01,15E,751,42942,1.7488705696055145
2018-06-01,15C,419,23963,1.7485289821808623
2018-09-01,03E,62,3546,1.7484489565707841
2017-12-01,09H,67,3832,1.7484342379958244
2019-02-01,07P,115,6579,1.7479860161118712
2019-04-01,99H,94,5378,1.7478616586091484
2018-06-01,07L,103,5894,1.7475398710553105
2019-05-01,03Q,161,9213,1.7475306631933136
2019-04-01,07P,123,7048,1.7451759364358683
2017-03-01,08R,81,4642,1.7449375269280483
2019-05-01,09F,96,5502,1.7448200654307526
2017-05-01,15M,605,34675,1.7447728911319393
2017-09-01,02F,139,7972,1.7436026091319619
2017-06-01,03R,266,15258,1.7433477519989513
2017-02-01,09H,58,3327,1.743312293357379
2017-07-01,03Q,160,9182,1.7425397516880854
2018-07-01,08D,95,5452,1.7424798239178283
2017-12-01,08R,75,4305,1.7421602787456445
2018-05-01,06N,233,13376,1.7419258373205742
2017-11-01,00J,174,9992,1.7413931144915935
2017-07-01,15M,587,33709,1.741374707051529
2018-02-01,11E,76,4365,1.741122565864834
2018-04-01,00J,159,9135,1.7405582922824303
2018-02-01,09N,66,3792,1.740506329113924
2018-10-01,03D,74,4252,1.7403574788334901
2017-08-01,15M,576,33099,1.7402338439227771
2017-03-01,15C,435,24997,1.7402088250590069
2018-08-01,03E,65,3736,1.73982869379015
2017-10-01,15N,648,37254,1.739410533097117
2018-09-01,06N,215,12366,1.7386382015202977
2019-04-01,10L,83,4774,1.7385839966485128
2017-02-01,15N,595,34253,1.73707412489417
2017-10-01,08T,83,4779,1.7367650136011719
2019-07-01,13T,309,17793,1.7366380037093239
2017-08-01,03R,252,14519,1.735656725669812
2018-04-01,08D,92,5301,1.7355215996981703
2018-12-01,15C,433,24953,1.7352622931110488
2018-08-01,03R,257,14812,1.735079665136376
2017-02-01,15F,379,21845,1.7349507896543832
2017-02-01,15M,555,32006,1.7340498656501904
2017-08-01,15F,374,21584,1.7327650111193478
2018-03-01,15C,402,23200,1.732758620689655
2018-06-01,03E,65,3753,1.7319477751132426
2017-03-01,03R,278,16054,1.7316556621402766
2017-01-01,01V,61,3524,1.7309875141884221
2017-04-01,02N,80,4623,1.7304780445598096
2017-06-01,15M,609,35194,1.7304085923737
2018-03-01,06N,231,13355,1.7296892549606888
2018-10-01,09N,71,4105,1.7295980511571254
2017-04-01,09P,104,6014,1.7292983039574328
2019-02-01,09H,52,3009,1.7281488866733135
2019-03-01,08N,110,6367,1.7276582377885974
2017-06-01,03Q,162,9380,1.7270788912579957
2017-02-01,00C,51,2955,1.7258883248730965
2018-03-01,05Y,183,10605,1.7256011315417257
2017-08-01,09L,56,3246,1.7252002464571778
2019-02-01,09E,91,5275,1.725118483412322
2018-05-01,03D,75,4348,1.7249310027598896
2018-03-01,00J,167,9683,1.7246721057523495
2017-05-01,00M,226,13108,1.7241379310344827
2017-09-01,15M,584,33873,1.724087030968618
2018-09-01,15E,682,39561,1.7239200222441293
2019-07-01,03J,111,6442,1.7230673703818689
2017-10-01,09F,100,5804,1.722949689869056
2017-11-01,10Q,291,16890,1.7229129662522202
2017-10-01,09N,72,4179,1.7229002153625268
2017-03-01,15M,633,36744,1.7227302416721098
2018-10-01,10Q,276,16023,1.7225238719340947
2019-02-01,09Y,118,6851,1.722376295431324
2017-09-01,00M,223,12948,1.7222737102255175
2018-06-01,00J,170,9872,1.7220421393841168
2017-01-01,03R,270,15688,1.721060683324834
2019-04-01,09E,93,5405,1.7206290471785384
2018-05-01,08F,118,6858,1.7206182560513268
2017-10-01,00M,224,13034,1.7185821697099892
2018-02-01,06N,213,12396,1.718296224588577
2017-08-01,00C,55,3201,1.718213058419244
2017-11-01,08W,112,6519,1.7180549163982206
2017-07-01,03R,252,14674,1.7173231566035163
2018-05-01,03Q,165,9609,1.7171401810802371
2018-04-01,05Y,177,10308,1.7171129220023285
2017-01-01,03E,71,4135,1.717049576783555
2017-08-01,08R,65,3786,1.716851558372953
2018-08-01,15M,554,32272,1.716658403569658
2018-02-01,15C,385,22429,1.716527709661599
2018-02-01,10Q,257,14975,1.7161936560934892
2017-07-01,00K,206,12008,1.715522984676882
2017-07-01,06D,55,3207,1.7149984409105083
2017-01-01,11E,80,4665,1.714898177920686
2017-02-01,09N,69,4024,1.7147117296222665
2017-05-01,08W,108,6299,1.7145578663279883
2019-02-01,03Q,150,8751,1.7140898183064794
2018-04-01,07T,89,5193,1.713845561332563
2017-09-01,08F,117,6827,1.7137835066647136
2019-06-01,13T,299,17447,1.7137616782254828
2019-04-01,02N,74,4318,1.7137563686892079
2017-03-01,09N,79,4611,1.7132942962481024
2017-07-01,03D,73,4261,1.7132128608307908
2019-04-01,05Y,186,10857,1.7131804365846919
2019-03-01,04M,51,2977,1.7131340275445077
2017-06-01,08W,101,5897,1.712735289130066
2017-12-01,05Y,200,11678,1.712622024319233
2018-07-01,00K,211,12323,1.7122453947902299
2018-01-01,09E,108,6308,1.7121116043119846
2017-03-01,03D,79,4615,1.7118093174431204
2017-06-01,15F,390,22783,1.7118026598779792
2019-03-01,13T,311,18175,1.7111416781292985
2017-12-01,00K,219,12803,1.710536592986019
2019-06-01,02T,117,6840,1.710526315789474
2017-10-01,03Q,153,8947,1.7100704146641332
2017-10-01,10Q,284,16609,1.709916310434102
2018-11-01,09F,101,5907,1.7098357880480788
2019-02-01,11E,72,4211,1.7098076466397532
2018-11-01,15C,417,24399,1.7090864379687691
2017-09-01,08R,70,4096,1.708984375
2019-05-01,08A,128,7491,1.7087171272193298
2019-02-01,00C,53,3102,1.7085751128304318
2017-12-01,08T,89,5210,1.708253358925144
