practice,bnf_name,items,quantity
E87034,Sildenafil_Tab 25mg,18,132
K82010,Sildenafil_Tab 50mg,6,38
G85136,Sildenafil_Tab 100mg,21,152
E84006,Tadalafil_Tab 20mg,9,132
C87022,Sildenafil_Tab 50mg,28,152
D83059,Sildenafil_Tab 100mg,52,380
M85025,Tadalafil_Tab 20mg,1,10
L83067,Sildenafil_Tab 100mg,32,202
E86005,Sildenafil_Tab 100mg,21,152
L84039,Sildenafil_Tab 100mg,19,208
L85055,Sildenafil_Tab 100mg,37,200
F83020,Tadalafil_Tab 20mg,12,116
G82107,Sildenafil_Tab 50mg,35,264
C83649,Sildenafil_Tab 50mg,16,184
A87009,Sildenafil_Tab 100mg,36,228
P87040,Sildenafil_Tab 100mg,55,438
G82114,Sildenafil_Tab 100mg,44,308
A84030,Sildenafil_Tab 50mg,22,180
K83032,Sildenafil_Tab 50mg,52,212
B86049,Sildenafil_Tab 100mg,25,200
D81011,Sildenafil_Tab 25mg,7,252
K82043,Tadalafil_Tab 20mg,12,54
H85110,Sildenafil_Tab 50mg,10,252
M83093,Sildenafil_Tab 50mg,17,136
M85063,Cialis_Tab 5mg,8,364
C81026,Sildenafil_Tab 100mg,30,224
N81064,Sildenafil_Tab 100mg,51,272
J82074,Sildenafil_Tab 25mg,4,192
K84058,Sildenafil_Tab 100mg,31,128
M84043,Sildenafil_Tab 25mg,7,86
L85039,Sildenafil_Tab 100mg,47,368
N83043,Tadalafil_Tab 20mg,3,10
Y01066,Sildenafil_Tab 50mg,11,156
J83018,Tadalafil_Tab 10mg,2,34
N82062,Sildenafil_Tab 50mg,17,132
F85014,Sildenafil_Tab 100mg,12,116
C81068,Cialis_Tab 20mg,1,2
P82009,Sildenafil_Tab 25mg,5,180
N81088,Sildenafil_Tab 100mg,41,264
B81088,Tadalafil_Tab 5mg,9,252
P86006,Tadalafil_Tab 5mg,6,420
C85018,Sildenafil_Tab 100mg,68,499
M83052,Tadalafil_Tab 5mg,17,476
E82055,Sildenafil_Tab 50mg,25,200
L85039,Sildenafil_Tab 50mg,27,248
B81118,Sildenafil_Tab 100mg,20,136
F83664,Sildenafil_Tab 100mg,23,204
F81026,Sildenafil_Tab 100mg,25,136
C84017,Sildenafil_Tab 50mg,57,296
L83073,Sildenafil_Tab 50mg,46,316
G81614,Sildenafil_Tab 100mg,22,144
P81002,Sildenafil_Tab 100mg,128,626
A86015,Sildenafil_Tab 50mg,23,184
J82006,Sildenafil_Tab 50mg,20,156
A83022,Tadalafil_Tab 5mg,13,420
G82200,Sildenafil_Tab 100mg,32,188
G84016,Sildenafil_Tab 50mg,21,176
P81137,Sildenafil_Tab 100mg,26,136
M81073,Sildenafil_Tab 50mg,24,136
D81050,Sildenafil_Tab 50mg,28,136
F86066,Sildenafil_Tab 100mg,20,132
F81043,Sildenafil_Tab 100mg,65,290
G82074,Sildenafil_Tab 50mg,34,208
C83007,Sildenafil_Tab 50mg,59,472
J82094,Sildenafil_Tab 50mg,31,228
K83042,Sildenafil_Tab 100mg,50,264
A83050,Sildenafil_Tab 100mg,57,372
H82040,Sildenafil_Tab 50mg,16,244
G81658,Tadalafil_Tab 20mg,8,38
P86006,Sildenafil_Tab 100mg,33,256
N82024,Sildenafil_Tab 100mg,47,268
H82053,Sildenafil_Tab 50mg,27,204
L81600,Levitra_Tab 20mg,1,10
C82678,Sildenafil_Tab 100mg,57,268
C81051,Sildenafil_Tab 50mg,33,220
H85656,Sildenafil_Tab 100mg,25,172
F85020,Sildenafil_Tab 100mg,41,288
E82053,Sildenafil_Tab 50mg,31,176
C82043,Sildenafil_Tab 100mg,43,172
M87011,Sildenafil_Tab 50mg,51,293
N83035,Sildenafil_Tab 50mg,24,148
B84019,Sildenafil_Tab 100mg,18,128
G85642,Sildenafil_Tab 100mg,13,126
L83103,Sildenafil_Tab 50mg,19,124
H82037,Sildenafil_Tab 50mg,16,160
F81001,Sildenafil_Tab 100mg,22,128
N81093,Sildenafil_Tab 100mg,30,144
H81103,Sildenafil_Tab 50mg,14,128
K84040,Sildenafil_Tab 50mg,19,144
D82017,Sildenafil_Tab 50mg,14,128
B86003,Tadalafil_Tab 5mg,4,196
A83011,Tadalafil_Tab 20mg,14,124
N82053,Sildenafil_Tab 100mg,31,200
F84092,Sildenafil_Tab 100mg,27,132
J82034,Sildenafil_Tab 100mg,41,262
E87003,Sildenafil_Tab 100mg,14,128
L84018,Sildenafil_Tab 100mg,39,244
K82066,Sildenafil_Tab 50mg,13,66
D83021,Sildenafil_Tab 25mg,4,14
C84047,Sildenafil_Tab 50mg,38,192
C82003,Sildenafil_Tab 50mg,31,124
A82013,Sildenafil_Tab 50mg,19,192
D83055,Tadalafil_Tab 5mg,11,308
E83021,Sildenafil_Tab 100mg,20,230
C81062,Sildenafil_Tab 50mg,24,188
C81006,Sildenafil_Tab 100mg,34,204
J81014,Sildenafil_Tab 50mg,31,242
C81015,Sildenafil_Tab 100mg,60,484
A85014,Sildenafil_Tab 50mg,16,116
B83027,Sildenafil_Tab 50mg,32,258
M83044,Sildenafil_Tab 100mg,23,200
J82069,Sildenafil_Tab 100mg,96,532
L83031,Sildenafil_Tab 100mg,27,236
P88016,Sildenafil_Tab 100mg,45,262
P88023,Tadalafil_Tab 10mg,7,38
A87009,Sildenafil_Tab 50mg,32,248
J81066,Tadalafil_Tab 5mg,8,224
B81101,Tadalafil_Tab 5mg,22,703
E86016,Sildenafil_Tab 100mg,18,132
M91010,Sildenafil_Tab 25mg,3,124
N84025,Tadalafil_Tab 5mg,7,252
P82002,Sildenafil_Tab 100mg,33,196
C83042,Sildenafil_Tab 50mg,25,132
G81102,Tadalafil_Tab 5mg,14,372
G81022,Sildenafil_Tab 100mg,55,244
L83031,Sildenafil_Tab 50mg,24,160
P84048,Tadalafil_Tab 20mg,3,10
B81109,Tadalafil_Tab 5mg,7,196
B86075,Sildenafil_Tab 50mg,17,154
L83130,Sildenafil_Tab 100mg,49,606
P81730,Sildenafil_Tab 100mg,31,170
J82150,Sildenafil_Tab 50mg,16,136
A86018,Sildenafil_Tab 50mg,17,124
L81125,Tadalafil_Tab 5mg,3,196
P88015,Sildenafil_Tab 50mg,21,160
G85623,Sildenafil_Tab 100mg,21,156
A85004,Sildenafil_Tab 50mg,16,124
D81022,Sildenafil_Tab 100mg,168,898
D83040,Sildenafil_Tab 100mg,50,332
D82034,Sildenafil_Tab 100mg,59,304
K82019,Tadalafil_Tab 10mg,3,18
G83053,Sildenafil_Tab 50mg,17,124
K82053,Sildenafil_Tab 100mg,26,103
G82053,Sildenafil_Tab 100mg,15,116
M92612,Sildenafil_Tab 100mg,61,412
H81040,Sildenafil_Tab 50mg,13,148
B81058,Sildenafil_Tab 50mg,32,173
C84009,Sildenafil_Tab 50mg,32,196
C81083,Sildenafil_Tab 100mg,31,188
E82031,Sildenafil_Tab 50mg,31,304
N84017,Sildenafil_Tab 100mg,42,284
P81734,Sildenafil_Tab 100mg,69,418
D82001,Sildenafil_Tab 50mg,34,232
C84034,Sildenafil_Tab 100mg,37,228
M85005,Tadalafil_Tab 20mg,4,43
E81044,Sildenafil_Tab 100mg,53,312
F82030,Sildenafil_Tab 50mg,21,184
D83048,Sildenafil_Tab 50mg,41,172
A83046,Sildenafil_Tab 50mg,30,156
L84010,Sildenafil_Tab 50mg,33,212
G81022,Sildenafil_Tab 50mg,29,148
C88054,Sildenafil_Tab 100mg,21,200
M83006,Tadalafil_Tab 20mg,27,228
C84605,Sildenafil_Tab 100mg,57,332
L82051,Sildenafil_Tab 100mg,36,252
C81052,Sildenafil_Tab 100mg,26,264
L84050,Sildenafil_Tab 100mg,42,272
J82106,Sildenafil_Tab 100mg,16,98
F84122,Sildenafil_Tab 100mg,51,320
N81032,Sildenafil_Tab 50mg,49,404
G82228,Sildenafil_Tab 50mg,39,340
F81168,Sildenafil_Tab 100mg,16,94
F84006,Sildenafil_Tab 100mg,71,339
F84122,Tadalafil_Tab 20mg,5,46
A84043,Sildenafil_Tab 50mg,32,198
M85069,Sildenafil_Tab 100mg,43,280
J82156,Sildenafil_Tab 100mg,31,328
M86015,Sildenafil_Tab 50mg,32,200
M81061,Sildenafil_Tab 100mg,22,180
A83054,Sildenafil_Tab 50mg,48,264
A86025,Sildenafil_Tab 100mg,54,324
C88016,Sildenafil_Tab 50mg,30,188
L84058,Tadalafil_Tab 5mg,4,224
A81631,Tadalafil_Tab 20mg,6,38
D81022,Tadalafil_Tab 10mg,17,94
J82055,Sildenafil_Tab 100mg,31,232
N82099,Tadalafil_Tab 10mg,2,5
P82640,Sildenafil_Tab 100mg,28,132
J82009,Sildenafil_Tab 100mg,42,316
C87009,Sildenafil_Tab 100mg,43,232
F81020,Sildenafil_Tab 50mg,21,82
M84064,Sildenafil_Tab 100mg,19,116
N81002,Sildenafil_Tab 50mg,30,212
Y01922,Sildenafil_Tab 100mg,32,224
B86054,Sildenafil_Tab 100mg,25,176
B83030,Sildenafil_Tab 50mg,18,116
F84734,Sildenafil_Tab 50mg,21,82
C82054,Sildenafil_Tab 50mg,9,196
E81021,Sildenafil_Tab 100mg,29,200
F81114,Sildenafil_Tab 50mg,31,164
M89010,Tadalafil_Tab 5mg,7,336
L81033,Sildenafil_Tab 100mg,22,191
L84080,Tadalafil_Tab 5mg,11,336
L82018,Sildenafil_Tab 50mg,23,148
Y02423,Sildenafil_Tab 100mg,49,408
P81191,Sildenafil_Tab 50mg,23,164
B86060,Sildenafil_Tab 100mg,35,336
H82052,Sildenafil_Tab 100mg,28,266
H81032,Sildenafil_Tab 25mg,10,180
C81002,Sildenafil_Tab 100mg,48,254
L81075,Sildenafil_Tab 50mg,23,148
P81058,Sildenafil_Tab 50mg,18,128
K81002,Cialis_Tab 5mg,1,14
B83020,Sildenafil_Tab 50mg,24,230
C87012,Sildenafil_Tab 100mg,41,246
E84031,Sildenafil_Tab 100mg,30,228
H85031,Tadalafil_Tab 20mg,10,74
E82041,Sildenafil_Tab 50mg,24,176
B81039,Sildenafil_Tab 50mg,70,360
J82143,Sildenafil_Tab 50mg,21,344
E81059,Sildenafil_Tab 50mg,28,184
C83010,Sildenafil_Tab 100mg,24,182
L81644,Tadalafil_Tab 5mg,9,63
F85034,Tadalafil_Tab 5mg,5,196
Y01922,Sildenafil_Tab 50mg,24,176
B85028,Sildenafil_Tab 100mg,39,260
G81024,Sildenafil_Tab 100mg,28,144
C83014,Sildenafil_Tab 50mg,29,200
M85063,Sildenafil_Tab 100mg,197,1519
J83036,Sildenafil_Tab 100mg,26,184
P92017,Sildenafil_Tab 50mg,32,181
F86036,Sildenafil_Tab 100mg,20,184
E84017,Sildenafil_Tab 100mg,22,224
K82018,Sildenafil_Tab 50mg,19,74
C84061,Tadalafil_Tab 2.5mg,1,7
E84068,Tadalafil_Tab 5mg,8,280
C81021,Sildenafil_Tab 100mg,59,500
B86039,Sildenafil_Tab 100mg,18,156
G85055,Sildenafil_Tab 50mg,14,79
F84121,Sildenafil_Tab 100mg,43,192
J82103,Sildenafil_Tab 25mg,3,26
N81073,Sildenafil_Tab 50mg,41,272
H84042,Sildenafil_Tab 100mg,26,117
G81021,Sildenafil_Tab 50mg,9,97
E84024,Tadalafil_Tab 5mg,8,420
C87008,Sildenafil_Tab 50mg,47,304
C86015,Sildenafil_Tab 50mg,22,116
C82040,Sildenafil_Tab 100mg,34,189
F81132,Sildenafil_Tab 100mg,66,276
N81084,Tadalafil_Tab 5mg,5,196
J81648,Sildenafil_Tab 100mg,7,128
K84044,Sildenafil_Tab 100mg,15,128
C86001,Tadalafil_Tab 5mg,11,294
M83638,Tadalafil_Tab 5mg,8,252
F84710,Sildenafil_Tab 50mg,18,156
K82046,Sildenafil_Tab 100mg,27,166
B82012,Sildenafil_Tab 50mg,46,284
E82053,Sildenafil_Tab 100mg,66,316
M88612,Tadalafil_Tab 10mg,1,6
K81057,Sildenafil_Tab 100mg,25,148
F83011,Sildenafil_Tab 25mg,3,188
K84045,Vardenafil_Tab 10mg,1,2
L81081,Sildenafil_Tab 50mg,16,172
J82194,Sildenafil_Tab 50mg,12,156
Y02961,Sildenafil_Tab 25mg,3,252
H82066,Sildenafil_Tab 100mg,41,223
F86001,Cialis_Tab 20mg,7,21
H81009,Sildenafil_Tab 100mg,29,188
K83036,Tadalafil_Tab 5mg,1,14
B81092,Tadalafil_Tab 5mg,11,308
F83022,Tadalafil_Tab 20mg,12,90
N81614,Sildenafil_Tab 100mg,15,116
L84606,Sildenafil_Tab 100mg,23,128
H82047,Sildenafil_Tab 100mg,23,176
L83127,Tadalafil_Tab 5mg,4,196
F81042,Sildenafil_Tab 50mg,56,336
M85001,Sildenafil_Tab 100mg,19,114
M92640,Tadalafil_Tab 5mg,8,504
B83624,Tadalafil_Tab 5mg,10,336
A89018,Cialis_Tab 5mg,3,42
N82001,Vardenafil_Tab 10mg,1,2
F81010,Sildenafil_Tab 50mg,32,160
L84023,Sildenafil_Tab 50mg,27,188
D83017,Tadalafil_Tab 5mg,7,196
E85029,Sildenafil_Tab 100mg,38,238
B81005,Tadalafil_Tab 5mg,11,364
B82032,Sildenafil_Tab 100mg,29,196
F83063,Sildenafil_Tab 50mg,16,196
H85055,Sildenafil_Tab 25mg,1,180
B86007,Tadalafil_Tab 2.5mg,5,35
G82071,Sildenafil_Tab 50mg,85,964
A86004,Sildenafil_Tab 100mg,46,252
L81034,Tadalafil_Tab 5mg,7,336
F81020,Sildenafil_Tab 100mg,48,196
A83050,Tadalafil_Tab 5mg,7,238
P92016,Sildenafil_Tab 100mg,59,424
A84009,Sildenafil_Tab 50mg,49,308
B85030,Sildenafil_Tab 25mg,1,10
C86011,Sildenafil_Tab 50mg,25,176
Y02795,Sildenafil_Tab 100mg,19,78
A86035,Sildenafil_Tab 100mg,15,124
F84119,Sildenafil_Tab 100mg,29,202
N81059,Sildenafil_Tab 100mg,35,176
K83028,Sildenafil_Tab 50mg,31,136
L83100,Tadalafil_Tab 5mg,22,840
G82039,Sildenafil_Tab 25mg,6,116
P82613,Sildenafil_Tab 100mg,33,132
P81664,Sildenafil_Tab 100mg,33,188
P85614,Sildenafil_Tab 100mg,9,42
J81648,Tadalafil_Tab 10mg,1,30
L85021,Sildenafil_Tab 100mg,19,136
G82790,Sildenafil_Tab 100mg,11,122
F84658,Sildenafil_Tab 100mg,45,180
K82610,Sildenafil_Tab 100mg,17,66
E83003,Sildenafil_Tab 50mg,19,132
J84011,Sildenafil_Tab 50mg,27,280
G81099,Sildenafil_Tab 50mg,25,190
C81092,Sildenafil_Tab 100mg,18,144
B86052,Sildenafil_Tab 50mg,26,204
G84001,Sildenafil_Tab 50mg,19,136
K83021,Sildenafil_Tab 50mg,40,200
Y02656,Tadalafil_Tab 10mg,2,10
M89003,Tadalafil_Tab 5mg,5,144
G82041,Sildenafil_Tab 100mg,31,204
E81019,Sildenafil_Tab 100mg,36,200
B86051,Tadalafil_Tab 5mg,5,224
E82001,Sildenafil_Tab 100mg,89,503
G82090,Sildenafil_Tab 50mg,41,356
B81047,Sildenafil_Tab 100mg,28,124
K82076,Sildenafil_Tab 25mg,5,188
J81029,Sildenafil_Tab 100mg,32,220
G85138,Sildenafil_Tab 100mg,21,176
F84044,Sildenafil_Tab 100mg,26,128
M81005,Sildenafil_Tab 50mg,16,124
L84024,Tadalafil_Tab 2.5mg,1,14
J83021,Sildenafil_Tab 50mg,38,248
J81004,Sildenafil_Tab 50mg,13,70
D82019,Sildenafil_Tab 100mg,44,252
M83069,Tadalafil_Tab 5mg,7,252
B82080,Sildenafil_Tab 50mg,43,304
B86013,Sildenafil_Tab 100mg,17,156
M85116,Sildenafil_Tab 50mg,22,288
K82022,Tadalafil_Tab 20mg,5,14
B83015,Sildenafil_Tab 50mg,14,148
L81054,Tadalafil_Tab 20mg,16,114
K81043,Sildenafil_Tab 50mg,25,124
E87738,Sildenafil_Tab 100mg,15,136
M85058,Sildenafil_Tab 100mg,19,116
Y02704,Sildenafil_Tab 100mg,3,34
H83043,Sildenafil_Tab 50mg,9,118
L84021,Sildenafil_Tab 100mg,32,156
J81637,Sildenafil_Tab 50mg,24,164
C82095,Sildenafil_Tab 50mg,21,124
B83030,Sildenafil_Oral Susp 25mg/5ml,1,200
