practice,bnf_name,items,quantity
D81029,Sildenafil_Tab 100mg,38,220
L83101,Sildenafil_Tab 100mg,48,478
N84012,Sildenafil_Tab 50mg,24,156
C84028,Tadalafil_Tab 10mg,6,58
D83012,Sildenafil_Tab 100mg,43,204
M87019,Sildenafil_Tab 100mg,24,184
H82032,Sildenafil_Tab 100mg,33,216
H84034,Sildenafil_Tab 100mg,13,98
G84015,Sildenafil_Tab 100mg,17,124
P89005,Sildenafil_Tab 100mg,31,242
E85055,Sildenafil_Tab 100mg,38,296
D82024,Sildenafil_Tab 100mg,37,164
C88049,Sildenafil_Tab 100mg,19,164
E83049,Sildenafil_Tab 50mg,13,324
E85118,Sildenafil_Tab 100mg,25,148
C85010,Sildenafil_Tab 50mg,62,448
G82138,Sildenafil_Tab 100mg,14,170
J83042,Sildenafil_Tab 50mg,33,183
G83012,Sildenafil_Tab 100mg,34,248
C85016,Sildenafil_Tab 100mg,30,220
K83002,Cialis_Tab 20mg,5,22
M85074,Tadalafil_Tab 5mg,4,98
M82043,Tadalafil_Tab 20mg,4,18
C81068,Sildenafil_Tab 100mg,31,220
E84015,Sildenafil_Tab 50mg,26,160
G81028,Sildenafil_Tab 100mg,21,152
H84635,Sildenafil_Tab 25mg,4,38
M86009,Sildenafil_Tab 100mg,38,280
P86606,Sildenafil_Tab 100mg,17,116
N82070,Tadalafil_Tab 5mg,4,124
F85067,Sildenafil_Tab 100mg,14,62
E81004,Sildenafil_Tab 100mg,34,172
B86036,Tadalafil_Tab 5mg,5,196
E85693,Tadalafil_Tab 10mg,2,70
A83020,Sildenafil_Tab 50mg,18,128
N83009,Sildenafil_Tab 50mg,38,290
B83038,Sildenafil_Tab 50mg,32,228
M91013,Sildenafil_Tab 100mg,26,162
E82094,Sildenafil_Tab 50mg,25,260
K83043,Sildenafil_Tab 100mg,48,216
N83035,Sildenafil_Tab 25mg,3,18
M83110,Tadalafil_Tab 20mg,7,54
M84002,Sildenafil_Tab 50mg,11,118
P81008,Sildenafil_Tab 50mg,17,148
F81085,Sildenafil_Tab 100mg,30,176
Y00286,Tadalafil_Tab 5mg,2,42
G82069,Sildenafil_Tab 100mg,17,124
B81064,Tadalafil_Tab 5mg,8,210
E87756,Tadalafil_Tab 5mg,9,308
P84026,Sildenafil_Tab 100mg,43,184
E82005,Tadalafil_Tab 5mg,9,252
N83003,Sildenafil_Tab 50mg,14,78
M86007,Sildenafil_Tab 100mg,24,148
L83040,Sildenafil_Tab 50mg,30,196
N83021,Sildenafil_Tab 50mg,17,252
J83041,Sildenafil_Tab 100mg,37,286
B87007,Sildenafil_Tab 100mg,51,302
M81075,Sildenafil_Oral Susp 10mg/5ml,1,450
K82076,Sildenafil_Tab 100mg,16,78
F81034,Tadalafil_Tab 5mg,6,196
M89010,Sildenafil_Tab 100mg,20,180
B87020,Sildenafil_Tab 100mg,50,424
K82049,Sildenafil_Tab 50mg,34,288
N81624,Sildenafil_Tab 100mg,35,240
C83071,Tadalafil_Tab 5mg,9,280
Y00620,Tadalafil_Tab 5mg,5,420
J82178,Sildenafil_Tab 100mg,23,188
M81038,Sildenafil_Tab 100mg,59,350
A83050,Sildenafil_Tab 50mg,32,240
G82063,Sildenafil_Tab 100mg,33,244
B86024,Sildenafil_Tab 50mg,8,116
P82003,Sildenafil_Tab 50mg,33,276
N81032,Sildenafil_Tab 100mg,51,432
P82003,Tadalafil_Tab 20mg,6,54
C82008,Sildenafil_Tab 100mg,37,212
P88008,Sildenafil_Tab 100mg,18,130
F86083,Sildenafil_Tab 100mg,22,196
N81072,Sildenafil_Tab 100mg,15,102
F84096,Sildenafil_Tab 100mg,30,180
B83011,Sildenafil_Tab 50mg,17,117
F83632,Tadalafil_Tab 10mg,2,9
L85006,Sildenafil_Tab 100mg,28,152
F86011,Sildenafil_Tab 100mg,34,248
G85135,Sildenafil_Tab 100mg,46,224
Y00726,Sildenafil_Tab 50mg,5,22
P83603,Sildenafil_Tab 100mg,33,216
J81082,Sildenafil_Tab 50mg,27,200
M83049,Sildenafil_Tab 50mg,22,128
P92008,Sildenafil_Tab 100mg,25,204
E82603,Sildenafil_Tab 100mg,12,136
B83037,Sildenafil_Tab 50mg,33,248
P81005,Sildenafil_Tab 100mg,30,202
L82013,Sildenafil_Tab 100mg,23,208
K83025,Sildenafil_Tab 50mg,31,152
A82039,Sildenafil_Tab 50mg,25,236
E81056,Tadalafil_Tab 20mg,4,50
M82021,Sildenafil_Tab 100mg,31,240
M92010,Tadalafil_Tab 5mg,7,236
K82055,Sildenafil_Tab 100mg,20,124
K82031,Sildenafil_Tab 100mg,10,70
G85016,Sildenafil_Tab 100mg,35,230
M85782,Tadalafil_Tab 5mg,1,14
B85610,Sildenafil_Tab 50mg,24,204
K81078,Sildenafil_Tab 25mg,2,180
G82079,Sildenafil_Tab 100mg,41,326
E85001,Sildenafil_Tab 25mg,6,256
H81028,Sildenafil_Tab 50mg,32,242
B82028,Sildenafil_Tab 50mg,29,224
H81016,Sildenafil_Tab 100mg,22,156
C82007,Sildenafil_Tab 100mg,27,148
J82142,Sildenafil_Tab 100mg,45,252
F81181,Sildenafil_Tab 100mg,31,134
F81075,Sildenafil_Tab 100mg,30,238
J82207,Sildenafil_Tab 100mg,33,344
C85030,Sildenafil_Tab 100mg,58,409
B86014,Sildenafil_Tab 50mg,19,144
L83028,Sildenafil_Tab 100mg,25,200
K81040,Sildenafil_Tab 50mg,27,148
C83080,Sildenafil_Tab 25mg,8,46
C83641,Tadalafil_Tab 5mg,7,196
C84066,Sildenafil_Tab 100mg,27,226
J83064,Tadalafil_Tab 5mg,2,70
P85016,Sildenafil_Tab 100mg,36,256
C82044,Sildenafil_Tab 50mg,13,62
D82104,Sildenafil_Tab 50mg,37,184
C84008,Sildenafil_Tab 100mg,31,204
C81048,Sildenafil_Tab 100mg,33,250
B82063,Sildenafil_Tab 100mg,36,196
N83014,Sildenafil_Tab 100mg,25,184
G82090,Sildenafil_Tab 100mg,70,508
B82042,Sildenafil_Tab 100mg,25,132
J81028,Tadalafil_Tab 5mg,9,308
J82648,Sildenafil_Tab 100mg,18,192
B86066,Tadalafil_Tab 5mg,6,228
E82035,Sildenafil_Tab 100mg,32,212
E85029,Tadalafil_Tab 10mg,1,6
J81019,Sildenafil_Tab 100mg,62,336
B83019,Tadalafil_Tab 5mg,5,224
K83601,Tadalafil_Tab 20mg,1,6
E82044,Sildenafil_Tab 50mg,21,128
L83070,Tadalafil_Tab 10mg,1,7
C81106,Sildenafil_Tab 100mg,30,156
E85127,Sildenafil_Tab 25mg,3,172
A82007,Sildenafil_Tab 50mg,30,128
Y02875,Tadalafil_Tab 10mg,2,10
P85028,Tadalafil_Tab 20mg,2,10
J82218,Sildenafil_Tab 100mg,23,148
E83018,Sildenafil_Tab 100mg,28,265
C82053,Sildenafil_Tab 100mg,20,127
G82014,Sildenafil_Tab 50mg,17,124
M81011,Sildenafil_Tab 100mg,20,128
J81010,Sildenafil_Tab 100mg,39,304
L81009,Sildenafil_Tab 100mg,24,206
E84048,Sildenafil_Tab 100mg,15,136
E83008,Tadalafil_Tab 5mg,6,308
J82144,Sildenafil_Tab 50mg,36,244
L83648,Sildenafil_Tab 50mg,30,316
H81056,Sildenafil_Tab 50mg,37,264
F84730,Sildenafil_Tab 50mg,11,94
B83029,Sildenafil_Tab 100mg,33,228
K84017,Sildenafil_Tab 50mg,30,132
H85115,Sildenafil_Tab 25mg,6,70
M85600,Sildenafil_Tab 100mg,25,220
M85086,Sildenafil_Tab 100mg,33,240
B83628,Sildenafil_Tab 100mg,28,176
K84025,Sildenafil_Tab 100mg,21,144
P91014,Sildenafil_Tab 100mg,41,176
N82018,Tadalafil_Tab 20mg,7,46
N81061,Sildenafil_Tab 100mg,27,128
H81073,Tadalafil_Tab 20mg,5,26
L82008,Sildenafil_Tab 100mg,19,188
K82049,Tadalafil_Tab 20mg,10,62
H85649,Sildenafil_Tab 100mg,33,212
C88073,Sildenafil_Tab 50mg,10,66
C83058,Tadalafil_Tab 5mg,7,252
C81001,Tadalafil_Tab 10mg,2,18
H84012,Sildenafil_Tab 50mg,13,70
A82020,Sildenafil_Tab 50mg,26,174
G82161,Sildenafil_Tab 100mg,24,160
A81048,Sildenafil_Tab 100mg,35,184
C82055,Sildenafil_Tab 100mg,32,188
P92019,Sildenafil_Tab 50mg,20,124
J81034,Sildenafil_Tab 50mg,27,172
F84747,Sildenafil_Tab 100mg,37,392
Y01051,Sildenafil_Tab 50mg,26,248
M83141,Sildenafil_Tab 100mg,25,212
L84073,Sildenafil_Tab 100mg,13,128
F86627,Tadalafil_Tab 20mg,13,86
K84014,Sildenafil_Tab 50mg,27,188
A83016,Sildenafil_Tab 50mg,21,144
E85657,Sildenafil_Tab 50mg,8,82
K82009,Sildenafil_Tab 100mg,27,116
E87024,Sildenafil_Tab 100mg,24,136
C84691,Sildenafil_Tab 100mg,22,164
D82104,Tadalafil_Tab 5mg,4,98
F81134,Sildenafil_Tab 100mg,40,204
P87003,Sildenafil_Tab 100mg,29,136
A88012,Sildenafil_Tab 50mg,19,116
N81019,Sildenafil_Tab 50mg,26,148
L83045,Sildenafil_Tab 100mg,31,276
D82080,Sildenafil_Tab 100mg,37,188
K82019,Sildenafil_Tab 50mg,11,50
B82077,Sildenafil_Tab 50mg,23,116
H82046,Sildenafil_Tab 50mg,19,132
A81005,Sildenafil_Tab 50mg,32,204
F84031,Sildenafil_Tab 100mg,33,308
J81049,Sildenafil_Tab 100mg,27,200
D82042,Sildenafil_Tab 100mg,41,188
K81063,Sildenafil_Tab 50mg,36,208
L83018,Sildenafil_Tab 100mg,31,348
H81032,Sildenafil_Tab 50mg,18,148
J82077,Sildenafil_Tab 100mg,38,216
N81042,Sildenafil_Tab 100mg,23,160
E82004,Tadalafil_Tab 20mg,1,6
C82643,Sildenafil_Tab 25mg,10,23
P84020,Sildenafil_Tab 100mg,38,202
E82100,Sildenafil_Tab 100mg,42,226
G82019,Sildenafil_Tab 100mg,41,216
K82007,Sildenafil_Tab 50mg,53,206
G82107,Tadalafil_Tab 20mg,5,34
C82054,Sildenafil_Tab 100mg,28,144
P88026,Tadalafil_Tab 20mg,26,124
M89002,Sildenafil_Tab 100mg,11,58
K84047,Tadalafil_Tab 20mg,6,54
L84072,Sildenafil_Tab 100mg,20,124
H85061,Sildenafil_Tab 25mg,4,128
M87003,Sildenafil_Tab 50mg,27,208
J82192,Sildenafil_Tab 100mg,22,116
F82007,Sildenafil_Tab 100mg,20,188
P82001,Sildenafil_Tab 100mg,34,236
E85016,Sildenafil_Tab 50mg,12,132
D82063,Sildenafil_Tab 100mg,32,160
Y02606,Tadalafil_Tab 5mg,3,50
E85125,Sildenafil_Tab 100mg,11,116
P81006,Sildenafil_Tab 50mg,45,216
L84060,Sildenafil_Tab 100mg,28,124
A84006,Tadalafil_Tab 5mg,7,196
G85046,Sildenafil_Tab 100mg,20,204
Y02657,Tadalafil_Tab 10mg,2,18
K82010,Sildenafil_Tab 100mg,20,98
A86030,Sildenafil_Tab 50mg,30,134
G83046,Tadalafil_Tab 20mg,4,25
B86018,Tadalafil_Tab 5mg,5,224
L82038,Sildenafil_Tab 100mg,20,144
J82106,Sildenafil_Tab 50mg,21,116
C81108,Sildenafil_Tab 100mg,41,256
A81611,Sildenafil_Tab 100mg,29,220
P88003,Sildenafil_Tab 100mg,30,224
E84004,Sildenafil_Tab 50mg,18,156
C85023,Tadalafil_Tab 5mg,9,252
M82060,Sildenafil_Tab 100mg,34,172
K81030,Tadalafil_Tab 20mg,6,34
