month,pct,total_items,total_cost
2010-09-01,10J,5,183.48
2010-09-01,07Q,6,365.63
2010-09-01,07M,25,1244.7600000000002
2010-09-01,00D,4,218.87
2010-09-01,03W,22,904.41
2010-09-01,08K,9,550.34
2010-09-01,07V,3,204.45
2010-09-01,06K,15,723.76
2010-09-01,15D,6,464.24
2010-09-01,00K,6,279.63
2010-09-01,05L,3,250.44
2010-09-01,01A,3,93.63
2010-09-01,11J,5,304.41999999999996
2010-09-01,06Y,6,168.28
2010-09-01,09L,4,184.73999999999998
2010-09-01,01Y,1,56.68
2010-09-01,08D,8,290.23
2010-09-01,04L,1,30.38
2010-09-01,08L,6,358.88
2010-09-01,10V,7,432.65999999999997
2010-09-01,03L,1,63.25
2010-09-01,10D,2,87.06
2010-09-01,01K,1,31.64
2010-09-01,10A,3,83.13
2010-09-01,02T,1,63.25
2010-09-01,09C,2,92.37
2010-09-01,07G,1,60.73
2010-09-01,07R,15,589.29
2010-09-01,15C,21,785.82
2010-09-01,99J,9,455.46000000000004
2010-09-01,11X,21,1038.63
2010-09-01,05T,3,91.05000000000001
2010-09-01,04N,4,102.1
2010-09-01,08R,4,151.87
2010-09-01,05R,4,102.52
2010-09-01,06V,2,40.92
2010-09-01,05G,1,60.73
2010-09-01,00V,2,91.11
2010-09-01,15F,11,847.2900000000001
2010-09-01,01T,2,149.27
2010-09-01,99G,8,510.67999999999995
2010-09-01,07L,2,156.85
2010-09-01,09G,9,381.03999999999996
2010-09-01,99M,3,187.23
2010-09-01,08J,9,338.73
2010-09-01,11E,4,317.75
2010-09-01,05H,3,97.63
2010-09-01,06N,9,576.85
2010-09-01,09N,3,94.92
2010-09-01,09F,1,121.42
2010-09-01,14Y,3,121.49
2010-09-01,01G,3,155.2
2010-09-01,09P,3,119.8
2010-09-01,02X,2,94.83
2010-09-01,04D,2,62.019999999999996
2010-09-01,06F,12,412.89
2010-09-01,08M,5,153.16
2010-09-01,02Y,4,154.39
2010-09-01,04Y,4,116.02000000000001
2010-09-01,99Q,14,526.7299999999999
2010-09-01,03R,17,1288.87
2010-09-01,01D,1,126.47
2010-09-01,5K5,1,60.73
2010-09-01,03V,1,60.73
2010-09-01,99N,7,220.14999999999998
2010-09-01,08Y,6,312.5
2010-09-01,15A,4,111.39
2010-09-01,00J,3,102.51
2010-09-01,99A,12,445.49
2010-09-01,10X,1,60.73
2010-09-01,10E,1,31.64
2010-09-01,08P,3,124.52999999999999
2010-09-01,02G,1,30.38
2010-09-01,08E,8,464.30000000000007
2010-09-01,08W,15,799.6099999999999
2010-09-01,08X,11,560.94
2010-09-01,06Q,5,213.82999999999998
2010-09-01,11N,6,213.76999999999998
2010-09-01,05D,3,126.53
2010-09-01,10L,4,135.84
2010-09-01,01R,3,126.28999999999999
2010-09-01,12D,1,30.38
2010-09-01,03Q,5,146.4
2010-09-01,11A,11,476.5799999999999
2010-10-01,00Y,1,20.26
2010-10-01,03Q,3,158.07
2010-10-01,01Y,3,118.67
2010-10-01,14L,2,105.41
2010-10-01,05R,9,285.08
2010-10-01,99C,1,30.37
2010-10-01,03K,3,74.93
2010-10-01,06K,19,1101.74
2010-10-01,08H,5,346.06
2010-10-01,02H,4,438.77
2010-10-01,06Q,6,250.85999999999999
2010-10-01,10X,1,105.37
2010-10-01,09C,4,126.54
2010-10-01,11N,4,193.51
2010-10-01,03Y,1,177.0
2010-10-01,06N,10,318.95
2010-10-01,10A,2,189.68
2010-10-01,04Q,3,123.99000000000001
2010-10-01,15C,12,460.55999999999995
2010-10-01,08W,7,296.63
2010-10-01,99F,6,207.07999999999998
2010-10-01,05Q,5,154.39
2010-10-01,15A,9,317.99
2010-10-01,09L,5,245.42000000000002
2010-10-01,06Y,12,431.64
2010-10-01,04E,3,92.38
2010-10-01,01G,1,31.63
2010-10-01,12D,1,30.37
2010-10-01,02M,5,384.89
2010-10-01,07V,6,317.94
2010-10-01,00V,1,30.37
2010-10-01,09G,8,549.57
2010-10-01,07Q,5,312.4
2010-10-01,09Y,3,104.18
2010-10-01,05C,4,132.03
2010-10-01,02E,1,31.63
2010-10-01,99N,5,245.34
2010-10-01,01A,4,307.32
2010-10-01,03J,1,30.37
2010-10-01,07Y,5,243.89
2010-10-01,08P,1,60.72
2010-10-01,04G,6,258.92
2010-10-01,07H,8,267.8
2010-10-01,04K,7,667.38
2010-10-01,01C,2,121.44
2010-10-01,01E,1,63.24
2010-10-01,02D,1,31.63
2010-10-01,03T,9,309.90999999999997
2010-10-01,06H,18,781.37
2010-10-01,00L,4,262.65
2010-10-01,02A,1,30.37
2010-10-01,01T,2,123.96
2010-10-01,03N,3,213.75
2010-10-01,08Y,3,154.33
2010-10-01,08L,8,366.88
2010-10-01,05T,3,92.28
2010-10-01,06F,13,598.6899999999999
2010-10-01,08D,7,381.15999999999997
