,practice,pct,items,rate,monthly_rate,code_x,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,code_y,dispensing_patients,total_items
0,A81001,00K,2455,590.0851276915372,49.17376064096143,A81001,4,0.40091580959831624,2.0,,425.69000000000005,97.0,24.0,546.69,29.140310336708303,76.02048768372941,57.8950132736407,22.674829291264402,19.722156816576398,A81001,0.0,90945
1,A81002,00K,13413,672.4825148529744,56.0402095710812,A81002,4,0.46343053750812024,12.0,12.0,435.0,97.0,27.0,559.0,29.6897059445844,85.1663347003187,58.8724639929286,21.025589361273397,18.7769494257506,A81002,0.0,455226
2,A81004,00M,5658,591.0836010342396,49.256966752853295,A81004,4,0.4523418590771165,2.0,3.0,427.63,97.0,27.0,551.63,34.411828352490396,72.9551682820935,50.0530754798184,18.898240244835502,18.135315335009302,A81004,0.0,191940
3,A81005,00M,4791,602.0672105224577,50.17226754353814,A81005,3,0.3510880035326623,8.0,9.0,429.72,91.76,27.0,548.48,15.743812229849999,85.1188311148581,52.1331580138632,26.6268429079817,17.5851550584647,A81005,0.0,196498
4,A81006,00K,9051,653.7417463690043,54.47847886408369,A81006,4,0.3982369824362767,8.0,8.0,425.71999999999997,97.0,27.0,549.72,31.791514825886697,85.09676878642391,51.838238733049,18.484407820326396,20.8612053643561,A81006,0.0,321726
5,A81007,00K,5234,525.5415819464316,43.7951318288693,A81007,4,0.4078131867396241,9.0,10.0,430.68,97.0,27.0,554.6800000000001,32.0680377666633,86.1942885707074,58.50773199038879,18.595631761584002,21.475811390079603,A81007,0.0,192898
6,A81009,00M,5426,605.7944586070225,50.48287155058521,A81009,4,0.35319156681020814,5.0,5.0,433.99999999999994,87.0,27.0,548.0,35.263877515310604,66.261000291606,60.34523492364921,15.063401836467,22.114123305640604,A81009,0.0,216337
7,A81011,00K,6977,591.8019692803574,49.316830773363115,A81011,4,0.37650105471349443,5.0,5.0,434.96000000000004,93.21,27.0,555.1700000000001,34.6270615157052,88.0872600157893,58.8037834958999,18.794048551292104,19.6867658574785,A81011,0.0,262919
8,A81012,00M,3536,740.7562585105268,61.729688209210565,A81012,4,0.3907102297820188,2.0,2.0,418.03,97.0,27.0,542.03,50.1289394572025,78.7027901933979,65.0553662326474,13.8204592901879,23.2066805845512,A81012,0.0,163493
9,A81013,00M,3042,482.5443826091555,40.21203188409629,A81013,3,0.452513852121302,4.0,4.0,435.0,97.0,27.0,559.0,29.955487852283802,91.1662420792848,57.1663124354644,18.5131195335277,22.0796890184645,A81013,0.0,156692
10,A81014,00K,2216,580.5733248913826,48.38111040761522,A81014,4,0.406076623214337,3.0,3.0,434.25,97.0,27.0,558.25,22.235720576671,82.46499866934029,70.4946464243608,27.916120576671,16.0209698558322,A81014,0.0,109142
11,A81015,00M,1745,589.8591549295775,49.15492957746479,A81015,3,0.38462208847323154,2.0,2.0,395.88999999999993,91.07,27.0,513.9599999999999,24.500578828099698,78.56740452835041,62.7597137743925,18.525703200775897,17.044940187520197,A81015,0.0,79677
12,A81016,00M,5081,520.7009633121542,43.39174694267951,A81016,4,0.4635822136795506,6.0,5.0,428.25,96.75999999999999,27.0,552.01,43.8037803288861,82.55893535567701,53.5885515169981,13.466308391897499,21.659776767259196,A81016,0.0,205648
13,A81017,00K,11444,567.6751559444924,47.30626299537437,A81017,4,0.438582386676003,10.0,9.0,433.42,97.0,27.0,557.4200000000001,18.988191168629697,50.2307113792914,43.1510805967884,14.194391980241198,24.1784105767834,A81017,0.0,409695
14,A81018,00M,7689,789.5804273599356,65.7983689466613,A81018,3,0.43539436796285735,4.0,4.0,431.66999999999996,87.48,26.04,545.1899999999999,29.5430167296276,62.4272334886154,53.284117332902696,20.672558741108,19.7736581159733,A81018,0.0,260107
15,A81019,00M,6899,684.6170385194251,57.05141987661876,A81019,4,0.4389267095752113,5.0,6.0,407.44000000000005,97.0,27.0,531.44,49.49477707747501,55.1572451877892,60.5864469019928,14.421399496026401,24.5532079860438,A81019,0.0,254033
16,A81020,00M,5631,720.5988994582605,60.04990828818837,A81020,4,0.5267044050942657,2.0,4.0,421.69,82.4,24.0,528.09,31.523121750158502,86.58038095884109,48.8905063057621,22.1757322175732,20.101432737416,A81020,0.0,200835
