,practice,pct,items,rate,monthly_rate,code_x,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,code_y,dispensing_patients,total_items
17,A81021,00M,10373,776.6159221362616,64.71799351135513,A81021,3,0.4655556241805127,7.0,8.0,429.57000000000005,95.96000000000001,27.0,552.5300000000001,34.7531374838856,92.66905258934608,57.6705817181772,19.5118253486962,20.6337174044876,A81021,0.0,388122
18,A81022,00M,6311,598.099841258559,49.84165343821325,A81022,3,0.4583326952183465,5.0,5.0,421.91,97.0,26.84,545.7500000000001,27.7102365681353,60.7776750921839,55.5677871212461,20.1617401003904,20.2528350994609,A81022,0.0,268955
19,A81023,00M,4011,515.7239443259865,42.976995360498876,A81023,,0.5120686240219863,7.0,7.0,419.7300000000001,92.84,25.02,537.59,46.630895922330104,84.4518963122227,62.9892080624341,11.5309952115957,21.5504076614469,A81023,0.0,141914
20,A81025,00K,2530,621.5834408205884,51.79862006838237,A81025,4,0.5631490469885668,2.0,2.0,421.16,97.0,27.0,545.1600000000001,32.4712364686072,63.1380730114405,49.7252031642684,19.7017079624729,19.9374548953572,A81025,0.0,89634
21,A81026,00M,9671,686.9177133521954,57.24314277934962,A81026,4,0.5590473764656347,12.0,13.0,424.71,97.0,25.57,547.2800000000001,37.5964401882694,86.0204189411829,51.3242716301443,17.1081198436822,21.2013315964684,A81026,0.0,322649
22,A81027,00K,7571,542.7369829625559,45.228081913546326,A81027,4,0.4155222394442621,6.0,6.0,434.64,97.0,27.0,558.64,8.23829413524835,91.12862264851341,57.1817024367568,22.490650710545996,18.300673148840698,A81027,0.0,246650
23,A81029,00M,2537,434.8770105419536,36.23975087849613,A81029,,0.4443227657292217,4.0,4.0,434.98,93.47,27.0,555.45,48.2322652529115,73.5656084838423,66.0944545013588,13.103927702467802,20.069516857838,A81029,0.0,140759
24,A81030,00M,9350,731.0970365157557,60.92475304297964,A81030,4,0.5910573681675457,8.0,10.0,427.60999999999996,97.0,27.0,551.6099999999999,28.1359696198374,86.20467653894009,50.2094365791655,19.433065705390803,21.4271669670654,A81030,0.0,257526
25,A81031,00K,9214,722.3928184087077,60.19940153405898,A81031,4,0.4159293757425906,9.0,10.0,412.78999999999996,91.17,25.630000000000003,529.59,35.146113504166,71.04160863972429,55.1295467717947,18.0532641998586,20.2529656689449,A81031,0.0,259859
26,A81032,00M,7945,746.161190852599,62.18009923771658,A81032,3,0.4152473394831816,9.0,8.0,420.26000000000005,97.0,27.0,544.26,19.635913420325803,87.33846789113409,57.0693867175937,23.6453671078945,18.449671459861,A81032,0.0,267533
27,A81033,00M,1773,522.726155962852,43.56051299690433,A81033,4,0.43190322498492106,4.0,4.0,396.48999999999995,91.50999999999999,27.0,515.0,50.64070438937,58.453157481431,58.510124148018505,15.168707076739302,19.396834876082398,A81033,0.0,100145
28,A81034,00K,12920,593.3160104243602,49.443000868696686,A81034,4,0.4465264571585305,,11.0,434.6,97.0,27.0,558.6,20.9880874741439,64.7865044770794,59.4331336277069,12.483338695592199,24.7570896722894,A81034,0.0,448034
29,A81035,00M,4638,452.08717478007287,37.67393123167274,A81035,4,0.494461411347368,5.0,5.0,435.0,96.81,25.369999999999997,557.18,44.041366626065795,68.8897254312128,51.8989686431021,15.151231388706801,21.850360520648,A81035,0.0,214501
30,A81036,00K,11404,645.1503408480186,53.76252840400155,A81036,4,0.4354257638325927,9.0,11.0,435.0,97.0,27.0,559.0,26.096492022645396,83.2010606631329,52.7398255933556,19.240665561209898,21.625021442049302,A81036,0.0,419402
31,A81037,00M,5162,756.6049028349477,63.05040856957897,A81037,,0.5117428628459677,4.0,4.0,391.78000000000003,97.0,27.0,515.78,47.4590997989661,70.1833516529089,57.7009255523252,13.387860525183001,22.918639690056,A81037,0.0,176368
32,A81038,00M,2309,688.5172576597172,57.376438138309766,A81038,4,0.5599341340421975,2.0,2.0,405.46,97.0,24.490000000000002,526.9499999999999,47.9974169930702,70.0884087963955,46.389566751417206,12.473636637541402,26.8273576378427,A81038,0.0,93740
33,A81039,00K,6420,647.8032373344545,53.98360311120454,A81039,4,0.503817347237541,7.0,8.0,435.0,97.0,27.0,559.0,9.34291884761503,86.4749340899853,58.800227716266,18.4993668214436,21.593499366821398,A81039,0.0,188382
34,A81040,00K,6062,702.6640650657806,58.55533875548172,A81040,4,0.46243737463051926,8.0,5.0,428.57000000000005,97.0,27.0,552.57,23.6427126557224,80.0979806557086,56.52466861071979,16.833527357392303,20.7357392316647,A81040,0.0,188061
35,A81041,00K,5993,655.336753569834,54.61139613081949,A81041,4,0.38699777227672294,5.0,5.0,432.0,97.0,27.0,556.0,34.1787125055139,78.63595124796129,61.3024733752751,19.6164866651973,18.225699801631,A81041,0.0,182211
36,A81042,00M,7466,760.5949470252648,63.3829122521054,A81042,3,0.42649669292805464,5.0,6.0,428.13,97.0,27.0,552.13,45.631050456585704,72.4323582363279,69.0479954398924,15.6941649899396,23.340040241448698,A81042,0.0,243960
37,A81043,00M,6464,788.8939740655989,65.74116450546657,A81043,3,0.5405672443951485,7.0,9.0,421.24999999999994,96.19,27.0,544.4399999999999,32.3245892923998,73.32378481796829,58.521136388704996,21.4152002995133,19.792836640459303,A81043,0.0,230356
38,A81044,00K,10459,544.8909419283134,45.40757849402612,A81044,4,0.37061078931851,6.0,8.0,435.0,97.0,27.0,559.0,30.6203960467989,55.6089895158005,61.894810544631994,18.9012426422498,19.289295836058397,A81044,0.0,475610
39,A81045,00M,5560,728.4240406135706,60.70200338446421,A81045,3,0.4237837476185841,2.0,2.0,430.99,97.0,27.0,554.99,27.5999660751566,80.50182438955359,61.305170087742795,21.6638458534045,19.8880354120557,A81045,0.0,252699
40,A81046,00K,7189,561.8271691772659,46.818930764772155,A81046,,0.4842655927468988,7.0,7.0,429.30999999999995,92.67999999999999,26.95,548.9399999999999,29.0620707181455,73.53394839041091,62.899033366390896,20.415035238841,19.2466718872357,A81046,0.0,272190
41,A81047,00M,1314,342.68469878171453,28.557058231809545,A81047,3,0.3947217013927811,,,320.29,70.82,24.0,415.11,14.1313136160714,59.5216743447602,56.79877819699921,28.218005952381002,16.2983630952381,A81047,0.0,156489
42,A81048,00M,3953,635.3092438325342,52.94243698604452,A81048,3,0.4601498262150632,7.0,7.0,435.0,97.0,27.0,559.0,15.6654640960063,62.065816839896605,55.4794946700216,27.0100255553371,18.1521525457047,A81048,0.0,165067
43,A81049,00M,4262,765.4110357832353,63.78425298193628,A81049,4,0.4468530387292793,2.0,2.0,423.21000000000004,97.0,27.0,547.21,49.487518403790105,72.78987591782601,57.4106236204813,16.1078717201166,22.7332361516035,A81049,0.0,169583
44,A81051,00M,5363,688.6087868347279,57.384065569560654,A81051,4,0.4903831812088648,4.0,8.0,419.42999999999995,92.81,27.0,539.24,27.820175203572397,91.29467550844971,60.03351217391501,19.496195224350604,19.971136184728397,A81051,0.0,160270
45,A81052,00M,5736,710.9274943193554,59.243957859946285,A81052,3,0.44630355589556614,4.0,4.0,426.73,95.45,25.25,547.4300000000001,27.962237845823303,70.0196837165024,64.1303903899903,20.6198014488865,19.0850550040247,A81052,0.0,212605
46,A81053,00M,5401,838.3391540551029,69.86159617125857,A81053,3,0.5975032393748486,3.0,3.0,425.38000000000005,97.0,27.0,549.3800000000001,38.6403443155453,80.0591413659128,63.580849282533705,21.2960098979276,19.965975873801398,A81053,0.0,223585
47,A81054,00M,5473,675.3385638926878,56.27821365772399,A81054,,0.46422546214046795,4.0,4.0,427.05999999999995,97.0,27.0,551.06,27.689832395247002,72.6869832388799,65.9491621923472,18.226108682073697,20.1024359775141,A81054,0.0,227624
48,A81056,00K,1423,552.317495229162,46.026457935763496,A81056,4,0.32410135847194105,2.0,2.0,435.0,97.0,27.0,559.0,24.016176401869195,95.02949405210079,63.1248487657989,20.404984423675998,17.4922118380062,A81056,0.0,56063
49,A81057,00K,5658,639.4364340136184,53.286369501134864,A81057,4,0.4687811034020186,6.0,6.0,429.77,95.8,27.0,552.5699999999999,25.3090237823005,86.98800291339509,66.14846904040529,16.1408321902149,22.247370827617697,A81057,0.0,193154
50,A81058,00M,6096,747.539777430332,62.29498145252767,A81058,4,0.4760009891613964,5.0,5.0,432.79,93.08,27.0,552.87,27.6086982059801,53.1459089853889,61.943770516035,18.0551870522685,24.4812947731494,A81058,0.0,176322
51,A81060,00K,4138,731.116935127654,60.92641126063783,A81060,4,0.4337609196750858,4.0,4.0,405.21999999999997,94.28,25.740000000000002,525.24,31.6996736378646,89.41463010858222,60.9875021012196,19.225830122913198,20.7925151348376,A81060,0.0,99117
52,A81063,00K,2746,505.6702217448016,42.139185145400134,A81063,4,0.3097446511996377,2.0,2.0,422.65,96.21,27.0,545.86,36.148116601160396,90.1400823707047,59.182394633040296,18.110383536015,21.7661365762395,A81063,0.0,121050
53,A81064,00M,3488,546.4871851784153,45.540598764867944,A81064,,0.446373574095275,3.0,3.0,398.70000000000005,97.0,26.23,521.9300000000001,43.760775,75.3248856663561,45.6150202720022,12.558943728387302,20.1854762653254,A81064,0.0,118296
54,A81065,00M,3166,831.4621495633904,69.28851246361587,A81065,3,0.38456670651852093,3.0,3.0,409.2099999999999,93.51,27.0,529.7199999999999,48.5491372321945,84.591834342981,66.69194582157539,13.4337000579039,23.4452808338159,A81065,0.0,104539
55,A81066,00K,2521,579.462524182581,48.28854368188175,A81066,4,0.4864259465268563,2.0,3.0,432.68,88.38,27.0,548.06,14.4624101789449,87.4384292977895,51.423669755952,20.6688341848583,18.7320018578727,A81066,3221.0,102704
56,A81067,00K,5915,545.5635491606714,45.46362909672262,A81067,4,0.5078362019575228,5.0,7.0,434.26,97.0,25.439999999999998,556.7,39.771779044568,78.6522969603909,61.84138247917279,11.0315591144607,22.0555817239755,A81067,0.0,200509
57,A81070,00K,1883,726.6529457164909,60.554412143040906,A81070,4,0.4754958971065123,1.0,1.0,415.49999999999994,87.0,25.7,528.1999999999999,42.855391992091,81.1758712698818,65.8878502722078,9.787444389520509,28.887790410281802,A81070,0.0,51130
58,A81602,00K,1908,760.7402731169219,63.39502275974349,A81602,4,0.38715815587522767,,1.0,427.92,91.54,27.0,546.46,21.7176780740151,95.47625208347158,55.7787443592759,25.308396339037,16.1241543971349,A81602,0.0,75291
59,A81608,00K,2262,634.5169358797541,52.876411323312844,A81608,4,0.5018187738619267,2.0,2.0,428.41,97.0,27.0,552.4100000000001,37.335381013884394,82.5887676431935,54.49032538648729,9.78050355067786,28.0955455132343,A81608,0.0,93666
60,A81610,00K,4268,534.8315076074812,44.56929230062343,A81610,4,0.4644225809445906,4.0,4.0,415.78999999999996,91.91,26.68,534.3799999999999,22.820724534769802,70.1658747950936,56.30691198876579,15.254652301665,22.061704211557302,A81610,0.0,170378
61,A81611,00M,3698,560.7915987413277,46.73263322844397,A81611,4,0.4143191371498931,7.0,8.0,432.32,94.6,27.0,553.92,25.777638206845197,87.0078858868968,57.0066261897062,16.1655530809206,22.9584261321455,A81611,0.0,125974
62,A81612,00K,1946,608.505315822389,50.708776318532415,A81612,4,0.41512824915152624,2.0,2.0,434.62,97.0,27.0,558.62,22.057191965755703,85.6176689761601,49.727474485790005,19.651086240948,19.519420671494398,A81612,0.0,60965
63,A81618,00M,6252,717.9261442474235,59.82717868728529,A81618,3,0.5632138669449551,6.0,6.0,435.0,97.0,27.0,559.0,21.3563162196679,94.6701947345908,66.360592885092,23.8356513972183,17.8486665816001,A81618,0.0,211407
64,A81621,00M,1458,637.5396275917357,53.12830229931131,A81621,4,0.45738658131216586,3.0,3.0,416.01000000000005,95.28,27.0,538.2900000000001,65.5686510277033,65.93978267279411,71.6015563903649,6.478999106344951,35.2278820375335,A81621,0.0,49180
65,A81622,00K,3682,682.5154084990037,56.87628404158364,A81622,4,0.3875037352996679,3.0,3.0,435.0,97.0,27.0,559.0,37.6672454704851,85.15290625772059,67.228348613925,16.501264837517,23.1367970422261,A81622,0.0,102782
66,A81629,00K,3189,696.4402708014851,58.03668923345709,A81629,4,0.4433041771137047,2.0,2.0,428.43,97.0,27.0,552.4300000000001,36.1736156003059,82.6062798815728,54.32584501530311,17.1297476421106,21.3815957175631,A81629,0.0,107608
67,A81631,00K,4280,649.2800525896615,54.10667104913846,A81631,4,0.4460420169119272,4.0,4.0,427.6099999999999,94.73,27.0,549.3399999999999,34.0212731974922,85.0901241401167,63.867228913408205,17.3327064723398,22.8177401661182,A81631,0.0,114227
68,A81634,00K,778,406.3901101292822,33.86584251077352,A81634,4,0.29867919265916015,1.0,1.0,323.9,85.33,24.0,433.22999999999996,58.38800180505421,74.24669804823729,56.8113909616745,1.3838748495788202,25.342960288808698,A81634,0.0,19270
69,A82003,01K,6080,552.2837721223866,46.02364767686555,A82003,1,0.419089964195096,8.0,8.0,418.31,96.37,27.0,541.6800000000001,15.5199748752834,92.72961753914171,49.8468362782559,24.734693877551,17.0902494331066,A82003,0.0,193809
70,A82004,01H,1573,700.8242370238361,58.40201975198634,A82004,1,0.44459422366795326,,,433.85,78.4,26.93,539.18,19.059456540825302,93.78274112274771,53.785345319305705,24.187884108867397,14.3810359964881,A82004,1087.0,65657
71,A82005,01K,3876,610.8506363027461,50.90421969189551,A82005,1,0.431383469529658,4.0,4.0,429.73,96.07,27.0,552.8,12.4883159140209,92.8360368127963,52.4665302278062,22.3439639992174,12.525924476619101,A82005,0.0,115524
72,A82006,01H,2540,525.7801314450328,43.81501095375273,A82006,1,0.430558607562777,4.0,4.0,432.77,95.33,27.0,555.1,15.0698733249581,83.04726265955621,51.8031532679424,27.931323283082104,16.0678391959799,A82006,0.0,105559
73,A82007,01K,5324,558.7399316092808,46.56166096744007,A82007,3,0.45972102725691905,6.0,6.0,435.0,97.0,27.0,559.0,35.5425959384486,80.87825722395691,60.978247177441,19.5331309536271,20.57364178792,A82007,0.0,243146
74,A82008,01K,7357,671.4429132061696,55.953576100514134,A82008,3,0.5073095073617254,7.0,7.0,421.27000000000004,96.88,26.759999999999998,544.9100000000001,31.9610107851202,54.7668753890075,63.064733789937705,22.5025134814002,19.2450415866923,A82008,0.0,274793
75,A82009,01K,6025,672.307978426632,56.025664868886,A82009,3,0.3266986649752379,7.0,7.0,435.0,97.0,27.0,559.0,34.6143173381621,82.72606708280509,60.7390458004702,20.948392937981,19.866455409687603,A82009,0.0,243825
76,A82010,01K,3618,541.6100098551665,45.13416748793054,A82010,3,0.5093433997672315,4.0,4.0,426.08,96.49000000000001,19.59,542.16,27.0954917052757,63.8422479696444,58.843639786420205,17.695411747123,19.5486474368555,A82010,0.0,160984
77,A82012,01H,11313,722.3753525248762,60.197946043739684,A82012,3,0.45850908108697935,12.0,12.0,426.73,97.0,27.0,550.73,15.196262630183101,89.19266455215401,64.3599050032261,25.321777375331504,17.733652415755802,A82012,11116.0,404557
78,A82013,01H,3835,563.7978560490046,46.98315467075039,A82013,1,0.4847685170452182,8.0,8.0,424.62,87.0,27.0,538.62,19.1478558063558,94.6574147703236,56.0331533664683,27.294327294327303,16.964656964657,A82013,4415.0,173730
79,A82014,01H,2281,541.7623307734939,45.14686089779116,A82014,1,0.37226265538141146,5.0,6.0,429.3,93.94,26.5,549.74,15.996532879286,98.7558754371391,42.667904248637704,28.1117895725693,14.687646782527,A82014,3787.0,115822
80,A82015,01H,3425,617.8592904389658,51.48827420324715,A82015,3,0.3938738025127211,2.0,1.0,435.0,87.0,27.0,549.0,29.265464426170897,54.8640829248151,59.34220744172179,18.602573266619,17.944960686204396,A82015,0.0,115010
81,A82016,01H,23526,652.3206887548206,54.36005739623505,A82016,3,0.5046201308044221,,,435.0,97.0,27.0,559.0,23.703779439779897,56.9753245610518,62.1902325232685,20.7801368413628,19.5513860478239,A82016,0.0,596796
82,A82018,01H,7180,592.633352821818,49.3861127351515,A82018,3,0.4379029802317865,8.0,9.0,434.17,93.32,27.0,554.49,24.2527312018946,85.77660569642559,47.5751344738105,18.366311516996397,18.7789616100118,A82018,0.0,196533
83,A82019,01H,5900,696.8709705995257,58.0725808832938,A82019,3,0.3213898145525288,7.0,7.0,374.00999999999993,96.78999999999999,26.380000000000003,497.17999999999995,24.555900847556,70.4921149374601,53.3863794190419,17.8463680668369,19.8584358319796,A82019,0.0,159771
84,A82020,01H,10112,661.4374097190047,55.11978414325039,A82020,3,0.4521303319981542,8.0,8.0,413.63000000000005,96.07,26.25,535.95,25.354595525405998,70.4198070557084,54.263808413150606,18.4608367001173,20.619053825101,A82020,0.0,252736
85,A82021,01H,9668,564.5629863209682,47.04691552674735,A82021,1,0.4140834156938867,9.0,11.0,435.0,97.0,27.0,559.0,13.184291447682801,74.96586332148671,52.6306057744275,22.7498566787693,18.885916300401302,A82021,3285.0,339588
86,A82022,01H,3757,733.3116460637606,61.10930383864672,A82022,3,0.4445905417349262,5.0,5.0,433.34,97.0,27.0,557.3399999999999,15.438391089108901,69.531984010342,50.2399365638966,25.1533742331288,18.2584603206016,A82022,3999.0,130355
87,A82023,01H,2806,653.4192346503144,54.4516028875262,A82023,1,0.30390305971327997,6.0,6.0,434.45000000000005,97.0,27.0,558.45,25.259983910891105,95.7019675823974,63.818484640061506,24.25142291512,17.5303142786439,A82023,3009.0,123956
88,A82024,01H,3608,641.5362731152205,53.46135609293504,A82024,1,0.39568197640914377,5.0,7.0,432.28,97.0,27.0,556.28,14.0975209709084,87.36758100379991,56.3718558997614,28.823844369088,15.5381045868285,A82024,3838.0,139439
89,A82025,01K,4745,483.9285410752834,40.327378422940285,A82025,1,0.45972815040130516,7.0,7.0,423.66999999999996,90.68,27.0,541.3499999999999,13.369520108923302,92.1761955548197,58.615271065277604,20.2848465807938,18.632317520159198,A82025,0.0,184488
90,A82026,01K,8333,487.4524714828898,40.621039290240816,A82026,1,0.43342723469071476,7.0,7.0,424.55999999999995,90.04,27.0,541.5999999999999,11.7657649464694,91.0947198818788,45.9472726900887,23.048237699987997,18.9955491399014,A82026,3778.0,341374
91,A82027,01K,5468,528.355973556434,44.02966446303617,A82027,1,0.38545587206999354,10.0,10.0,417.24,95.34,27.0,539.58,12.4800099460074,70.1003837164778,60.7695533794802,24.0954726273916,16.2625497253268,A82027,1876.0,240777
92,A82028,01H,4080,546.349301998594,45.52910849988283,A82028,1,0.3909855469289428,7.0,7.0,434.96,97.0,27.0,558.96,11.610200764526,92.7863680713133,53.0064359929479,27.232415902140698,15.614678899082598,A82028,2438.0,145778
93,A82029,01H,1804,518.0558546916506,43.171321224304215,A82029,1,0.38011798773190364,4.0,4.0,420.63,96.96000000000001,27.0,544.59,18.124614294152398,89.36988350674909,57.12287947461329,23.9564961787184,17.942386831275698,A82029,3116.0,70692
94,A82030,01K,3600,599.8250510267839,49.985420918898654,A82030,2,0.463287612490084,7.0,7.0,424.6499999999999,89.29,27.0,540.9399999999999,10.857617970049901,97.3558014817719,58.182181550349505,28.286189683860197,16.3460898502496,A82030,3930.0,151966
95,A82031,01H,1686,572.317614777517,47.69313456479308,A82031,1,0.3911736197625932,3.0,3.0,434.88,97.0,27.0,558.88,14.508625128733302,92.83228645750609,56.7783627226843,23.7212495708891,17.0889117748026,A82031,2855.0,76136
96,A82032,01H,9890,721.8495112857413,60.154125940478444,A82032,1,0.42551595679418547,10.0,11.0,435.0,97.0,27.0,559.0,31.662343887101496,74.8241763100305,63.8255554624801,22.491956712489,18.974846446329302,A82032,0.0,359844
97,A82033,01K,6904,827.2969653395644,68.94141377829703,A82033,1,0.5101068644822372,6.0,6.0,408.5299999999999,79.3,25.25,513.0799999999999,27.392265667736897,85.6719154754545,67.3258148202172,23.914853133547396,18.3232251159472,A82033,0.0,197061
98,A82034,01K,4988,758.1699346405229,63.18082788671024,A82034,1,0.43369422858056517,6.0,6.0,433.18000000000006,97.0,27.0,557.1800000000001,8.437960307878049,95.36406814960259,64.66300612312921,33.0817989737398,16.3386658617567,A82034,2545.0,166524
99,A82035,01H,7496,510.75717570905374,42.56309797575448,A82035,1,0.5202730986375538,13.0,12.0,419.86,96.27,26.810000000000002,542.94,14.2423380374138,71.0031498978766,55.94033391544029,23.642927469642302,17.713160485723698,A82035,0.0,260343
100,A82036,01H,4548,454.98957899124633,37.91579824927053,A82036,1,0.38421206828780347,6.0,6.0,423.2099999999999,96.83,27.0,547.04,14.261948530181,78.87782883038209,59.064849781770704,24.6469295951459,16.606339575269402,A82036,0.0,190443
101,A82037,01H,2536,605.0099403578528,50.41749502982106,A82037,1,0.28847173150230787,3.0,3.0,435.0,97.0,27.0,559.0,22.5386614620298,86.3716372032037,57.396058121044206,30.210551218358198,15.254317482848402,A82037,0.0,127409
102,A82038,01H,2035,450.36239234273285,37.530199361894404,A82038,1,0.3793301224644546,3.0,3.0,419.53,76.24,27.0,522.77,15.9223712804328,85.0876680446444,51.010745938582296,22.0018034265104,20.175834084761,A82038,3714.0,87299
103,A82039,01K,4555,531.7896580240308,44.3158048353359,A82039,3,0.42297316860872186,9.0,9.0,419.39,95.25,27.0,541.64,18.816958623128603,85.65562174757291,52.788040590813104,22.032299893905503,18.1020865259932,A82039,0.0,166590
104,A82041,01H,7579,764.3588321315112,63.696569344292605,A82041,1,0.466431011891995,1.0,1.0,431.15000000000003,92.16,27.0,550.3100000000001,28.5577637818613,48.6471863697608,50.744510761533796,19.0673779885398,20.671803991306103,A82041,0.0,270744
105,A82044,01H,17212,758.2852086951095,63.19043405792579,A82044,1,0.527561887602439,7.0,7.0,412.63000000000005,95.05,27.0,534.6800000000001,27.5984604965137,68.94025710991299,44.399159917733705,19.824140687449997,19.1979749533706,A82044,0.0,587903
106,A82045,01H,5349,621.4107305361396,51.784227544678295,A82045,1,0.45034902619981737,,,425.8,92.26,27.0,545.0600000000001,18.7976969444775,95.44680677497058,53.149884654529295,21.791825095057,19.584125475285198,A82045,0.0,195855
107,A82046,01K,2968,507.80615081911117,42.31717923492593,A82046,1,0.4228035214422833,3.0,3.0,425.43,97.0,26.85,549.2800000000001,11.1802419270379,90.9793612302849,41.9779209665556,21.3451820874717,16.786896671894098,A82046,0.0,87217
108,A82047,01H,7692,854.6904080668907,71.22420067224088,A82047,1,0.4777460716449087,8.0,8.0,433.38,97.0,26.97,557.35,30.3477747406003,60.5201036190163,61.3022482450984,21.5887537654803,18.4826508981368,A82047,0.0,235322
109,A82048,01H,4270,649.3885051644381,54.115708763703175,A82048,,0.39811123648839347,1.0,3.0,412.68,82.37,24.0,519.05,28.595706870910202,83.89107740674709,52.2224238422176,18.6793575252826,20.348007138608,A82048,0.0,141277
110,A82049,01H,4471,801.3981000179244,66.7831750014937,A82049,1,0.3941812386436384,3.0,3.0,435.0,97.0,24.0,556.0,29.571060829493103,84.43468843847671,61.6323907968553,20.1031877648793,19.4914317302377,A82049,0.0,121037
111,A82050,01H,6607,923.2274066397289,76.9356172199774,A82050,1,0.4651564217023467,3.0,3.0,428.82,97.0,27.0,552.8199999999999,27.2114857023295,73.7802804338817,59.51685732135329,19.9442119944212,19.704323570432397,A82050,0.0,201375
112,A82053,01K,3112,648.5472638543963,54.045605321199695,A82053,1,0.3054605849035789,4.0,4.0,435.0,97.0,27.0,559.0,11.401314376996801,93.0404202878283,51.87639785145289,38.7007454739084,11.484558040468599,A82053,0.0,135279
113,A82055,01H,4256,616.9606185068857,51.413384875573804,A82055,1,0.34410916087726445,5.0,5.0,434.56,95.4,27.0,556.96,21.277794431621498,85.13062483885629,55.0918128780058,23.6694071830376,17.9085532958315,A82055,0.0,176711
