month,pct,pt_0_4
2014-02-01,,0
2014-02-01,00C,6235
2014-02-01,00D,15779
2014-02-01,00F,11257
2014-02-01,00G,7528
2014-02-01,00H,8995
2014-02-01,00J,12862
2014-02-01,00K,17793
2014-02-01,00L,15728
2014-02-01,00M,17963
2014-02-01,00N,8238
2014-02-01,00P,15239
2014-02-01,00Q,11976
2014-02-01,00R,9044
2014-02-01,00T,19651
2014-02-01,00V,12877
2014-02-01,00W,14651
2014-02-01,00X,10132
2014-02-01,00Y,16933
2014-02-01,01A,23268
2014-02-01,01C,10686
2014-02-01,01D,15012
2014-02-01,01E,12569
2014-02-01,01F,7862
2014-02-01,01G,17414
2014-02-01,01H,25490
2014-02-01,01J,9499
2014-02-01,01K,8024
2014-02-01,01M,14574
2014-02-01,01N,10869
2014-02-01,01R,9776
2014-02-01,01T,8382
2014-02-01,01V,5712
2014-02-01,01W,17821
2014-02-01,01X,10921
2014-02-01,01Y,15343
2014-02-01,02A,14648
2014-02-01,02D,6104
2014-02-01,02E,12421
2014-02-01,02F,13220
2014-02-01,02G,5732
2014-02-01,02H,18909
2014-02-01,02M,7000
2014-02-01,02N,8831
2014-02-01,02P,15240
2014-02-01,02Q,6096
2014-02-01,02R,23774
2014-02-01,02T,13352
2014-02-01,02V,12657
2014-02-01,02W,10816
2014-02-01,02X,18801
2014-02-01,02Y,14483
2014-02-01,03A,14674
2014-02-01,03C,19834
2014-02-01,03D,6605
2014-02-01,03E,7987
2014-02-01,03F,19006
2014-02-01,03G,18874
2014-02-01,03H,10031
2014-02-01,03J,13143
2014-02-01,03K,9583
2014-02-01,03L,15421
2014-02-01,03M,5751
2014-02-01,03N,33395
2014-02-01,03Q,16996
2014-02-01,03R,21235
2014-02-01,03T,12247
2014-02-01,03V,4995
2014-02-01,03W,16890
2014-02-01,03X,5377
2014-02-01,03Y,5512
2014-02-01,04C,25574
2014-02-01,04D,12846
2014-02-01,04E,11550
2014-02-01,04F,20105
2014-02-01,04G,40030
2014-02-01,04H,7047
2014-02-01,04J,14277
2014-02-01,04K,21750
2014-02-01,04L,8428
2014-02-01,04M,5436
2014-02-01,04N,6589
2014-02-01,04Q,6888
