month,pct,sched_5_items,sched_5_percent_items
2015-10-01,04R,385532,0.03282375176439628
2015-10-01,09J,183580,0.030480378940943808
2015-10-01,15E,1036167,0.03866534126123703
2015-10-01,03X,63393,0.029404261398424426
2015-10-01,04V,345921,0.034762879598604066
2015-10-01,05L,436726,0.034243533477628
2015-10-01,05Q,211443,0.03636878080999542
2015-10-01,99J,336757,0.02728567356495735
2015-10-01,99M,97856,0.02316838893800344
2015-10-01,07T,143527,0.03549740188113204
2015-10-01,07P,156434,0.023646051408402802
2015-10-01,12D,171288,0.0271713930700638
2015-10-01,04N,73627,0.02495497211558863
2015-10-01,08D,110456,0.021413791826599003
2015-10-01,08A,178406,0.03288597136067398
2015-10-01,04M,71971,0.03288168286818224
2015-10-01,12F,268835,0.02841547185897445
2015-10-01,00K,307247,0.03443533071409318
2015-10-01,99A,679656,0.04545972610832061
2015-10-01,01D,251969,0.04022435178543862
2015-10-01,08F,178770,0.027924190906057755
2015-10-01,04G,604959,0.030916213223694117
2015-10-01,09P,206634,0.035787719869481184
2015-10-01,09F,186050,0.03333584180839551
2015-10-01,04Q,109738,0.024740377984134216
2015-10-01,02M,259871,0.0410318895517425
2015-10-01,10A,136261,0.027292461839705934
2015-10-01,01W,234500,0.026603782660822986
2015-10-01,05N,292195,0.036899276259203036
2015-10-01,11E,133949,0.025391230700056337
2015-10-01,03D,148696,0.031858217477284075
2015-10-01,08T,97105,0.022835340043269682
2015-10-01,04L,109480,0.030403510233552724
2015-10-01,10C,48676,0.028626660150449342
2015-10-01,02D,90167,0.026674267572188142
2015-10-01,02R,349959,0.03931633687442767
2015-10-01,11X,371368,0.02643683855936571
2015-10-01,09N,94984,0.023947796103869254
2015-10-01,05X,190461,0.052770798722823704
2015-10-01,09A,74015,0.02364509137934119
2015-10-01,08V,147383,0.022785007776242112
2015-10-01,01K,359507,0.035056578460701954
2015-10-01,10V,118772,0.023954805906211366
2015-10-01,03M,154136,0.03862181635493704
2015-10-01,09H,91054,0.03259253744218703
2015-10-01,08M,215733,0.026030619246945733
2015-10-01,02Q,144865,0.04055699410423678
2015-10-01,10K,125917,0.028892146114404795
2015-10-01,03R,261738,0.02471806888209899
2015-10-01,01J,241816,0.043175723208004654
2015-10-01,02T,179311,0.03048210794730132
2015-10-01,07K,125402,0.016758959752944263
2015-10-01,00R,315778,0.0471031765683706
2015-10-01,09C,57348,0.019802916983345978
2015-10-01,08P,76042,0.020480409726699837
2015-10-01,08W,136675,0.02951597047776676
2015-10-01,03L,339640,0.039808249041831244
2015-10-01,06W,182089,0.03451173744780045
2015-10-01,03F,293074,0.03164029939064079
2015-10-01,02P,411245,0.041106096800462434
2015-10-01,07G,86010,0.021174637211082894
2015-10-01,01V,122854,0.0304773765253697
2015-10-01,00T,192174,0.024444692062057724
2015-10-01,04Y,163363,0.04469168746048582
2015-10-01,01T,203873,0.041626290555277196
2015-10-01,07V,192276,0.026208444616129898
2015-10-01,05G,251693,0.03993693058143251
2015-10-01,01G,146974,0.018197499840279404
2015-10-01,03Q,269242,0.03151956688662534
2015-10-01,01Y,329969,0.04496023370617498
2015-10-01,00J,263333,0.027893438596948376
2015-10-01,07L,121967,0.028384373479308826
2015-10-01,10Q,408282,0.026777461027992895
2015-10-01,99P,812238,0.03028357025769061
2015-10-01,09X,123658,0.03064055049813381
2015-10-01,99E,126127,0.022454684983345966
2015-10-01,14Y,225757,0.02121954009494592
2015-10-01,08C,85228,0.0258051154853704
2015-10-01,99C,240073,0.030714883924086684
2015-10-01,03W,243828,0.030342542652011997
2015-10-01,01X,302427,0.04633213683305834
2015-10-01,15F,669016,0.031880766307610775
2015-10-01,05H,146462,0.024186755001227817
2015-10-01,10E,90446,0.021883093866776993
2015-10-01,14L,554378,0.03822841238150463
2015-10-01,10R,161455,0.034450127276955934
2015-10-01,04F,232359,0.048491611390944746
2015-10-01,99Q,282645,0.03432723978119565
2015-10-01,04E,248517,0.03728609970266182
2015-10-01,11N,506170,0.028536820571858332
2015-10-01,11M,391747,0.022913349908278636
2015-10-01,06H,590746,0.025510031350669763
2015-10-01,03T,199827,0.02001104564615778
2015-10-01,09L,100787,0.03032821589012307
2015-10-01,05J,150372,0.043075585087686885
2015-10-01,05D,125643,0.03561992037022967
2015-10-01,06Q,224046,0.022308335072495168
2015-10-01,00X,151588,0.03177173512767024
2015-10-01,09G,412250,0.03205985148492522
2015-10-01,02F,165140,0.02565726345724556
2015-10-01,05T,263787,0.03215273668255896
2015-10-01,00V,176892,0.03567467820247153
2015-10-01,08J,75310,0.022405681778626153
2015-10-01,01F,198931,0.05245087221251501
2015-10-01,02H,387902,0.04308398913253906
2015-10-01,10D,110417,0.043386792248948404
2015-10-01,02E,196182,0.038486596431011745
2015-10-01,04D,159679,0.022181918150598775
2015-10-01,10L,89680,0.021133752284992702
2015-10-01,08R,83157,0.022036283270264256
2015-10-01,06F,185602,0.017646813296540376
2015-10-01,99K,101166,0.02381962577433915
2015-10-01,06N,368144,0.031871996719853614
2015-10-01,11A,291416,0.02427713468563045
2015-10-01,04H,129693,0.034136680961679836
2015-10-01,06M,219017,0.03254461609695225
2015-10-01,03K,214462,0.036233960463687646
2015-10-01,00Y,258798,0.03818607652295085
2015-10-01,05V,126526,0.03332019233782524
2015-10-01,09D,137985,0.022655005404134527
2015-10-01,00M,379261,0.03744050784539755
2015-10-01,05A,265256,0.022799878666990656
2015-10-01,06V,183124,0.028216928462126242
2015-10-01,06K,408620,0.02760301937662787
2015-10-01,06D,122891,0.04262912993436229
2015-10-01,03V,100545,0.04915517822143761
2015-10-01,07N,118463,0.02463764076958337
2015-10-01,03H,180658,0.03459712744527088
2015-10-01,02A,134126,0.020328040984056266
2015-10-01,06A,301518,0.042562249749970534
2015-10-01,00N,171838,0.03057148926373874
2015-10-01,08N,132578,0.02450591409566027
2015-10-01,99H,140076,0.02612533506214083
2015-10-01,09E,111878,0.023534193029690256
2015-10-01,03N,624015,0.035341419640895634
2015-10-01,03J,177321,0.03481225010493482
2015-10-01,07Y,125153,0.02270416340655515
2015-10-01,10J,100361,0.020920466332476177
2015-10-01,15A,188601,0.019164908283799693
2015-10-01,01A,442855,0.039944719333449806
2015-10-01,99N,288959,0.02320189135895175
2015-10-01,00L,345479,0.028893456367559817
2015-10-01,09W,241228,0.036210285889955125
2015-10-01,02W,112523,0.03730796954169979
2015-10-01,09Y,164657,0.02696017431922109
2015-10-01,03A,194662,0.03241596722267489
2015-10-01,08H,116029,0.03559156494419963
2015-10-01,05C,360746,0.046727564076408934
2015-10-01,06L,224951,0.021118251260729116
2015-10-01,10X,129777,0.02696162398405949
2015-10-01,05Y,371026,0.05265796958001896
2015-10-01,00P,363384,0.030619875010806746
2015-10-01,06T,309073,0.028627046929302707
2015-10-01,99F,118409,0.02734924642846914
2015-10-01,01C,115412,0.0205010693553315
2015-10-01,07W,153786,0.02126727137780073
2015-10-01,08E,112245,0.02025321526220376
2015-10-01,03E,108248,0.026431935349099673
2015-10-01,04K,197673,0.0285767031482615
2015-10-01,08X,137299,0.022443076636390905
2015-10-01,07M,135930,0.020367483768420527
2015-10-01,07R,87161,0.027707991133290248
2015-10-01,08Y,95468,0.02932972779341018
2015-10-01,02X,463288,0.045485440796558765
2015-10-01,07Q,162117,0.029516937959754116
2015-10-01,00C,94801,0.02810654878643547
2015-10-01,01R,137457,0.029769221773198018
2015-10-01,02G,100716,0.0340599197030528
2015-10-01,06Y,192802,0.02881457787305487
2015-10-01,11J,613692,0.03007843383469448
2015-10-01,15D,253769,0.031076642058666348
2015-10-01,02N,132869,0.03187966684813604
2015-10-01,04C,281775,0.03137106151366666
2015-10-01,01E,181357,0.033312264850846346
2015-10-01,07X,154380,0.023012630264038554
2015-10-01,06P,124880,0.03114024982021044
2015-10-01,01H,387408,0.0368965130372289
2015-10-01,99D,162986,0.027047901134914572
2015-10-01,00D,404302,0.032096505927980176
2015-10-01,08Q,142226,0.027792075117899318
2015-10-01,05R,158870,0.022808374622994954
2015-10-01,00Q,203920,0.042793030057948545
2015-10-01,04J,289671,0.03218662153643891
2015-10-01,02Y,351437,0.03673275532195212
2015-10-01,13T,548007,0.03043066447783396
2015-10-01,08L,156753,0.036533216740026915
2015-10-01,99G,117305,0.03183746162297367
2015-10-01,15C,650680,0.02819538079861982
2015-10-01,07J,208825,0.03277123068074552
2015-10-01,05W,364467,0.04314179797204537
2015-10-01,07H,167582,0.022159723444451072
2015-10-01,08G,141353,0.024575321893374052
2015-10-01,05F,159576,0.03202451247086806
2015-10-01,08K,147520,0.025331405774537095
