month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-10-01,10D,110417,28501,0.043386792248948404,0.01119906324105236
2015-10-01,11E,133949,60747,0.025391230700056337,0.011515137039741411
2015-10-01,01E,181357,55525,0.033312264850846346,0.010199019094069948
2015-10-01,04N,73627,26523,0.02495497211558863,0.00898964680649432
2015-10-01,11N,506170,219666,0.028536820571858332,0.012384315996083988
2015-10-01,07W,153786,46200,0.02126727137780073,0.0063890597171029455
2015-10-01,08D,110456,43190,0.021413791826599003,0.008373122953853217
2015-10-01,09D,137985,87201,0.022655005404134527,0.014317057116686125
2015-10-01,08Y,95468,40236,0.02932972779341018,0.012361324501358068
2015-10-01,10E,90446,70229,0.021883093866776993,0.016991661313600175
2015-10-01,99A,679656,191085,0.04545972610832061,0.012780982972869281
2015-10-01,08F,178770,56047,0.027924190906057755,0.008754640754666997
2015-10-01,12F,268835,113042,0.02841547185897445,0.011948376401443968
2015-10-01,06M,219017,104395,0.03254461609695225,0.015512472536110575
2015-10-01,03X,63393,33369,0.029404261398424426,0.01547790447847593
2015-10-01,03J,177321,73151,0.03481225010493482,0.014361248286588094
2015-10-01,08T,97105,44746,0.022835340043269682,0.0105225284545198
2015-10-01,06H,590746,275156,0.025510031350669763,0.011881990206154405
2015-10-01,01K,359507,140964,0.035056578460701954,0.013745811698059815
2015-10-01,03A,194662,86400,0.03241596722267489,0.014387705705474672
2015-10-01,99N,288959,164856,0.02320189135895175,0.013237071701768589
2015-10-01,11X,371368,205321,0.02643683855936571,0.014616332397642035
2015-10-01,09Y,164657,55404,0.02696017431922109,0.009071594271619946
2015-10-01,99K,101166,39172,0.02381962577433915,0.009223082664456568
2015-10-01,15E,1036167,349393,0.03866534126123703,0.013037859321216937
2015-10-01,06P,124880,51389,0.03114024982021044,0.01281443223903583
2015-10-01,00M,379261,181934,0.03744050784539755,0.017960458244703666
2015-10-01,03Y,138562,54857,0.03626065317955228,0.014355672200680557
2015-10-01,07R,87161,50027,0.027707991133290248,0.01590330161913139
2015-10-01,07M,135930,76050,0.020367483768420527,0.011395182377608924
2015-10-01,06T,309073,119076,0.028627046929302707,0.011029090991945751
2015-10-01,02T,179311,81817,0.03048210794730132,0.01390854228644284
2015-10-01,08H,116029,56143,0.03559156494419963,0.017221705182861178
2015-10-01,03M,154136,57664,0.03862181635493704,0.014448853079689945
2015-10-01,07Y,125153,49327,0.02270416340655515,0.008948473215625242
2015-10-01,03T,199827,130638,0.02001104564615778,0.013082331122034361
2015-10-01,99C,240073,127618,0.030714883924086684,0.016327417313167638
2015-10-01,03K,214462,82716,0.036233960463687646,0.013975101760285678
2015-10-01,02Y,351437,118283,0.03673275532195212,0.012363127666541834
2015-10-01,07T,143527,43859,0.03549740188113204,0.010847300850046126
2015-10-01,12D,171288,74422,0.0271713930700638,0.011805552140606978
2015-10-01,10L,89680,54900,0.021133752284992702,0.012937589211040358
2015-10-01,03V,100545,34724,0.04915517822143761,0.01697612420867472
2015-10-01,08L,156753,50865,0.036533216740026915,0.011854714547609736
2015-10-01,05J,150372,45995,0.043075585087686885,0.013175734419361039
2015-10-01,05Y,371026,94771,0.05265796958001896,0.013450400875054516
2015-10-01,13T,548007,310746,0.03043066447783396,0.01725563225256063
2015-10-01,07L,121967,48436,0.028384373479308826,0.011272110602407227
2015-10-01,01H,387408,124962,0.0368965130372289,0.011901308342001708
2015-10-01,10X,129777,54988,0.02696162398405949,0.011423948616746137
2015-10-01,04V,345921,105765,0.034762879598604066,0.010628715691578016
2015-10-01,06A,301518,85688,0.042562249749970534,0.012095709233198268
2015-10-01,02H,387902,152753,0.04308398913253906,0.016966163082331977
2015-10-01,04G,604959,210557,0.030916213223694117,0.010760440141796985
2015-10-01,00Y,258798,86749,0.03818607652295085,0.01279995962986369
2015-10-01,04F,232359,88695,0.048491611390944746,0.018509993038013782
2015-10-01,02Q,144865,48622,0.04055699410423678,0.013612412710704454
2015-10-01,06L,224951,91517,0.021118251260729116,0.00859155549710002
2015-10-01,05C,360746,100495,0.046727564076408934,0.013017154873120466
2015-10-01,99P,812238,326255,0.03028357025769061,0.01216412703471501
2015-10-01,09N,94984,44165,0.023947796103869254,0.01113507974950924
2015-10-01,07P,156434,41751,0.023646051408402802,0.006310944502807736
2015-10-01,99Q,282645,103427,0.03432723978119565,0.012561210808079827
2015-10-01,99E,126127,64100,0.022454684983345966,0.01141187301238019
2015-10-01,03E,108248,47005,0.026431935349099673,0.01147765428538569
2015-10-01,03Q,269242,95058,0.03151956688662534,0.0111282303247964
2015-10-01,02W,112523,35121,0.03730796954169979,0.011644669963243412
2015-10-01,04D,159679,81884,0.022181918150598775,0.011374972199497931
2015-10-01,06N,368144,131818,0.031871996719853614,0.011412118257034377
2015-10-01,06K,408620,161198,0.02760301937662787,0.010889216184899563
2015-10-01,02F,165140,89205,0.02565726345724556,0.01385949004907103
2015-10-01,01V,122854,46955,0.0304773765253697,0.011648503221293032
2015-10-01,09E,111878,66727,0.023534193029690256,0.014036415544540855
2015-10-01,04J,289671,103592,0.03218662153643891,0.011510563702278723
2015-10-01,06F,185602,122603,0.017646813296540376,0.01165694470208155
2015-10-01,01C,115412,61889,0.0205010693553315,0.01099357676265996
2015-10-01,09J,183580,72794,0.030480378940943808,0.01208622238058102
2015-10-01,08P,76042,27961,0.020480409726699837,0.007530742699669316
2015-10-01,09C,57348,32496,0.019802916983345978,0.01122123858357416
2015-10-01,09H,91054,32250,0.03259253744218703,0.011543801837486895
2015-10-01,00T,192174,116256,0.024444692062057724,0.014787859545862514
