supplier,month,calc_value,measure_id
TPP,2016-12-01,373.96758898504544,gabapentinoidsddd
EMIS,2016-12-01,353.5931526536679,gabapentinoidsddd
INPS,2016-12-01,340.7271731337777,gabapentinoidsddd
Microtest,2016-12-01,468.6269523792199,gabapentinoidsddd
TPP,2017-01-01,352.61656477658727,gabapentinoidsddd
EMIS,2017-01-01,330.896273616955,gabapentinoidsddd
INPS,2017-01-01,324.00062086947554,gabapentinoidsddd
Microtest,2017-01-01,433.2966648951376,gabapentinoidsddd
TPP,2017-02-01,330.5326096030755,gabapentinoidsddd
EMIS,2017-02-01,311.0053190352274,gabapentinoidsddd
Vision,2017-02-01,301.1647381753022,gabapentinoidsddd
Microtest,2017-02-01,417.7516184475156,gabapentinoidsddd
TPP,2017-03-01,386.1206803815475,gabapentinoidsddd
EMIS,2017-03-01,362.1983827972174,gabapentinoidsddd
Vision,2017-03-01,346.19917381309773,gabapentinoidsddd
Microtest,2017-03-01,464.7391999744775,gabapentinoidsddd
TPP,2017-04-01,345.698220757756,gabapentinoidsddd
EMIS,2017-04-01,325.83803071509635,gabapentinoidsddd
Vision,2017-04-01,312.81670657474433,gabapentinoidsddd
Microtest,2017-04-01,421.9613065879391,gabapentinoidsddd
TPP,2017-05-01,376.47179574391583,gabapentinoidsddd
EMIS,2017-05-01,356.73818577774466,gabapentinoidsddd
Vision,2017-05-01,334.4443787363167,gabapentinoidsddd
Microtest,2017-05-01,469.9676435565547,gabapentinoidsddd
TPP,2017-06-01,381.1135106043304,gabapentinoidsddd
EMIS,2017-06-01,361.36405629099403,gabapentinoidsddd
Vision,2017-06-01,335.6857620909545,gabapentinoidsddd
Microtest,2017-06-01,474.38620055226545,gabapentinoidsddd
TPP,2017-07-01,372.73444068474186,gabapentinoidsddd
EMIS,2017-07-01,352.9324496113004,gabapentinoidsddd
Vision,2017-07-01,328.48412583460544,gabapentinoidsddd
Microtest,2017-07-01,477.39974309977595,gabapentinoidsddd
TPP,2017-08-01,382.2259934864137,gabapentinoidsddd
EMIS,2017-08-01,361.60536610722545,gabapentinoidsddd
Vision,2017-08-01,336.65062319537736,gabapentinoidsddd
Microtest,2017-08-01,487.0679277248957,gabapentinoidsddd
TPP,2017-09-01,377.330932836038,gabapentinoidsddd
EMIS,2017-09-01,354.32763543398255,gabapentinoidsddd
Vision,2017-09-01,328.14646615955377,gabapentinoidsddd
Microtest,2017-09-01,488.4222230764398,gabapentinoidsddd
TPP,2017-10-01,389.2004691450726,gabapentinoidsddd
EMIS,2017-10-01,363.5986196407342,gabapentinoidsddd
Vision,2017-10-01,334.66218652401744,gabapentinoidsddd
Microtest,2017-10-01,483.8077076771948,gabapentinoidsddd
TPP,2017-11-01,387.73567322112393,gabapentinoidsddd
EMIS,2017-11-01,365.84215681126193,gabapentinoidsddd
Vision,2017-11-01,334.0561651536488,gabapentinoidsddd
Microtest,2017-11-01,494.2375330218422,gabapentinoidsddd
TPP,2017-12-01,391.9715211520445,gabapentinoidsddd
EMIS,2017-12-01,367.70352025746973,gabapentinoidsddd
Vision,2017-12-01,336.7463252904462,gabapentinoidsddd
Microtest,2017-12-01,496.89099986132584,gabapentinoidsddd
TPP,2018-01-01,394.6619526307756,gabapentinoidsddd
EMIS,2018-01-01,373.13442572734886,gabapentinoidsddd
Vision,2018-01-01,344.32128655039145,gabapentinoidsddd
Microtest,2018-01-01,495.2892378377809,gabapentinoidsddd
TPP,2018-03-01,395.4920671914222,gabapentinoidsddd
EMIS,2018-03-01,372.2834812372743,gabapentinoidsddd
Vision,2018-03-01,347.5950181706911,gabapentinoidsddd
Microtest,2018-03-01,481.3029860387157,gabapentinoidsddd
TPP,2018-04-01,384.77187346881453,gabapentinoidsddd
EMIS,2018-04-01,359.8674966149408,gabapentinoidsddd
Vision,2018-04-01,342.1166268484054,gabapentinoidsddd
Microtest,2018-04-01,476.23978764591885,gabapentinoidsddd
TPP,2018-05-01,402.60555496432556,gabapentinoidsddd
EMIS,2018-05-01,377.4541724644199,gabapentinoidsddd
Vision,2018-05-01,360.8075864752352,gabapentinoidsddd
Microtest,2018-05-01,496.76452602645105,gabapentinoidsddd
TPP,2018-06-01,394.99505165974324,gabapentinoidsddd
EMIS,2018-06-01,369.04463251000817,gabapentinoidsddd
Vision,2018-06-01,351.9833356382789,gabapentinoidsddd
Microtest,2018-06-01,482.55380035403147,gabapentinoidsddd
TPP,2018-07-01,397.185851257479,gabapentinoidsddd
EMIS,2018-07-01,375.159449629457,gabapentinoidsddd
Vision,2018-07-01,357.2265303234765,gabapentinoidsddd
Microtest,2018-07-01,490.01874158460475,gabapentinoidsddd
TPP,2018-08-01,412.29984000408126,gabapentinoidsddd
EMIS,2018-08-01,385.599814628817,gabapentinoidsddd
Vision,2018-08-01,373.1533359682765,gabapentinoidsddd
Microtest,2018-08-01,507.0912215151602,gabapentinoidsddd
TPP,2018-09-01,384.55974339462756,gabapentinoidsddd
EMIS,2018-09-01,359.21086963638015,gabapentinoidsddd
Vision,2018-09-01,346.05099502584864,gabapentinoidsddd
Microtest,2018-09-01,478.3208062185527,gabapentinoidsddd
TPP,2018-10-01,419.34333427065843,gabapentinoidsddd
EMIS,2018-10-01,394.0399898621813,gabapentinoidsddd
Vision,2018-10-01,381.6547620705794,gabapentinoidsddd
Microtest,2018-10-01,518.3532268638048,gabapentinoidsddd
TPP,2018-11-01,405.83146021658854,gabapentinoidsddd
EMIS,2018-11-01,383.3374596004821,gabapentinoidsddd
Vision,2018-11-01,375.23730564109394,gabapentinoidsddd
Microtest,2018-11-01,490.61551959281115,gabapentinoidsddd
TPP,2018-12-01,409.39617324265555,gabapentinoidsddd
EMIS,2018-12-01,383.6726468583834,gabapentinoidsddd
Vision,2018-12-01,366.2787232588944,gabapentinoidsddd
Microtest,2018-12-01,501.28538977993014,gabapentinoidsddd
TPP,2019-01-01,420.4544387757902,gabapentinoidsddd
EMIS,2019-01-01,394.70138553602396,gabapentinoidsddd
Vision,2019-01-01,381.6845634867647,gabapentinoidsddd
Microtest,2019-01-01,504.96224645284536,gabapentinoidsddd
TPP,2019-02-01,377.8200606488879,gabapentinoidsddd
EMIS,2019-02-01,330.1257165718135,gabapentinoidsddd
Vision,2019-02-01,338.8588112815095,gabapentinoidsddd
Microtest,2019-02-01,474.9478899981131,gabapentinoidsddd
TPP,2019-03-01,401.02240196839625,gabapentinoidsddd
EMIS,2019-03-01,363.2555183041135,gabapentinoidsddd
Vision,2019-03-01,371.69750011720726,gabapentinoidsddd
Microtest,2019-03-01,485.53510514564925,gabapentinoidsddd
TPP,2019-04-01,381.0079310479789,gabapentinoidsddd
EMIS,2019-04-01,375.9116361979372,gabapentinoidsddd
Vision,2019-04-01,349.3036166098747,gabapentinoidsddd
Microtest,2019-04-01,434.12919276324885,gabapentinoidsddd
TPP,2019-05-01,410.899985441752,gabapentinoidsddd
EMIS,2019-05-01,391.2237759307674,gabapentinoidsddd
Vision,2019-05-01,374.0495742607354,gabapentinoidsddd
Microtest,2019-05-01,503.40892193838647,gabapentinoidsddd
