supplier,month,calc_value,measure_id
TPP,2016-01-01,308.6672762115103,gabapentinoidsddd
EMIS,2016-01-01,290.52634903659333,gabapentinoidsddd
INPS,2016-01-01,287.9514143568172,gabapentinoidsddd
Unknown,2016-01-01,258.9922545619897,gabapentinoidsddd
Microtest,2016-01-01,402.7835063586406,gabapentinoidsddd
TPP,2016-02-01,307.35321719257564,gabapentinoidsddd
EMIS,2016-02-01,293.2049790888815,gabapentinoidsddd
INPS,2016-02-01,294.46484555625216,gabapentinoidsddd
Unknown,2016-02-01,158.41704850149267,gabapentinoidsddd
Microtest,2016-02-01,407.070147082621,gabapentinoidsddd
TPP,2016-03-01,333.22425770665785,gabapentinoidsddd
EMIS,2016-03-01,312.255033289041,gabapentinoidsddd
INPS,2016-03-01,312.3707815011623,gabapentinoidsddd
Microtest,2016-03-01,434.09609347383685,gabapentinoidsddd
TPP,2016-04-01,341.2384354327804,gabapentinoidsddd
EMIS,2016-04-01,319.84277730869155,gabapentinoidsddd
INPS,2016-04-01,320.17130873264523,gabapentinoidsddd
Microtest,2016-04-01,443.1881101629557,gabapentinoidsddd
TPP,2016-05-01,332.1947438290997,gabapentinoidsddd
EMIS,2016-05-01,309.9571222117019,gabapentinoidsddd
INPS,2016-05-01,311.77215217335225,gabapentinoidsddd
Microtest,2016-05-01,434.917236658992,gabapentinoidsddd
TPP,2016-06-01,345.0553389154715,gabapentinoidsddd
EMIS,2016-06-01,326.0233139758943,gabapentinoidsddd
INPS,2016-06-01,322.6750936023904,gabapentinoidsddd
Microtest,2016-06-01,442.9278287366436,gabapentinoidsddd
TPP,2016-07-01,338.4056445218624,gabapentinoidsddd
EMIS,2016-07-01,320.7166747474131,gabapentinoidsddd
INPS,2016-07-01,317.4965730739304,gabapentinoidsddd
Microtest,2016-07-01,446.5156893347901,gabapentinoidsddd
TPP,2016-08-01,346.6100217790099,gabapentinoidsddd
EMIS,2016-08-01,327.6737911179581,gabapentinoidsddd
INPS,2016-08-01,321.20489682234955,gabapentinoidsddd
Microtest,2016-08-01,433.1990961539416,gabapentinoidsddd
TPP,2016-09-01,354.1440712187978,gabapentinoidsddd
EMIS,2016-09-01,335.1183534929945,gabapentinoidsddd
INPS,2016-09-01,327.4922569204734,gabapentinoidsddd
Microtest,2016-09-01,437.00625182282215,gabapentinoidsddd
TPP,2016-10-01,347.0763107023247,gabapentinoidsddd
EMIS,2016-10-01,326.5882011572244,gabapentinoidsddd
INPS,2016-10-01,322.75834365046137,gabapentinoidsddd
Microtest,2016-10-01,428.2498787451253,gabapentinoidsddd
TPP,2016-11-01,356.8407027665119,gabapentinoidsddd
EMIS,2016-11-01,340.5737677125754,gabapentinoidsddd
INPS,2016-11-01,333.1024626838139,gabapentinoidsddd
Microtest,2016-11-01,438.8198176551368,gabapentinoidsddd
